Number Invariant Sites,Number Invariant Sites Excluding Ambiguous,Max Invariant Block Length,Max Invariant Block Length Excluding Ambiguous,Max Pairwise Difference,Max Pairwise Difference Excluding Ambiguous,Max Variable Block Length,Max Variable Block Length Excluding Ambiguous,Min Pairwise Difference,Min Pairwise Difference Excluding Ambiguous,Number Invariable Block,Number Invariable Block Excluding Ambiguous,Segregating-Sites,Theta,Tajima-D,Tajima-Pi
3,16,1,3,13,38,24,10,0,0,3,9,45,0.2346691,-2.132867,0.09892473
0,16,0,5,14,39,48,10,0,0,0,10,48,0.2503137,-2.180573,0.1027778
0,18,0,7,14,37,48,13,0,0,0,7,48,0.2503137,-2.232224,0.09928315
3,11,1,3,17,34,27,18,0,0,3,9,45,0.2346691,-2.034313,0.1051971
1,19,1,3,12,37,28,6,0,0,1,14,47,0.2450988,-2.33172,0.09045699
3,19,1,7,12,36,28,12,0,0,3,9,45,0.2346691,-2.298298,0.08839606
1,17,1,6,14,40,24,13,0,0,1,7,47,0.2450988,-2.104736,0.1055108
6,15,2,4,13,35,23,12,0,0,5,10,42,0.2190245,-1.778968,0.112948
3,21,1,5,14,36,32,10,0,0,3,10,45,0.2346691,-2.118788,0.09982079
2,17,1,4,12,37,23,7,0,0,2,8,46,0.239884,-2.207796,0.09641577
1,20,1,8,16,39,24,15,0,0,1,9,47,0.2450988,-1.73251,0.1301971
2,13,1,6,15,33,32,22,0,0,2,6,46,0.239884,-1.703801,0.1291667
0,17,0,3,14,40,48,8,0,0,0,10,48,0.2503137,-2.129585,0.1062276
2,12,1,3,13,38,20,14,0,0,2,8,46,0.239884,-2.234685,0.09466846
0,19,0,4,12,38,48,9,0,0,0,11,48,0.2503137,-2.375255,0.08960573
1,14,1,6,13,37,31,13,0,0,1,9,47,0.2450988,-2.109465,0.1051971
4,21,3,5,11,37,24,6,0,0,2,13,44,0.2294542,-2.471791,0.07544803
0,14,0,4,16,38,48,18,0,0,0,8,48,0.2503137,-1.836237,0.1260753
0,18,0,7,13,39,48,7,0,0,0,7,48,0.2503137,-2.216331,0.1003584
1,18,1,3,13,38,34,7,0,0,1,12,47,0.2450988,-2.225659,0.09749104
1,17,1,3,11,36,45,6,0,0,1,11,47,0.2450988,-2.40603,0.08552867
1,16,1,4,13,40,44,10,0,0,1,8,47,0.2450988,-2.214175,0.09825269
2,17,1,5,15,36,25,11,0,0,2,8,46,0.239884,-2.07542,0.1050179
0,19,0,4,14,36,48,11,0,0,0,10,48,0.2503137,-2.28255,0.09587814
2,22,1,5,13,37,36,5,0,0,2,10,46,0.239884,-2.280879,0.09166667
4,19,2,5,17,36,24,12,0,0,3,8,44,0.2294542,-1.700933,0.1234767
1,16,1,3,13,40,24,9,0,0,1,12,47,0.2450988,-2.630987,0.07060932
1,18,1,6,14,38,24,5,0,0,1,11,47,0.2450988,-2.278352,0.09399642
1,14,1,3,16,36,45,9,0,0,1,8,47,0.2450988,-1.761559,0.1282706
2,18,1,3,15,39,27,8,0,0,2,11,46,0.239884,-1.967864,0.1120072
2,17,1,6,12,38,17,10,0,0,2,10,46,0.239884,-2.258816,0.09310036
2,15,1,3,13,37,25,16,0,0,2,9,46,0.239884,-2.252611,0.09350358
2,18,1,9,13,36,28,7,0,0,2,9,46,0.239884,-2.384298,0.08494624
3,15,1,3,15,37,31,8,0,0,3,11,45,0.2346691,-1.911824,0.1129928
2,21,1,5,11,39,24,5,0,0,2,11,46,0.239884,-2.448417,0.08077957
2,16,1,3,14,36,20,5,0,0,2,11,46,0.239884,-1.962348,0.1123656
1,13,1,4,16,37,37,20,0,0,1,8,47,0.2450988,-2.057448,0.108647
2,13,1,4,15,38,24,11,0,0,2,7,46,0.239884,-1.885129,0.1173835
3,14,1,2,14,37,35,8,0,0,3,10,45,0.2346691,-1.968845,0.1093638
1,13,1,4,17,38,33,17,0,0,1,7,47,0.2450988,-1.984489,0.1134857
3,14,1,6,16,38,24,12,0,0,3,7,45,0.2346691,-1.833684,0.1179659
4,16,1,3,13,37,22,6,0,0,4,12,44,0.2294542,-2.11944,0.09740143
2,12,1,3,15,38,33,17,0,0,2,10,46,0.239884,-1.912018,0.1156362
2,14,1,3,12,37,24,8,0,0,2,11,46,0.239884,-2.303631,0.09018817
2,16,1,4,11,39,42,9,0,0,2,9,46,0.239884,-2.198143,0.09704301
1,18,1,7,13,38,24,8,0,0,1,11,47,0.2450988,-2.397924,0.08606631
2,15,1,3,13,38,25,9,0,0,2,9,46,0.239884,-2.116787,0.1023297
1,15,1,3,13,37,32,13,0,0,1,7,47,0.2450988,-2.243223,0.09632616
0,21,0,3,11,38,48,5,0,0,0,12,48,0.2503137,-2.561329,0.07701613
0,16,0,4,14,37,48,8,0,0,0,7,48,0.2503137,-2.172627,0.1033154
2,21,1,3,14,37,29,9,0,0,2,13,46,0.239884,-2.373956,0.08561828
1,12,1,5,14,38,47,11,0,0,1,7,47,0.2450988,-2.012187,0.1116487
5,17,1,5,14,36,25,11,0,0,5,9,43,0.2242394,-1.76665,0.1165323
1,13,1,3,15,40,27,17,0,0,1,9,47,0.2450988,-2.102034,0.10569
0,14,0,3,14,38,48,12,0,0,0,9,48,0.2503137,-2.103098,0.1080197
2,18,1,4,15,36,23,9,0,0,2,11,46,0.239884,-2.156776,0.09973118
1,20,1,3,12,37,39,4,0,0,1,14,47,0.2450988,-2.439807,0.08328853
2,13,1,6,15,36,28,21,0,0,2,7,46,0.239884,-1.974758,0.1115591
5,19,1,4,12,37,19,8,0,0,5,12,43,0.2242394,-1.893048,0.1088262
2,15,1,4,14,39,22,9,0,0,2,10,46,0.239884,-2.193317,0.09735663
0,17,0,6,14,38,48,15,0,0,0,9,48,0.2503137,-2.036879,0.1125
1,12,1,3,14,37,47,7,0,0,1,8,47,0.2450988,-2.026373,0.1107079
0,14,0,5,17,38,48,20,0,0,0,5,48,0.2503137,-1.690557,0.1359319
0,12,0,3,16,36,48,19,0,0,0,9,48,0.2503137,-1.80048,0.1284946
2,15,1,2,16,39,44,13,0,0,2,10,46,0.239884,-2.201591,0.096819
1,9,1,4,15,38,24,13,0,0,1,6,47,0.2450988,-2.207419,0.09870072
0,9,0,3,16,38,48,13,0,0,0,5,48,0.2503137,-2.060718,0.1108871
4,16,1,4,13,37,23,10,0,0,4,10,44,0.2294542,-2.016611,0.1038082
5,18,2,6,13,37,25,12,0,0,4,8,43,0.2242394,-1.940815,0.105914
5,18,2,5,15,38,23,8,0,0,3,11,43,0.2242394,-1.908481,0.1078853
3,16,1,3,15,35,24,12,0,0,3,11,45,0.2346691,-1.767512,0.1221774
2,19,1,4,15,38,28,9,0,0,2,10,46,0.239884,-2.140918,0.1007616
0,16,0,3,14,38,48,10,0,0,0,9,48,0.2503137,-1.99781,0.1151434
4,19,2,6,17,35,35,15,0,0,3,8,44,0.2294542,-1.92313,0.1096326
3,13,1,3,16,37,21,10,0,1,3,6,45,0.2346691,-1.438059,0.1431452
3,19,2,5,12,36,40,11,0,0,2,9,45,0.2346691,-2.451761,0.07862903
0,13,0,6,13,39,48,20,0,0,0,6,48,0.2503137,-2.111706,0.1074373
4,15,1,3,14,34,26,11,0,0,4,9,44,0.2294542,-1.620396,0.1284946
1,23,1,7,13,38,44,4,0,0,1,11,47,0.2450988,-2.296592,0.09278674
5,17,1,5,16,35,27,11,0,0,5,8,43,0.2242394,-1.873207,0.1100358
0,17,0,5,12,39,48,8,0,0,0,10,48,0.2503137,-2.158721,0.1042563
1,16,1,3,13,36,45,10,0,0,1,8,47,0.2450988,-2.281054,0.0938172
1,10,1,3,13,39,25,17,0,0,1,7,47,0.2450988,-2.006107,0.112052
3,14,1,5,13,36,29,7,0,0,3,10,45,0.2346691,-2.208895,0.09408602
1,13,1,4,19,38,46,22,0,0,1,9,47,0.2450988,-1.648743,0.1357527
1,15,1,2,13,39,47,12,0,0,1,13,47,0.2450988,-2.125678,0.1041219
2,23,1,3,12,36,18,8,0,0,2,13,46,0.239884,-2.273984,0.0921147
3,16,1,7,13,39,23,16,0,0,3,8,45,0.2346691,-2.091334,0.1015681
0,13,0,3,14,35,48,14,0,0,0,8,48,0.2503137,-2.21898,0.1001792
1,18,1,5,12,38,30,8,0,0,1,11,47,0.2450988,-2.212824,0.09834229
0,11,0,3,16,40,48,17,0,0,0,8,48,0.2503137,-1.934903,0.1193996
2,17,1,5,14,38,41,6,0,0,2,8,46,0.239884,-1.932012,0.1143369
2,11,2,2,15,38,46,14,0,0,1,8,46,0.239884,-1.808599,0.1223566
2,23,1,6,11,36,23,6,0,0,2,12,46,0.239884,-2.389813,0.08458781
2,19,1,2,11,37,29,6,0,0,2,14,46,0.239884,-2.246406,0.09390681
2,22,1,4,12,38,27,5,0,0,2,13,46,0.239884,-2.217448,0.09578853
5,14,3,4,17,36,20,9,0,0,3,6,43,0.2242394,-1.701247,0.1205197
2,17,1,3,13,36,22,6,0,0,2,11,46,0.239884,-2.232616,0.09480287
