Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	0	-586.8217	-519.8623	-66.95941	2.824305	2.970835	0.152949	0.0558978	0.188449	0.130739	0.141152	0.00874899	0.266885	0.0157749	0.074575	0.0886663	0.292664	0.12639	0.00121952	0.0113148	0.15684	0.0705454	0.119696	0.034505	0.00862293	0.0327511	0.0821951	0.0200487	0.171305	0.0241703	0.0259063	0.154192	0.0297788	0.00970974	0.00732219	0.131567	0.0474388	0.0433728	0.00598835	0.0123793	0.0140384	0.0257571	0.0511367	0.00920857	0.0100662	0.00151374	0.07344088	0.002374702	0.0025202	0.054203	0.0959036	0.0569551	0.0846098	0.00308536	0.0713474	0.00186655	0.0325819	0.0131744	0.0682637	0.116096	0.00717352	0.327581	0.0646388	0.1592315	4	80.19002	0.01992702	0.386993	0.7299	1.08237	1.80074	0.180452	0.292009	0.134073	0.103077	0.208779	0.0816098	0.1616062	0.9853056
1	0	-590.476	-535.222	-55.25404	3.05999	1.397652	0.0295843	0.0183967	0.0740953	0.0389224	0.00784453	0.00652527	0.0201454	0.0133376	0.0758808	0.0893453	0.00182058	0.120729	0.109982	0.071873	0.0667322	0.192064	0.00404564	0.00415383	0.102878	0.0245444	0.173255	0.0218421	0.0186923	0.0341937	0.00539143	0.010916	0.00849239	0.0173944	0.0844191	0.0123631	0.00538827	0.132684	0.0900227	0.00535349	0.0880653	0.0273906	0.031845	0.230628	0.0719846	0.00396351	0.054806	-0.02678275	0.00413728	0.0717602	0.108844	0.000624907	0.0704476	0.0022673	0.120089	0.0028473	0.0143047	0.0460609	0.0462908	0.0848729	0.049498	0.317548	0.0604072	0.2067689	2	74.32123	0.01833509	0.20907	0.570584	1.0438	2.17655	0.184613	0.331945	0.138371	0.078581	0.190724	0.075766	0.1799861	1.148804
2	0	-597.5664	-535.8693	-61.69712	7.218261	2.839068	0.0570853	0.0333058	0.077646	0.0649824	0.0217241	0.0599376	0.0017385	0.00113145	0.0281455	0.0510712	0.000685514	0.0119529	0.0548839	0.0570425	0.0446971	0.0172341	0.0213181	0.0399167	0.0707376	0.265253	0.0634903	0.0209688	0.00923153	0.0768401	0.00692113	0.029599	0.0865554	0.0105367	0.134739	0.104962	0.010897	0.210651	0.0141758	0.09542	0.00373458	0.0557345	0.0258315	0.0727417	0.00396036	0.0289302	0.05296965	-0.007981577	0.00759557	0.08417	0.130108	0.0244278	0.0630348	0.00377272	0.0673322	0.00587168	0.0281775	0.0306809	0.00946345	0.245189	0.0312453	0.221297	0.0476335	0.1012425	3	82.8679	0.01905492	0.376416	0.722209	1.0816	1.81978	0.10573	0.268356	0.193019	0.1093	0.241064	0.0825313	0.09326093	1.085583
3	0	-585.9694	-531.3141	-54.65526	15.29401	2.451362	0.141089	0.00085131	0.00567575	0.101762	0.0771775	0.000115975	0.131339	0.00875974	0.0298942	0.0546935	0.0298585	0.102469	0.0155257	0.0448935	0.0272715	0.079068	0.0791677	0.00284548	0.0244461	0.111962	0.0236755	0.0438795	0.0105757	0.114485	0.0964876	0.00689348	0.0927243	0.0113831	0.00303122	0.03364	0.130461	0.0447203	0.0353146	0.0732871	0.0537471	0.0233277	0.0367498	0.0311468	0.0761908	0.0843669	0.06651885	-0.01770737	0.0247762	0.0253664	0.124985	0.00367642	0.0580179	0.00535877	0.0970596	0.000294665	0.0107325	0.16745	0.0853242	0.0860018	0.0406441	0.24728	0.0230335	0.183409	4	77.55222	0.02114537	0.341796	0.695778	1.07805	1.88437	0.129337	0.2605	0.184262	0.0790973	0.272167	0.0746376	0.1657016	1.106863
4	0	-605.7657	-540.7643	-65.00142	1.780375	1.408394	0.303234	0.0327166	0.0918888	0.0767612	0.0294017	0.018821	0.123112	0.124921	0.224083	0.0235353	0.0427371	0.151767	0.00957352	0.0306011	0.0730444	0.0356739	0.183483	0.0162282	0.190393	0.0433189	0.00223482	0.00698737	0.0742643	0.0391696	0.140213	0.00734982	0.042126	0.0818795	0.0132043	0.0671309	0.049323	0.0611596	0.0474502	0.0310309	0.0881285	0.0768694	0.113475	0.034813	0.120856	0.159094	0.1065599	-0.01935051	0.00177823	0.0814534	0.0677226	0.0333446	0.0423068	3.75601e-05	0.142409	0.0100857	0.0331914	0.164146	0.029773	0.171685	0.113071	0.03775	0.0712469	0.2209452	4	65.86447	0.02730123	0.210818	0.572563	1.04456	2.17206	0.218447	0.190125	0.174263	0.0940788	0.205164	0.117922	0.2015947	1.095987
5	0	-590.8005	-529.9838	-60.81674	6.280769	3.206812	0.156331	0.00836295	0.0925754	0.15223	0.00328061	0.00377612	0.00766032	0.109566	0.00930073	0.02974	0.0744677	0.0527774	0.0540339	0.0326254	0.00340694	0.0623489	0.0361924	0.0393706	0.262019	0.128129	0.0010713	0.0348405	0.0485449	0.00871888	0.000553992	0.00383477	0.0607165	0.00294315	0.0101382	0.000838331	0.339892	0.0491132	0.00227599	0.0058563	0.0481221	0.0811731	0.142922	0.124952	0.0214626	0.030326	0.06059286	0.01549924	0.0135642	0.119219	0.167336	0.0143788	0.0796778	0.00239813	0.0839237	0.00380645	0.0505419	0.0878551	0.0851761	0.12228	0.00473725	0.0586163	0.106489	0.1196756	4	66.71491	0.02663143	0.404654	0.742372	1.08336	1.76961	0.150873	0.291869	0.135714	0.123139	0.194834	0.103571	0.1351748	0.8853393
6	0	-613.4519	-556.1972	-57.25472	17.99081	1.598125	0.145754	0.0060968	0.0887695	0.278127	0.0525647	0.00902467	0.0375361	0.00296469	0.0184042	0.0713138	0.122736	0.0216414	0.00274876	0.0935473	0.128616	0.152356	0.0794762	0.041901	0.111559	0.00733368	0.00080352	0.013012	0.236675	0.173206	0.110484	0.0386052	0.152051	0.0830364	0.00228463	0.112371	0.0121532	0.0358851	0.0396254	0.0102185	0.0266938	0.0627336	0.00646431	0.00520005	0.00884017	0.0598387	0.06581756	-0.009564129	0.00563099	0.0405779	0.142308	0.0100462	0.0207806	0.0138727	0.180498	0.00631011	0.216141	0.00947901	0.0444488	0.139937	0.0393024	0.09981	0.0308575	0.1443758	4	68.19967	0.02543639	0.24009	0.604114	1.0557	2.1001	0.163098	0.281008	0.124527	0.0897773	0.273115	0.0684751	0.1348117	1.070944
7	0	-599.9608	-529.1218	-70.83896	1.962269	3.762132	0.0346252	0.0941307	0.0308088	0.196196	0.240542	0.0413554	0.0200111	0.113822	0.0603226	0.0745281	0.063795	0.0157572	0.0584967	0.0394871	0.0178565	0.154074	0.0137084	0.130761	0.0584181	0.305383	0.131811	0.0842278	0.0126083	0.109134	0.026302	0.101421	0.00845172	0.0433232	0.0786609	0.0525525	0.0817455	0.125051	0.0503747	0.0551105	0.0120255	0.0197155	0.0655161	0.238187	0.00185975	0.173986	0.07907825	-0.008246774	7.37475e-05	0.0389102	0.128158	0.0141006	0.0661695	8.7889e-05	0.0231517	0.000302969	0.0911295	0.0315686	0.0581414	0.140133	0.0455071	0.318381	0.0441849	0.1631435	4	68.01291	0.0158443	0.440798	0.76656	1.08436	1.70829	0.100734	0.288242	0.165799	0.125336	0.228432	0.0914568	0.1548967	1.05324
8	0	-584.0242	-534.042	-49.98222	1.366532	1.804952	0.0601559	0.0904429	0.0692607	0.248894	0.152929	0.0182324	0.000858407	0.00940558	0.0404024	0.272324	0.0295094	0.000195189	0.189723	0.119552	0.0716538	0.0848636	0.00185511	0.074279	0.110707	0.119827	0.00554711	0.023161	0.0239677	0.0418554	0.0307136	0.0752363	0.0223072	0.00187761	0.0390381	0.0138521	0.304498	0.0477031	0.0307928	0.00988596	0.0408508	0.0731953	0.0230458	0.0290885	0.00742072	0.0347731	0.06534942	-0.02571394	0.004345	0.0741752	0.11173	0.0340875	0.087459	0.0122949	0.109595	0.00534424	0.0293959	0.0667504	0.0492847	0.0558474	0.00800272	0.26058	0.091108	0.2101902	5	63.66911	0.03172255	0.268825	0.632529	1.06424	2.0344	0.173243	0.265416	0.104923	0.104185	0.275042	0.0771908	0.1844763	1.139389
9	0	-566.239	-520.3818	-45.85713	11.04269	3.547711	0.0725576	0.0254719	0.0287304	0.0390793	0.0783931	0.000192665	0.00310429	0.000189264	0.0323518	0.0388701	0.0139425	0.0182706	0.0046966	0.0592375	0.0362827	0.070677	0.016825	0.00128523	0.0824252	0.0737432	0.0639807	0.0891397	0.0155803	0.0408237	0.0601698	0.000811346	0.043165	0.0311878	0.0408694	0.0199057	0.0188498	0.00966299	0.0454701	0.0124729	0.0254203	0.0152304	0.0163716	0.035265	0.0010936	0.122642	0.02893629	-0.004080455	0.0299186	0.0428287	0.0983606	0.0290482	0.0511476	0.00443877	0.14314	0.000670568	0.0775836	0.0822192	0.0655832	0.0749142	0.0539038	0.194362	0.0518819	0.1609864	3	73.53329	0.0249389	0.427647	0.757957	1.08415	1.73025	0.131538	0.277815	0.197747	0.0932778	0.202766	0.0968568	0.1569059	1.026006
