Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
10	0	-51.6051	-81.29301	29.6879	55.63716	2.133753	0.0293793	0.0741747	0.00383646	0.0313072	0.00769316	0.00734878	0.0511006	0.00237114	0.02741443	0.03747596	0.0790204	0.109443	0.061906	0.0176699	0.144972	0.0444013	0.0157934	0.0433112	0.0214316	0.134051	0.0193138	0.00893018	0.0172869	0.272241	0.0102292	0.00691625	55.63716	0.308735	0.668523	1.073	1.94974	0.0436205	0.398842	0.00579979	0.152027	0.338832	0.0608782	0.04439221	0.1557987
11	0	-59.08994	-82.02562	22.93568	16.19921	1.101845	0.0465856	0.0230832	0.00306101	0.141322	0.138216	0.0253399	0.154332	0.305066	0.07013009	0.03470904	0.0666541	0.0358827	0.146539	0.113705	0.0424707	0.00859349	0.00101747	0.0165798	0.238921	0.0436997	0.0437528	0.0403679	0.00150392	0.155848	0.0444648	0.03110295	16.19921	0.156815	0.50536	1.01502	2.32281	0.0241136	0.395944	0.00789445	0.0790556	0.453519	0.0394736	0.06581199	0.4726031
12	0	-67.31353	-87.60748	20.29395	30.28958	1.909654	0.252366	0.00454639	0.199044	0.0111831	0.112395	0.192985	0.0831167	0.0581838	0.08937585	0.01951908	0.010232	0.00327685	0.0158102	0.143714	0.202265	0.0471374	0.114551	0.0149566	0.0573116	0.0586883	0.0638786	0.0759478	0.109935	0.0779781	0.00431842	0.04407016	30.28958	0.282246	0.645049	1.06756	2.00515	0.0580669	0.471234	0.0409591	0.102573	0.253304	0.0738633	0.06358924	0.6930442
13	0	-66.23376	-83.38466	17.1509	67.66806	0.7471327	0.155864	0.0146481	0.0552041	0.290423	0.118634	0.0374144	0.407125	0.161698	0.1704521	0.008251183	0.160301	0.0774357	0.0281323	0.0754527	0.0334354	0.0622877	0.0367857	0.029388	0.0638325	0.0649903	0.211198	0.0439383	0.0130714	0.0968342	0.00291761	0.01019802	67.66806	0.084271	0.384945	0.941156	2.58963	0.0487967	0.312687	0.0194887	0.162925	0.379157	0.0769461	0.01844921	0.5527622
14	0	-59.10155	-82.67946	23.5779	33.73556	2.036895	0.0098122	0.0041129	0.0136819	0.24189	0.0149047	0.0492436	0.117635	0.0179981	0.1284705	0.04432023	0.0461527	0.0305268	0.00772864	0.0768074	0.0112281	0.164566	0.0534599	0.0406903	0.00837083	0.159583	0.104631	0.0128456	0.0483516	0.154169	0.0808894	0.004563815	33.73556	0.297639	0.658881	1.07089	1.97259	0.0642963	0.369525	0.00226516	0.207407	0.307174	0.0493334	0.04888404	0.09336001
15	0	-64.48418	-89.39587	24.91168	45.21671	3.25739	0.00982734	0.0665284	0.0189022	0.00539052	0.0115197	0.0429197	0.0366599	0.131431	0.06595469	-0.006155252	0.220138	0.0725328	0.0524749	0.0331781	0.166584	0.151324	0.0192453	0.0118471	0.00939711	0.0143405	0.0996516	0.0237286	0.0210524	0.103427	0.00107838	0.02513819	45.21671	0.408243	0.744852	1.08352	1.76338	0.0176469	0.264227	0.0318946	0.266725	0.249807	0.169699	0.01898293	1.324252
16	0	-66.70602	-83.98628	17.28026	19.4566	3.126812	0.0782217	0.0456173	0.0722613	0.0601661	0.183363	0.0499636	0.294079	0.412422	0.2144116	0.06030177	0.0239323	0.0136888	0.0472247	0.10875	0.164871	0.0605881	0.00977717	0.0242533	0.0201497	0.0694722	0.089724	0.0650027	0.0961455	0.0783221	0.128099	0.01615782	19.4566	0.39884	0.738316	1.08307	1.77977	0.0605451	0.449016	0.00941528	0.144902	0.306875	0.0292455	0.07645958	0.2113249
17	0	-64.84475	-82.89593	18.05118	26.68453	2.537457	0.00467484	0.131871	0.0236923	0.195607	0.0971705	0.477217	0.0820119	0.186539	0.1139325	0.03062008	0.129607	0.0777546	0.000209046	0.00843581	0.171604	0.0484221	0.102854	0.00560493	0.0121331	0.143934	0.0313321	0.112906	0.088965	0.041552	0.0246853	0.03095825	26.68453	0.349979	0.702209	1.07904	1.86877	0.0288517	0.453588	0.0129656	0.0912166	0.280476	0.132902	0.06157833	0.5027458
18	0	-58.81371	-82.55946	23.74575	71.87082	3.132184	0.0190183	0.020873	0.049667	0.0545026	0.0105496	0.0779114	0.040946	0.0827019	0.07045884	0.009597981	0.0122813	0.0343508	0.0444248	0.172961	0.17778	0.101669	0.019343	0.0069403	0.0379989	0.00375929	0.122516	0.0568184	0.0475244	0.154958	0.00667535	0.02928833	71.87082	0.399236	0.738594	1.0831	1.77907	0.0547927	0.505903	0.00230531	0.10396	0.295425	0.0376138	0.03888631	0.7531784
19	0	-59.65311	-88.23965	28.58654	60.99654	0.6551845	0.0059507	0.00941379	0.0294176	0.028927	0.0422226	0.0103263	0.0411479	0.168683	0.03499987	0.006862946	0.181298	0.169435	0.0298397	0.0142773	0.0120611	0.0326515	0.0134547	0.0157683	0.0856756	0.00801146	0.128106	0.0816112	0.0131507	0.0959802	0.118679	0.002731735	60.99654	0.0646538	0.341595	0.907058	2.68669	0.0517057	0.451258	0.0207857	0.119038	0.264578	0.0926349	0.009594681	0.2847135
20	0	-67.73095	-85.85309	18.12214	83.49107	4.270215	0.140172	0.0405891	0.0591241	0.151638	0.120862	0.0460863	0.0661119	0.084673	0.09677961	0.005643098	0.0427995	0.00282833	0.0413925	0.104513	0.0788276	0.109837	0.074414	0.0111468	0.0103183	0.111659	0.00488375	0.023399	0.167155	0.144123	0.0727037	0.01512124	83.49107	0.468617	0.784064	1.08427	1.66305	0.014064	0.391384	0.00605924	0.0856725	0.39811	0.10471	0.02076434	0.7282313
21	0	-58.48213	-81.53022	23.04809	117.5816	1.743832	0.0615735	0.0854012	0.084954	0.0174048	0.00949652	0.08217	0.0664142	0.00975771	0.04298786	-0.004108295	0.0272428	0.134664	0.0205462	0.048089	0.249841	0.0250369	0.00141419	0.00757462	0.180145	0.0523659	0.0381808	0.0010745	0.00119949	0.194461	0.0181646	0.02304218	117.5816	0.260653	0.62468	1.06203	2.05264	0.0357163	0.491841	0.00711242	0.0909202	0.359665	0.0147446	0.01893389	1.216981
22	0	-57.87683	-84.71025	26.83342	21.70238	2.573244	0.0263144	0.0253347	0.0323281	0.128747	0.102243	0.00818954	0.105125	0.0231828	0.0708194	0.01874552	0.223442	0.151269	0.0125076	0.0280027	0.0510978	0.0145423	0.115077	0.0482689	0.0250388	0.0338403	0.099043	0.136073	0.00704526	0.0456668	0.00908604	0.01350724	21.70238	0.353293	0.704779	1.07941	1.86252	0.0267994	0.344212	0.017358	0.109511	0.372936	0.129184	0.03225277	0.4187933
23	0	-60.12016	-86.61518	26.49502	22.40361	1.550992	0.0167294	0.055131	0.0400618	0.163632	0.00480841	0.0233744	0.140446	0.0550136	0.0531069	0.09506097	0.0022225	0.022983	0.167561	0.0224487	0.0561487	0.0995639	0.140803	0.0282434	0.0367996	0.0398245	0.0316853	0.101457	0.0220732	0.196465	0.031721	0.004141395	22.40361	0.233093	0.59683	1.05328	2.1168	0.0425723	0.362025	0.0119543	0.118653	0.428224	0.0365717	0.09920237	0.04174693
