Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	0	-69.08601	-83.93237	14.84636	12.19698	0.3912587	0.04797347	0.03288518	0.151575	0.0183536	0.0126664	0.0369965	0.0643864	0.0270565	0.0337561	0.0086368	0.122358	0.130605	0.200094	0.149543	0.000432603	0.0163627	0.0271778	0.01715908	12.19698	0.0154738	0.175196	0.721646	3.08768	0.0379482	0.462346	0.034736	0.122129	0.30544	0.0374009	0.05004426	0.3428781
1	0	-76.7246	-87.78983	11.06522	20.5105	1.965472	0.005559217	0.05769116	0.0732884	0.0971152	0.121818	0.015126	0.0816415	0.00954007	0.0302871	0.0372449	0.0231179	0.0104534	0.102701	0.0183672	0.0077876	0.321636	0.0498754	0.02905504	20.5105	0.289118	0.651291	1.0691	1.99049	0.0887759	0.280251	0.0114461	0.197638	0.368274	0.053616	0.08674619	0.3349431
2	0	-69.57566	-84.96415	15.38849	8.876864	0.8912388	0.02651247	0.05687476	0.126985	0.103373	0.0177605	0.0424344	0.0115423	0.00969785	0.0517723	0.0286375	0.0354768	0.230833	0.136038	0.0956196	0.00389266	0.0883099	0.0176276	0.01041556	8.876864	0.114775	0.44143	0.97935	2.46444	0.0322434	0.536774	0.0342031	0.0824253	0.255021	0.0593331	0.06729032	0.1547854
3	0	-64.23084	-78.70411	14.47326	9.001312	2.3164	0.01880657	0.09841028	0.103248	0.0328931	0.108199	0.0230807	0.0730617	0.0152946	0.125337	0.0092777	0.0737857	0.0240723	0.011908	0.0128336	0.00153753	0.298653	0.0868185	0.003136145	9.001312	0.328329	0.68493	1.07621	1.91053	0.0350072	0.406048	0.0254504	0.150072	0.349293	0.0341297	0.1015464	0.03088385
4	0	-69.00197	-79.90275	10.90078	10.63489	4.433235	0.03141497	0.006212564	0.137817	0.118771	0.0756405	0.181185	0.0973486	0.0261107	0.0593423	0.000341158	0.0109161	0.00123563	0.0165907	0.119848	0.0246683	0.124112	0.00607257	0.05680536	10.63489	0.476686	0.788974	1.08412	1.65022	0.0691979	0.397057	0.00339091	0.0497718	0.359199	0.121383	0.06301792	0.9014159
5	0	-72.52057	-86.44891	13.92835	5.383948	1.858034	0.02466407	0.1222418	0.00861643	0.104604	0.00848731	0.0423938	0.12534	0.0328976	0.0217962	0.0186647	0.13657	0.0067125	0.0212923	0.101889	0.0363875	0.217118	0.117231	0.07986277	5.383948	0.275718	0.639015	1.06599	2.01927	0.0394216	0.442529	0.0136974	0.132253	0.324418	0.0476814	0.2021045	0.3951558
6	0	-69.2588	-81.58565	12.32684	6.39632	1.46324	0.02912474	-0.002969183	0.0952951	0.0978039	0.0510853	0.108288	0.0943848	0.0415834	0.0370865	0.0107626	0.0483833	0.0223535	0.0588212	0.1282	0.00953169	0.0846634	0.111757	0.01703157	6.39632	0.219588	0.582321	1.04819	2.1499	0.0345295	0.494537	0.0341998	0.105836	0.292995	0.0379026	0.01406239	1.211144
7	0	-65.9739	-81.83301	15.85911	2.829116	1.665055	0.07547872	0.0519888	0.0690664	0.00780747	0.0217259	0.0411373	0.054309	0.0635976	0.123259	0.0235446	0.0970177	0.0742318	0.000582801	0.117893	0.00140695	0.275301	0.0291195	0.01521949	2.829116	0.249731	0.613908	1.0588	2.07756	0.100971	0.447517	0.0069012	0.14481	0.256655	0.0431463	0.06720829	0.2264526
8	0	-77.32846	-90.19014	12.86168	17.85385	0.1868775	0.08060289	0.03326732	0.00250487	0.216936	0.129433	0.058919	0.11056	0.108884	0.0387222	0.021229	0.0176281	0.129047	0.0946295	0.0183958	0.00486212	0.0307984	0.0174506	0.05036145	17.85385	0.000327079	0.0265646	0.348552	3.62456	0.0290745	0.288648	0.0147394	0.0560998	0.540699	0.0707388	0.08362877	0.6022025
9	0	-70.36429	-84.70608	14.34179	8.992194	0.8921508	0.01601862	0.05538293	0.0246377	0.0558987	0.271216	0.0286471	0.0582742	0.0259094	0.0324791	0.0139933	0.108678	0.0166006	0.00712395	0.0814671	0.0160733	0.143394	0.115608	0.04135169	8.992194	0.114965	0.44175	0.979548	2.46374	0.0691629	0.270533	0.000870814	0.129908	0.486429	0.0430966	0.09673462	0.4274756
10	0	-70.06895	-82.72787	12.65891	34.12191	0.0812642	0.1137656	0.01800176	0.0500998	0.0666444	0.0443999	0.0409646	0.0676855	0.159174	0.112456	0.00518506	0.102882	0.00320403	0.0665236	0.0453432	0.00962527	0.071992	0.15382	0.006342632	34.12191	2.16097e-08	0.000218775	0.0483845	3.9514	0.0365414	0.436051	0.0156781	0.14044	0.327241	0.0440488	0.02434439	0.2605377
11	0	-69.02851	-80.38556	11.35705	33.16794	2.403982	0.02365682	0.01975989	0.00960416	0.0417824	0.0899331	0.0772402	0.316697	0.0350455	0.050044	0.0014484	0.0211883	0.0425144	0.0748998	0.0989855	0.0176936	0.0616778	0.0612461	0.005906774	33.16794	0.33716	0.692081	1.07745	1.89331	0.0678367	0.302751	0.00281207	0.0828276	0.449454	0.094318	0.02566667	0.230134
12	0	-69.21094	-83.58941	14.37847	11.68031	0.9285532	0.07384022	0.01797878	0.0566048	0.0133307	0.0517929	0.133991	0.0830359	0.0193633	0.0254384	0.0268456	0.0781948	0.0896989	0.238839	0.0256988	0.022704	0.128212	0.00625015	0.01701789	11.68031	0.122487	0.454171	0.987073	2.43627	0.109066	0.316865	0.0328928	0.142547	0.348707	0.0499228	0.03499667	0.4862717
13	0	-72.9441	-83.51436	10.57026	50.51608	1.100904	0.006232486	0.02011291	0.0629138	0.0405245	0.00950594	0.0840006	0.245694	0.0833901	0.0644362	0.00585793	0.0279966	0.0765968	0.140046	0.0215981	0.00123441	0.0025288	0.133676	0.009942317	50.51608	0.156636	0.505113	1.0149	2.32336	0.084096	0.361626	0.00931353	0.0875165	0.41073	0.0467179	0.03005523	0.3308016
14	0	-71.37389	-83.06031	11.68642	30.31165	0.1639012	0.1637314	0.002982707	0.0461571	0.233761	0.137102	0.00106207	0.0365178	0.0603027	0.0175726	0.00729747	0.0130526	0.0188461	0.141245	0.042074	0.00804134	0.220958	0.0160096	0.02495227	30.31165	0.000115997	0.0158787	0.283246	3.70076	0.0234655	0.389727	0.0183364	0.133832	0.333374	0.101265	0.02793498	0.8932268
15	0	-73.80606	-85.92946	12.1234	17.99763	0.7314401	0.02969035	0.04260244	0.082569	0.0274751	0.00159868	0.222555	0.0976859	0.182043	0.0050125	0.0172369	0.00611165	0.224249	0.0317511	0.0200514	0.0139903	0.0645417	0.00312877	0.06060379	17.99763	0.0809125	0.377994	0.935984	2.60511	0.0360252	0.378275	0.0233435	0.0617974	0.462743	0.0378156	0.1032062	0.5872106
16	0	-66.06258	-78.54908	12.4865	31.05844	1.38228	0.01142913	0.02802178	0.198913	0.0424648	0.251441	0.12242	0.0761806	0.0159776	0.0283446	0.00262063	0.0322041	0.0291092	0.000981637	0.0087206	0.0137877	0.141707	0.0351261	0.005394598	31.05844	0.206551	0.567712	1.04269	2.18305	0.0291378	0.426294	0.0104493	0.162299	0.299034	0.0727862	0.03341638	0.1614358
17	0	-70.14952	-79.1553	9.005785	12.68283	2.437184	0.01695856	-0.008423676	0.145193	0.0134516	0.00105038	0.220367	0.00977169	0.0596242	0.136251	0.00580216	0.0314877	0.113853	0.000328364	0.110935	0.001625	0.0941596	0.0561014	0.1543266	12.68283	0.340419	0.694684	1.07788	1.88702	0.0294463	0.381365	0.0323344	0.118124	0.367887	0.0708437	0.1459029	1.057735
18	0	-66.03309	-80.27127	14.23818	13.76015	0.9211411	0.0271238	0.09931738	0.167138	0.0206701	0.0160476	0.0391907	0.323117	0.0508425	0.0103126	0.000593395	0.00398772	0.0111048	0.0362608	0.0919515	0.00440277	0.13127	0.093111	0.02191042	13.76015	0.120963	0.451694	0.985597	2.44175	0.0565964	0.563492	0.0163934	0.112721	0.226124	0.0246741	0.1212278	0.1807376
19	0	-65.31166	-82.34759	17.03593	4.656958	0.2142042	0.06007101	0.06755196	0.0532246	0.0674179	0.101905	0.0979726	0.0399941	0.124672	0.0288918	0.0196061	0.0444328	0.103696	0.0987567	0.00988294	0.0510881	0.0917879	0.0666708	0.03764198	4.656958	0.000839588	0.0423507	0.419704	3.53711	0.0204015	0.465201	0.0164501	0.131774	0.313298	0.0528756	0.1051939	0.3578341
20	0	-67.87638	-79.70297	11.82659	12.18531	2.516539	0.01644716	0.03308077	0.10058	0.0787727	0.0200243	0.106584	0.11787	0.0165703	0.0691961	0.00982364	0.0752933	0.0313492	0.152033	0.00796148	0.000388297	0.154299	0.0592539	0.0799611	12.18531	0.348019	0.700679	1.07881	1.87249	0.0604639	0.380213	0.03394	0.0864142	0.400315	0.0386537	0.1130419	0.7073583
21	0	-76.89665	-87.40445	10.5078	53.0528	1.252012	0.007174553	0.0007086804	0.0116683	0.0384059	0.0761057	0.00778059	0.0385802	0.0352905	0.0337173	0.0411422	0.00213533	0.118785	0.106697	0.246758	0.131124	0.065644	0.046166	0.01736767	53.0528	0.184352	0.541301	1.0318	2.24254	0.0943133	0.515444	0.0301879	0.114003	0.205855	0.0401956	0.01807635	0.9607952
22	0	-68.22831	-82.18276	13.95445	15.15966	0.5948645	0.02536906	0.02011918	0.00786131	0.13864	0.0162256	0.14428	0.0279395	0.0217025	0.085224	0.00103772	0.128492	0.0239513	0.118243	0.0942236	0.0505735	0.12614	0.0154658	0.01552915	15.15966	0.0520506	0.309406	0.878676	2.75987	0.0263681	0.377414	0.0220052	0.125237	0.409942	0.0390332	0.03564833	0.4356206
23	0	-72.72719	-84.35047	11.62328	22.21196	1.983166	0.01833453	0.003086264	0.0122462	0.179374	0.0768324	0.0885927	0.0598023	0.0716018	0.0333441	0.0239426	0.124822	0.0826638	0.0132254	0.00643663	0.00495267	0.186173	0.0359899	0.03875414	22.21196	0.291257	0.653212	1.06956	1.98597	0.0333245	0.451286	0.0489121	0.150156	0.27611	0.0402109	0.0418404	0.9262372
24	0	-65.80572	-79.71055	13.90483	8.181551	1.203903	0.05281191	0.04996017	0.0135786	0.020101	0.0325243	0.0263526	0.20174	0.00858054	0.0413748	0.0022589	0.0203048	0.0546191	0.23641	0.0760773	0.0263968	0.140133	0.0995471	0.09809189	8.181551	0.175759	0.530497	1.027	2.26675	0.0889582	0.437159	0.0169646	0.0664482	0.3532	0.0372699	0.1480521	0.66255
25	0	-67.2765	-81.20833	13.93183	28.66597	0.2712842	0.0288758	0.07017082	0.265603	0.00379224	0.199629	0.018642	0.0785569	0.0621187	0.0276478	0.00915965	0.00616809	0.112962	0.0034545	0.0530481	0.0184017	0.0954013	0.0454142	0.002791214	28.66597	0.00325545	0.0824356	0.544275	3.37003	0.0696447	0.410288	0.00239307	0.0925218	0.366684	0.0584692	0.07296204	0.0382557
26	0	-74.78326	-85.76302	10.97976	33.22606	0.7929072	0.02261399	0.03415751	0.136034	0.0879062	0.0402905	0.0167217	0.0471416	0.0243628	0.00966368	0.00579618	0.128381	0.00746063	0.079878	0.00792564	0.0459688	0.354667	0.00780231	0.03161341	33.22606	0.0940486	0.404263	0.95497	2.54672	0.0466394	0.500074	0.0417552	0.0657595	0.326181	0.0195908	0.06577092	0.4806594
27	0	-68.97683	-81.19717	12.22034	11.948	1.545233	0.02504358	0.1279784	0.075082	0.0457368	0.289064	0.000776294	0.00397108	0.00978122	0.0269874	0.00172709	0.00413479	0.0941539	0.0963612	0.00418579	0.0791848	0.120059	0.148794	0.0425742	11.948	0.232226	0.595916	1.05297	2.11889	0.01457	0.48865	0.0321431	0.102893	0.301333	0.060411	0.1705526	0.249625
28	0	-66.76691	-78.69596	11.92905	37.57809	2.014979	0.008860905	0.04076184	0.0391312	0.321204	0.0045369	0.138169	0.0503774	0.0236872	0.0503967	0.0298654	0.0320248	0.0751725	0.029303	0.00363149	0.0170737	0.156004	0.0294224	0.0004305133	37.57809	0.295056	0.656597	1.07036	1.97799	0.0241142	0.482271	0.000162547	0.143988	0.285425	0.0640393	0.04119236	0.01045129
29	0	-68.55051	-83.53439	14.98388	3.67382	0.6263177	0.1258312	-0.02625838	0.0228198	0.0501269	0.0234098	0.038961	0.289678	0.0680158	0.0237706	0.0193672	0.00567171	0.0304541	0.0216854	0.332031	0.00269551	0.040662	0.0306516	0.1123272	3.67382	0.0585774	0.326588	0.894174	2.72066	0.0228203	0.587481	0.0241648	0.0952085	0.223247	0.0470788	0.0860688	1.305086
30	0	-70.79111	-81.87223	11.08112	29.74392	0.3466277	0.02460714	0.05557576	0.0573849	0.0348822	0.0494521	0.00841311	0.197591	0.000149686	0.169811	0.0140043	0.00867129	0.0587724	0.00143466	0.000984924	0.0965172	0.292087	0.00984397	0.01000478	29.74392	0.00982648	0.140931	0.666411	3.18283	0.0534903	0.406064	0.00141341	0.126349	0.349174	0.0635098	0.06558054	0.1525572
31	0	-67.71231	-82.49375	14.78144	4.831142	2.006283	0.03163992	0.04759755	0.0327274	0.00280186	0.100535	0.0530131	0.0776406	0.00333757	0.0167557	0.00414783	0.0845265	0.000694274	0.00430905	0.0739337	0.0105343	0.331344	0.203699	0.08469561	4.831142	0.294024	0.65568	1.07015	1.98015	0.0154828	0.549336	0.00535914	0.126246	0.285383	0.0181928	0.1322932	0.6402116
32	0	-67.97055	-80.24135	12.27079	29.98649	1.108105	0.01130766	0.01855547	0.0123453	0.00326788	0.0929812	0.039344	2.03602e-06	0.00933385	0.102302	0.00263473	0.0292469	0.0177777	0.0389451	0.227766	0.0509565	0.34881	0.024287	0.02448384	29.98649	0.158005	0.506997	1.01583	2.31916	0.0419368	0.349187	0.0290362	0.0652864	0.442363	0.0721909	0.04303932	0.5688716
33	0	-71.87862	-81.43977	9.561149	24.93828	3.719684	0.01016419	0.005063296	0.0528201	0.00533149	0.00347798	0.108449	0.00878248	0.0481645	0.0849302	0.0197243	0.0264211	0.288749	0.0812711	0.004358	0.0288824	0.122778	0.115861	0.03118975	24.93828	0.438267	0.764921	1.08433	1.71248	0.0971435	0.455074	0.000351892	0.0525624	0.327708	0.0671604	0.03625305	0.8603346
34	0	-73.41014	-83.48195	10.07181	42.60004	2.521926	0.003955348	0.01261449	0.0282043	0.0906676	0.0502263	0.154392	0.00640735	0.101556	0.0754431	0.00516801	0.0421214	0.00646993	0.333157	0.00214089	0.0343425	0.0599862	0.00971645	0.01183626	42.60004	0.348526	0.701075	1.07887	1.87153	0.0576838	0.358695	0.00123727	0.0497353	0.390159	0.142489	0.02445075	0.4840858
35	0	-68.71645	-82.35705	13.6406	6.171363	0.5557399	0.06986524	-0.05083139	0.0275094	0.122278	0.0416574	0.116061	0.0273889	0.0339545	0.021502	0.00180036	0.0214407	0.0745126	0.167508	0.138076	0.0155557	0.131186	0.0595699	0.1519711	6.171363	0.0441277	0.286756	0.856942	2.81217	0.0392147	0.517478	0.0144487	0.104159	0.207561	0.117139	0.1011397	1.502586
