Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	0	-220.1796	-237.1479	16.96831	11.84312	0.7960337	0.0250752	0.229099	0.000546273	0.119981	0.263988	0.00399612	0.0706037	0.0678424	0.275793	0.0219269	0.154432	0.0672499	0.355969	0.0287684	0.1223404	0.05498095	0.0356929	0.0291071	0.0929276	0.0210317	0.00116681	0.00182442	0.0131304	0.111219	0.102315	0.18704	0.0124425	0.018769	0.0970487	0.146723	0.129562	0.02493429	11.84312	0.0947145	0.405532	0.95585	2.5439	0.232295	0.177518	0.244073	0.0215679	0.239969	0.0845773	0.07991524	0.3120092
1	0	-212.7558	-231.6443	18.88842	6.180912	2.970961	0.252687	0.231452	0.0519613	0.0527508	0.0397999	0.0512361	0.122504	0.0394118	0.112075	0.279876	0.0177251	0.0946066	0.0746078	0.0757403	0.09096596	0.1119617	0.0340905	0.00948375	0.0709563	0.103638	0.0900642	0.00378445	0.00038584	0.157919	0.0328443	0.0709544	0.00164354	0.00434089	0.0905533	0.190093	0.139248	0.00359143	6.180912	0.387003	0.729907	1.08237	1.80072	0.170017	0.174167	0.284519	0.0612037	0.21121	0.0988828	0.1155531	0.03108034
2	0	-209.8585	-231.3261	21.46758	198.8912	1.54283	0.044459	0.016114	0.0190212	0.0306924	0.00127667	0.0688899	0.0231394	0.0425528	0.0199571	0.0561926	0.00524006	0.0151208	0.0311866	0.0015211	0.02099894	-0.001189717	0.11716	0.00500795	0.222878	0.0409698	0.0744956	0.00370767	0.0206649	0.0402352	0.0988346	0.112334	0.000931316	0.0137203	0.0214308	0.129796	0.0978341	0.03373521	198.8912	0.231864	0.595534	1.05284	2.11976	0.130209	0.150967	0.280843	0.101249	0.260628	0.0761032	0.0325455	1.036555
3	0	-231.6161	-236.182	4.565904	14.92397	1.038994	0.0201836	0.0776078	0.419175	0.0907786	0.143608	0.0245782	0.285671	0.329933	0.124962	0.641959	0.111993	0.148967	0.146261	0.101438	0.3430315	0.03307512	0.0719089	0.0544421	0.0285835	0.0162653	0.0099442	0.0056218	0.0151057	0.149416	0.00903784	0.279729	0.0291572	0.00749826	0.0047103	0.259625	0.0589545	0.01391893	14.92397	0.144668	0.488167	1.00617	2.36099	0.139569	0.177635	0.250122	0.0273298	0.272268	0.133076	0.04699405	0.296185
4	0	-227.2495	-233.4981	6.248629	4.226219	1.692135	0.09991	0.0394692	0.374504	0.155468	0.0681353	0.898245	0.173039	0.130639	0.621411	0.170026	0.593218	0.129207	0.140718	0.385476	0.2921592	0.2907028	0.0687113	0.0277127	0.0181309	0.00279762	0.131241	0.00755767	0.123107	0.0776355	0.0708877	0.23858	0.0201882	0.0170274	0.0921001	0.0222935	0.0820287	0.02513122	4.226219	0.253536	0.617699	1.05996	2.0688	0.156361	0.204302	0.170721	0.0566552	0.253991	0.157969	0.315834	0.07957097
5	0	-207.0171	-235.6619	28.64481	72.86474	0.4571683	0.0521883	0.0126951	0.00225537	0.0383144	0.0267089	0.0213962	0.0580085	0.00852904	0.0666949	0.00277086	0.000496896	0.00812209	0.0835087	0.00160761	0.02424232	0.01629736	0.0206534	0.00595298	0.0520631	0.132895	0.0010527	0.00716877	0.00964675	0.0343892	0.0753877	0.316573	0.0179028	0.0846213	0.0786263	0.0299443	0.133122	0.0006230053	72.86474	0.0257511	0.223037	0.786415	2.9648	0.169933	0.199856	0.231185	0.0538723	0.257051	0.0881037	0.01692037	0.03681984
6	0	-214.8098	-235.6971	20.88724	8.052613	1.559864	0.00876075	0.17024	0.0905471	0.0176201	0.092952	0.0637659	0.0287601	0.166295	0.042295	0.204131	0.0557516	0.21982	0.0333987	0.112645	0.09305696	0.1516277	0.0454552	0.0225365	0.0218822	0.134957	0.0619177	0.0270941	0.0504964	0.0519445	0.0924655	0.096999	0.00693968	0.0397073	0.0513403	0.266633	0.0296314	0.009546024	8.052613	0.234424	0.598227	1.05375	2.1136	0.168258	0.137974	0.27778	0.0382619	0.219422	0.158305	0.1611737	0.05922818
7	0	-224.5474	-233.0725	8.525099	6.641271	1.656319	0.00286104	0.22586	0.255721	0.0607636	0.198804	0.350037	0.0818789	0.11576	0.108414	0.216457	0.589371	0.873	0.040082	0.179561	0.206125	0.07895499	0.0767757	0.0171048	0.143317	0.0788379	0.270011	0.00744505	0.0120439	0.000913672	0.103567	0.0375142	0.00505445	0.0386585	0.01299	0.0910976	0.104669	0.04818011	6.641271	0.248492	0.612664	1.05842	2.08042	0.173374	0.151867	0.155908	0.0575202	0.333718	0.127612	0.1271351	0.3789678
8	0	-220.4498	-238.2425	17.79276	47.00995	0.4806373	0.0422371	0.0614567	0.0958961	0.00484329	0.0679974	0.0145984	0.034659	0.0969873	0.109472	0.0915432	0.0216949	0.00276275	0.0567336	0.071325	0.08310524	0.009502589	0.00175967	0.00674015	0.0628496	0.0866931	0.160752	0.0702616	0.113562	0.168355	0.0985294	0.0867415	0.00742269	0.0154676	0.01501	0.0551963	0.0506591	0.02130351	47.00995	0.0298575	0.239087	0.805652	2.9254	0.178599	0.124528	0.209214	0.0451349	0.351965	0.0905587	0.03080609	0.6915354
9	0	-203.8919	-236.4413	32.5494	54.53141	1.012787	0.0105457	0.0141287	0.0255401	0.0120214	0.016412	0.000833805	0.0384108	0.0195841	4.00387e-05	0.0379978	0.0209953	0.0163696	0.059371	0.00927595	0.03208882	0.0303575	0.078883	0.0697677	0.0179714	0.0239572	0.0518944	0.00430274	0.0732479	0.0853388	0.188159	0.101814	0.0249084	0.0470133	0.0337434	0.128661	0.0703386	0.008869404	54.53141	0.139498	0.480562	1.00209	2.37785	0.154798	0.158977	0.258713	0.0638035	0.26677	0.0969384	0.0392269	0.2261051
