Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	0	-240.5536	-252.0906	11.537	27.67588	0.8020992	0.0709928	0.0399173	0.0492478	0.148756	0.369582	0.048351	0.0129417	0.0917401	0.0201127	0.00523077	0.217364	0.0361656	0.114757	0.219317	0.157045	0.103026	0.09678962	0.05509733	0.034485	0.0977926	0.0590058	0.0104433	0.0688684	0.0946752	0.109031	0.111712	0.0202219	0.0556513	0.0280142	0.0783173	0.118652	0.104509	0.00862158	0.009750214	27.67588	0.0960054	0.407978	0.957535	2.53848	0.193171	0.308046	0.0914613	0.0783439	0.197614	0.131363	0.06484754	0.150356
1	0	-234.4959	-248.2654	13.76952	19.70182	1.618784	0.262655	0.0315877	0.0627727	0.0277832	0.000844057	0.0106501	0.0438637	0.157709	0.311005	0.266322	0.0586843	0.056204	0.0332557	0.0156291	0.055687	0.0563526	0.1027307	0.06222525	0.0831041	0.0312777	0.0879085	0.0301976	0.0237368	0.0133982	0.00422726	0.0327438	0.0382537	0.0265379	0.187451	0.0504673	0.178297	0.208321	0.00407847	0.0489282	19.70182	0.243103	0.607204	1.0567	2.093	0.184092	0.180491	0.152659	0.128314	0.161039	0.193405	0.1111535	0.440186
2	0	-232.9859	-250.6851	17.6992	21.98817	1.88293	0.286171	0.15922	0.0235009	0.000978343	0.0437294	0.11014	0.0482784	0.0966974	0.0773336	0.0909997	0.0252661	0.0420786	0.072781	0.0700231	0.0710022	0.0120231	0.1176037	0.08140042	0.0579266	0.159781	0.0897185	0.0388144	0.0190278	0.0212239	0.130482	0.0361587	0.0154091	0.0497673	0.0911827	0.0316653	0.143121	0.0868972	0.028824	0.004059317	21.98817	0.278888	0.641958	1.06676	2.01239	0.290518	0.317138	0.0553631	0.104555	0.107318	0.125108	0.08545974	0.04749976
3	0	-241.377	-246.22	4.843002	13.32429	1.727989	0.493163	0.264058	0.5417	0.00799848	0.0524413	0.127131	0.015775	0.114096	0.19556	0.28314	0.582187	0.0315355	0.104583	0.0326717	0.328688	0.0508814	0.2073222	0.1150065	0.0460704	0.261194	0.131498	0.0376911	0.0448541	0.000115751	0.106714	0.00501705	0.0498788	0.0552591	0.024264	0.0139754	0.141143	0.0518934	0.0304314	0.004878803	13.32429	0.258492	0.622575	1.06141	2.05752	0.264025	0.223831	0.146849	0.0522229	0.126745	0.186326	0.1198853	0.04069559
4	0	-245.0113	-257.5307	12.51938	128.4328	0.8204764	0.0863127	0.00413786	0.0802355	0.00215725	0.0811786	0.013547	0.0342263	0.110305	0.108144	0.0221365	0.0030629	0.0825899	0.0631251	0.102024	0.0788016	0.1532	0.05646134	0.01146669	0.0351198	0.0188789	0.0469008	0.00110284	0.0289363	0.0689326	0.172301	0.166854	0.00890032	0.0329326	0.00367662	0.0207052	0.212047	0.00323898	0.179473	0.02307523	128.4328	0.0999079	0.415249	0.962471	2.52237	0.166882	0.192587	0.147245	0.0738107	0.141516	0.277959	0.03454192	0.6680356
5	0	-229.4661	-245.0329	15.56684	10.79537	2.75864	0.153974	0.141943	0.011476	0.129039	0.195007	0.0607088	0.0105334	0.0204795	0.0169061	0.138726	0.042654	0.0351536	0.202652	0.0839333	0.0309539	0.0945093	0.1173621	0.1244394	0.0657659	0.00568509	0.0532414	0.0191697	0.00408016	0.0430632	0.147591	0.0107854	0.0186487	0.0422238	0.0028547	0.0131362	0.245983	0.321284	0.00648746	0.01557165	10.79537	0.369683	0.717224	1.08103	1.83206	0.131047	0.225373	0.1746	0.077408	0.154726	0.236846	0.1400111	0.1112173
6	0	-253.5795	-253.7682	0.1886822	339.6158	2.61782	0.065843	0.121784	0.177139	0.0176427	0.0750811	0.00972609	0.0128494	0.0957046	0.183666	0.0399565	0.43295	0.0219878	0.0486431	0.00896128	0.126174	0.0326343	0.07909819	0.004429894	0.0458631	0.0942744	0.248663	0.0809266	0.110453	0.0327948	0.0208062	0.0202738	0.056924	0.00180688	0.000286987	0.0493585	0.0547813	0.0775249	0.105263	0.01828744	339.6158	0.35735	0.707901	1.07985	1.8549	0.318808	0.122371	0.13629	0.047689	0.20417	0.17067	0.02271734	0.8049994
7	0	-215.5911	-244.9645	29.37343	107.3974	1.679944	0.00770597	0.0234167	0.0451451	0.0030758	0.0562478	0.0183965	0.00519093	0.0148841	0.0181115	0.0210324	0.00395738	0.0246672	0.0149859	0.0246916	0.0157271	0.0127785	0.0221057	0.01119188	0.00607007	0.0846364	0.104385	0.0178032	0.0138282	0.0371229	0.0344094	0.0230957	0.07403	0.0936355	0.29751	0.00196876	0.156558	0.0474732	0.0074732	0.007624249	107.3974	0.25183	0.616004	1.05945	2.07272	0.228779	0.312667	0.0663428	0.100724	0.143234	0.148254	0.01881613	0.4051975
8	0	-225.0894	-252.3119	27.22257	49.66341	1.513769	0.0247018	0.0191701	0.0289569	0.00755981	0.0558621	0.0252958	0.00488004	0.0351276	0.116451	0.0110154	0.000577285	0.00188998	0.0291828	0.0110562	0.0164197	0.073471	0.0205619	0.05669546	0.0426359	0.151447	0.0362637	0.0192991	0.0177093	0.0530316	0.0153565	0.040743	0.0290662	0.139124	0.0135706	0.0580266	0.146768	0.128387	0.108571	0.003969499	49.66341	0.227442	0.590832	1.05122	2.13051	0.239702	0.286553	0.109733	0.13942	0.0782907	0.146301	0.06066496	0.06543314
9	0	-224.9757	-247.8791	22.90333	19.6763	2.127386	0.0327324	0.0471671	0.0311467	0.000995895	0.00210865	0.0710327	0.0652677	0.0243345	0.136767	0.0482486	0.0304534	0.141911	0.0315947	0.0210134	0.0344268	0.106172	0.05797143	0.02869739	0.0173064	0.175252	0.0671362	0.126011	0.00685444	0.0207361	0.0292432	0.0653375	0.0485936	0.146348	0.0071373	0.00343883	0.211167	0.061925	0.0135129	0.01103941	19.6763	0.308021	0.66791	1.07287	1.9512	0.235747	0.257824	0.0769706	0.124709	0.138419	0.16633	0.0397368	0.2778134
10	0	-230.0819	-243.7811	13.69927	32.44104	2.272802	0.0221884	0.122534	0.140824	0.028072	0.116605	0.12152	0.0637473	0.0447341	0.0881586	0.0511896	0.0264261	0.00297252	0.162892	0.177118	0.222774	0.0230848	0.09939875	0.03789648	0.0286936	0.189196	0.183562	0.0485415	0.0596329	0.0091831	0.0128082	0.0156498	0.0199405	0.168475	0.0233881	0.0278715	0.159349	0.0191974	0.0345105	0.03304181	32.44104	0.323801	0.681206	1.07553	1.91947	0.233533	0.331943	0.0802327	0.0940097	0.158032	0.102249	0.07093829	0.4657824
