Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
14	0	-267.4519	-258.9565	-8.49545	43.76363	1.492891	0.07437113	0.04080268	0.0290857	0.057964	0.0369534	0.0481638	0.00168784	0.00718261	0.170471	0.00470869	0.0413955	0.096756	0.00491283	0.176557	0.226321	0.00958078	0.0882607	0.004088923	43.76363	0.224222	0.587369	1.05	2.13841	0.286041	0.224182	0.113637	0.0633772	0.150438	0.162326	0.04489161	0.09108436
15	0	-261.5946	-250.4389	-11.15564	40.46484	2.745243	0.1125843	0.04673248	0.113985	0.0506507	0.0994667	0.0566789	0.0828612	0.00316068	0.0793392	0.0123512	0.00956713	0.0836845	0.0151521	0.046573	0.0685282	0.24569	0.0323113	0.01119122	40.46484	0.36854	0.71637	1.08093	1.83416	0.293528	0.126369	0.139001	0.109743	0.141454	0.189904	0.05792371	0.1932063
16	0	-267.5863	-256.4112	-11.17517	39.09392	0.8337197	0.09555516	0.04606142	0.0717342	0.000741995	0.105023	0.0100331	0.026994	0.104545	0.00434978	0.0172489	0.144413	0.10851	0.0403631	0.206406	0.0708052	0.0275559	0.0612771	0.05432807	39.09392	0.102711	0.420364	0.965877	2.51105	0.32739	0.161502	0.108915	0.09536	0.145384	0.161449	0.1003895	0.5411729
17	0	-273.0495	-255.5625	-17.48701	68.82581	5.160671	0.09835915	0.02464312	0.0238977	0.0712688	0.256006	0.0209265	0.0029055	0.00354068	0.119958	0.0170767	0.00914481	0.162644	0.0391017	0.0365142	0.0669443	0.080126	0.0899446	0.06602181	68.82581	0.508617	0.807711	1.08301	1.60066	0.342182	0.185012	0.0851295	0.103208	0.163241	0.121228	0.09066493	0.7281957
18	0	-273.539	-260.1412	-13.3978	40.92833	0.9634507	0.06312551	0.07201705	0.0243576	0.0129685	0.0768299	0.0352288	0.0209176	0.0190384	0.0224265	0.0635926	0.0362192	0.101881	0.109297	0.0600307	0.1079	0.0258376	0.283474	0.01626272	40.92833	0.129605	0.465483	0.99367	2.41124	0.257224	0.226065	0.128205	0.0969866	0.141827	0.149692	0.08827977	0.1842179
19	0	-259.7191	-249.8595	-9.859649	18.68841	1.242992	0.2912287	0.06014213	0.0476818	0.120705	0.264079	0.0882343	0.00162988	0.0181142	0.065303	0.00815779	0.118338	0.0165832	0.0103159	0.0066911	0.145062	0.0311816	0.0579242	0.1468014	18.68841	0.182758	0.539322	1.03094	2.24698	0.329143	0.116171	0.144572	0.0838613	0.152645	0.173608	0.2069435	0.709379
20	0	-272.1792	-252.397	-19.78224	96.39133	2.108543	0.02664475	0.004794316	0.0172454	0.00258138	0.167871	0.043188	0.0867879	0.00762236	0.0284449	0.0467778	0.0932807	0.181231	0.0815127	0.136814	0.0124741	0.0210456	0.0731228	0.03348321	96.39133	0.305896	0.666081	1.07248	1.95554	0.233873	0.200625	0.147709	0.0822016	0.16948	0.166112	0.03827753	0.8747485
21	0	-255.9535	-243.484	-12.46955	56.83868	3.73489	0.0834046	0.04301471	0.035492	0.115538	0.161896	0.0473127	0.0105481	0.0156615	0.106776	0.036204	0.0319234	0.00746193	0.136073	0.0352476	0.244579	0.00609664	0.00918952	0.0469746	56.83868	0.439178	0.765512	1.08434	1.71097	0.21234	0.201865	0.10799	0.0746873	0.22085	0.182268	0.08998931	0.522002
22	0	-271.2306	-251.8944	-19.33622	59.89442	2.006183	0.07438072	0.04900794	0.0394947	0.099922	0.202318	0.0126809	0.0422881	0.00880251	0.0921406	0.0715251	0.0934266	0.0429309	0.120906	0.00278013	0.038824	0.0825009	0.0494594	0.05627673	59.89442	0.294012	0.65567	1.07014	1.98018	0.296195	0.239018	0.129327	0.103134	0.101467	0.130858	0.1052847	0.5345197
23	0	-269.3508	-252.9642	-16.38668	66.52618	1.593644	0.3137036	0.03635673	0.0373761	0.051188	0.00267041	0.0215518	0.087423	0.0168151	0.0139697	0.0837783	0.028341	0.0204827	0.112495	0.13403	0.262263	0.00846362	0.119152	0.03620013	66.52618	0.239433	0.603436	1.05548	2.10165	0.302551	0.1825	0.1162	0.0817293	0.163906	0.153114	0.07255685	0.4989208
24	0	-261.9048	-248.2176	-13.6872	42.45118	5.002095	0.143883	0.02463773	0.0447615	0.123672	0.127038	0.0676474	0.03809	0.00622591	0.0530528	0.00690623	0.215839	0.00448578	0.106631	0.0164221	0.154166	0.0205269	0.0145348	0.03359497	42.45118	0.502165	0.80401	1.0833	1.61053	0.304101	0.125137	0.154343	0.126819	0.220834	0.0687652	0.0582327	0.576909
25	0	-261.7587	-248.9766	-12.78206	44.61658	2.873592	0.08522853	0.05242436	0.00650627	0.0372902	0.109392	0.0372546	0.0445809	0.0133156	0.0823916	0.00115874	0.115972	0.0753249	0.0635926	0.0658117	0.0647256	0.0988569	0.183826	0.02454165	44.61658	0.37924	0.72428	1.08182	1.81466	0.311031	0.174445	0.103101	0.0991896	0.185446	0.126787	0.07696601	0.3188634
26	0	-268.9101	-256.4678	-12.44235	72.60994	0.8909338	0.07995732	0.01663498	0.0425995	0.103689	0.221785	0.029367	0.015108	0.0686475	0.0186175	0.0514892	0.0972667	0.0777433	0.0726826	0.0904347	0.0734833	0.0255132	0.0115739	0.02897866	72.60994	0.114712	0.441323	0.979284	2.46468	0.291931	0.138444	0.165653	0.108132	0.195573	0.100266	0.04561364	0.6353068
27	0	-278.2352	-264.5227	-13.71242	34.37746	1.210433	0.1731207	0.006327123	0.0494085	0.0465394	0.0208546	0.0265293	0.15872	0.00242352	0.0349333	0.185376	0.145107	0.0265373	0.0419666	0.0441343	0.0167093	0.0390309	0.161731	0.008167346	34.37746	0.176939	0.532	1.02768	2.26338	0.246912	0.234646	0.112338	0.126081	0.16532	0.114703	0.01449447	0.5634802
28	0	-259.5724	-248.3144	-11.25792	52.82327	1.35807	0.09683333	0.0263756	0.0593139	0.0129197	0.0437638	0.0351644	0.0320634	0.000618606	0.0274849	0.00581208	0.0565941	0.00800392	0.0805707	0.010623	0.402383	0.0942253	0.13046	0.004432766	52.82327	0.202541	0.563091	1.04087	2.1935	0.262679	0.18031	0.168251	0.0845022	0.156423	0.147835	0.03080837	0.1438819
29	0	-264.3368	-254.4819	-9.854954	13.85194	2.115886	0.2071097	-0.01832522	0.0226606	0.0250408	0.109086	0.0911514	0.0400072	0.0109167	0.0107245	0.0681075	0.028353	0.048058	0.153827	0.00884049	0.27443	0.0893602	0.0194363	0.249737	13.85194	0.306726	0.666797	1.07264	1.95384	0.244754	0.207885	0.159698	0.0541196	0.158647	0.174896	0.2314117	1.079189
