Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates[47]	branch_rates[48]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-292.9636	-268.2808	-24.68286	1.797791	1.90955	0.0192356	0.218802	0.0737264	0.00636128	0.0271674	0.0291432	0.369381	0.0375553	0.0905233	0.000427125	0.0939867	0.0295801	0.0691224	0.0237083	0.104252	0.0242967	0.138555	0.0479974	0.0901351	0.0369837	0.0157174	0.136157	0.00526813	0.00579503	0.0647219	0.159689	0.0582664	0.0196847	0.174192	0.0439123	0.413283	0.00958679	0.13509	0.0456519	0.374375	0.0467649	0.0800345	0.0434312	0.150526	0.0141024	0.00721275	0.0848953	0.216053	0.0988905	0.084532	0.0131721	0.00923073	0.00130816	0.09454728	-0.07172263	0.0204732	0.0674124	0.0660505	0.165697	0.0554795	0.0183316	0.0767203	0.0410139	0.180039	0.120817	0.0533129	0.0148989	0.0354832	0.0288332	0.0554375	0.4951263	8	20.90809	0.1287914	0.282233	0.645037	1.06755	2.00518	0.227004	0.305844	0.126911	0.0992375	0.186284	0.0547197	0.4234037	1.169395
100	-288.1624	-266.1151	-22.04722	0.4916836	3.138073	0.0943305	0.0395385	0.0932904	0.0796967	0.0214241	0.126402	0.317324	0.0171728	0.0631468	0.103254	0.139226	0.0428244	0.0369466	0.000205743	0.0345578	0.0115654	0.365772	0.00867611	0.0201232	0.0163697	0.0158164	0.116884	0.00939242	0.052935	0.0906098	0.00568593	0.0692295	0.00637837	0.0806334	0.0594615	0.4878	0.0359814	0.0262372	0.106108	0.135885	0.00491653	0.119036	0.110378	0.905523	0.0151055	0.0301066	0.0634981	0.0378189	0.0154485	0.0272198	0.105334	0.0132187	0.291925	0.08572733	-0.2309789	0.00939341	0.137814	0.120788	0.0370001	0.0228467	0.00762273	0.097062	0.00715012	0.208636	0.0714677	0.00702225	0.130549	0.0673101	0.0166523	0.0586848	0.7245708	10	13.17559	0.1964786	0.399669	0.738897	1.08312	1.77832	0.162298	0.337745	0.115464	0.0964727	0.231198	0.0568215	0.4935919	1.467955
200	-269.3791	-264.8365	-4.542601	2.34615	2.968034	0.0633104	0.0100415	0.0401378	0.0486268	0.000157449	0.0403899	0.073353	0.020082	0.0989343	0.00735035	0.0326066	0.00681172	0.026474	0.00158789	0.0152184	0.0403854	0.00810314	0.00214092	0.0288879	0.00335441	0.0783028	0.226242	0.04434	0.147686	0.0552968	0.00837804	0.00974763	0.025495	0.0973998	0.00343015	0.269304	0.0259753	0.0102173	0.0643785	0.118283	0.00622993	0.109321	0.0496222	0.134055	0.0536813	0.0253977	0.0088774	0.0592534	0.00564897	0.00509165	0.0376476	0.00319736	0.00831227	0.03975004	-0.08960405	0.0357723	0.0843641	0.0526296	0.0687904	0.0871578	0.036949	0.105187	0.0207657	0.233138	0.133002	0.0421222	0.0239877	0.0534267	0.00920535	0.0135021	0.7829452	10	17.45301	0.08103058	0.386774	0.729743	1.08235	1.80113	0.21377	0.254022	0.138606	0.0722759	0.244722	0.0766039	0.6933411	1.129235
300	-263.8851	-253.8233	-10.06182	2.516504	7.795083	0.0465791	0.0393384	0.0284013	0.0154205	0.00874144	0.00394422	0.12833	0.00156896	0.0254522	0.0263486	0.0138891	0.010089	0.0612999	0.0358724	0.018298	0.0367716	0.0862609	0.0157721	0.0829375	0.00497024	0.0218647	0.0887352	0.017289	0.108549	0.0821114	0.0157968	0.0228907	0.00509079	0.113452	0.00129902	0.0163811	0.112905	0.117565	0.0104622	0.0490365	0.0511705	0.0823929	0.152458	0.0782827	0.0130588	0.0121555	0.00302542	0.0472899	0.00809592	0.0215676	0.0230409	0.0310173	0.00208006	0.03349544	-0.01048173	0.0165362	0.093042	0.0782781	0.0736955	0.102172	0.0379146	0.0387664	0.0142406	0.154148	0.0785581	0.140462	0.0861412	0.0345116	0.0397715	0.0117618	0.4182323	7	26.35626	0.1515141	0.588387	0.850198	1.07711	1.4843	0.15644	0.321718	0.171413	0.112895	0.193064	0.044469	0.4077506	1.025706
400	-278.2357	-266.2654	-11.97029	1.632115	3.987806	0.0552137	0.0543564	0.0795799	0.026254	0.00606709	0.00711266	0.173776	0.0338695	0.00181705	0.0797755	0.0091003	0.0141305	0.0376545	0.0683333	0.0121612	0.0256108	0.0926793	0.0424013	0.10972	0.0263379	0.0832663	0.124322	0.00546715	0.0155272	0.20824	0.029411	0.0189006	0.133714	0.119332	0.0263239	0.229122	0.0225369	0.0218715	0.0276622	0.107804	0.0140798	0.0667807	0.0945578	0.328387	0.13601	0.000918648	0.0126303	0.00380878	0.0843097	0.0476868	0.0384957	0.089681	0.00954484	0.06949956	0.002747892	0.00603222	0.0592548	0.121013	0.113869	0.0132634	0.0303906	0.0774809	0.0540026	0.118277	0.0164828	0.144216	0.0481773	0.102743	0.051366	0.0434319	0.5732009	9	15.5578	0.1629566	0.453691	0.774786	1.0844	1.68712	0.231733	0.313365	0.138769	0.0913513	0.119753	0.105028	0.5759487	0.9952289
500	-302.495	-274.2387	-28.25626	0.6107259	3.850522	0.0423254	0.0774381	0.10263	0.229384	0.143068	0.0292838	0.125583	0.0124601	0.0965319	0.156316	0.00387695	0.0242602	0.0371654	0.097178	0.0298242	0.00207327	0.0928801	0.0479115	0.0764497	0.00315162	0.0362475	0.227417	0.027024	0.0442731	0.0495745	0.0621014	0.0447692	0.0607642	0.096768	0.0643205	0.489475	0.0355383	0.0182419	0.0819068	0.155851	0.0742703	0.155555	0.113232	0.384365	0.0295114	0.309423	0.0504514	0.0157664	0.0069689	0.0404249	0.00196458	0.0534593	0.00992502	0.07769567	0.01404508	0.00944218	0.0370135	0.13315	0.105531	0.0244643	0.0233258	0.0654769	0.0238822	0.110745	0.143771	0.0202735	0.112254	0.141057	0.0257775	0.0238359	0.4489923	7	17.77403	0.2397823	0.445957	0.769876	1.08439	1.69977	0.259736	0.242402	0.153111	0.0828629	0.200166	0.0617222	0.4630374	0.9696675
600	-270.4687	-263.6168	-6.851889	2.60223	4.973649	0.0347154	0.01381	0.0231701	0.0716441	0.0146887	0.0286446	0.172282	0.00561219	0.13278	0.0344357	0.0300828	0.00357748	0.0148156	0.00673683	0.0258336	0.050421	0.0159555	0.0132573	0.01223	0.0316791	0.133878	0.0437832	0.136721	0.0445047	0.0873804	0.0515785	0.0236786	0.0167217	0.223709	0.013472	0.0970381	0.00374867	0.360921	0.0443578	0.103816	0.271076	0.0869163	0.0594109	0.0108087	0.0466061	0.0926071	0.0709138	0.0162653	0.00346689	0.0143271	0.00764284	0.039482	0.177003	0.07613518	-0.03703668	0.0173405	0.0120775	0.0204311	0.162395	0.015614	0.0355913	0.0318807	0.164836	0.137269	0.0252943	5.36076e-05	0.114273	0.0223511	0.100901	0.139692	0.5463024	10	14.87111	0.1757155	0.500979	0.803326	1.08335	1.61235	0.236727	0.235401	0.164027	0.190978	0.102051	0.070816	0.5092657	1.072726
700	-307.3622	-267.1883	-40.17383	1.069299	6.147155	0.0352964	0.0877961	0.0226251	0.0249173	0.019364	0.134193	0.290181	0.00392422	0.0160306	0.0177351	0.0250932	0.00365405	0.339042	0.0123028	0.048418	0.131858	0.0986374	0.0186195	0.0353837	0.0153107	0.194881	0.217099	0.0626298	0.0707607	0.20736	0.0538039	0.294961	0.0656674	0.223421	0.0340749	0.23675	0.0427262	0.511136	0.191717	0.402982	0.041857	0.117295	0.118699	0.181601	0.00629156	0.0262767	0.0222366	0.0860951	4.14297e-05	0.744961	0.0432734	0.476814	0.00991812	0.1353954	0.05787848	0.0135038	0.0361218	0.13009	0.109217	0.0428734	0.0106972	0.141726	0.092275	0.0617935	0.0310823	0.0134665	0.192163	0.0355196	0.0467605	0.0427114	0.5858743	7	18.90719	0.2060562	0.543717	0.827122	1.08093	1.54823	0.186018	0.26969	0.212154	0.152408	0.12427	0.0554599	0.6437528	0.9100921
800	-298.0414	-260.2589	-37.78245	0.98927	3.515786	0.0604647	0.0123564	0.0791007	0.39608	0.0932192	0.104106	0.322087	0.000656458	0.165786	0.0571826	0.365366	0.112078	0.641679	0.018515	0.00761478	0.0118929	0.0105402	0.290922	0.0377548	0.00891642	0.142058	0.191287	0.0244412	0.110945	0.0134237	0.0484789	0.0201793	0.0522213	0.0489312	0.0416997	0.452337	0.239298	0.0239267	0.0093797	0.505645	0.00981733	0.0456024	0.0481162	0.27751	0.092337	0.0183218	0.0665318	0.0118709	0.00759369	0.0554769	0.0294555	0.00166047	0.0714439	0.1144129	0.08192712	0.0280681	0.0274369	0.0470021	0.102815	0.0355649	0.0145509	0.0552208	0.100224	0.080356	0.0563725	0.0113577	0.162946	0.0413953	0.196219	0.0404713	0.3930367	9	15.25558	0.2121211	0.425607	0.756603	1.0841	1.73369	0.26138	0.220575	0.169955	0.126531	0.184023	0.037536	0.4749638	0.8275087
900	-302.528	-271.5444	-30.98355	1.741735	3.98579	0.0189478	0.243087	0.0428949	0.102829	0.056533	0.162827	0.186144	0.000240814	0.0934968	0.207565	0.0482573	0.0183115	0.0915281	0.00374867	0.000190443	0.0517781	0.26656	0.01422	0.0949868	0.0128725	0.116726	0.243811	0.0681913	0.0075294	0.088365	0.0393353	0.0383994	0.106085	0.0754915	0.00121001	0.27034	1.67855e-05	0.0222563	0.00471704	0.111077	0.0184277	0.120041	0.000156325	0.0468676	0.0512191	0.247431	0.0226545	0.0305589	0.0429924	0.02128	0.036574	0.0884025	0.041782	0.08114245	0.07966813	0.0131351	0.0151217	0.185266	0.141844	0.119204	0.0434027	0.000569789	0.0582158	0.134044	0.0715001	0.00663422	0.0690074	0.027967	0.0236598	0.0904277	0.5119052	10	25.13717	0.06517256	0.45358	0.774716	1.0844	1.6873	0.194763	0.325706	0.187448	0.0709634	0.17281	0.0483099	0.5915734	0.8653284
