Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-209.5635	-222.606	13.04251	29.60788	1.051753	0.209011	0.134165	0.314409	0.0847528	0.00143058	0.0546604	0.102168	0.0217365	0.166673	0.158132	0.191966	0.0595962	0.018481	0.0235669	0.1306967	0.03175086	0.00110874	0.0892158	0.0704406	0.0861828	0.00913461	0.00579321	0.0157159	0.00526246	0.0795195	0.0790709	0.311651	0.00309008	0.213869	0.0224322	0.00751296	0.006239999	29.60788	0.147163	0.491773	1.00807	2.35299	0.105762	0.230162	0.15505	0.0780138	0.244744	0.186268	0.03799086	0.16425
100	-200.721	-215.4429	14.72192	48.48557	5.12151	0.172614	0.0611598	0.00896451	0.0105364	0.0775488	0.0902768	0.0387696	0.00327206	0.0907485	0.0103968	0.000342987	0.0380308	0.000786329	0.0824187	0.1076463	0.04793556	0.0151252	0.175819	0.19085	0.116122	0.0161047	0.000559255	0.0301067	0.000665965	0.182085	0.0357481	0.0759424	0.0234693	0.119018	0.0105462	0.00783775	0.01583959	48.48557	0.507047	0.806814	1.08308	1.60305	0.124867	0.136722	0.249059	0.0553284	0.317851	0.116172	0.06377515	0.2483661
200	-213.9038	-226.8321	12.92832	59.29208	1.597328	0.147338	0.29158	0.0426801	0.0174406	0.0651663	0.0194425	0.04508	0.0710013	0.064973	0.118117	0.0429534	0.0692268	0.111017	0.0880744	0.06543552	0.04750235	0.0427612	0.135839	0.00440718	0.137551	0.00421183	0.00602608	0.12609	0.00589186	0.182922	0.0842491	0.191376	0.0199088	0.0345935	0.0178258	0.00634586	1.920425e-05	59.29208	0.239973	0.603994	1.05566	2.10037	0.117361	0.219514	0.186571	0.03652	0.317141	0.122893	0.04752155	0.0004041167
300	-180.2445	-223.3388	43.09431	131.4683	4.738752	0.00334118	0.00663681	0.000600872	0.00829592	0.000244564	0.00190673	0.00594547	0.00290687	0.0229212	0.00524339	0.00615157	0.01019	0.00902758	0.00983869	0.006153827	0.006138304	0.00484728	0.0393751	0.0123146	0.188473	0.00692615	0.000827151	0.0851267	0.0236795	0.131856	0.12857	0.0806914	0.00197853	0.275571	0.00392901	0.0158352	0.007849915	131.4683	0.490852	0.797419	1.08373	1.628	0.112247	0.133898	0.256814	0.0947406	0.276131	0.126169	0.01398822	0.5611804
400	-214.8133	-225.7362	10.92297	16.66109	1.001578	0.0647178	0.132088	0.00338108	0.0696271	0.194173	0.503863	0.195106	0.256414	0.359295	0.078303	0.0372635	0.0349656	0.204814	0.232543	0.1229242	0.06466877	0.0471216	0.0900893	0.0907228	0.196661	0.0202658	0.00133357	0.0506311	0.0118115	0.199295	0.0449676	0.0871427	0.0272857	0.0621422	0.0671487	0.00338114	0.01844569	16.66109	0.137269	0.477226	1.00026	2.38524	0.113001	0.148476	0.196141	0.0787579	0.395407	0.0682166	0.08311446	0.2219312
500	-201.6292	-215.6464	14.01714	14.88552	3.179539	0.241521	0.117047	0.04605	0.254753	0.112974	0.236433	0.16278	0.00292323	0.00103647	0.0534028	0.010447	0.0107314	0.214992	0.167118	0.1641008	0.05304524	0.00444706	0.279618	0.0481032	0.0745199	0.0408542	0.00325409	0.0378185	0.00625529	0.251356	0.0451044	0.133544	0.000406776	0.0459556	0.0180668	0.0106961	0.005180723	14.88552	0.402691	0.741008	1.08327	1.77303	0.132292	0.177058	0.189598	0.0932707	0.303532	0.104249	0.05822596	0.08897617
600	-204.5594	-218.2434	13.68397	19.67704	2.358307	0.333317	0.020206	0.0991262	0.0791831	0.0140065	0.0180092	0.227155	0.346087	0.00550912	0.0958519	0.0575884	0.029546	0.0562185	0.0144726	0.09889982	0.03837819	0.00509296	0.0599247	0.0880598	0.182129	0.020663	0.00877784	0.0144318	0.00665535	0.19879	0.0769418	0.218827	0.0146452	0.0912001	0.00277265	0.0110882	0.04967965	19.67704	0.332598	0.688405	1.07682	1.90217	0.148475	0.206919	0.180648	0.0581567	0.289938	0.115864	0.08805784	0.5641706
700	-209.8942	-233.5026	23.60833	33.64526	3.722731	0.00425921	0.108514	0.0143117	0.00609274	0.00754606	0.0272959	0.00497169	0.214441	0.00932919	0.0451067	0.0188686	0.0647819	0.0125089	0.0707726	0.04502654	0.03052866	0.0319362	0.223464	0.0861731	0.101301	0.0155982	0.00721546	0.0159449	0.00225902	0.0966213	0.103912	0.128734	0.0315782	0.00548014	0.133744	0.0160389	0.01812628	33.64526	0.43845	0.76504	1.08433	1.71218	0.1587	0.107452	0.24503	0.0933538	0.311905	0.0835583	0.04865494	0.3725476
800	-191.6936	-220.7269	29.03323	28.07041	2.275685	0.066657	0.0286508	0.0120691	0.0305632	0.0280958	0.0648386	0.067162	0.0056602	0.131443	0.019318	0.000329688	0.0155937	0.0305778	0.00401649	0.04251174	0.04494694	0.00671896	0.0820157	0.0936027	0.164639	0.0170737	0.011025	0.0355176	0.00468382	0.301482	0.0668586	0.0890256	0.0424421	0.0235671	0.0547588	0.00658918	0.002427843	28.07041	0.324103	0.681455	1.07557	1.91887	0.172203	0.185385	0.171171	0.0548979	0.337845	0.0784993	0.04737478	0.05124758
900	-224.4699	-222.6984	-1.77155	9.763698	3.040586	0.121971	0.807793	0.168541	0.0678715	0.392135	0.532411	0.0406213	0.101123	0.110266	0.560077	0.372695	0.377877	0.249389	0.0541421	0.374851	0.0102409	0.00438078	0.34693	0.0105505	0.219883	0.00867802	0.00432267	0.0201408	0.00428296	0.163861	0.0589482	0.12103	0.00730391	0.0216646	0.00148321	0.00653996	0.120189	9.763698	0.392378	0.733751	1.08271	1.79116	0.21707	0.176368	0.227124	0.0496213	0.267861	0.0619561	0.1304299	0.9214835
