Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-70.46494	-91.19975	20.73481	18.53672	1.388013	0.0224402	0.0380872	0.0677485	0.179147	0.0211032	0.0443612	0.28189	0.081178	0.1080169	0.1426993	0.00853767	0.0522636	0.0497658	0.0239366	0.0250703	0.0156809	0.0293808	0.104799	0.308262	0.137926	0.164024	0.0406711	0.0268606	0.0116087	0.00121239	0.04844426	18.53672	0.207493	0.568789	1.04311	2.18061	0.0560987	0.37715	0.0527157	0.195071	0.255821	0.0631434	0.1911436	0.2534443
100	-67.75776	-80.87915	13.12139	92.83434	0.9270979	0.0595552	0.0212201	0.0227589	0.00150502	0.410284	0.178974	0.447551	0.00317068	0.1170411	0.01129526	0.115491	0.0542408	0.00701472	0.011129	0.00412279	0.0416698	0.0391864	0.0052606	0.0825653	0.192643	0.0451682	0.120665	0.02609	0.0710568	0.183697	0.0488039	92.83434	0.122188	0.453687	0.986786	2.43734	0.050144	0.461339	0.0116964	0.0977423	0.302946	0.0761321	0.06009916	0.8120564
200	-56.25612	-81.36843	25.1123	51.25377	1.290438	0.00370122	0.0107616	0.00508548	0.0141719	0.0135861	0.02844	0.0342515	0.166999	0.08592857	-0.007510429	0.104731	0.103761	0.0868975	0.16187	0.0444423	0.0782654	0.0439514	0.0375429	0.0101383	0.0126878	0.0442805	0.0181153	8.56142e-05	0.212041	0.0411893	0.02653248	51.25377	0.191061	0.549502	1.03531	2.22412	0.0348681	0.459542	0.00248599	0.12637	0.307352	0.0693815	0.01902206	1.394827
300	-56.65412	-80.60306	23.94895	50.0917	3.678824	0.133524	0.0507448	0.0448848	0.0175566	0.0282236	0.0702153	0.00136537	0.075122	0.04011447	0.01137838	0.192469	0.0177156	0.00716144	0.0969431	0.0441011	0.0331934	0.0528291	0.0486418	0.0986479	0.208283	0.00691253	0.00963419	0.00834699	0.156696	0.0184249	0.02780302	50.0917	0.435798	0.763315	1.0843	1.71659	0.0353633	0.425605	0.00657041	0.104097	0.351977	0.076387	0.03918139	0.7095975
400	-60.68035	-79.28827	18.60792	107.4063	1.386819	0.0413196	0.0352459	0.0531782	0.00255925	0.041174	0.290152	0.0744264	0.131553	0.08296531	0.000190534	0.124999	0.0278223	0.0898839	0.015843	0.142737	0.19249	0.0315641	0.00387384	0.0459581	0.0188405	0.00618799	0.140227	0.00346372	0.143285	0.0128248	0.04029374	107.4063	0.207297	0.568565	1.04302	2.18112	0.0137109	0.392035	0.00114737	0.103351	0.393243	0.0965132	0.04048427	0.9952936
500	-66.25099	-86.47858	20.2276	41.50118	2.545722	0.0474609	0.151414	0.0155443	0.00586466	0.03434	0.148776	0.151848	0.00797902	0.07888184	0.09496237	0.0249943	0.0137348	0.232077	0.0410317	0.199463	0.0525376	0.00500805	0.0119485	0.104335	0.0595784	0.085988	0.0245155	0.0206999	0.0877259	0.0363626	0.005073972	41.50118	0.350749	0.702807	1.07913	1.86732	0.0598198	0.380095	0.014608	0.1438	0.310233	0.0914448	0.1000363	0.05072128
600	-58.23802	-83.47551	25.23749	149.0935	0.9609236	0.026108	0.00237431	0.00628706	0.0971586	0.0609448	0.132546	0.0275136	0.0167663	0.05643109	0.003754491	0.00595107	0.108247	0.16124	0.0616957	0.00421516	0.033614	0.0404564	0.00586579	0.0160283	0.128784	0.0296842	0.0800674	0.0165511	0.156398	0.151202	0.002717987	149.0935	0.129093	0.464683	0.993211	2.41301	0.0799993	0.397852	0.0174797	0.111041	0.341575	0.0520529	0.006472478	0.4199299
700	-54.72467	-83.71586	28.99119	45.01058	1.372022	0.0286401	0.00738718	0.00198063	0.000840133	0.00726073	0.188556	0.0364915	0.00933424	0.02382754	0.01803153	0.0475983	0.00328969	0.0459026	0.111427	0.0252527	0.0660786	0.0475481	0.0126878	0.0167875	0.0732197	0.265892	0.0263712	0.0319331	0.203341	0.0226713	0.005460511	45.01058	0.204858	0.565769	1.04193	2.18744	0.0359719	0.32555	0.0161885	0.124183	0.473351	0.024755	0.02349204	0.2324409
800	-58.39809	-78.28978	19.8917	65.08498	3.851042	0.0369529	0.215498	0.0299009	0.156861	0.00462613	0.036664	0.0186608	0.163499	0.09318546	0.01534962	0.0830496	0.0361623	0.0604181	0.107318	0.00131602	0.0476315	0.0510571	0.00950072	0.0634971	0.0147476	0.0326804	0.0668529	0.0147831	0.400604	0.0103818	0.0103987	65.08498	0.445987	0.769895	1.08439	1.69972	0.0360604	0.444351	0.0014562	0.146255	0.350577	0.0213004	0.02574832	0.4038595
900	-54.6512	-79.51681	24.8656	17.96546	2.871305	0.0118107	0.0117389	0.0592195	0.0380697	0.00648927	0.156799	0.0349714	0.00685845	0.04405054	0.0694305	0.0841652	0.000684277	0.0376921	0.026435	0.0933263	0.0166614	0.0250967	0.0139128	0.0342326	0.0472144	0.0537172	0.238677	0.000252174	0.293476	0.034457	0.127112	17.96546	0.379054	0.724144	1.0818	1.815	0.0286807	0.438072	0.00150783	0.140278	0.35714	0.0343209	0.1965425	0.6467405
