Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates[47]	branch_rates[48]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
1000	-263.1222	-251.8186	-11.30356	1.381291	2.506096	0.0419887	0.146073	0.120755	0.0677562	0.00777236	0.128816	0.0187304	0.00220744	0.0556875	0.00889847	0.177314	0.236532	0.0107866	0.0109444	0.305831	0.0233142	0.0439106	0.0604833	0.165688	0.00793748	0.0543279	0.0388596	0.0288527	0.030308	0.130156	0.139151	0.0477397	0.119679	0.32018	0.233322	0.0465869	0.0973571	0.000430478	0.0257401	0.0513804	0.00486831	0.0726562	0.091981	0.327607	0.0172228	0.00188514	0.00089604	0.0157379	0.1712	0.266434	0.0097948	0.0191728	0.0306145	0.0819683	-0.08574547	0.0574062	0.0121081	0.172635	0.0219276	0.0739865	0.0751086	0.0310366	0.0259468	0.0139206	0.0212227	0.0126427	0.135407	0.00234137	0.220721	0.12359	0.6601802	6	13.10023	0.2547454	0.347034	0.699907	1.0787	1.87436	0.144682	0.251574	0.147585	0.0911381	0.296747	0.0682728	0.5744347	1.149269
1100	-237.0491	-256.7573	19.7082	2.55098	7.857642	0.0917534	0.03284	0.0204743	0.0179959	0.0248843	0.0108332	0.00347821	0.0153426	0.073899	0.0219259	0.00632914	0.0369703	0.00116375	0.00916157	0.0357727	0.0133864	0.037103	0.0510499	0.054714	0.0677172	0.01565	0.0578533	0.00225544	0.134467	0.0466139	0.0142899	0.000192981	0.0665399	0.205823	0.017115	0.0214985	0.0130417	0.00641901	0.0104392	0.00204963	0.00300704	0.0227379	0.00123568	0.0197493	0.0473778	0.0248716	0.0879318	0.0139407	0.00394476	0.0142218	0.0159531	0.0206055	0.0296638	0.02775774	-0.05506383	0.0721306	0.0295536	0.137708	0.00595506	0.112433	0.276562	0.0112118	0.00603139	0.0103419	0.0620089	0.00019061	0.113994	0.0229421	0.138106	0.000830993	0.8525623	10	13.67303	0.1079142	0.58983	0.850914	1.07697	1.48229	0.159534	0.145345	0.166411	0.117309	0.374344	0.0370569	0.7974985	1.069046
1200	-237.4928	-246.8395	9.346732	1.068888	3.712246	0.10662	0.00250517	0.0125797	0.0093839	0.0186416	0.128395	0.0474346	0.0188469	0.00753776	0.108362	0.00492643	0.0489012	0.00996551	0.00148153	0.0159986	0.0179062	0.0336449	0.0169656	0.0380395	0.0174831	0.00707059	0.283175	0.0468603	0.00403737	0.0332027	0.00648225	0.200632	0.134149	0.295629	0.0143868	0.0115137	0.01128	0.015287	0.00548564	0.00968928	0.0547646	0.0146783	0.00523318	0.00893023	0.00752544	0.0432892	0.104948	0.0133679	0.0179034	0.0201932	0.0127078	0.000956105	0.0222765	0.03422778	0.08226473	0.0298871	0.0570759	0.254441	0.0297597	0.0445544	0.0989606	0.0344954	0.0233582	0.0599331	0.0630066	0.0120815	0.119141	0.0459662	0.117417	0.00992175	0.4455465	9	16.71645	0.1414113	0.43782	0.764631	1.08432	1.71322	0.142702	0.212786	0.141507	0.119272	0.339531	0.044202	0.5278113	0.8441399
1300	-257.4485	-251.7519	-5.696555	3.716571	3.72534	0.0496936	0.124092	0.0468986	0.0176767	0.105637	0.157914	0.0239997	0.00244678	0.0231686	0.133766	0.0833442	0.0307525	0.0218622	0.00193356	0.0398929	0.000930465	0.0217717	0.0319173	0.0321693	0.0188413	0.0641188	0.0358365	0.0867902	0.0362165	0.102583	0.177408	0.044258	0.0766237	0.208466	0.116322	0.0376126	0.0199119	0.00219384	0.203411	0.0347596	0.00849966	0.0721511	0.185149	0.0528737	0.145469	0.0112151	0.0136555	0.00786668	0.0753969	0.00465452	0.0790421	0.0463594	0.000191093	0.05996796	-0.09242398	0.165141	0.0626554	0.105989	0.00814892	0.0687177	0.0611422	0.159	0.0592039	0.00450766	0.124715	0.00287634	0.0863931	0.0127702	0.0779549	0.000784179	0.6420081	10	16.30647	0.1713928	0.438606	0.765141	1.08433	1.71192	0.140018	0.204553	0.224337	0.116407	0.267543	0.0471418	0.5495841	1.168171
1400	-230.8635	-249.4389	18.57543	3.044572	3.046967	0.0472927	0.0017832	0.00530908	0.016384	0.00560226	0.0827713	0.0243243	0.00889143	0.0460453	0.0441895	0.018001	0.0930544	0.00189143	0.00681968	0.102839	0.000727365	0.0809161	0.00894687	0.00376231	0.0110578	0.0298409	0.0453154	0.0255075	0.113795	0.0184687	0.048826	0.0267227	0.0377772	0.0262485	0.0278148	0.00689753	0.000800225	0.0239541	0.173857	0.066355	0.0348698	0.000147496	0.00402394	0.0200344	0.00823321	0.0352691	0.0667928	0.124689	0.00815667	0.0157402	0.102088	0.0159225	0.0387931	0.02920537	0.03001526	0.0556454	0.0382415	0.0534971	0.0149913	0.0331245	0.141601	0.0891445	0.0936571	0.0985593	0.0739055	0.0313338	0.184514	0.0181572	0.0670574	0.00657031	0.4404016	12	17.77102	0.1387207	0.392863	0.734096	1.08274	1.7903	0.206917	0.17639	0.121598	0.133201	0.275504	0.0863896	0.4704168	0.9361943
1500	-230.0467	-244.1493	14.10263	1.741551	3.928719	0.0123886	0.101634	0.0121991	0.0607681	0.00229559	0.101681	0.0212183	0.0105187	0.0826471	0.00854587	0.0707806	0.0490639	0.00756197	0.00237379	0.0108312	0.0163633	0.110846	0.000663982	0.010064	0.0255581	0.139561	0.014094	0.00731181	0.108333	0.00976656	0.128252	0.0227906	0.00128063	0.00995935	0.0283146	0.00454391	0.0276655	0.044141	0.00171717	0.0472165	0.0899946	0.0242365	0.00186189	0.00182262	0.0235287	0.166556	0.00775425	0.00090228	0.00765029	0.0615693	0.0152387	0.0736745	0.202402	0.03927408	-0.01812866	0.0600079	0.0545042	0.129723	0.00447119	0.205973	0.10544	0.0871602	0.0300729	0.0472243	0.0567188	0.012009	0.111596	0.0014553	0.063971	0.029673	0.5338392	7	16.91206	0.1189107	0.450403	0.772708	1.08441	1.69248	0.144611	0.133902	0.145542	0.0959211	0.427162	0.0528612	0.5157105	1.035153
1600	-240.9921	-264.3364	23.34433	2.108275	3.153704	0.000249128	0.00350756	0.0460486	0.0558673	0.0044601	0.0865614	0.0174904	0.000839045	0.0458946	0.0370508	0.0430461	0.065415	0.000463751	0.00194823	0.00946627	0.0015563	0.152993	0.0463569	0.00173916	0.0113699	0.00307316	0.0159285	0.0083824	0.00155702	0.0804011	0.051951	0.00334933	0.014988	0.0197563	0.0247895	0.0173411	0.0852564	0.175106	0.00722714	0.0648422	0.0336481	0.0952292	0.0337205	0.00726876	0.0229273	0.0096721	0.0181743	0.0153327	0.00163725	0.00939835	0.106715	0.0399635	0.0561985	0.03337133	-0.01898771	0.0568121	0.0726196	0.152681	0.0311762	0.265057	0.0812301	0.0343271	0.0303144	0.0327574	0.0232108	0.0152426	0.048992	0.00387127	0.144965	0.00674361	0.4262084	10	17.37723	0.1594372	0.400814	0.739698	1.08318	1.77631	0.124254	0.212618	0.139502	0.0747679	0.327756	0.121102	0.4072207	1.046628
1700	-235.0578	-252.9934	17.93551	1.242213	3.913166	0.00629105	0.0185754	0.0216772	0.000150119	0.116487	0.109359	0.0851081	0.000144302	0.0152766	0.00729168	0.0165798	0.0673964	0.00194498	0.00563379	0.0055231	0.0441319	0.110243	0.043969	0.0387631	0.0308397	0.0415983	0.00609176	0.0507866	0.00430937	0.0121233	0.00765143	0.00475911	0.000224968	0.0145007	0.112548	0.0261481	0.00500886	0.0424243	0.0194953	0.12063	0.0922149	0.0431327	0.00617031	0.00355505	0.00751703	0.0766694	0.0109978	0.0127121	0.0285437	4.38838e-05	0.0470185	0.180901	0.0903657	0.04249707	-0.04490165	0.0766306	0.0016381	0.139307	0.0152501	0.144185	0.0766722	0.144524	0.0206619	0.010477	0.156545	0.00723378	0.169647	0.0190106	0.00840956	0.00980756	0.7053798	9	16.90978	0.1236483	0.449527	0.772152	1.0844	1.69392	0.0999101	0.209575	0.192662	0.104046	0.329725	0.0640833	0.6604781	1.067984
1800	-229.671	-248.7276	19.0565	1.701479	2.67868	0.0180015	0.0207515	0.0415654	0.050709	0.0257003	0.151951	0.00930732	0.0282542	0.0242445	0.00716241	0.135408	0.125217	0.00235491	0.000177583	0.0124381	0.0190809	0.0208052	0.0206911	0.0055619	0.00075232	0.0390271	0.00834899	0.0507137	0.00223469	0.00873482	0.0685176	0.000927187	0.0932135	0.00271267	0.0656816	0.0316274	0.0136456	0.00520879	0.000329646	0.0189283	0.0944215	0.0111581	0.0414858	0.0319021	0.0515221	0.0888895	0.00162256	0.0151216	0.0173329	0.0077391	0.0267864	0.156586	0.00855861	0.0305079	-0.05496903	0.0773979	0.0337174	0.179634	0.00784311	0.0583775	0.067623	0.100718	0.0752556	0.0284187	0.0319613	0.0209937	0.0896732	0.000480956	0.223917	0.00398839	0.4282974	7	18.37456	0.1389725	0.362768	0.712028	1.08039	1.84481	0.181412	0.187909	0.182696	0.0943971	0.330476	0.0231099	0.3733283	1.14724
1900	-261.7357	-250.9417	-10.79408	2.129375	5.706135	0.0540996	0.247345	0.166921	0.00317131	0.0317172	0.0823517	0.00562757	0.0221425	0.068076	0.144242	0.27555	0.109446	0.0115669	0.0586904	0.0119208	0.226968	0.0141788	0.0325613	0.0598894	0.0533552	0.0729134	0.00812486	0.033005	0.0222571	0.154938	0.0304946	0.00586929	0.741775	0.0651606	0.015108	0.000244058	0.030411	0.0464758	0.0235413	0.0581847	0.270742	0.00950176	0.0117821	0.0469225	0.0174622	0.0424645	0.00998504	0.0128808	0.0479652	0.0115728	0.0208746	0.320311	0.0423077	0.087645	-0.0947266	0.11562	0.024236	0.0767985	0.00405905	0.00653437	0.0379822	0.063227	0.0293041	0.115067	0.050043	0.0013747	0.248108	0.0124611	0.183873	0.0313133	0.5734078	10	11.91536	0.1889675	0.529002	0.819128	1.0819	1.56997	0.186574	0.165184	0.126072	0.0858641	0.387468	0.0488379	0.4786812	1.197891
2000	-242.6	-242.504	-0.09599525	2.432944	2.609871	0.00451229	0.0398776	0.0426746	0.0245499	0.0907043	0.181177	0.0652352	0.00185614	0.0416532	0.0565434	0.130383	0.120901	0.0189705	0.0243963	0.0106822	0.00840688	0.0177365	0.0162541	0.192102	0.057247	0.154781	0.010139	0.0242319	0.0178943	0.034875	0.0113286	0.0667192	0.0558975	0.0918228	0.00223032	0.124905	0.0964648	0.00958838	0.180232	0.0032642	0.0820096	0.0249189	0.0308787	0.00692859	0.00174372	0.0380281	0.000271849	0.0936747	0.0560382	0.089213	0.060012	0.185457	0.00531685	0.07275238	0.1182368	0.108423	0.0229916	0.429533	0.00146302	0.00475623	0.0680812	0.0613524	0.0189633	0.000701174	0.0158158	0.00108947	0.0503447	0.00829015	0.181937	0.0262584	0.6699244	10	13.97154	0.2406667	0.356632	0.707351	1.07977	1.85624	0.17424	0.141713	0.14848	0.0839708	0.407735	0.0438614	0.7881612	0.849984
2100	-243.9648	-247.9177	3.952838	1.516524	4.5168	0.0204641	0.0720251	0.0173083	0.0439774	0.0314574	0.086602	0.115222	0.0144036	0.0212771	0.0068561	0.131179	0.0831565	0.0134137	0.0691176	0.00391185	0.0032401	0.010972	0.0028675	0.00351154	0.00375546	0.0219167	0.0191403	0.0226669	0.0253521	0.151895	0.0127642	0.0105732	0.0812307	0.135994	0.011755	0.0776702	0.278519	0.0457472	0.0732587	0.00153663	0.0654654	0.0187435	0.0172135	0.00921119	0.213009	0.0536447	0.00483226	0.0473593	0.176423	0.0195825	0.00741313	0.0559566	0.0540967	0.06254262	0.03785826	0.0827103	0.0304205	0.252785	0.00556003	0.056472	0.0644902	0.0786176	0.0140674	0.11828	0.133366	0.0164047	0.11312	0.00465499	0.00802682	0.0210245	0.4844449	11	13.29171	0.1144873	0.48068	0.791377	1.08402	1.64392	0.212951	0.197915	0.139189	0.0662608	0.290542	0.0931422	0.5223032	0.9275167
2200	-264.1905	-247.7803	-16.41017	2.608907	4.513687	0.0892604	0.119325	0.189428	0.203952	0.134069	0.239983	0.0961339	0.0841706	0.082399	0.116945	0.0837407	0.125617	0.00197857	0.0642303	0.00762166	0.00179228	0.0762149	0.0304022	0.0342923	0.430152	0.0390935	0.02215	0.0588284	0.00280074	0.0149889	0.0930805	0.270756	0.057166	0.15036	0.00328728	0.00710125	0.0279261	0.000179714	0.0374256	0.0614298	0.0937217	0.00644592	0.0151354	0.00584036	0.615159	0.0902192	0.0226141	0.0556151	0.00838368	0.0125217	0.00144927	0.242198	0.0208362	0.1053015	0.155244	0.0755842	0.0417804	0.213049	0.00733477	0.0142007	0.0338364	0.137859	0.0776906	0.0974661	0.0432129	0.00292104	0.174488	0.00215146	0.0679747	0.010451	0.4529205	10	13.35651	0.1792147	0.480533	0.791289	1.08403	1.64415	0.145776	0.229262	0.158951	0.114159	0.28805	0.0638023	0.6081645	0.7447336
2300	-210.6957	-247.8127	37.11696	2.440869	1.826366	0.0322804	0.00593965	0.00686393	0.0477862	0.0225099	0.113575	0.0199976	0.0119487	0.0299045	0.000862787	0.0412577	0.111796	0.000818492	0.0487923	0.0231991	0.00344231	0.00431589	0.00628393	0.0340219	0.00774238	0.0389571	0.00645305	0.0120674	0.0209061	0.014699	0.00302889	0.0317298	0.0258429	0.0249705	0.00316851	0.0226403	0.00199145	0.0120391	0.0172266	0.174913	0.0652241	0.0130583	0.00155446	0.093114	0.0178121	0.00224159	0.0102571	0.0176122	0.0243883	0.043442	0.0237967	0.0779198	0.0226483	0.03445801	0.0794185	0.0545652	0.0312144	0.284107	0.00205514	0.0234564	0.091192	0.0164984	0.0254599	0.0383658	0.0518106	0.000183773	0.085447	0.022404	0.238915	0.0343254	0.5255309	8	14.51424	0.1996473	0.271628	0.635181	1.06497	2.02822	0.126537	0.169901	0.223166	0.0775664	0.319733	0.0830969	0.6049494	0.8687188
2400	-237.7381	-251.2145	13.4764	2.85654	2.126211	0.0930549	0.0783219	0.0057191	0.0298623	0.00718043	0.00327961	0.0872307	0.00613407	0.000508864	0.0447341	0.0165052	0.00492716	0.0067125	0.0132635	0.00012551	0.068987	0.0469466	0.142258	0.0415155	0.0489864	0.0307677	0.0552547	0.140854	0.0948991	0.018272	0.00842903	0.149104	0.011403	0.0669229	0.0138676	0.0145223	0.0465602	0.025331	0.000737386	0.0368166	0.0297778	0.044355	0.0153085	0.0865295	0.0729635	0.00115783	0.016461	0.0139351	0.0157445	0.0198701	0.0712274	0.00135218	0.00166181	0.03925042	-0.0400026	0.0263029	0.00743288	0.0872725	0.000475954	0.0165286	0.0316338	0.101007	0.00404957	0.130173	0.23963	0.0103531	0.228439	0.00231045	0.10403	0.0103608	0.3945545	7	20.26799	0.1113303	0.307889	0.667797	1.07285	1.95146	0.160917	0.181436	0.133151	0.0991176	0.351278	0.0740995	0.3545519	1.112826
