Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
1400	-254.9133	-247.5394	-7.373964	18.98673	2.863018	0.1596395	0.1127522	0.0618807	0.0401262	0.0256539	0.0306672	0.0550515	0.0765944	0.0426048	0.00524751	0.138159	0.123309	0.137034	0.0829653	0.155029	0.0219739	0.00370368	0.03724191	18.98673	0.378379	0.72365	1.08175	1.81622	0.199687	0.233032	0.0846077	0.11049	0.246921	0.125263	0.1499942	0.2482891
1500	-254.3118	-245.6469	-8.664868	33.04194	1.825549	0.06902092	0.04380856	0.0853735	0.0978052	0.00753876	0.0694904	0.000958755	0.0068805	0.0109927	0.000878551	0.154561	0.0159649	0.181075	0.0110654	0.19845	0.0930275	0.0659383	0.01850406	33.04194	0.271522	0.635081	1.06494	2.02846	0.254336	0.254636	0.0757494	0.0974609	0.164636	0.153181	0.06231262	0.2969552
1600	-257.9369	-249.9137	-8.023257	24.564	1.99341	0.2123154	0.09282217	0.0326614	0.0357435	0.140562	0.113882	0.0157377	0.00668508	0.00948942	0.0220521	0.067783	0.150652	0.0836418	0.00179678	0.299178	0.0110965	0.00903994	0.001704307	24.564	0.292487	0.654311	1.06982	1.98338	0.207464	0.195543	0.0649015	0.0947574	0.211903	0.225432	0.09452648	0.01802994
1700	-258.6462	-248.6903	-9.955868	29.60307	1.29788	0.144425	0.08071508	0.0143639	0.0421232	0.0737656	0.0271773	0.00333509	0.0170408	0.0306489	0.00896902	0.122124	0.14458	0.121025	0.0359478	0.256122	0.0820902	0.0206878	0.04021513	29.60307	0.192345	0.551048	1.03596	2.22064	0.303246	0.1136	0.134684	0.0507513	0.258297	0.139421	0.1209302	0.3325482
1800	-264.3297	-255.2772	-9.052468	28.44576	0.6451022	0.4176488	0.04040618	0.086393	0.102976	0.00825584	0.0631119	0.0349317	0.0316812	0.0819435	0.0255761	0.181023	0.00953526	0.267935	0.0132378	0.0332477	0.0531803	0.0069715	0.02309474	28.44576	0.062524	0.336434	0.902693	2.69835	0.179411	0.25537	0.128483	0.108883	0.187873	0.139979	0.06350092	0.3636914
1900	-262.7302	-248.5446	-14.18559	65.2287	3.185231	0.04081013	0.02223383	0.00624577	0.082061	0.120222	0.00994615	0.0232402	4.31995e-05	0.0713642	0.0164151	0.12715	0.0342264	0.107752	0.0432844	0.0992712	0.148919	0.10986	0.02536717	65.2287	0.403103	0.741294	1.08329	1.77231	0.242813	0.283375	0.113542	0.0940586	0.187521	0.0786899	0.047601	0.5329126
2000	-262.5547	-248.1424	-14.4123	50.85142	3.622618	0.03952963	0.01546747	0.00662172	0.0774883	0.140775	0.0755948	0.0201856	0.00777805	0.0200164	0.00525559	0.0368777	0.00619379	0.136844	0.159719	0.165087	0.0808287	0.0607341	0.008623669	50.85142	0.432347	0.761057	1.08424	1.72235	0.250742	0.237479	0.168373	0.0850148	0.131706	0.126685	0.02409114	0.3579602
2100	-267.4863	-247.4947	-19.99157	136.288	2.364386	0.01782663	0.007521519	0.0167055	0.07861	0.0823897	0.00856972	0.00499046	0.0390276	0.0333576	0.00115763	0.232214	0.137732	0.130836	0.0221436	0.1842	0.00797749	0.0200887	0.005407964	136.288	0.33321	0.688901	1.07691	1.90098	0.272154	0.205151	0.0990175	0.110598	0.206638	0.106442	0.01292948	0.4182661
2200	-254.3759	-245.7274	-8.648477	32.68997	1.990853	0.1563116	0.06361648	0.0669791	0.13099	0.0200115	0.00300095	0.014484	0.000288931	0.041968	0.00166934	0.0500167	0.127197	0.280829	0.00576539	0.0586372	0.154859	0.0433045	0.01768406	32.68997	0.29218	0.654038	1.06976	1.98402	0.17645	0.235207	0.0790643	0.113738	0.209668	0.185872	0.08130054	0.2175147
2300	-259.9328	-249.4393	-10.4935	47.17726	0.8278211	0.06214231	0.02903288	0.0779643	0.113123	0.00568465	0.00615449	0.0170276	0.0189204	0.0043352	0.0190364	0.358819	0.0673645	0.039358	0.00666937	0.160736	0.0539574	0.0508496	0.002436109	47.17726	0.101464	0.418098	0.964375	2.51606	0.180165	0.197205	0.100392	0.149922	0.247663	0.124654	0.03146899	0.077413
2400	-262.7613	-248.8222	-13.93914	66.42784	2.030076	0.05337089	0.03950526	0.0112149	0.0357225	0.144639	0.0285151	0.00870545	0.00451478	0.0429071	0.00195172	0.308241	0.0472817	0.127769	0.0241832	0.0702815	0.0828134	0.0612591	0.003761452	66.42784	0.296839	0.658174	1.07072	1.97426	0.211791	0.192219	0.100951	0.105531	0.266664	0.122845	0.04326671	0.08693639
2500	-257.9257	-239.6485	-18.27724	95.36568	3.625292	0.05338135	0.01674112	0.0202581	0.077881	0.0187007	0.00209844	0.00305798	0.00108423	0.0530003	0.000728919	0.317326	0.0426907	0.2146	0.0466306	0.154947	0.0172112	0.0297837	0.02890485	95.36568	0.432513	0.761166	1.08424	1.72208	0.295064	0.237644	0.0741206	0.0769905	0.205799	0.110382	0.04564597	0.6332399
2600	-252.8122	-244.1702	-8.641913	15.00853	5.52467	0.1876264	0.06661238	0.0289514	0.242007	0.0557058	0.0349418	0.010186	0.000718992	0.0547153	0.0083613	0.0625785	0.0961112	0.0323174	0.00633539	0.26634	0.0972446	0.00348572	0.01991387	15.00853	0.52251	0.815536	1.08229	1.57966	0.213923	0.269338	0.129027	0.075309	0.197617	0.114786	0.08652624	0.2301483
2700	-253.2368	-245.5565	-7.680275	24.24045	2.209417	0.06313946	0.07261743	0.0654015	0.0315454	0.0239241	0.0603542	0.025835	0.00180573	0.00225995	0.000930569	0.129342	0.114347	0.0847752	0.117223	0.142594	0.199532	0.000130973	0.00233304	24.24045	0.317054	0.675582	1.07444	1.93292	0.202086	0.218985	0.146262	0.110502	0.221106	0.101059	0.07495047	0.03112775
2800	-255.488	-244.5305	-10.95744	37.56554	1.818447	0.09497051	0.01464944	0.0403845	0.174412	0.139055	0.0187672	0.00959631	0.0141492	0.00959936	0.00692697	0.112148	0.0766503	0.0509289	0.0694388	0.233014	0.00876981	0.0361604	0.01555987	37.56554	0.270595	0.634206	1.0647	2.03049	0.318435	0.203639	0.0746331	0.100726	0.168875	0.133692	0.03020931	0.5150687
2900	-255.4101	-248.1374	-7.27264	13.38279	2.327946	0.2304975	0.1776599	0.0423299	0.0605581	0.0634989	0.0292743	0.00961233	0.00166544	0.0852517	0.0596045	0.175294	0.0150223	0.162074	0.0189507	0.198742	0.0594933	0.0186292	0.04967039	13.38279	0.329513	0.685897	1.07638	1.90821	0.248054	0.260029	0.104711	0.0992445	0.186607	0.101354	0.2273303	0.2184944
3000	-260.6797	-249.252	-11.42768	51.23145	2.600965	0.15265	0.03377686	0.0115191	0.183227	0.001273	0.0122617	0.111505	0.0310976	0.00879755	0.00167095	0.0723828	0.0806435	0.00744236	0.0237295	0.279505	0.158787	0.0161578	0.0263719	51.23145	0.355825	0.706731	1.07969	1.85776	0.222316	0.171432	0.103482	0.148569	0.281443	0.0727582	0.06014876	0.4384446
3100	-263.7209	-241.9618	-21.75905	183.5418	3.732792	0.01914152	0.01734772	0.0321255	0.0976006	0.00346861	0.0423831	0.00427397	0.00686159	0.00221673	0.000852271	0.116605	0.14431	0.19622	0.0778909	0.16294	0.101185	0.0110656	0.001925088	183.5418	0.439052	0.765431	1.08434	1.71118	0.224398	0.279594	0.0911149	0.143015	0.158588	0.103289	0.0192728	0.09988622
3200	-264.6972	-253.3346	-11.36263	28.26478	3.152325	0.06820836	0.03025392	0.0218068	0.13079	0.0297773	0.0575045	0.0492207	0.00060652	0.00745371	0.0301015	0.148524	0.112617	0.072067	0.0729132	0.106274	0.157212	0.0031326	0.05336787	28.26478	0.400713	0.739628	1.08317	1.77649	0.198065	0.320603	0.0521651	0.156922	0.172501	0.0997443	0.08362179	0.6382053
3300	-255.3741	-248.4984	-6.875623	21.11238	1.363536	0.2394351	0.06093985	0.0142827	0.0810859	0.0365065	0.0364707	0.0199947	0.00109679	0.00931537	0.00494122	0.115216	0.11642	0.103943	0.0487416	0.34807	0.0388771	0.0250384	0.006671745	21.11238	0.203451	0.564145	1.04129	2.19111	0.193648	0.209856	0.133959	0.132601	0.255136	0.0747991	0.0676116	0.09867752
3400	-264.3504	-256.99	-7.360381	23.68875	2.12712	0.03760931	0.08122244	0.0413944	0.0700684	0.0414645	0.139266	0.00844743	0.00409586	0.0203773	0.00688049	0.0901041	0.0687277	0.114928	0.0213689	0.234281	0.0442736	0.0943221	0.0002342393	23.68875	0.307991	0.667885	1.07287	1.95126	0.17597	0.366341	0.0955811	0.0620393	0.16943	0.130638	0.08145668	0.00287563
3500	-250.3046	-243.0241	-7.280571	29.89553	1.316948	0.1738005	0.05060842	0.0157989	0.200304	0.0101952	0.00369879	0.0025623	0.0204028	0.00105814	0.00343609	0.0889843	0.0109386	0.210317	0.00448908	0.345007	0.0164885	0.0663197	0.000164531	29.89553	0.19561	0.554952	1.03758	2.21186	0.294124	0.239765	0.108709	0.071141	0.125318	0.160943	0.05077295	0.003240526
3600	-276.4968	-250.6052	-25.89165	448.8546	1.473486	0.01175756	0.002277004	0.00943197	0.17574	0.0744247	0.0330632	0.0760607	0.00106614	0.0247538	0.00673266	0.152198	0.0679894	0.10656	0.0104997	0.0873714	0.170961	0.00314686	0.0003417586	448.8546	0.221198	0.584083	1.04883	2.14589	0.33079	0.206651	0.0971691	0.0514357	0.204862	0.109091	0.002618763	0.1305038
3700	-259.3712	-251.8775	-7.4937	25.37713	2.193418	0.1303603	0.04604039	0.0245647	0.0124579	0.0487668	0.0532203	0.000880698	0.0117782	0.0228912	0.00745174	0.206029	0.101883	0.180135	0.0122034	0.233641	0.0820359	0.00206085	0.01045256	25.37713	0.315319	0.674122	1.07415	1.93641	0.184197	0.169657	0.138049	0.11494	0.24564	0.147517	0.05649295	0.1850241
3800	-262.9015	-251.3842	-11.51728	33.50973	3.596598	0.04773199	0.03200802	0.0625229	0.0890377	0.0369224	0.0295517	0.20061	0.0296864	0.00407472	0.00213839	0.134564	0.0339495	0.0538858	0.00677975	0.177099	0.0697302	0.0694473	0.02728032	33.50973	0.430728	0.759992	1.08421	1.72507	0.198349	0.258369	0.117222	0.0962179	0.245272	0.0845704	0.05928834	0.4601296
