Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-209.9549	-234.4295	24.47467	12.53894	3.047945	0.162886	0.0330727	0.0166234	0.023116	0.0218223	0.147323	0.151437	0.0242377	0.107982	0.00646968	0.00907536	0.0201847	0.0745694	0.00525196	0.04904661	0.04536099	0.0301774	0.04111	0.0842312	0.115915	0.104254	0.013096	4.182e-05	0.016824	0.0489836	0.0632975	0.0100459	0.00785436	0.103538	0.171018	0.189613	0.03292554	12.53894	0.392937	0.734148	1.08274	1.79017	0.080174	0.202326	0.245445	0.0291446	0.310648	0.132262	0.07828653	0.4205773
100	-206.0265	-234.4684	28.44193	27.59614	1.659412	0.000976269	0.0435534	0.0343445	0.00148597	0.0770079	0.0114283	0.0742095	0.061126	0.0289139	0.0178658	0.0807459	0.0239788	0.00871964	0.033064	0.03914235	0.01348733	0.0854444	0.00584504	0.0376816	0.167991	0.0313436	0.0239395	0.108139	0.0178845	0.103529	0.134744	0.00347954	0.0210738	0.0172593	0.114569	0.127078	0.01128212	27.59614	0.248931	0.613105	1.05856	2.07941	0.178773	0.22535	0.214655	0.0621359	0.228309	0.0907769	0.02476945	0.4554851
200	-203.9335	-235.8866	31.95312	18.27831	0.9608907	0.0460782	0.00365981	0.0167165	0.0150744	0.0311216	0.0330818	0.123226	0.00578336	0.0337111	0.000683646	0.0335077	0.108349	0.000814892	0.0540023	0.03388129	0.05122643	0.038038	0.0711321	0.117872	0.0244576	0.033581	0.00794505	0.000188621	0.220961	0.0859758	0.115427	0.016595	0.0692069	0.00860467	0.153267	0.0367486	0.01123187	18.27831	0.129086	0.464672	0.993205	2.41304	0.174916	0.178577	0.268661	0.0501288	0.235225	0.0924923	0.0624583	0.1798299
300	-221.3856	-232.4474	11.06184	10.60591	1.444096	0.0170547	0.193742	0.0156854	0.0246697	0.0613006	0.156954	0.135486	0.282887	0.0754772	0.0905884	0.466022	0.391762	0.390567	0.0499456	0.1338976	0.2018972	0.0392176	0.0607516	0.182015	0.0485394	0.106155	0.00475138	0.021206	0.0038162	0.0781825	0.0395133	0.014555	0.0394996	0.0730192	0.0859232	0.202854	0.04886886	10.60591	0.216556	0.578979	1.04696	2.1575	0.123968	0.192924	0.273282	0.0514764	0.224003	0.134346	0.2507661	0.1948783
400	-209.4958	-237.2359	27.74008	31.81085	0.6828938	0.00434543	0.0449577	0.0613787	0.0870937	0.135838	0.0109554	0.0675952	0.0546543	0.0150193	0.00411984	0.00380449	0.00593179	0.0694069	0.0532602	0.04138106	0.03025978	0.285666	0.00991129	0.0566916	0.139001	0.146793	0.00127094	0.0321743	0.012159	0.0381411	0.153019	0.00313526	0.0527642	0.0158787	0.00832408	0.0450701	0.001035338	31.81085	0.0705387	0.355346	0.918361	2.65575	0.137732	0.268333	0.198635	0.0862662	0.202356	0.106678	0.03129512	0.03308305
500	-221.9049	-232.9329	11.028	15.53411	0.9737317	0.0722778	0.154396	0.0141314	0.132668	0.170058	0.134535	0.214518	0.323079	0.240905	0.0849439	0.0778999	0.0734761	0.058582	0.120716	0.1276347	0.004556395	0.210575	0.0433386	0.0406222	0.107593	0.188726	0.00718373	0.0185425	0.00654715	0.162278	0.0259622	0.0180386	0.0179699	0.0126403	0.112451	0.0275311	0.1380788	15.53411	0.131683	0.468711	0.995507	2.4041	0.173744	0.162182	0.22652	0.0872354	0.253298	0.0970201	0.1426352	0.9680556
600	-228.3519	-233.971	5.619099	34.99655	0.6480351	0.120261	0.0289307	0.0027635	0.0771905	0.0425589	0.000857134	0.652844	0.0680998	0.030031	0.0677136	0.231488	0.0495691	0.00182404	0.0287757	0.15322	-0.03979888	0.0643025	0.111122	0.0655301	0.0757385	0.0925279	0.0566378	0.0213381	0.0620079	0.0816325	0.0761611	0.00181854	0.000952009	0.0530361	0.0908099	0.146385	0.0732136	34.99655	0.0631428	0.337944	0.903977	2.69494	0.0868844	0.188582	0.216677	0.0613055	0.322763	0.123788	0.03341472	2.191058
700	-212.4771	-232.4995	20.02244	11.51069	1.740537	0.257086	0.128911	0.0307394	0.0438432	0.0618098	0.000953938	0.142911	0.142852	0.159841	0.0177968	0.0764717	0.0313808	0.0726734	0.083209	0.1283088	0.09109945	0.0181086	0.00903497	0.0502356	0.0416054	0.100829	0.0303963	0.0716842	0.0830266	0.270799	0.152782	0.000163266	0.00517455	0.0578167	0.0685876	0.0397555	0.01049867	11.51069	0.260205	0.624245	1.0619	2.05365	0.132741	0.129381	0.22733	0.0974203	0.330226	0.0829014	0.1015981	0.1033353
800	-219.5944	-234.75	15.15559	95.65842	0.6270578	0.147582	0.0257921	0.222407	0.0511583	0.0808811	0.0136241	0.0293942	0.0292333	0.0132933	0.0465735	0.233261	0.021581	0.023848	0.0114704	0.06249957	0.008509072	0.266218	0.00541598	0.0649861	0.0259533	0.121476	0.00168789	0.0583568	0.0781501	0.128098	0.070946	0.0146185	0.0105523	0.0768702	0.0037751	0.0728953	0.001433922	95.65842	0.0587323	0.326982	0.894519	2.71977	0.130137	0.162812	0.265372	0.0538838	0.268132	0.119664	0.009942994	0.1442143
900	-224.2157	-233.8943	9.678575	7.288458	0.8385169	0.302278	0.0865023	0.29902	0.475973	0.0379321	0.297411	0.065623	0.3323	0.111192	0.0601326	0.0846442	0.345829	0.205248	0.0928205	0.1606388	0.1070226	0.0191146	0.115611	0.0525586	0.0749779	0.0922278	0.0127438	0.0217169	0.117425	0.036205	0.113782	0.0106978	0.062961	0.0116259	0.0647519	0.193601	0.05643787	7.288458	0.103724	0.422191	0.967081	2.507	0.198405	0.189731	0.173122	0.124888	0.215946	0.0979086	0.1634605	0.3452692
