Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
10	0	-211.6724	-249.0802	37.40781	723.221	3.250414	0.0046691	0.00308192	0.0171208	0.00311594	0.00222509	0.00129252	0.00122869	0.00445821	0.000167691	0.00349248	0.00148362	0.0023457	0.0123773	0.00369951	0.00902456	0.000545802	0.00575432	0.002961269	0.00922117	0.0639949	0.041082	0.0956531	0.0556573	0.0124876	0.0640942	0.0141558	0.030864	0.164448	0.1522	0.0465347	0.0977199	0.13818	0.0137068	0.00227636	723.221	0.407752	0.744514	1.0835	1.76423	0.287488	0.189655	0.118799	0.10157	0.169503	0.132985	0.005237629	0.4346165
11	0	-244.9622	-237.5811	-7.381066	537.6635	4.305112	0.0492587	0.060515	0.260834	0.00643874	0.0452018	0.00859078	0.168113	0.0776561	0.0331614	0.0353622	0.215786	0.204237	0.147201	0.0145911	0.00369742	0.125613	0.06702347	-0.006116199	0.0639375	0.0253965	0.343476	0.0382214	0.00899956	0.00614439	0.0391771	0.00967748	0.0599905	0.0441325	0.195294	0.0265269	0.114526	0.0202967	0.00420388	0.03424669	537.6635	0.470377	0.785141	1.08424	1.66024	0.253734	0.212454	0.111673	0.0632875	0.162385	0.196466	0.02813049	1.217422
12	0	-233.644	-243.4673	9.823306	97.01388	2.123201	0.0401531	0.17583	0.0239095	0.205892	0.0103336	0.00786097	0.119952	0.0408616	0.0189812	0.156347	0.0284169	0.0550533	0.03034	0.0130683	0.178849	0.11705	0.0697486	0.006366688	0.143468	0.07144	0.182957	0.0950483	0.046435	0.00578363	0.0739247	0.0219237	0.000946367	0.016802	0.035951	0.0157929	0.113507	0.145521	0.0304984	0.01018886	97.01388	0.307551	0.667506	1.07279	1.95216	0.279789	0.102782	0.128304	0.0811017	0.218083	0.189941	0.01655555	0.6154349
13	0	-246.3393	-247.3202	0.9808923	60.88394	1.413528	0.00964702	0.115332	0.120966	0.0332356	0.0238297	0.00519325	0.488889	0.0396444	0.272781	0.251934	0.236322	0.235246	0.0462999	0.195412	0.0391663	0.018369	0.1867437	0.001047235	0.0511726	0.0395192	0.173966	0.0833916	0.0607449	0.0308898	0.0273851	0.0166117	0.0323014	0.0300788	0.0825245	0.141659	0.0418805	0.154101	0.0337738	0.03507849	60.88394	0.21165	0.5735	1.04491	2.16994	0.282243	0.20743	0.0986045	0.104314	0.188614	0.118794	0.03612573	0.9710114
14	0	-237.4328	-241.4812	4.048422	60.78219	4.783018	0.231875	0.00268868	0.119557	0.0163373	0.104344	0.0996512	0.0323488	0.228288	0.00922902	0.15689	0.00816091	0.165198	0.192856	0.158543	0.0855738	0.0568	0.1251888	0.02798603	0.026318	0.00448246	0.0957951	0.0997003	0.0670879	0.00239538	0.0168572	0.0125981	0.00984259	0.0855474	0.09473	0.000167736	0.299777	0.103508	0.0811938	0.01415299	60.78219	0.492808	0.798569	1.08366	1.62496	0.328205	0.158046	0.118752	0.0726577	0.16367	0.158669	0.04213902	0.3358642
15	0	-227.8187	-247.5527	19.73398	420.2997	4.585851	0.0304612	0.000512718	0.0552968	0.0047708	0.036606	0.00722319	0.000927014	0.0101804	0.00477824	0.0170506	0.0565285	0.0332054	0.00567829	0.0209781	0.0128716	0.000293095	0.02108482	0.002933878	0.00448618	0.185773	0.187498	0.0533651	0.0602448	0.0373837	0.0626564	0.00286175	0.0164942	0.0230992	0.00883655	0.0302375	0.183435	0.0217692	0.121859	0.0003672935	420.2997	0.483911	0.793308	1.08394	1.63884	0.23901	0.264785	0.0859908	0.112797	0.171668	0.12575	0.003301172	0.1112616
16	0	-227.5345	-250.1141	22.5796	453.5628	2.250922	0.00884632	0.0161631	0.0243506	0.0325072	0.00747592	0.00452132	0.0612883	0.00329303	0.000473537	0.00312831	0.0112418	0.0117714	0.00448775	0.0164624	0.0394751	0.020207	0.02246204	0.002527718	0.0580219	0.0184006	0.0434305	0.0291419	0.140369	0.0199217	0.0858532	0.0154731	0.0109091	0.0334666	0.0132096	0.0806465	0.227822	0.159052	0.0642822	0.005127539	453.5628	0.321494	0.679293	1.07516	1.92405	0.195104	0.182022	0.13187	0.087653	0.219839	0.183512	0.007655257	0.6698063
17	0	-229.6355	-250.4698	20.83432	103.5596	1.744546	0.0122236	0.0359812	0.000487663	0.10598	0.0616365	0.0145721	0.104696	0.0177671	0.0351098	0.0350585	0.0399819	0.0273307	0.0304417	0.0105293	0.045229	0.0222788	0.03941095	0.0234448	0.0302614	0.0226298	0.111177	0.0581758	0.149782	0.0515617	0.0814975	0.000402273	0.0828258	0.00443294	0.0675767	0.126468	0.199341	0.00860922	0.00525992	0.002405632	103.5596	0.26075	0.624774	1.06205	2.05242	0.216534	0.222902	0.177855	0.0938994	0.125968	0.162841	0.02585043	0.09305965
18	0	-241.0965	-259.2972	18.20069	53.72135	2.456239	0.0158578	0.0787081	0.054164	0.0248847	0.0797469	0.0657248	0.117102	0.00352897	0.0773186	0.00147025	0.0542062	0.0163924	0.00590072	0.0711484	0.0228149	0.0383809	0.04256241	0.03029415	0.0286053	0.0665736	0.00905169	0.00715424	0.0620234	0.00118587	0.0755268	0.0216018	0.0447981	0.0777634	0.0433414	0.0337124	0.409116	0.0596268	0.0599191	0.02345508	53.72135	0.342268	0.696152	1.07811	1.88347	0.181784	0.183617	0.119251	0.164282	0.191998	0.159067	0.05374923	0.4363797
19	0	-238.4203	-243.037	4.616659	256.4214	3.747651	0.00807236	0.00250725	0.123629	0.108196	0.0359797	0.000121546	0.0424779	0.00438535	0.0114052	0.251385	0.193962	0.0653306	0.0681722	0.050974	0.0537471	0.0403774	0.06007383	0.008666665	0.0150726	0.1155	0.0972927	0.0138861	0.00752569	0.00285606	0.103683	0.00281909	0.0766922	0.0676899	0.1287	0.0111936	0.247961	0.0697259	0.0394029	0.003100384	256.4214	0.439938	0.766004	1.08435	1.70971	0.329531	0.201631	0.114058	0.0861404	0.198893	0.0697463	0.01176705	0.2634802
