Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-130.5081	-121.9732	-8.534896	20.12904	0.4891365	0.00407055	0.0200057	0.0331467	0.0318771	0.0289396	0.0333461	0.0589425	0.0236736	0.178616	0.0527127	0.04908709	0.03479961	0.00885426	0.0279716	0.0699189	0.0520666	0.143636	0.0686143	0.10582	0.0908998	0.04685	0.0537264	0.00755868	0.021961	0.134342	0.00690861	0.160871	0.08992938	0	53.2059	0.04187784	0.0313923	0.244765	0.8122	2.91164	0.125535	0.181386	0.0620667	0.43847	0.0905846	0.101957	0.124729	0.7209982
100	-135.3412	-123.7206	-11.62064	16.28388	2.404603	0.000250716	0.109442	0.0899128	0.0224386	0.106897	0.047556	0.0773045	0.0315739	0.0699508	0.0902663	0.1128284	-0.02388997	0.0114779	0.319841	0.147261	0.0190521	0.0327092	0.10707	0.0290065	0.0649337	0.0139857	0.0832981	0.0959601	0.000903062	0.0177412	0.0252593	0.0315018	0.1649215	0	56.48235	0.03864496	0.337221	0.69213	1.07746	1.89319	0.136824	0.225831	0.0515109	0.492396	0.0620941	0.0313442	0.1410316	1.169394
200	-134.0802	-122.0366	-12.04362	15.75113	0.9725496	0.120988	0.0258032	0.0533779	0.0519283	0.0982631	0.230745	0.271539	0.0221726	0.0799638	0.117262	0.1029238	-0.07728254	0.115285	0.065158	0.0830109	0.0475678	0.0369985	0.106962	0.0456627	0.106266	0.131343	0.108653	0.0552315	0.00283232	0.00343963	0.0413219	0.0502676	0.1880609	0	51.56563	0.0997013	0.131445	0.468343	0.995298	2.40491	0.0413347	0.16297	0.0369677	0.609236	0.0247922	0.1247	0.1107784	1.697632
300	-141.4547	-122.3134	-19.14133	6.954985	0.1782629	0.165606	0.071659	0.00576788	0.170666	0.249793	0.0883075	0.136357	0.347223	0.639357	0.258005	0.1918816	-0.08366613	0.0139359	0.395547	0.0104671	0.113555	0.0173865	0.0714101	0.0326426	0.134722	0.0231158	0.0465779	0.0258852	0.0893519	0.000820248	0.0121586	0.0124242	0.1976408	0	53.52473	0.09851473	0.000228818	0.022251	0.324604	3.65292	0.0796522	0.133717	0.0829304	0.588472	0.0512394	0.0639893	0.1139746	1.734077
400	-130.1297	-117.9079	-12.22175	11.41962	0.5827985	0.0470359	0.256926	0.112879	0.0291991	0.0765403	0.226894	0.00660326	0.179637	0.234341	0.0793559	0.1246225	0.04540225	0.161921	0.0706488	0.118489	0.109915	0.0579249	0.0506053	0.00532868	0.0225189	0.0055113	0.169414	0.012866	0.0667714	0.0135762	0.0191253	0.115385	0.2000533	0	51.11111	0.04186455	0.0495807	0.302574	0.872283	2.77556	0.101111	0.233501	0.0350197	0.51064	0.0489884	0.0707397	0.2454556	0.8150286
500	-145.2813	-120.2577	-25.02363	13.12981	0.1551269	0.0914864	0.621581	0.0146293	0.0681262	0.714724	0.142401	0.709447	0.388949	0.504094	0.201133	0.3046508	0.02095356	0.0568431	0.205346	0.0448416	0.00959863	0.141887	0.118365	0.0317204	0.00909756	0.0208329	0.0222251	0.0895606	0.0474433	0.0843007	0.00750374	0.110435	0.2982132	0	54.45289	0.04444181	7.19845e-05	0.0125248	0.25723	3.73017	0.119454	0.199412	0.0934902	0.421077	0.0356964	0.13087	0.3191668	0.9343492
600	-136.3861	-121.8371	-14.54904	24.85116	2.020932	0.122878	0.0143109	0.0113762	0.0333017	0.0489049	0.0854616	0.357293	0.0276579	0.047878	0.00147535	0.05989997	-0.04129827	0.118072	0.0120242	0.15143	0.272976	0.0681454	0.0144638	0.0574813	0.00270798	0.0460846	0.105902	0.00047953	0.0336974	0.0321759	0.0486957	0.0356639	0.2214959	0	55.69416	0.02506309	0.295761	0.657221	1.0705	1.97651	0.175372	0.129229	0.0256825	0.541174	0.0573943	0.071148	0.1801976	1.229183
700	-134.9905	-117.5399	-17.45057	33.33148	0.3079011	0.0809569	0.105177	0.0535619	0.0306181	0.256905	0.0144194	0.000513279	0.0279113	0.111182	0.0243092	0.05755303	-0.1230606	0.0666713	0.126282	0.108212	0.0424888	0.102074	0.0282015	0.0469716	0.0278851	0.0333846	0.106297	0.065102	0.0200584	0.00555218	0.167639	0.053181	0.1814578	0	56.35299	0.04112986	0.00595809	0.110654	0.608836	3.27455	0.0794814	0.251972	0.0447614	0.474059	0.0626457	0.0870801	0.05839718	3.107304
800	-136.1123	-123.2749	-12.83736	10.26325	2.297164	0.116832	0.0496306	0.00872634	0.0517206	0.220173	0.0187533	0.102213	0.147821	0.00391071	0.0806883	0.1067626	0.01913839	0.0468812	0.129252	0.0420472	0.0657172	0.0220952	0.21385	0.092004	0.00249982	0.0251113	0.0418758	0.106729	0.103849	0.0435131	0.0597642	0.00481053	0.1789398	0	51.11805	0.04371569	0.326342	0.683301	1.07591	1.91444	0.215711	0.192067	0.0557544	0.434785	0.059117	0.0425653	0.1980782	0.9033796
900	-134.786	-122.5904	-12.19555	25.14988	1.505862	0.38733	0.0592946	0.047581	0.026988	0.069837	0.0039305	0.0357214	0.00416081	0.00847126	0.0183679	0.07057038	-0.1020236	0.166729	0.0186047	0.0167894	0.16065	0.0584797	0.0186715	0.060985	0.0289898	0.0625617	0.238642	0.0278545	0.0395597	0.0078024	0.0352452	0.0584347	0.1697411	0	53.43851	0.06243948	0.226227	0.589529	1.05076	2.13348	0.120594	0.138876	0.061374	0.549987	0.080896	0.0482733	0.06771752	2.506605
1000	-132.4801	-119.4171	-13.06303	16.03312	1.459443	0.0468674	0.083477	0.175743	0.250762	0.0802725	0.0426757	0.272491	0.0469124	0.00517524	0.0348126	0.05701908	-0.03989511	0.115601	0.12301	0.0405875	0.00395711	0.0528519	0.00281007	0.166482	0.0293174	0.0146415	0.266068	0.00654239	0.0957258	0.00353313	0.0579305	0.020942	0.1410504	0	61.26611	0.04369568	0.218989	0.581664	1.04795	2.1514	0.0665047	0.118163	0.099849	0.495162	0.149118	0.0712031	0.1011553	1.394395
1100	-129.5018	-122.2286	-7.273263	18.20958	6.026992	0.0397969	0.0914336	0.031084	0.00388024	0.00408407	0.0322366	0.095501	0.00206231	0.00404997	0.0127145	0.04951661	-0.03760913	0.0369723	0.184108	0.082095	0.00143356	0.0422846	0.0644957	0.0839152	0.0258169	0.00399726	0.146518	0.0825895	0.0186768	0.109482	0.0456592	0.0719564	0.1621594	0	59.82403	0.04302282	0.539847	0.82504	1.0812	1.55392	0.0903161	0.204921	0.0773736	0.462788	0.0304556	0.134146	0.1245502	1.30196
1200	-131.1756	-118.7016	-12.47395	18.56438	2.153657	0.0269578	0.114396	0.0311656	0.0433204	0.179732	0.0909422	0.080079	0.038657	0.0216765	0.065012	0.1118277	-0.01307993	0.105732	0.113807	0.153123	0.110456	0.00394055	0.161101	0.02697	0.0190818	0.0207562	0.10982	0.0381012	0.122613	0.00717987	0.00708821	0.000229705	0.1651554	0	56.06568	0.05944665	0.310952	0.670418	1.0734	1.94523	0.0629899	0.103634	0.0659523	0.551813	0.0626885	0.152922	0.1520755	1.086009
1300	-145.39	-120.3972	-24.99281	11.83725	0.2123791	0.274604	0.00545733	0.315075	0.0536015	0.151552	0.31774	0.137493	0.802367	0.182932	0.11638	0.1944483	-0.08659456	0.0404839	0.222337	0.0466744	0.0126877	0.00833178	0.0264255	0.0407395	0.00338663	0.0488653	0.0218675	0.0458027	0.0993109	0.0906601	0.138042	0.154385	0.2042361	0	59.1797	0.01591977	0.000794352	0.0412083	0.415187	3.54281	0.0819602	0.195056	0.0417385	0.582624	0.0356465	0.0629754	0.1176415	1.736089
1400	-139.8926	-119.2941	-20.59849	18.83318	0.1939872	0.316964	0.480722	0.0750651	0.00147553	0.0599986	0.0540756	0.306088	0.244489	0.580489	0.168609	0.1845758	0.001051648	0.00409202	0.115183	0.027215	0.0127682	0.0350656	0.118571	0.0903109	0.015907	0.0265705	0.0488105	0.0669612	0.0696381	0.0255169	0.0877786	0.255611	0.1868937	0	58.07628	0.02963575	0.000428848	0.0303803	0.367784	3.60141	0.168631	0.1562	0.0508231	0.494586	0.041849	0.087911	0.1879453	0.9944045
1500	-140.7188	-123.5346	-17.18426	6.843144	0.3853855	0.0702548	0.162935	0.126439	0.167639	0.203013	0.102233	0.0244622	0.130086	0.245621	0.156662	0.1320617	0.07257419	0.0780815	0.0614682	0.0484315	0.100267	0.113989	0.00958092	0.22908	0.0269093	0.0461924	0.0538016	0.0666459	0.00076089	0.013995	0.0777173	0.073079	0.3581129	0	50.34544	0.07182105	0.0146637	0.170757	0.714969	3.09961	0.0781385	0.142147	0.0843486	0.420428	0.124194	0.150744	0.4306871	0.8314921
1600	-132.736	-121.6037	-11.13229	20.64174	0.2549671	0.111326	0.159017	0.203785	0.0195588	0.0181231	0.0740503	0.193312	0.00523412	0.0172028	0.0659357	0.07944095	0.04285507	0.070098	0.127034	0.030664	0.0102262	0.177032	0.0114483	0.0704362	0.0415137	0.0593901	0.197647	0.00120236	0.0694806	0.00407722	0.0420511	0.0876994	0.1165227	0	64.12996	0.05642615	0.00235138	0.0702998	0.511844	3.4155	0.120675	0.171012	0.0974094	0.449677	0.066873	0.0943531	0.1593778	0.7311102
1700	-126.3915	-117.0299	-9.361589	32.92087	0.5662572	0.120929	0.0192888	0.0129149	0.0664805	0.0725368	0.0241632	0.00749083	0.0229439	0.0841434	0.0408135	0.03957076	0.0528954	0.00225861	0.0533455	0.0757718	0.0870662	0.108685	0.00387651	0.117187	0.0733233	0.0474061	0.14194	0.00378968	0.0963436	0.00813087	0.129201	0.0516746	0.05832601	0	51.79209	0.1047462	0.0462319	0.292987	0.863077	2.7977	0.0827267	0.180139	0.0542397	0.527907	0.0484216	0.106566	0.1112214	0.5244135
1800	-139.3136	-118.9647	-20.34888	16.66321	0.6123126	0.0797775	0.0913593	0.757254	0.248925	0.495582	0.0658937	0.116038	0.139624	0.000696022	0.0934225	0.2453252	0.02138421	0.166772	0.0172692	0.0540113	0.185696	0.048473	0.0180525	0.108287	0.0313587	0.137126	0.0486851	0.08286	0.0301612	0.000941282	0.00130784	0.0689988	0.1233001	0	54.43534	0.04183518	0.0556571	0.319047	0.887473	2.73782	0.1207	0.17697	0.0794235	0.503393	0.02722	0.092293	0.1446843	0.8522009
1900	-131.9885	-122.1309	-9.857591	12.53158	0.6983199	0.0315103	0.0306195	0.119355	0.0240711	0.0391937	0.0724543	0.180504	0.100882	0.0204321	0.020226	0.07328696	0.07866437	0.0946609	0.157287	0.042914	0.0442868	0.0016795	0.112456	0.170919	0.00633519	0.0654817	0.0713708	0.0289976	0.042035	0.00597396	0.0755343	0.0800691	0.07228852	0	51.96017	0.02945642	0.0738294	0.362736	0.924244	2.63919	0.0732777	0.24193	0.119332	0.465375	0.069784	0.0303013	0.1509529	0.4788813
2000	-134.7376	-120.9299	-13.80771	18.18176	0.361544	0.179547	0.0181908	0.0590399	0.0965742	0.106835	0.119362	0.187736	0.0191832	0.0532875	0.312781	0.1910532	0.06722925	0.0658759	0.0458979	0.166108	0.00702012	0.00563288	0.00396401	0.0869746	0.0604326	0.0489475	0.38289	0.018544	0.00795288	0.0505295	0.0281068	0.0211233	0.07794856	0	53.88914	0.03788038	0.0115797	0.152504	0.686073	3.14984	0.116027	0.218045	0.0452601	0.469465	0.0210028	0.1302	0.1451778	0.5369178
2100	-133.8011	-118.9489	-14.85223	15.46426	0.3117963	0.00581208	0.36861	0.141104	0.0475988	0.0169158	0.038909	0.160023	0.0217057	0.0396308	0.148706	0.06339794	-0.03973078	0.0905468	0.0174319	0.17123	0.0213942	0.0311442	0.0890903	0.0725893	0.016388	0.0403798	0.208502	0.0622585	0.0988502	0.0409993	0.0328333	0.00636237	0.1168763	0	50.07226	0.06866332	0.00630089	0.113698	0.615092	3.26491	0.0821984	0.195363	0.0541692	0.54113	0.0581651	0.0689738	0.07714549	1.515011
2200	-135.8075	-120.0855	-15.72206	7.710501	0.2183273	0.011146	0.4026	0.139254	0.126422	0.302095	0.0825031	0.13219	0.302574	0.387365	0.170944	0.1905848	0.1059791	0.134252	0.0358353	0.104368	0.0137381	0.183893	0.0207211	0.0517416	0.00542579	0.0761704	0.10756	0.0259684	0.0587517	0.00679577	0.0121439	0.162635	0.1131172	0	50.3998	0.06420752	0.000948237	0.0449721	0.42978	3.5243	0.0862819	0.152882	0.0893801	0.494913	0.0325194	0.144024	0.2190964	0.5162899
2300	-134.163	-122.2026	-11.96037	6.406934	0.4221601	0.141016	0.109745	0.0507178	0.00339343	0.102177	0.196971	0.115719	0.0074183	0.19872	0.360531	0.1222838	-0.007377871	0.0823701	0.0481288	0.148818	0.0122989	0.0261499	0.147581	0.0121829	0.0569862	0.0580968	0.249819	0.0791965	0.00141404	0.0260923	0.0484382	0.00242804	0.1251737	0	54.13502	0.06344171	0.0200369	0.198107	0.754188	3.02767	0.112909	0.261917	0.0926475	0.398465	0.0849148	0.0491465	0.1177959	1.062633
2400	-146.474	-127.3791	-19.09495	13.63606	1.845536	0.351791	0.14278	0.157471	0.344848	0.255341	0.13257	0.226537	0.147732	0.176797	0.655995	0.2457979	-0.01326225	0.1744	0.0260308	0.0963314	0.0839778	0.10156	0.0330801	0.0625299	0.0585363	0.00179689	0.0565784	0.13706	0.0535896	0.0179435	0.000215765	0.096369	0.1490392	0	52.02668	0.0757397	0.274112	0.637514	1.0656	2.02278	0.0844508	0.279397	0.103823	0.339579	0.019613	0.173138	0.135777	1.097677
2500	-125.498	-117.3068	-8.191193	10.65131	3.752631	0.0450529	0.0594171	0.018673	0.0211828	0.0290317	0.247482	0.0298096	0.191565	0.0459651	0.0655132	0.07902159	0.009164366	0.089349	0.144323	0.104062	0.00203492	0.0744962	0.0331099	0.100633	0.00333839	0.0200238	0.162132	0.12517	0.028933	0.0883638	0.00242759	0.0216042	0.09851795	0	51.13824	0.08697837	0.440234	0.766196	1.08435	1.70922	0.0867896	0.190981	0.0447787	0.552898	0.0607856	0.0637673	0.1076823	0.9148944
2600	-137.6134	-127.4332	-10.18026	22.99577	0.217479	0.161214	0.0210067	0.0305617	0.0734664	0.0239724	0.0316485	0.134639	0.0608714	0.10853	0.0210733	0.07163347	-0.01364793	0.123043	0.20663	0.0608251	0.0519928	0.1168	0.0317694	0.0386867	0.101547	0.0367989	0.0261755	0.00651258	0.00475084	0.0520856	0.108569	0.0338133	0.05300873	0	55.20328	0.03656303	0.00092514	0.0444283	0.427721	3.52693	0.0710292	0.224183	0.0511715	0.555064	0.0575474	0.0410051	0.0393608	1.346739
2700	-129.3423	-120.7317	-8.610657	9.95487	0.9436354	0.149666	0.110077	0.00212691	0.041784	0.0648048	0.0282359	0.0233974	0.00479639	0.0278549	0.105457	0.07168687	0.05640905	0.0051866	0.00601012	0.0606644	0.0427345	0.103035	0.00652623	0.0385712	0.148715	0.0330057	0.0464808	0.0530857	0.281386	0.0958476	0.00710679	0.0716449	0.02806418	0	55.51116	0.04269285	0.125575	0.459129	0.989994	2.4253	0.0647107	0.190911	0.0908605	0.567947	0.017323	0.0682479	0.08447323	0.3322257
2800	-136.1797	-123.4555	-12.7242	11.07418	0.2305637	0.124709	0.489406	0.0186951	0.0337708	0.356087	0.121573	0.174114	0.155791	0.0539969	0.0585529	0.09412825	-0.00649457	0.102812	0.174151	0.032793	0.082334	0.069982	0.0133407	0.0276137	0.0655374	0.0610393	0.0170631	0.013011	0.0698	0.0971761	0.162522	0.010824	0.206347	0	50.04211	0.07293413	0.0013262	0.0530581	0.458667	3.48695	0.0563282	0.171168	0.137863	0.523105	0.0433972	0.0681389	0.1998524	1.032497
