Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
10	0	-598.5374	-513.2247	-85.31271	36.72216	2.905851	0.208678	0.0040143	0.0859391	0.201026	0.110553	0.138549	0.01522	0.787431	0.0930534	0.262709	0.0135239	0.00347095	0.0766231	0.162067	0.0905967	0.190709	0.132301	0.0630571	0.0761509	0.10993	0.626607	0.378499	0.136303	0.0259778	0.0380191	0.0414911	0.0316526	0.0175124	0.43654	0.736955	0.0198833	0.0187462	0.0962569	0.0159654	0.0714037	0.700001	0.076783	0.186622	0.1600919	0.04297177	0.132687	0.0705331	0.121467	0.0270884	0.220513	0.0159409	0.0214277	0.00345195	0.0783262	0.0346814	0.119705	0.0118512	0.0717455	0.0682181	0.00236328	0.1594032	3	61.44203	0.05422006	0.381845	0.726178	1.08201	1.80997	0.067613	0.110088	0.0838851	0.339144	0.193459	0.20581	0.202375	0.7876626
11	0	-587.1678	-506.4634	-80.70438	23.361	2.440739	0.00619061	0.24049	0.0180687	0.744021	0.278926	0.0402203	0.171757	0.0746868	0.112844	0.0177735	0.114471	0.037399	0.00550856	0.00285454	0.277074	0.198361	0.252847	0.324173	0.101773	0.0239792	0.538217	0.113622	0.00993324	0.174367	0.253609	0.0559837	0.125036	0.108793	0.216985	0.348022	0.356547	0.43038	0.000515322	0.0119195	0.0855864	0.0308508	0.212959	0.0347984	0.1419691	-0.01089735	0.051326	0.0843752	0.0417708	0.110745	0.254679	0.0259533	0.0201344	0.00981844	0.0120946	0.025595	0.160532	0.101526	0.0621878	0.0165593	0.0227035	0.2344347	5	53.26752	0.05552794	0.340765	0.694959	1.07792	1.88635	0.0820727	0.0988149	0.116908	0.422332	0.142116	0.137756	0.2235374	1.04875
12	0	-576.7054	-498.0934	-78.61201	29.40091	4.270977	0.0156852	0.052096	0.0227952	0.607107	0.286081	0.0447373	0.00107944	0.00614534	0.0739356	0.0706792	0.0253518	0.320769	0.0666132	0.044283	0.082838	0.0316748	0.0187961	0.426655	0.0506448	0.0671998	0.206646	0.0187843	0.27637	0.124894	0.0529459	0.103508	0.253285	0.102895	0.0357551	0.0944111	0.21131	0.401198	0.125011	0.00236672	0.166843	0.0528998	0.181395	0.0260997	0.1463145	-0.03170697	0.0478745	0.0171355	0.031014	0.0137437	0.0849624	0.0991595	0.00533637	0.00363354	0.0499815	0.0188758	0.411873	0.0292566	0.122346	0.0259307	0.038877	0.4095899	3	55.86406	0.0249814	0.468656	0.784088	1.08427	1.66299	0.110063	0.163785	0.0985334	0.308046	0.103819	0.215754	0.3778829	1.083907
13	0	-560.4429	-502.8473	-57.59562	24.52048	3.047121	0.0469137	0.176882	0.152397	0.00919219	0.0266582	0.011399	0.040732	0.105954	0.267926	0.00986704	0.013619	0.000264657	0.0215279	0.12692	0.0917688	0.0781323	2.13529e-05	0.0792569	0.108222	0.255518	0.0361635	0.061645	0.169619	0.144347	0.0492732	0.00814527	0.0356706	0.0326178	0.0525049	0.0174676	0.109398	0.0766443	0.0131487	0.0227401	0.0308276	0.211431	0.0252174	0.0509684	0.07982304	0.009133407	0.157239	0.0585479	0.0391255	0.013432	0.0494493	0.0487315	0.0102323	0.0101284	0.0621464	0.0492973	0.282664	0.0904165	0.0699677	0.0453493	0.0132731	0.4309448	3	52.69582	0.03107961	0.392875	0.734104	1.08274	1.79028	0.126266	0.125886	0.0664014	0.308172	0.145832	0.227444	0.4400782	0.9792459
14	0	-569.4148	-496.9316	-72.48318	33.06573	2.121613	0.0119565	0.274766	0.00225518	0.46702	0.000403389	0.12686	0.0898528	0.0775043	0.124553	0.0321559	0.0120356	0.0727686	0.164409	0.0159551	0.183425	0.0521501	0.0412211	0.388326	0.181615	0.17464	0.0914252	0.0236462	0.185908	0.116627	0.0764535	0.0146846	0.648647	0.0654789	0.0279713	0.0851569	0.287126	0.189735	0.0921648	0.171104	0.40233	0.30744	0.263554	0.020082	0.1399834	-0.03167435	0.0799448	0.143465	0.122598	0.00333784	0.068373	0.0341197	0.00266909	0.00295768	0.0229388	0.0745569	0.245015	0.0584894	0.112853	0.0240568	0.00462505	0.35009	5	51.40852	0.04113849	0.307372	0.667353	1.07275	1.95252	0.117107	0.120439	0.0692474	0.239699	0.143293	0.310215	0.3184156	1.099475
15	0	-579.6062	-493.7419	-85.86429	35.67493	7.088523	0.00429424	0.658532	0.136889	0.558991	0.256174	0.139088	0.259946	0.147724	0.0434281	0.117761	0.0112003	0.043193	0.133833	0.0446216	0.0310811	0.32623	0.0406214	0.221516	0.388482	0.701918	0.0377116	0.326019	0.0194158	0.0472242	0.0237343	0.104899	0.178021	0.00614625	0.0484449	0.395007	0.0905563	0.0195164	0.00289436	0.0416648	0.645946	0.025444	0.147624	0.0367829	0.204088	-0.0162794	0.0643464	0.0785862	0.0769059	0.00618329	0.15897	0.0343747	0.00279176	0.0168346	0.0177685	0.034201	0.215622	0.11831	0.136539	0.0231318	0.0154353	0.2822807	3	50.73135	0.07228473	0.570935	0.841389	1.07875	1.50893	0.112217	0.108012	0.121621	0.298998	0.161004	0.198148	0.2660013	1.0612
16	0	-566.9531	-486.4763	-80.47686	42.16414	3.343752	0.0115145	0.0498924	0.0500607	0.185958	0.0346515	0.0431445	0.0953701	0.0363704	0.103652	0.0230309	0.00180948	0.185321	0.0634999	0.025629	0.00320712	0.0923204	0.0583904	0.394378	0.142285	0.0986277	0.0157354	0.155285	0.130859	0.276787	0.0595789	0.223375	0.118182	0.132526	0.00751096	0.319474	0.347128	0.142007	0.167202	0.208441	0.336868	0.543713	0.103596	0.168585	0.1421181	-0.05522253	0.0583639	0.0620749	0.0453847	0.00812044	0.0906865	0.05994	0.00298887	0.0672683	0.0182431	0.0194384	0.368352	0.093164	0.0852001	0.0194714	0.00130377	0.394791	3	59.56339	0.03682237	0.414223	0.748944	1.08376	1.75308	0.129319	0.0674715	0.0987678	0.356136	0.155249	0.193057	0.3395684	1.162626
17	0	-604.5938	-512.8778	-91.71598	16.64741	2.508975	0.131766	0.756393	0.164707	0.176071	0.0207347	0.0381141	0.239269	0.109632	0.119297	0.0142684	0.795501	0.150377	0.171413	0.0505107	0.246232	0.132348	0.00486324	0.13838	0.645364	0.224666	0.0373426	0.0743258	0.1619	0.0978686	0.515642	0.230968	0.0880032	0.0632112	0.672321	0.341374	0.222737	0.0250964	0.432464	0.0511778	0.529702	0.103572	0.322561	0.281438	0.2610261	0.03213492	0.104178	0.27453	0.0490711	0.00340362	0.017033	0.0409897	0.0366597	0.0391641	0.0457789	0.0791688	0.0837752	0.0940577	0.0802352	0.0452492	0.00670677	0.2988911	4	50.90301	0.03744411	0.347306	0.700121	1.07873	1.87384	0.140974	0.055955	0.129805	0.276541	0.17659	0.220134	0.331026	0.9029233
18	0	-569.7534	-486.0351	-83.71829	28.8398	5.654064	0.337153	0.302752	0.158762	0.0477538	0.724981	0.00150609	0.146208	0.0858622	0.23138	0.0518691	0.0158301	0.00375146	0.0304686	0.469153	0.318861	0.907206	0.0399721	0.0604933	0.192048	0.185441	0.0162179	0.496938	0.0483328	0.0159258	0.202495	0.00587789	0.179642	0.657038	0.332006	0.0431764	0.103882	0.286315	0.0828731	0.00945855	0.0019657	0.354607	0.237291	0.42168	0.1918284	0.03333998	0.0507653	0.0934456	0.0577398	0.00128329	0.158996	0.0713572	0.0036778	0.00906885	0.0459531	0.00308914	0.307849	0.0457416	0.106908	0.02035	0.0237749	0.2809276	5	51.04631	0.05108224	0.527167	0.818117	1.08202	1.5727	0.109125	0.122003	0.0610213	0.347354	0.173034	0.187463	0.3142676	0.8939121
19	0	-583.7682	-504.919	-78.84927	29.06991	2.920415	0.00906913	0.310383	0.130983	0.122063	0.139514	0.065583	0.148696	0.0259934	0.0675727	0.136009	0.0840402	0.228455	0.11104	0.0651012	0.240085	0.0817658	0.0443534	0.314721	0.300512	0.119659	0.0588242	0.289583	0.0220371	0.154577	0.108953	0.0257383	0.143059	0.0598253	0.202687	0.253405	0.116812	0.0870509	0.00506391	0.0232191	0.525654	0.111852	0.211009	0.488481	0.109883	-0.03395607	0.0423559	0.119376	0.110965	0.00124717	0.130131	0.0255785	0.00857403	0.0144039	0.026676	0.0486996	0.330429	0.0806033	0.0287857	0.0318713	0.000303178	0.2231561	6	53.65823	0.05306536	0.38301	0.727024	1.08209	1.80787	0.124791	0.131216	0.117912	0.30842	0.137369	0.180292	0.1892	1.179472
