Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
1000	-434.1697	-311.4862	-122.6835	8.663153	4.05885	0.0631803	0.00263186	0.642089	0.0532961	0.495675	0.0337652	0.0106129	0.0101213	0.183005	0.0752679	0.36423	1.40998	0.0931184	0.22763	0.773014	0.00449721	0.0775403	0.100327	0.628331	0.062782	0.0108099	0.0449659	0.140616	0.0129982	0.118788	0.526241	0.0799517	0.379297	0.272041	0.352011	0.0910203	0.668846	0.0350929	0.110523	0.118886	0.185006	0.540914	0.012659	0.0333225	0.115455	0.00131543	0.492142	0.0162705	0.0837654	0.1998289	-0.2237842	0.136687	0.0870738	0.0298672	0.0145714	0.0374164	0.00590339	0.117543	0.0111856	0.017037	0.00393775	0.292879	0.000156563	0.113308	0.116824	0.0156103	0.485014	11	50.16842	0.2164692	0.457566	0.77722	1.08439	1.68083	0.162223	0.369196	0.0779222	0.115122	0.157072	0.118465	0.2612298	1.856656
1100	-424.9871	-310.7992	-114.188	9.836915	6.676801	0.193857	0.480396	0.84331	0.0293953	0.187838	0.0170018	0.0801001	0.0198085	0.244316	0.035673	0.0450944	0.213939	0.054379	0.0363176	0.0238677	0.448931	0.329986	0.152633	0.0240996	0.273696	0.209913	0.202969	0.039186	0.0829017	0.67565	0.0115503	0.0928759	0.0751524	0.1887	0.0317873	0.0702479	0.00625578	0.06687	0.392357	0.0323056	0.172402	0.484377	0.147753	0.00621563	0.218521	0.402447	0.249772	0.00185013	0.0706604	0.1804535	0.0008801256	0.188086	0.154053	0.00869415	0.0129425	0.00358513	0.0252906	0.144966	0.00771913	0.0639653	0.10213	0.116609	0.00221342	0.0432232	0.100139	0.0263841	0.3123016	12	50.58586	0.2894774	0.559657	0.835557	1.07971	1.52508	0.161787	0.172675	0.135326	0.108167	0.266126	0.155918	0.3131817	0.9971897
1200	-424.3242	-319.8321	-104.4921	7.840328	2.720825	0.326023	0.26484	0.260959	0.107853	0.0557195	0.108899	0.0317225	0.00492634	0.333114	0.0560897	0.021908	0.294011	0.073683	0.588405	0.028555	0.972435	0.175239	0.227054	0.034705	0.23966	0.0169412	0.0554795	0.0647332	0.0379483	0.413926	0.0192214	0.00589054	0.0244687	0.311125	0.53724	0.00853763	0.00926612	0.116094	0.331646	0.0539053	0.0574324	0.00356489	0.107435	0.16052	0.171605	0.0499801	0.00946534	0.0412373	0.095714	0.1279162	-0.07642399	0.088004	0.055768	0.0225629	0.000720494	0.0477533	0.00828156	0.192659	0.00562773	0.14933	0.0379842	0.161449	0.0526755	0.0576082	0.0707163	0.0488593	0.3049802	12	50.91798	0.1838091	0.366441	0.714797	1.08074	1.83802	0.186606	0.381408	0.0572205	0.0441225	0.210297	0.120347	0.2285562	1.334377
1300	-426.0398	-308.3349	-117.7049	11.19787	5.106213	0.0401982	0.0968689	0.503686	0.191496	0.01739	0.0868191	0.0106389	0.00508016	0.100244	0.511391	0.213889	0.332465	0.0392834	0.617932	0.295547	0.960077	0.00854051	0.0632657	0.00784723	0.481614	0.0261874	0.225926	0.0430187	0.330351	0.546228	0.142591	0.0360305	0.0364149	0.0357849	0.129632	0.0529137	0.00130548	0.0230019	0.227246	0.00980039	0.246611	0.0724194	0.00675514	0.0199693	0.0283624	0.129004	0.188741	0.0766423	0.142956	0.1542391	-0.01557532	0.0951787	0.068524	0.0416134	0.0226177	0.0174143	0.0312587	0.0341482	0.00755651	0.0401222	0.190382	0.15392	0.0136246	0.211329	0.0471675	0.0251422	0.2688879	11	53.89494	0.1306013	0.50643	0.806461	1.08311	1.604	0.259435	0.201739	0.130455	0.0976401	0.151446	0.159285	0.2533126	1.061487
1400	-405.6217	-302.1404	-103.4813	11.53177	4.31168	0.0866954	0.00551992	0.00224721	0.0387001	0.0451291	0.27477	0.0175093	0.0442646	0.151785	0.0861746	0.0599293	0.736796	0.0180176	0.158154	0.0207389	0.000455134	0.0533683	0.0270938	0.465399	0.0379804	0.0324041	0.134228	0.0466256	0.139809	0.0501152	0.0139988	0.070742	0.72025	0.000189757	0.0654524	0.0124587	0.0876844	0.220865	0.12766	0.250112	0.0904052	0.285752	0.0270252	0.130249	0.136358	0.0946023	0.488279	0.00835015	0.0251197	0.1412665	-0.05255368	0.112206	0.0126447	0.0365258	0.0314316	0.00751193	0.00126876	0.106194	0.00706099	0.0675953	0.171546	0.169001	0.00230342	0.0884087	0.176337	0.00996416	0.3590621	9	51.84373	0.1621076	0.470706	0.785342	1.08424	1.65972	0.209003	0.229707	0.208365	0.0579885	0.152571	0.142366	0.3065084	1.171459
1500	-420.9272	-314.8791	-106.0481	8.229569	2.261228	0.0931419	0.0223293	0.0297685	0.0779934	0.00187029	0.0700269	0.399453	0.653334	0.341801	0.0387072	0.0586264	0.020407	0.139	0.32386	0.081943	0.0869126	0.203036	0.248565	0.123693	0.0575828	0.114067	0.10999	0.142291	0.136659	0.0304816	0.0635426	0.271968	0.455164	0.0169396	0.0898158	0.222068	0.0527426	0.00108898	0.0636341	0.291671	0.420389	0.059662	0.0658205	0.0113588	0.198498	0.110568	0.159239	0.135158	0.0595375	0.1202723	-0.01454497	0.114204	0.0443093	0.115028	0.058341	0.0354724	0.0205164	0.086747	0.000696036	0.0417391	0.00698312	0.291318	0.00890027	0.0985951	0.0603912	0.0167593	0.3357862	10	54.71025	0.1916741	0.322583	0.680198	1.07534	1.92188	0.196527	0.309136	0.112019	0.0759124	0.132348	0.174058	0.3212412	1.045277
1600	-446.5317	-326.3083	-120.2235	6.651239	4.77825	0.019674	0.149073	0.185505	0.188719	0.230089	0.0450278	0.00475356	0.0039852	0.302034	0.059942	0.103643	0.565793	0.230823	0.0639922	0.0652454	0.725614	0.457706	0.0860129	0.0624832	0.236503	0.0603981	0.32171	0.108927	0.278879	0.400664	0.0203468	0.210118	0.088667	0.420512	0.142835	0.0216026	0.0460827	0.141805	0.0779599	0.0359854	0.0729822	0.475629	0.0463906	0.110582	0.265503	0.330247	0.0313712	0.532722	0.0226876	0.2043861	-0.09749291	0.146264	0.0245182	0.0186846	0.0203238	0.0346524	0.0333426	0.0206117	0.0025508	0.0953042	0.12335	0.313682	0.106126	0.00972415	0.0160235	0.0348416	0.5188373	9	52.81188	0.2651714	0.492599	0.798446	1.08367	1.62529	0.189064	0.326434	0.0776907	0.141432	0.117999	0.147379	0.4213444	1.231385
1700	-419.4609	-311.084	-108.3768	9.082855	2.602685	0.182245	0.232475	0.415728	0.235254	0.216648	0.0334927	0.0147274	0.0347421	0.150431	0.122222	0.0552868	0.717218	0.0963864	0.24054	0.0993786	0.661526	0.0554617	0.00380119	0.334647	0.233721	0.0155919	0.118315	0.0222461	0.0441137	0.413326	0.0832762	0.0180155	0.117582	0.386837	1.03897	0.0157436	0.0949174	0.0310812	0.0742906	0.00369316	0.0934213	0.054353	0.268556	0.124699	0.047684	0.174148	0.203471	0.0133571	0.199342	0.1951047	-0.1209161	0.117744	0.0755303	0.0213989	0.0172877	0.169008	0.00756684	0.138231	0.00500038	0.0112132	0.122634	0.164146	0.023863	0.0178454	0.0938912	0.0146411	0.2846886	12	50.03581	0.1768819	0.355981	0.706851	1.0797	1.85746	0.216096	0.324917	0.11302	0.0556999	0.153887	0.13638	0.1637725	1.738317
1800	-416.6458	-299.4029	-117.2429	7.561741	4.978597	0.083747	0.509248	0.657811	0.0139846	0.0358039	0.0145534	0.0333235	0.0381198	0.245497	0.175461	0.047871	0.471484	0.0571558	0.0346316	0.028031	1.04701	0.00864666	0.381478	0.0216867	0.156155	0.191265	0.177452	0.00697839	0.120381	0.315276	0.0499962	0.0348347	0.00246288	0.324667	0.160272	0.072708	0.00430284	0.00198197	0.0249868	0.00484339	0.836587	0.0671465	0.0335476	0.0182959	1.03682	0.0334876	0.234136	0.128297	0.0670298	0.1666871	-0.1461786	0.118414	0.00314524	0.0498217	0.0716472	0.0139508	0.00221286	0.098083	0.00102218	0.0453383	0.0686331	0.25836	0.0109747	0.224782	0.025836	0.00777857	0.4565263	9	50.90141	0.2272973	0.501186	0.803446	1.08334	1.61203	0.188529	0.280071	0.108344	0.0910855	0.167734	0.164238	0.3103477	1.471016
1900	-440.2669	-308.2948	-131.9721	15.96609	1.415242	0.185683	0.0942523	0.18221	0.929859	0.00279992	0.00931493	0.0360091	0.00787825	0.0924021	0.33901	0.0941949	0.0111435	0.013409	0.390824	0.704725	0.529177	1.13122	0.123311	0.0172825	0.0720781	0.157013	0.0874711	0.487889	0.40965	0.0360204	0.825695	0.036465	0.112951	0.0359298	0.077187	0.294731	0.322147	0.0945558	0.085811	0.665246	0.572568	0.000321993	0.0203115	0.000133462	0.485984	0.0699237	0.0211731	0.325391	0.429628	0.2484881	-0.07504509	0.162157	0.0562704	0.0359883	0.00762814	0.00483474	0.0241474	0.135266	0.00133454	0.0359829	0.0772315	0.28039	0.00538913	0.0989313	0.0174979	0.056951	0.3436407	11	50.66672	0.1432003	0.211927	0.573812	1.04503	2.16923	0.189858	0.319814	0.089659	0.0760302	0.184532	0.140105	0.2685956	1.279398
