Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-567.4916	-482.66	-84.8316	21.27594	4.974543	0.0815265	0.000892664	0.338298	0.0491598	0.0165674	0.0576456	0.238195	0.0632471	0.0406599	0.0485132	0.0849633	0.0994808	0.132165	0.698987	0.274781	0.141175	0.048571	0.477222	0.020752	0.0418034	0.0349582	0.10788	0.615225	0.0500452	0.0923403	0.000688498	0.0507723	0.102802	0.0595697	0.244821	0.0714947	1.04028	0.154336	0.77037	0.162313	0.00228358	0.0505096	0.326266	0.1503094	-0.01568218	0.0601942	0.122615	0.0437801	0.00526665	0.116612	0.0365808	0.000168207	0.0137221	0.0312956	0.00368059	0.388441	0.062829	0.0786189	0.0327127	0.00348282	0.1703679	5	55.2295	0.06681627	0.501017	0.803348	1.08335	1.61229	0.110519	0.149678	0.0781434	0.353081	0.130127	0.178452	0.1546857	1.101381
100	-552.1453	-499.281	-52.86434	32.94059	4.503803	0.00205153	0.0474515	0.0220859	0.0987602	0.0135647	0.0537426	0.0130534	0.015275	0.0531059	0.158989	0.0257165	0.077156	0.0703006	0.0201845	0.0424474	0.0765033	0.00858918	0.111773	0.0399154	0.0513712	0.0716361	0.026032	0.101045	0.0121133	0.0285279	0.0551033	0.0100291	0.0291288	0.0902324	0.0791445	0.122594	0.0512412	0.057326	0.142438	0.0461194	0.119768	0.0350598	0.0326458	0.04601655	0.0009777814	0.0196544	0.0375532	0.0972108	0.0235494	0.0881054	0.0256766	0.0336304	0.019638	0.0457795	0.0675606	0.308998	0.0707631	0.103407	0.0491127	0.00936081	0.3343451	3	50.32562	0.03318929	0.480065	0.791008	1.08404	1.64489	0.144355	0.102552	0.107379	0.276372	0.157328	0.212015	0.3353229	0.9970841
200	-554.9749	-487.3289	-67.64599	26.85659	4.778004	0.00163964	0.0457457	0.00317866	0.184129	0.0666173	0.0187975	0.0661362	0.15244	0.0242241	0.0271178	0.0754548	0.0627482	0.065068	0.0247071	0.00304674	0.0585116	0.0330578	0.484173	0.650731	0.0935339	0.0120771	0.0208912	0.0244436	0.129809	0.0839296	0.128927	0.0025158	0.0239855	0.320425	0.0321954	0.106267	0.0201762	0.0474454	0.0170069	0.0314531	0.205119	0.0509142	0.041474	0.08465801	-0.03492009	0.124172	0.104996	0.0736278	0.0199326	0.119536	0.0268247	0.00432676	0.0059937	0.0127997	0.0590989	0.261447	0.0895398	0.0824058	0.0122454	0.00305413	0.3027414	5	51.30232	0.04056355	0.492588	0.798439	1.08367	1.62531	0.132754	0.12708	0.0656943	0.310266	0.193849	0.170356	0.2678213	1.130386
300	-575.2738	-493.5351	-81.73871	39.67912	3.284877	0.0103078	0.00285148	0.0123785	0.133096	0.0598004	0.190951	0.0501227	0.663805	0.376014	0.00667463	0.0333941	0.272155	0.404948	0.157469	0.434497	0.182761	0.0850075	0.644134	0.222886	0.0760269	0.308566	0.00741375	0.0153005	0.221305	0.020413	0.0370588	0.0025402	0.0797618	0.0378671	0.172987	0.573177	0.00569059	0.0599469	0.143233	0.0412732	0.231163	0.0538795	0.330203	0.1772075	-0.003896575	0.0446506	0.0996628	0.0487333	0.00486247	0.168933	0.0578445	0.00520443	0.00819574	0.0216284	0.0265254	0.379427	0.0444316	0.0636756	0.0243089	0.00191594	0.3517697	5	53.56497	0.03756699	0.410167	0.746173	1.0836	1.76006	0.126139	0.119266	0.0559995	0.321206	0.17601	0.201381	0.3478732	1.011201
400	-570.2888	-499.5893	-70.69949	27.02391	4.574387	8.05578e-05	0.0352675	0.0546833	0.302476	0.163315	0.0121435	0.0271579	0.101561	0.0276183	0.048346	0.0398738	0.00159089	0.06574	0.0149289	0.0698449	0.0359203	0.0235322	0.132275	0.11737	0.0777218	0.163348	0.0213662	0.0619526	0.0303746	0.165697	0.00629113	0.393695	0.056809	0.286466	0.104241	0.101988	0.467708	0.00286581	0.00525807	0.029769	0.0694608	0.0291074	0.04312	0.1091502	0.01095083	0.0275609	0.0735822	0.0445705	0.0598922	0.193196	0.026478	0.00820714	0.0110292	0.0517973	0.0767439	0.282384	0.0814516	0.029714	0.0293886	0.00400438	0.2380927	1	54.30314	0.03536979	0.483379	0.792991	1.08395	1.63968	0.072528	0.13675	0.0705411	0.371041	0.165296	0.183845	0.2490436	0.9560285
500	-585.9981	-485.5097	-100.4883	40.82888	6.235069	0.00526964	0.538481	0.0303793	0.0553119	0.76953	0.0618476	0.323625	0.143127	0.034576	0.111289	0.0610436	0.0682376	0.204794	0.0470736	0.280133	0.404639	0.0184384	0.325912	0.206111	0.0481291	0.0843655	0.0317451	0.286643	0.124354	0.0638883	0.313762	0.0160601	0.136916	0.420445	0.0444689	0.00216017	0.112981	0.92298	0.0344316	0.186907	0.354429	0.604341	0.0626285	0.1943445	0.01365932	0.0670326	0.153249	0.0368695	0.0424618	0.115484	0.0478055	0.00602672	0.0157104	0.00705924	0.00463533	0.316833	0.0813082	0.0850587	0.0194345	0.00103159	0.2327257	4	64.66388	0.03044832	0.546485	0.828603	1.08073	1.54418	0.114637	0.0785282	0.0958427	0.359622	0.134957	0.216413	0.246385	0.9445611
600	-578.7104	-486.5424	-92.16795	24.33163	3.491786	0.00278904	0.27817	0.17665	0.326928	0.377892	0.0802484	0.375848	0.020366	0.0250289	0.20851	0.0156594	0.162167	0.068297	0.0386051	0.257544	0.207957	0.103936	0.159304	0.426973	0.188153	1.09853	0.0607047	0.694157	0.244642	0.0500158	0.183863	0.178967	0.0130871	0.47215	0.4349	0.332293	0.594384	0.095784	0.212215	0.418304	0.128056	0.298204	0.117338	0.178774	0.01187105	0.112038	0.035495	0.045495	0.0135643	0.232656	0.0324122	0.0105901	0.00106161	0.00119905	0.0278536	0.269238	0.0473409	0.141727	0.0223992	0.00692896	0.2009191	6	50.68737	0.05466047	0.424059	0.755571	1.08406	1.73631	0.132146	0.10909	0.0983169	0.305056	0.129471	0.225921	0.2127901	0.9442124
700	-577.2705	-496.2481	-81.02242	27.37755	1.759959	0.0061811	0.00199666	0.00409122	0.189773	0.00923722	0.219969	0.0708854	0.692592	0.358126	0.0501894	0.00496938	0.216446	0.0693799	0.0185474	0.714412	0.126169	0.153811	0.134763	0.223026	0.0282345	0.115895	0.171947	0.0260342	0.297649	0.00512998	0.026295	0.0261436	0.0258416	0.0418424	0.0113712	0.0630871	0.0817017	0.855703	0.20487	0.0500709	0.0405489	0.388497	0.309376	0.1905279	-0.05622315	0.0782696	0.0756142	0.0487252	0.0395695	0.151589	0.0216726	0.00891383	0.0152309	0.0040828	0.103534	0.233851	0.0571621	0.0930692	0.0612528	0.00746315	0.1851631	3	50.61675	0.06561199	0.262835	0.626792	1.06263	2.04774	0.105913	0.138219	0.0819174	0.310811	0.194805	0.168334	0.1289399	1.436041
800	-587.9542	-505.113	-82.8412	34.8605	2.280298	0.02017	0.00440909	0.105447	0.100768	0.00456157	0.0926126	0.046946	0.246806	0.174457	0.306992	0.0453734	0.0387787	0.600757	0.204928	0.267778	0.224317	0.271308	0.0975115	0.475422	0.0789674	0.113775	0.168654	0.0419266	0.23861	0.0287031	0.00704197	0.40842	0.114986	0.0408382	0.555247	0.213139	0.203533	0.0259377	0.0761761	0.456229	0.0265654	0.0906915	0.0439917	0.1429814	-0.06858964	0.0609773	0.0538228	0.0843343	0.015814	0.104013	0.0843804	0.00910521	0.0450414	0.00668211	0.0441995	0.153557	0.127046	0.118762	0.0693784	0.0228868	0.2337958	4	50.24359	0.04657796	0.324586	0.681854	1.07565	1.91791	0.148578	0.0964385	0.0554901	0.352669	0.137767	0.209058	0.1652062	1.415176
900	-573.0064	-489.2995	-83.70698	39.02986	6.89022	0.0032955	0.00221173	0.0404882	0.0941789	0.0159212	0.328419	0.0640259	0.0281607	0.0857569	0.00555689	0.110461	0.0432878	0.251884	0.351855	0.216135	0.093204	0.0414586	0.0520685	0.0671389	0.129655	0.298107	0.0963783	0.00983874	0.113736	0.119315	0.0426444	0.0429307	0.18037	0.0896327	0.218675	0.333265	0.00504788	0.316699	0.0946803	0.0669784	0.105688	0.113386	0.348863	0.1633963	0.01223233	0.0721932	0.185022	0.0453968	0.0375062	0.0577938	0.0306544	0.00832313	0.00737281	0.0198414	0.0105682	0.274169	0.140752	0.0629222	0.0440983	0.0033862	0.202667	2	53.19598	0.04496143	0.565615	0.838651	1.07921	1.51652	0.104047	0.0734434	0.0910504	0.462168	0.10892	0.16037	0.2148993	0.9430788
1000	-567.3353	-488.6194	-78.71586	30.24256	5.156992	0.0247319	0.00592776	0.0414187	0.011875	0.163553	0.319128	0.0507288	0.00812221	0.190043	0.00677467	0.229997	0.071135	0.0186046	0.0454016	0.181821	0.350647	0.0219102	0.0751359	0.0907738	0.436496	0.170588	0.326695	0.0126238	0.058719	0.0229489	0.106565	0.0575457	0.0124742	0.0504472	0.0249236	0.106246	0.108414	0.235239	0.0551703	0.009112	0.0142874	0.0381465	0.0643427	0.0856174	0.0003846656	0.0512148	0.207892	0.0718043	0.0141286	0.0596551	0.0798212	0.0113947	0.024839	0.00860258	0.00397066	0.226563	0.111547	0.0978098	0.0191851	0.0115718	0.4285865	3	57.27582	0.0187043	0.50847	0.807627	1.08302	1.60089	0.121369	0.129104	0.123556	0.265853	0.119346	0.240772	0.4289712	0.9991033
1100	-589.6168	-515.9816	-73.63516	22.32902	3.211299	0.0599348	0.0697153	0.00457577	0.143706	0.159235	0.130334	0.0446515	0.11487	0.106063	0.0464039	0.0464301	0.237223	0.0195437	0.0287392	0.273326	0.0345392	0.282038	0.156657	0.412629	0.346137	0.481495	0.0611037	0.000437081	0.470774	0.0209815	0.105982	0.0481343	0.041647	0.192952	0.00227359	0.0145542	0.218258	0.143306	0.0855539	0.119394	0.0473009	0.099027	0.290603	0.1541201	-0.03444703	0.0854965	0.00264822	0.0913577	0.0319914	0.140303	0.00582154	0.0347485	0.00325647	0.0158322	0.0107064	0.238792	0.0630543	0.0931362	0.078872	0.103984	0.300991	3	51.39109	0.05449157	0.404975	0.742594	1.08338	1.76905	0.175437	0.114583	0.134438	0.299394	0.117555	0.158592	0.266544	1.129236
1200	-563.1464	-487.2038	-75.94252	54.04862	3.312202	0.0391382	0.0945802	0.187174	0.242166	0.135336	0.00868739	0.142712	0.29992	0.0864267	0.0101961	0.039699	0.136793	0.0519824	0.0436923	0.350345	0.197227	0.00385513	0.195831	0.144271	0.152598	0.179122	0.0307258	0.026858	0.578589	0.00563425	0.0426126	0.0700372	0.0774907	0.195963	0.22083	0.0721892	0.0506433	0.0319404	0.0549248	0.315857	0.0203532	0.109798	0.150407	0.1085104	0.003424001	0.0757257	0.0682227	0.0333581	0.0628656	0.120964	0.103929	0.0169104	0.00544147	0.0312605	0.00161965	0.253538	0.0551484	0.126237	0.0362803	0.00849985	0.2109509	4	55.03049	0.03379951	0.41206	0.747469	1.08368	1.75679	0.118461	0.0834032	0.101348	0.387486	0.133127	0.176175	0.2143749	0.984028
