Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	0	-49.18318	-81.7089	32.52571	23.32826	2.272906	0.0212759	0.0189589	0.00178235	0.00228919	0.0254657	0.0638263	0.0114053	0.0727294	0.02729322	0.02428956	0.117676	0.162302	0.0570089	0.06807	0.032636	0.0716604	0.0226881	0.00113811	0.125241	0.0140208	0.146608	0.0555932	0.0367797	0.0603817	0.0281963	0.01026927	23.32826	0.323812	0.681215	1.07553	1.91945	0.0170966	0.544112	0.00646665	0.182388	0.232103	0.0178331	0.03455884	0.2971533
1	0	-48.93365	-80.03583	31.10218	28.23977	1.628071	0.0411487	0.0148121	0.0175941	0.00647394	0.00532515	0.0323862	0.0373959	0.0713825	0.0278871	0.06286679	0.0629105	0.0156148	0.0323221	0.0180167	0.062949	0.136871	0.10529	0.00884764	0.0501051	0.0373822	0.137112	0.0185551	0.00231068	0.269311	0.0424021	0.02151306	28.23977	0.244446	0.608573	1.05713	2.08985	0.0124616	0.340557	0.00490432	0.0672922	0.545667	0.0291184	0.08437985	0.254955
2	0	-46.42206	-81.45173	35.02967	25.68733	0.6024942	0.0110395	0.0377701	0.0246998	0.0032946	0.0270176	0.0219586	0.0274829	0.00153399	0.02321763	-0.01243886	0.0994161	0.0677181	0.0334612	0.015376	0.04583	0.0937578	0.135529	0.00143421	0.00499074	0.0121646	0.0665839	0.0244851	0.0163923	0.374931	0.00792975	0.04924717	25.68733	0.0536229	0.313656	0.882586	2.75014	0.0735368	0.447039	0.0261469	0.0477408	0.374455	0.0310814	0.03680831	1.337936
3	0	-55.96087	-85.12661	29.16574	6.06733	1.04037	0.0366573	0.00396514	0.0877874	0.0616655	0.0289577	0.141909	0.00315459	0.00482374	0.05743179	-0.07175987	0.118529	0.0160952	0.0748522	0.100186	0.0317945	0.128882	0.218042	0.029197	0.0155698	0.00811725	0.0961916	0.098836	0.00910984	0.0381821	0.0164146	0.1113087	6.06733	0.144938	0.488558	1.00638	2.36012	0.0613956	0.384289	0.0125084	0.0965518	0.395009	0.0502468	0.03954882	2.814463
4	0	-53.63593	-81.20111	27.56518	7.835483	2.073195	0.0709888	0.175628	0.0737667	0.0640574	0.0403696	0.0131336	0.0382372	0.0786958	0.09694445	0.1252986	0.272033	0.0422033	0.0514859	0.0300787	0.240586	0.0964207	0.0610273	0.00152768	0.084124	0.0245485	0.0149863	0.00376379	4.3098e-06	0.0548507	0.0223597	0.006678232	7.835483	0.301858	0.662578	1.07172	1.96385	0.0227439	0.432355	0.0188057	0.111799	0.386716	0.0275812	0.1319768	0.05060156
5	0	-46.05486	-83.46757	37.41271	36.68311	0.6592765	0.00227459	0.0124948	0.0155608	0.0170716	0.00836562	0.0403276	0.00523636	0.0233379	0.02249937	0.01497119	0.0026672	0.337269	0.015506	0.0321892	0.0555398	0.00674651	0.0479334	0.0231793	0.0164097	0.039352	0.212999	0.113484	0.00588804	0.0890409	0.0017956	0.007854597	36.68311	0.0655202	0.343665	0.908789	2.68203	0.0148674	0.435679	0.00658759	0.0970981	0.363635	0.0821328	0.02282578	0.3441107
6	0	-47.88126	-77.3218	29.44054	5.232297	1.858031	0.0171954	0.0327949	0.0287564	0.0546449	0.0184496	0.0152069	0.13428	0.107967	0.06333476	0.02874377	0.0937024	0.108951	0.229689	0.171795	0.0296327	0.0341034	0.0347828	0.000434597	0.0455025	0.0502878	0.0106504	0.00403248	0.000885427	0.168974	0.016577	0.09938223	5.232297	0.275718	0.639015	1.06599	2.01927	0.0121311	0.431708	0.00513553	0.103861	0.431906	0.015259	0.128126	0.7756601
7	0	-36.65743	-78.27106	41.61363	42.85085	1.418393	0.0152108	0.00313249	0.0169712	0.00258347	0.00314514	0.00058525	0.00095238	0.00760927	0.01088279	0.01781652	0.0878608	0.0961063	0.0255062	0.0779667	0.0413441	0.0278406	0.0374859	0.0010086	0.0114311	0.0413239	0.00487789	0.190869	0.00893741	0.282838	0.0646038	0.01382676	42.85085	0.212436	0.574384	1.04525	2.16793	0.0226709	0.497273	0.024597	0.0932772	0.31938	0.0428014	0.03164328	0.4369571
8	0	-70.36749	-92.41695	22.04946	3.905123	0.5439659	0.0602504	0.248719	0.124114	0.0641961	0.0579476	0.184176	0.438294	0.0615873	0.2076775	0.1753806	0.0109958	0.0920411	0.331219	0.0609692	0.179771	0.00181277	0.0681659	0.040926	0.0522195	0.0173035	0.0533479	0.0109951	0.022827	0.0452398	0.0121669	0.03250259	3.905123	0.0417981	0.279652	0.849799	2.82875	0.0345755	0.380864	0.135652	0.150522	0.219706	0.0786807	0.2078832	0.1563502
9	0	-57.4855	-81.76433	24.27883	4.344447	2.600934	0.13017	0.0459142	0.0810198	0.0470559	0.280213	0.177513	0.00958294	0.0347752	0.1318542	0.05715714	0.0233833	0.0173435	0.0977566	0.304035	0.108667	0.0232628	0.0560341	0.00163294	0.0419475	0.0162285	0.123401	0.031733	0.056037	0.0709238	0.0276144	0.005081466	4.344447	0.355822	0.706729	1.07969	1.85776	0.0780314	0.423089	0.0130615	0.11871	0.304932	0.0621769	0.06223861	0.08164491
