Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	0	-374.1909	-309.611	-64.57995	7.994122	2.241333	0.381369	0.135949	0.0419642	0.133597	0.447994	0.472654	0.0169019	0.0314276	0.0276317	0.138946	0.0108178	0.0038214	0.467493	0.0292144	0.218524	0.422112	0.0751095	0.0396985	0.0814919	2.02036	0.0165129	0.592811	0.0380986	0.263125	0.327842	0.011083	0.171811	0.0467858	0.740501	0.010341	0.51549	0.0229632	0.20022	0.0680888	0.0461308	0.0236533	0.118621	0.01269	0.392974	0.00396859	0.0112722	0.206089	0.0583268	0.0265726	0.1711375	0.1984642	0.129897	0.0330678	0.0274468	0.098958	0.0155869	0.0131085	0.190422	0.0146107	0.0618316	0.0506395	0.28037	0.01544	0.00552182	0.0622859	0.00081416	0.6025684	8	9.288137	0.1648509	0.320476	0.678446	1.075	1.92608	0.175512	0.251663	0.160594	0.0990821	0.155804	0.157345	0.8010326	0.7522395
1	0	-355.2137	-307.0538	-48.15982	5.907143	4.343808	0.190054	0.0661561	0.660329	0.559735	0.105857	0.0735055	0.0111778	0.000455345	0.0276989	0.0296426	0.0275136	0.0372815	0.526045	0.0441376	0.134406	0.0541987	0.0637596	0.013163	0.0311571	0.04285	0.10399	0.601229	0.0105255	0.514497	0.337052	0.0627651	0.5621	0.0127505	0.0718325	0.0623896	0.128698	0.0338842	0.197599	0.00683568	0.0113178	0.0869818	0.229395	0.0278749	0.053428	0.0549339	0.00421778	0.409687	0.370883	0.23532	0.1901136	0.2634614	0.131381	0.0463295	0.0355768	0.0203363	0.00262451	0.00278613	0.168736	0.0197009	0.0447976	0.0856058	0.391638	0.00551003	0.0233228	0.0151533	0.00650158	0.3709007	9	7.26018	0.1690913	0.472307	0.786318	1.08421	1.65717	0.211562	0.256322	0.0818789	0.0667476	0.139314	0.244177	0.6343621	0.584683
2	0	-358.3471	-306.0525	-52.29456	5.636239	1.801531	0.0235502	0.00612471	0.316307	0.458526	0.185604	0.852572	0.041098	0.0241454	0.0168156	0.0622672	0.351087	0.0854169	0.62388	0.0131984	0.184567	0.163851	0.249259	0.0504663	0.0134529	0.0480372	0.284419	1.23511	0.0886771	0.00253842	0.0345665	0.0874481	0.0492095	0.383192	0.0252414	0.0560057	0.00713523	0.073016	0.351096	0.0773182	0.00767181	0.120973	0.0200071	0.228711	0.226216	0.0959095	0.0590908	0.37281	0.624073	0.0148078	0.2243492	0.2626592	0.123172	0.0537113	0.0376966	0.0403649	0.000801194	0.00891568	0.151349	0.000743416	0.0822004	0.0924234	0.236676	0.00227164	0.116812	0.0282303	0.024631	0.495681	8	5.924159	0.2627113	0.268375	0.632101	1.06413	2.0354	0.260919	0.248077	0.122806	0.0537803	0.170511	0.143906	0.7583402	0.6536394
3	0	-363.3076	-314.6581	-48.64947	10.24711	2.193372	0.0324265	0.0426043	0.148423	0.318052	0.178043	0.162155	0.0441571	0.0399069	0.0160396	0.0930131	0.0146205	0.0204501	0.376714	0.0175715	0.0798794	0.0782324	0.151714	0.024275	0.111164	0.016279	0.028189	0.541834	0.208533	0.0662539	0.128786	0.214765	0.284185	0.05136	0.0307187	0.0572145	0.0279914	0.0919612	0.145774	0.00871919	0.0225974	0.0534215	0.337676	0.0824846	0.119554	0.0323214	0.34773	0.173355	0.0514704	0.0143494	0.1001298	0.1859813	0.192557	0.00951656	0.000150433	0.0622827	0.0122868	0.00653635	0.15512	0.0117208	0.0430981	0.181635	0.15264	0.0170325	0.115149	0.00912459	0.03115	0.2823869	7	13.53303	0.1077256	0.315314	0.674118	1.07415	1.93642	0.19915	0.300039	0.122097	0.0646751	0.173331	0.140707	0.4683682	0.6029164
4	0	-363.4075	-308.3318	-55.07568	8.404623	3.744264	0.0353416	0.701544	0.0507639	0.00181401	0.0509214	0.0716217	0.0777047	0.00868549	0.0608981	0.0236988	0.0230518	0.124757	0.0497739	0.21178	0.00112742	0.26958	0.0263078	0.146344	0.00383104	0.833818	0.349164	0.249988	0.190952	0.0777775	0.0319298	0.740736	0.0408925	0.100862	0.24622	0.0517198	0.131638	0.0842092	0.184603	0.0877214	0.506027	0.226919	0.134803	0.133325	0.00716107	0.210252	0.00461086	0.00959841	0.0714304	0.163912	0.1898689	0.04906228	0.0774681	0.0133738	0.0516713	0.015143	0.00307942	0.00716315	0.108167	0.00680052	0.0259946	0.327998	0.239791	0.0146693	0.000213726	0.101372	0.00709578	0.4007039	9	9.293463	0.1011909	0.439737	0.765874	1.08435	1.71004	0.249982	0.220045	0.0908253	0.0598575	0.21045	0.168841	0.4497662	0.890916
5	0	-390.5951	-319.6828	-70.91232	7.378061	2.413168	0.0292073	0.150104	0.115329	0.139812	0.0112133	0.51016	0.254094	0.0211926	0.0745677	0.0335357	0.492486	0.141894	0.0322571	0.167609	0.0557466	0.434854	0.00519268	0.389884	0.0920333	0.380991	0.273299	0.0296737	0.698435	0.125239	0.0731601	0.443957	1.30667	0.373813	0.148528	0.0119808	0.291789	0.121768	1.17576	0.0474106	0.764844	0.113864	0.314735	0.00198784	0.439002	0.481767	0.172419	0.0462587	0.124537	0.127244	0.2510235	0.2850866	0.157476	0.0340157	0.00669332	0.0207939	0.154286	0.0215238	0.118914	0.000221236	0.144461	0.0294133	0.118064	0.0513878	0.0463764	0.0951885	0.00118488	0.5039816	8	7.938131	0.2124379	0.338067	0.692807	1.07757	1.89156	0.188231	0.17973	0.179311	0.0698966	0.28114	0.101691	0.7890682	0.6387047
6	0	-381.5558	-308.2596	-73.29616	8.0315	5.790076	0.0958446	0.0369619	0.0893218	0.182919	1.33024	0.222065	0.023724	0.000762616	0.112901	0.101046	0.0648426	0.0626826	0.985753	0.0811411	0.199525	0.501097	0.0709299	0.0114816	0.0229495	0.136094	0.150629	0.6464	0.0879787	0.0449966	0.112717	0.386948	0.137646	0.26488	0.254938	0.563459	0.0794534	0.26337	0.112192	0.40304	0.249647	0.289023	0.0214889	0.00305108	0.248837	0.186385	0.0297389	0.169292	0.419981	0.0665752	0.2295101	0.1385923	0.118939	0.00700526	0.0106591	0.0330071	0.139387	0.00181923	0.163352	0.00277425	0.000535881	0.148737	0.275362	0.0321889	0.0150889	0.039064	0.0120814	0.4260944	9	16.73228	0.1433155	0.531914	0.820727	1.08172	1.56564	0.239603	0.26031	0.133978	0.0733019	0.204799	0.0880086	0.5646867	0.7545678
7	0	-378.6695	-308.0367	-70.63278	6.759946	4.932579	0.127996	0.058806	0.716304	0.411912	0.0260199	0.56499	0.0283099	0.00025935	0.00694072	0.0193757	0.0772158	0.0104057	0.403092	0.0163323	0.136383	0.00651223	0.0402917	0.045729	0.0841256	0.211328	0.0702472	1.8083	0.840337	0.0475708	0.614596	0.025359	0.130577	0.0153765	0.067611	0.205299	0.0622894	0.112354	0.663251	0.039895	0.231047	0.22683	0.378698	0.216495	0.0301236	0.0312699	0.00266689	0.0713258	0.00501776	0.130192	0.1886156	-0.2670968	0.123484	0.0150259	0.0136453	0.0178617	0.0136736	0.00690999	0.115123	0.00164594	0.0469351	0.0524487	0.254471	0.0270012	0.166116	0.102354	0.0433035	0.5797745	7	6.983536	0.2426286	0.499253	0.802327	1.08342	1.615	0.163334	0.394159	0.080108	0.0612273	0.131795	0.169376	0.3126778	1.854224
8	0	-367.3174	-303.2885	-64.02892	5.182613	2.524151	0.169154	0.0422965	0.0138821	0.450384	0.00886292	0.169468	0.0389654	0.0150705	0.194189	0.245929	0.00172643	0.00184279	1.24722	0.014714	0.150188	0.139408	0.0687042	0.0921032	0.205109	0.0139313	0.126469	0.704446	0.385371	0.44836	0.248355	0.0412138	0.0259335	0.00832936	1.27613	0.0136232	0.0275919	0.0111743	0.534722	0.352685	0.84646	0.656445	0.0782494	0.24631	0.360106	0.208847	0.170642	0.0733626	0.0764608	0.305411	0.2378037	0.3581244	0.104095	0.0142965	0.0387434	0.034944	0.0846741	0.0380438	0.0849895	0.000485329	0.0289047	0.0864113	0.392795	0.00530709	0.0224556	0.0616069	0.00224734	0.5087979	9	7.172319	0.207499	0.348734	0.701238	1.0789	1.87113	0.262469	0.294755	0.0851187	0.0811698	0.170587	0.1059	0.8669223	0.5869014
9	0	-371.7823	-302.8923	-68.89006	4.425224	2.187164	0.0326782	0.458658	0.132482	0.00503134	0.0470237	0.933926	0.00400182	0.0150193	0.0253721	0.150555	0.00698576	0.195287	0.0277371	1.08598	0.00690845	0.195475	0.00845025	0.717979	0.252434	0.988946	0.0941547	0.322685	0.301022	0.235523	0.406489	0.166917	0.222348	0.0808271	0.389171	0.482874	0.0598005	0.711277	0.0739176	0.0742702	0.581111	0.0142029	0.0675221	0.0326336	0.0974349	0.0151311	0.696995	0.0610822	2.40494	4.97734e-05	0.3416468	0.08299882	0.147556	0.00435839	0.0229612	0.0356357	0.0532125	0.00606027	0.14996	0.00525934	0.0568019	0.0974343	0.240842	0.00283779	0.000281401	0.168132	0.00866746	0.5721948	9	4.543717	0.2041741	0.314638	0.673547	1.07404	1.93778	0.272352	0.218072	0.137059	0.0684857	0.157264	0.146767	0.6551936	0.8733217
