Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
10	0	-343.1515	-308.4916	-34.65982	13.39443	2.31753	0.410746	0.0828028	0.0595053	0.0633223	0.0799732	0.0274389	0.194962	0.856089	0.124478	0.14438	0.171563	0.0306582	0.22117	0.00821423	0.15634	1.14565	0.0110953	0.0463363	0.0649913	0.101484	0.0662807	0.074689	0.171736	-0.03688681	0.0909475	0.00368404	0.0729507	0.083882	0.000611862	0.00143704	0.0477245	0.102295	0.00367857	0.00925556	0.14849	0.0811611	0.196607	0.151928	0.00534573	0.2049034	1	13.77115	0.08169557	0.328445	0.685025	1.07623	1.9103	0.175683	0.26086	0.156461	0.0720254	0.168909	0.166061	0.1680166	1.219543
11	0	-340.7286	-308.8226	-31.90597	4.993711	1.670888	0.129156	0.0309085	1.40547	0.417336	0.05332	0.771686	0.656711	0.129165	0.00857605	0.0746681	0.0588924	0.773049	0.344229	0.605434	0.202197	0.637893	0.805406	0.321154	0.18947	0.363536	0.14506	0.0857881	0.3463002	0.1096217	0.136124	0.0242906	0.0677936	0.000695743	0.000548641	0.0109244	0.0889734	0.0452483	0.0919035	0.151706	0.186677	0.0227749	0.0703209	0.0751003	0.0269191	0.2995178	3	7.473325	0.1265196	0.250555	0.614732	1.05906	2.07565	0.217355	0.249607	0.190172	0.08661	0.112215	0.144041	0.4091395	0.7320676
12	0	-383.1884	-313.9907	-69.19769	7.322555	0.5724523	5.50692	0.151909	0.119951	0.218898	0.850266	0.0395133	1.27986	1.56957	0.852958	1.80085	1.31476	0.178832	0.849072	0.229888	0.973102	0.866723	2.2212	0.530675	0.210962	2.83864	3.50954	0.11796	0.9042671	0.1044134	0.138945	0.00288583	0.00280486	0.0280585	0.000120306	0.04003	0.164185	0.0519243	0.0306537	0.0275471	0.175268	0.122159	0.0156632	0.132272	0.0674836	0.1652984	1	11.29328	0.2896804	0.0474807	0.296608	0.866587	2.78932	0.206602	0.287111	0.146066	0.10176	0.172772	0.0856891	0.2697118	0.6128704
13	0	-331.0872	-310.707	-20.38023	6.84331	2.488491	0.180843	0.260082	0.0211401	0.0843854	0.0643094	0.0655224	0.271917	0.335052	0.340101	0.0254715	0.0322624	0.0202324	0.17434	0.105588	0.521542	0.357272	0.0123445	0.197883	0.0408902	0.266812	0.0261262	0.175382	0.1504617	-0.00335032	0.0834535	0.0326454	0.0433471	0.060682	0.044928	0.00326916	0.0623267	0.083623	0.0932828	0.0893937	0.0194507	0.0278012	0.120088	0.128087	0.107622	0.3520306	1	7.072541	0.1258327	0.345363	0.698595	1.0785	1.87755	0.151324	0.346051	0.133619	0.113013	0.144552	0.111442	0.3486803	1.009609
14	0	-331.1484	-307.3108	-23.83755	7.146857	2.23145	0.369902	0.215679	0.0255783	0.0192684	0.128476	0.022808	0.0271282	0.324026	0.0929336	0.0360726	0.0785468	0.0203625	0.0369623	0.334191	0.471693	0.537566	0.150456	0.0815971	0.0261172	0.0628267	0.209823	0.519618	0.1803645	0.08903926	0.112453	0.0140274	0.0407635	0.0262125	0.00842415	0.00587096	0.0605491	0.106453	0.053452	0.147566	0.226498	0.00196428	0.0886215	0.0678227	0.0393217	0.3020128	2	10.77957	0.07180789	0.319421	0.677566	1.07483	1.92818	0.173097	0.318162	0.104155	0.11804	0.108439	0.178107	0.3910521	0.7723084
15	0	-337.1597	-313.4824	-23.67723	8.034658	3.164216	0.107815	0.102221	0.276003	0.646562	0.32023	0.0141322	0.101999	0.122364	0.0459782	0.256269	0.202832	0.233094	0.292729	0.0203615	0.163564	0.0495687	0.0827011	0.0531723	0.091038	0.0562828	0.132531	0.025088	0.1617178	-0.07388951	0.0665675	0.0754321	0.0490031	0.0359232	0.0353072	0.0254372	0.0584282	0.127821	0.00418592	0.0136079	0.250903	0.010238	0.0576564	0.120775	0.0687142	0.3565834	2	11.54638	0.04745086	0.40158	0.740233	1.08322	1.77497	0.185444	0.314866	0.11667	0.120483	0.0903635	0.172174	0.2826939	1.261376
16	0	-339.703	-305.9361	-33.76685	7.983054	2.206099	0.000794442	0.0196911	0.445689	0.13101	0.614429	0.317957	0.431025	0.269479	0.0283979	0.325277	0.124181	0.345195	0.0347554	0.0478378	0.189448	0.250794	0.0701944	0.0278115	0.0038419	1.02286	0.326493	0.414879	0.1925642	0.1321061	0.0686247	0.0238432	0.0385194	0.0111819	0.0319967	0.0411974	0.046843	0.0492999	0.00588871	0.176723	0.0203271	0.0253034	0.140488	0.312108	0.00765518	0.2490888	1	8.17871	0.1355311	0.316695	0.675281	1.07438	1.93364	0.13315	0.332819	0.101179	0.120639	0.184453	0.12776	0.3811948	0.6534421
17	0	-338.8054	-309.5059	-29.29951	6.912004	3.498481	0.122913	0.206581	0.401115	0.151663	0.0428277	0.154076	0.0890212	0.311985	0.0399631	0.232159	0.0305763	0.483301	0.684803	0.849598	0.323811	0.34527	0.0238797	0.211521	0.0410464	0.309033	0.1027	0.181572	0.2911954	0.08058062	0.0586817	0.029987	0.0122913	0.0150018	0.0918431	0.107326	0.0184332	0.0029171	0.013794	0.0562125	0.217813	0.0488981	0.0932691	0.207565	0.0259671	0.3253264	1	7.867891	0.140398	0.424492	0.75586	1.08407	1.73558	0.23285	0.336283	0.0829828	0.0528327	0.178227	0.116825	0.4059071	0.8014801
18	0	-344.2353	-320.761	-23.47433	8.91844	1.167968	0.0348394	0.0950528	0.519625	0.0841528	0.0247952	0.463052	0.141792	0.0994504	0.0149128	0.051864	0.0932545	0.217914	0.0211595	0.0388046	0.0278553	0.21077	0.0918458	0.163458	0.252372	0.210676	0.0143615	0.115608	0.08845763	0.07622541	0.127614	0.0107718	0.0361323	0.0421565	0.00712299	0.0254887	0.0244083	0.0766903	0.0219405	0.0933648	0.152291	0.125709	0.131808	0.123528	0.000973275	0.3027205	0	12.24831	0.1672884	0.1692	0.522008	1.02308	2.28571	0.146789	0.349511	0.0995276	0.129451	0.14682	0.127901	0.3789459	0.7988488
19	0	-341.5248	-312.676	-28.84872	6.502767	3.374213	0.214749	0.0218627	0.211457	0.328523	0.0308337	0.00165891	0.164543	0.629833	0.494883	0.176451	0.0784538	0.379122	0.330764	0.480225	0.0225672	0.291506	0.0212483	0.185153	0.118251	0.119441	0.0488008	0.150304	0.3029817	0.09334729	0.0997269	0.0396986	0.0487182	0.0531104	0.0102064	0.187991	0.0599744	0.00234499	0.0143937	0.112653	0.0796815	0.0459531	0.2055	0.0289098	0.0111372	0.2557149	2	11.86695	0.1255789	0.416289	0.750347	1.08383	1.74954	0.189946	0.241168	0.0825521	0.094581	0.127134	0.264618	0.3490622	0.7325769
20	0	-363.0524	-312.9774	-50.07498	4.07194	2.753701	0.507779	0.0331559	0.418538	0.861893	0.218214	0.0297993	0.102824	3.11141	2.00804	0.0557009	0.25361	0.0995269	0.21382	0.575013	0.0414374	0.604941	0.347085	0.153028	1.30583	0.440069	0.525936	0.935935	0.6732419	0.1849972	0.0418691	0.0751151	0.0641149	0.0614788	0.0189467	0.104336	0.159943	0.0238942	0.0254346	0.0124265	0.23311	0.0493519	0.0465895	0.0671812	0.0162084	0.2154946	4	8.920928	0.3523886	0.369262	0.71691	1.081	1.83283	0.214593	0.258628	0.0854394	0.111661	0.126159	0.20352	0.4004919	0.538075
21	0	-345.7284	-313.4674	-32.26099	7.786566	1.684306	0.354681	0.694653	0.122629	0.0399528	0.297004	0.00873983	0.0302953	0.118928	0.0163841	0.413648	0.0036629	0.28744	0.526492	0.0626638	0.0874773	1.11044	0.0791894	0.00302699	0.540482	0.385827	0.0464492	0.128995	0.2717678	0.1511379	0.111002	0.0377322	0.17492	0.0594895	0.0423965	0.0137586	0.104168	0.0765328	0.0107259	0.016613	0.0579226	0.0520838	0.121725	0.10338	0.0175494	0.1459123	2	8.64654	0.08941	0.252442	0.616612	1.05963	2.07131	0.159506	0.340957	0.19535	0.0829941	0.116274	0.104919	0.2970502	0.4912041
