Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates[47]	branch_rates[48]	branch_rates[49]	branch_rates[50]	branch_rates[51]	branch_rates[52]	branch_rates[53]	branch_rates[54]	branch_rates[55]	branch_rates[56]	branch_rates[57]	branch_rates[58]	branch_rates[59]	branch_rates[60]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	0	-631.1334	-541.4401	-89.69326	5.775476	3.148842	0.377207	1.0417	0.0117452	0.0880878	0.678867	0.0450787	1.28368	0.0371451	0.074388	0.0359255	0.295357	0.0767305	0.000718194	0.111766	0.00551921	0.0431446	0.0179328	0.118659	0.146206	0.048067	0.0147929	0.0369282	0.0198392	0.298825	0.084888	0.0573191	0.241827	0.321632	0.434615	0.102329	0.16409	0.00768092	0.0667691	0.104589	0.0958584	0.0842149	0.0346995	0.398861	0.201189	0.134219	0.00787058	0.0446459	0.717879	0.399012	0.399679	0.135946	0.111643	0.257586	0.178253	0.0694661	0.0584348	0.315162	0.130606	0.0721554	0.0771419	0.1457	0.147891	0.714349	0.000951923	0.462615	0.2046474	0.06097783	0.0212801	0.248141	0.0335928	0.0092697	0.0786625	0.114761	0.111797	0.000197156	0.00490314	0.174534	0.105633	0.0393437	0.00709608	0.0181605	0.0326273	0.6697942	7	25.21236	0.1133363	0.400459	0.73945	1.08316	1.77693	0.169416	0.0662871	0.101204	0.249304	0.193406	0.220383	0.730772	0.916557
1	0	-607.7389	-537.5568	-70.18216	6.989722	1.709297	0.401855	0.159842	0.132634	0.124504	0.11803	0.219316	0.126517	0.00344699	0.0726592	0.0356522	0.0951161	0.00857141	0.118329	0.0574052	0.0251757	0.0730632	0.016514	0.0131548	0.402925	0.0303551	0.217421	0.000130995	0.103143	0.0763341	0.0352964	0.165572	0.025871	0.0565742	0.36882	0.040904	0.0720517	0.0605244	0.00725084	0.0381202	0.0391066	0.0151384	0.299293	0.0895216	0.271316	0.0297253	0.0464823	0.0158155	0.40152	0.00974263	0.0641318	0.00315814	0.143389	0.143521	0.24647	0.0860994	0.00589852	0.112862	0.270627	0.22706	0.286453	0.160288	0.0462904	0.107718	0.460695	0.0194444	0.1088548	0.1533102	0.0457609	0.271682	0.0192086	0.0151152	0.0300694	0.318938	0.00639356	0.0304102	0.013322	0.146362	0.00309179	0.00687786	0.0250047	0.052265	0.0154994	0.402742	9	26.03534	0.08718156	0.25592	0.620053	1.06067	2.06336	0.146867	0.0942905	0.0616362	0.240863	0.230458	0.225886	0.5560522	0.7242881
2	0	-593.4343	-532.9927	-60.44156	4.573946	0.9794377	0.109784	0.36969	0.0586971	0.308088	0.344518	0.269287	0.0647596	0.0328201	0.389687	0.0656325	0.0184446	0.0179075	0.0339407	0.0181371	0.00362141	0.0117841	0.00336147	0.0342644	0.0681125	0.00778729	0.126069	0.00498135	0.028667	0.40386	0.00460103	0.0873039	0.0490002	0.0550661	0.0155909	0.0614526	0.0829995	0.183445	0.0331381	0.0066997	0.0266556	0.119341	0.404883	0.193177	0.183375	0.095899	0.117257	0.0405489	0.108372	0.000404951	0.146074	0.00107767	0.115311	0.0585306	0.164216	0.0621921	0.0434192	0.0853178	0.20765	0.121824	0.0439011	0.367168	0.0767844	0.221849	0.0357392	0.00320698	0.1108416	0.1699092	0.145501	0.0522649	0.0314821	0.013167	0.0136781	0.138852	0.213205	0.0157056	0.0433277	0.169484	0.0594281	0.0384536	0.0104694	0.053403	0.00157928	0.5043727	10	29.48658	0.1399776	0.132833	0.470483	0.996508	2.40018	0.12946	0.0698689	0.101379	0.239246	0.251405	0.208642	0.6742819	0.7480146
3	0	-618.3456	-541.1747	-77.1709	4.803569	0.7326769	0.0166969	0.74327	0.457275	0.304213	0.215054	0.207055	0.0651728	0.00967805	0.151417	0.662802	0.0663199	0.0327906	0.181273	0.00536399	0.047059	0.0751305	0.000590791	0.362595	0.454401	0.0409442	0.080424	0.0167433	0.0184082	0.227522	0.0438714	0.00740701	0.0543127	0.0280651	0.174705	0.0114545	0.0369096	0.0747443	0.015058	0.19448	0.103882	0.0982603	0.0541657	0.127509	0.0125361	0.0294396	0.191125	0.00574808	0.00580544	0.0664543	0.616384	0.0073186	0.0258053	0.404358	0.251896	0.0200146	0.201132	0.0349088	0.0460162	0.00366951	0.0180549	0.172897	0.148898	0.285561	0.134558	0.0484605	0.1209701	0.03290758	0.179124	0.195129	0.0968552	0.019083	0.0507488	0.00706918	0.0281883	0.0484436	0.0286883	0.014908	0.135744	0.0970611	0.0359249	0.0334331	0.0295985	0.5203722	7	32.38619	0.1055234	0.0811772	0.378549	0.936401	2.60387	0.132106	0.149173	0.0897926	0.317615	0.115951	0.195363	0.5532798	0.9405227
4	0	-584.2896	-539.567	-44.72261	6.055618	3.216605	0.0186286	0.00730064	0.199186	0.0459116	0.0372927	0.155389	0.231115	0.00724753	0.0649143	0.0118006	0.0220871	0.0404299	0.0476253	0.00449818	0.0303771	0.0923022	0.000388752	0.119839	0.199107	0.00249603	0.0943855	0.0120319	0.0380146	0.0888163	0.198425	0.100956	0.0066099	0.118303	0.122246	0.00617754	0.00425105	0.0089556	0.0736605	0.105699	0.179407	0.0390167	0.0561298	0.0169773	0.0195763	0.0347742	0.0681011	0.0051815	0.0857234	0.24583	0.184366	0.0241476	0.00855276	0.108949	0.00619324	0.311194	0.0859755	0.00116526	0.0314889	0.328768	0.0853663	0.148687	0.00069953	0.395443	0.00997253	0.0815496	0.07731917	0.07059309	0.0542461	0.140776	0.0905147	0.128022	0.0101412	0.119445	0.0771418	0.00286808	0.0285619	0.0238048	0.0860259	0.0295336	0.0895094	0.0604496	0.0589594	0.7106242	12	26.34988	0.1054147	0.405354	0.742857	1.08339	1.76839	0.0858846	0.16081	0.153362	0.251056	0.0921127	0.256774	0.7812173	0.9096371
5	0	-592.8052	-530.3463	-62.45888	9.81637	2.405235	0.00926941	0.223513	0.00737727	0.104363	0.225741	0.133771	0.0179926	0.0314419	0.0236046	0.0138445	0.0201385	0.0717822	0.0989905	0.0199545	0.00562723	0.0169084	0.0396891	0.0620944	0.59249	0.0913488	0.00528791	0.0145975	0.0141352	0.0178551	0.0629428	0.0923568	0.259218	0.0124735	0.0232289	0.0484672	0.0804322	0.197376	0.00639146	0.0031336	0.372356	0.00687032	0.472863	0.176221	0.0367543	0.042511	0.0133317	0.0667717	0.0040552	0.0384069	0.15069	0.0629926	0.194033	0.156719	0.0232264	0.353071	0.0187208	0.0612183	0.0950438	0.121356	0.312084	0.149247	0.0457137	0.00967467	8.05495e-05	0.0412788	0.09307521	-0.1268196	0.0383602	0.103515	0.0235569	0.11901	0.0358227	0.0364215	0.0771843	0.0886062	0.0013667	0.115161	0.0819873	0.0744002	0.132099	0.0619108	0.010599	0.551086	11	27.88447	0.09747128	0.337284	0.69218	1.07747	1.89307	0.177708	0.184663	0.106915	0.234631	0.10482	0.191264	0.4242664	1.298915
6	0	-605.8945	-530.0374	-75.85712	5.904098	1.518138	0.0170849	0.294494	0.0507874	0.219865	0.127196	0.147605	0.130854	0.000435286	0.0924537	0.033371	0.16472	0.00107781	0.342794	0.0135012	0.0370342	0.0603516	0.0264673	0.200317	0.319908	0.21963	0.0797835	0.0867793	0.0438788	0.0031054	0.176362	0.00128433	0.0761506	0.416898	0.00373662	0.00864299	0.0505232	0.315684	0.257565	0.179688	0.0338232	0.0764125	0.251385	0.00826987	0.096037	0.0262513	0.0894694	0.0701651	0.39174	0.00177794	0.0929994	0.0661385	0.404999	0.292193	0.768371	0.0107257	0.0224212	0.0195447	0.013727	0.0359911	0.166673	0.0111309	0.00382953	0.0202184	0.0258168	0.000809834	0.1175486	0.07720001	0.108486	0.116125	0.0354938	0.0266963	0.0361568	0.0229114	0.0892248	0.0170291	0.00419323	0.0239602	0.30784	0.0304755	0.0842311	0.0724828	0.024693	0.5291085	6	32.50005	0.07781262	0.228111	0.591548	1.05147	2.12887	0.158491	0.14926	0.101095	0.265436	0.0863289	0.239389	0.6063086	0.8726721
7	0	-587.2836	-530.1618	-57.12174	8.231363	0.8740017	0.0234432	0.148039	0.0152721	0.0373562	0.146684	0.11187	0.090863	0.0128751	0.0486271	0.00437224	0.192982	0.0595789	0.0234274	0.00772402	0.0477063	0.47738	0.0158134	0.0768641	0.141571	0.0415143	0.0512905	0.0306034	0.0215025	0.0949322	0.142239	0.108259	0.0171919	0.0221296	0.00908913	0.100804	0.0781199	0.013746	0.162372	0.0162578	0.0655235	0.00982672	0.284562	0.105177	0.097266	0.159812	0.155553	0.0872487	0.0716194	0.0252238	0.114479	0.140675	0.0941526	0.278687	0.00699164	0.169739	0.0949123	0.0102845	0.0453591	0.106763	0.139662	0.0115908	0.128478	0.000130684	0.0835652	0.0415703	0.07018811	-0.01171618	0.0473904	0.173459	0.0491974	0.0682049	0.0520389	0.201671	0.0457822	0.00730114	0.00420834	0.096105	0.114551	0.0648834	0.00741727	0.0587335	0.00905588	0.5138907	9	30.90659	0.06717016	0.111181	0.435305	0.975525	2.47799	0.108281	0.140234	0.0899519	0.275477	0.189631	0.196426	0.5021745	1.023331
8	0	-597.9006	-551.0821	-46.81847	10.32196	1.190384	0.0211777	0.00523398	0.0144998	0.292674	0.10559	0.10593	0.0649382	0.0139647	0.00105401	0.0009638	0.018139	0.124121	0.215092	0.0637713	0.0472323	0.00987943	0.0162791	0.0178108	0.248455	0.00253783	0.268605	0.0170713	0.0168637	0.0251958	0.000626835	0.0574632	0.051665	0.0601339	0.00164173	0.110935	0.0484958	0.0402587	0.0612733	0.0414325	0.205578	0.0760656	0.185315	0.152793	0.292128	0.00730013	0.0533405	0.0605311	0.0554433	0.0187692	0.0275853	0.226749	0.0316954	0.108849	0.00844922	0.361325	0.0652401	0.0606567	0.0836906	0.0119225	0.0265213	0.16197	0.00525778	0.0141473	0.0312662	0.0143319	0.07026657	-0.03202897	0.0515962	0.1664	0.0369275	0.0222008	0.154662	0.0394255	0.0923625	0.0234383	0.0343894	0.108025	0.153486	0.00979572	0.0135021	0.064787	0.0290013	0.4923798	8	28.88362	0.09853176	0.173306	0.527347	1.02556	2.27379	0.142966	0.16368	0.0664289	0.267847	0.22087	0.138208	0.4603509	1.069575
9	0	-616.1155	-534.6206	-81.49495	32.85286	1.442662	0.0237252	0.46071	0.0360452	0.252679	0.0301665	0.180033	0.0358191	0.0100988	0.000953443	0.0579755	0.286355	0.0238048	0.0719965	0.113089	0.0842628	0.0451109	0.0164525	0.126478	0.453461	0.195146	0.083648	0.00410385	0.00528242	0.813941	0.00180708	0.0696384	0.167846	0.0385565	0.161556	0.0154742	0.0420047	0.0329074	0.00392656	0.0143664	0.159039	0.218218	0.106774	0.041978	0.134198	0.00201329	0.114742	0.0232525	0.426204	0.310827	0.0554536	0.113241	0.0977059	0.171642	0.0845984	0.00713909	0.188317	0.0225115	0.0414119	0.207339	0.0716307	0.0810731	0.0394706	0.120912	0.179909	0.0697411	0.1379043	-0.1109889	0.0878363	0.27297	0.0456995	0.0183628	0.0155462	0.125696	0.0655933	0.0443146	0.00148598	0.0229646	0.0100813	0.160247	0.0248479	0.0716699	0.0326841	0.4854482	10	36.84573	0.07556122	0.216328	0.578726	1.04687	2.15808	0.193579	0.114276	0.090242	0.325138	0.134447	0.142318	0.3744593	1.296398
