Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	0	-574.2228	-521.4514	-52.77133	9.386619	3.742638	0.0306173	0.117833	0.0285587	0.0187184	0.0549673	0.0293686	0.0173751	0.0376675	0.00193944	0.0349744	0.0705084	0.0363803	0.00234481	0.00139876	0.00657766	0.0163937	0.0571986	0.0490306	0.0698381	0.0124713	0.0132091	0.0900336	0.138188	0.0111946	0.0439051	0.00720218	0.0103009	0.0367421	0.00182314	0.00305383	0.181993	0.0272409	0.0530417	0.0564006	0.000252829	0.0144516	0.0757253	0.0504231	0.0698177	0.121124	0.04627989	0.00958561	0.0598061	0.00933911	0.156618	0.0665359	0.0111729	0.0118418	0.0115228	0.0455557	0.00587177	0.0326976	0.010027	0.139293	0.0337543	0.286359	0.119605	0.141555	4	81.97871	0.01848076	0.43964	0.765811	1.08434	1.7102	0.157722	0.262422	0.153405	0.14776	0.150698	0.127993	0.1511406	0.9365782
1	0	-564.1125	-521.699	-42.41353	26.51684	1.751595	0.0504478	0.0409609	0.00323417	0.00937458	0.0186607	0.0141415	0.025142	0.108817	0.115323	0.0240377	0.00185076	0.095406	0.000430522	0.0175888	0.00702585	0.0121995	0.0563738	0.0280749	0.0709486	0.0100416	0.00404888	0.0163589	0.112975	0.0166981	0.0564257	0.0871039	0.0664375	0.0346944	0.00500937	0.0613074	0.0502159	0.00673914	0.0245578	0.000487413	0.0306744	0.00166336	0.0494501	0.00220932	0.041414	0.000719997	0.03248421	0.03626082	0.0290504	0.0076454	0.239955	0.0456771	0.00301139	0.0220773	0.0460016	0.042645	0.018832	0.0165511	0.0253734	0.0948873	0.101229	0.170091	0.136973	0.1246131	5	99.15745	0.015779	0.261705	0.625701	1.06232	2.05027	0.18247	0.302805	0.1776	0.106254	0.12829	0.102581	0.160874	0.7746011
2	0	-536.9032	-525.1677	-11.73549	12.5693	2.075416	0.00695348	0.00645284	0.0060229	0.016606	0.0126462	0.0240948	0.0143684	0.00383081	0.00156398	0.0172913	0.0366869	0.031398	0.0121976	0.00410306	0.0161196	0.0174833	0.00208318	0.00396879	0.0340472	0.0179219	0.00412217	0.0238435	0.0115794	0.00404939	0.0920772	0.0186678	0.0243654	0.00465697	0.0632634	0.0274902	0.011324	0.0173915	0.00160279	0.00336884	0.076134	0.0188729	0.0169164	0.0043518	0.0137173	0.00216139	0.02108031	0.02952878	0.0436708	0.0190764	0.0902565	0.0610344	0.00270661	0.000313223	0.0892929	0.0166558	0.0440792	0.111315	0.00139259	0.0546442	0.0299456	0.234206	0.201411	0.1345016	8	92.97639	0.01591616	0.302114	0.662801	1.07177	1.96332	0.200912	0.201144	0.255982	0.156025	0.126413	0.059523	0.1640304	0.8199798
3	0	-568.5599	-521.8064	-46.75349	6.457686	0.9863367	0.12679	0.184992	0.0317692	0.00119524	0.0859806	0.0114302	0.177132	0.0412057	0.0122048	0.107435	0.217875	0.090714	0.0612712	0.0408705	0.00999241	0.168522	0.121587	0.0298022	0.0180751	0.0833796	0.00512914	0.00517579	0.00595606	0.0452266	0.0674673	0.263377	0.17559	0.00119918	0.00667581	0.0391168	0.0409646	0.208734	0.0454605	0.000272668	0.0113119	0.00727814	0.00133734	0.0593729	0.253498	0.00876103	0.06605334	0.0146016	0.0480879	0.0143441	0.191745	0.112246	0.010745	0.0123457	0.0239564	0.0204224	0.0497863	0.0870059	0.00992346	0.0713407	0.0388938	0.112816	0.196341	0.1921966	6	65.04017	0.02385274	0.13422	0.472606	0.997699	2.39548	0.14009	0.275971	0.156379	0.16962	0.181814	0.0761262	0.2067982	0.9293921
4	0	-530.4544	-513.8464	-16.60802	23.88723	2.928242	0.00187683	0.00764321	0.00235705	0.0321023	0.00375098	0.0323324	0.0287593	0.0330693	0.0126855	0.0312325	0.00992389	0.00165323	0.00053138	0.0148738	0.000671377	0.00163137	0.0428607	0.0419656	0.00788839	0.00113368	0.00869597	0.0413075	0.00864555	0.0326357	0.00775791	0.00953913	0.0118757	0.0318028	0.0154957	0.00489491	0.0128648	0.00994903	0.0475113	0.0481438	0.00176561	0.00489574	0.0230051	0.0652962	0.0363914	0.00971897	0.0151705	0.01540679	0.0439932	0.0156008	0.334967	0.00192769	0.00875994	0.0243716	0.039668	0.0380221	0.0610078	0.00922281	0.0495136	0.126586	0.0567069	0.0846568	0.104996	0.102521	5	79.58616	0.02458833	0.383633	0.727476	1.08214	1.80675	0.172524	0.215015	0.144069	0.134049	0.248055	0.0862877	0.1179278	0.869354
5	0	-545.6801	-523.316	-22.36412	25.87125	2.576211	0.0180388	0.0142665	0.0128478	0.031986	0.0371374	0.0338425	0.000257266	0.0475572	0.0014971	0.053153	0.0113273	0.0207755	0.018501	0.045572	0.049695	0.00217522	0.0524007	0.0469981	0.0139063	0.0253124	0.00852974	0.0143658	0.000767672	0.0440381	0.0313003	0.0161564	0.036411	0.026167	0.0392438	0.00888176	0.0703343	0.0215543	0.0158291	0.0215917	0.00515329	0.048338	0.0102622	0.0380857	0.0540798	0.00116644	0.02588069	-0.02099639	0.0221674	0.0123184	0.149485	0.0678672	0.0109106	0.00284221	0.0492215	0.0301343	0.0762121	0.0648661	0.0428894	0.0952096	0.0714083	0.0957627	0.208705	0.08515794	8	81.13081	0.02539887	0.353565	0.70499	1.07944	1.862	0.159797	0.229179	0.200191	0.140231	0.205065	0.0655378	0.06416154	1.327243
6	0	-556.1912	-523.5526	-32.63868	10.17006	4.935278	0.0260689	0.00427058	0.0219704	0.0116838	0.0154872	0.0864861	0.110672	0.00601002	0.0408451	0.0272331	0.0101307	0.0306191	0.00389816	0.0263871	0.0661834	0.00589092	0.012767	0.0284431	0.00483009	0.0118479	0.0279402	0.0213544	0.0241739	0.0455017	0.0414426	0.0429733	0.0758935	0.00760041	0.00364986	0.0183943	0.0278561	0.0203248	0.0917235	0.0045523	0.014887	0.09054	0.0128398	0.0176614	0.00596734	0.00749553	0.02891635	0.001502652	0.0214936	0.0263666	0.14776	0.0137274	0.0808772	0.00408685	0.022884	0.0298628	0.0623318	0.00192766	0.0337108	0.179686	0.0916822	0.156354	0.127249	0.1653738	4	84.38031	0.01746517	0.499367	0.802393	1.08341	1.61483	0.198289	0.323846	0.130886	0.124174	0.120514	0.102291	0.1668765	0.9909954
7	0	-535.887	-523.8754	-12.01163	17.16235	2.012226	0.0287103	0.00348378	0.0120919	0.00136436	0.00910798	0.0201957	0.0164781	0.0200648	0.0345643	0.00507304	0.00794156	0.00681855	0.00223585	0.00592066	0.00427648	0.00139531	0.0309118	0.0125202	0.0414096	0.00128649	0.000206265	0.00826185	0.0191946	0.109795	0.00766531	0.0668842	0.0090719	0.00391227	0.0018804	0.0116116	0.0164525	0.02023	0.0316682	0.0149044	0.0205974	0.00889171	0.00058338	0.020346	0.0482409	0.00308891	0.01560002	0.01194971	0.0122075	0.00503737	0.142267	0.00412887	0.0448706	0.00824419	0.0362151	0.0287529	0.0657616	0.0473789	0.0213136	0.0716041	0.0988619	0.239227	0.17413	0.1427155	4	86.09993	0.01598891	0.29473	0.656307	1.07029	1.97867	0.278165	0.181929	0.141976	0.143985	0.184702	0.0692426	0.1546652	0.9227382
8	0	-545.6172	-520.0608	-25.55645	16.37583	2.611402	0.0131734	0.0288694	0.00342629	0.0028246	0.0243815	0.01614	0.0776417	0.0250833	0.00141784	0.0020924	0.0593694	0.0805068	0.00361988	0.000709064	0.0106169	0.0317495	0.0695493	0.0279845	0.026672	0.029212	0.00446229	0.0507513	0.00923172	0.0367011	0.0131234	0.0836342	0.0188377	0.013023	0.0494491	0.012906	0.133614	0.0046019	0.0187055	0.0132847	0.0199935	2.65329e-05	0.00164985	0.0254625	0.00677838	0.0210538	0.02453574	-0.0007964115	0.0436765	0.01107	0.144774	0.0469355	0.095146	0.011121	0.0452576	0.0451541	0.0974125	0.00487322	0.00844999	0.175854	0.0331131	0.132812	0.10435	0.1591559	4	81.24333	0.01580661	0.35677	0.707457	1.07979	1.85599	0.163446	0.233876	0.140813	0.162315	0.238247	0.0613026	0.1583594	1.005029
9	0	-572.5601	-539.4401	-33.12006	13.11588	1.743089	0.0176293	0.016102	0.093402	0.0709933	0.0887178	0.0282497	0.0785957	0.058995	0.0890707	0.038424	0.0176342	0.103111	0.0124591	0.00201421	0.0809045	0.00814302	0.00976593	0.113592	0.00540721	0.0398804	0.0124214	0.072181	0.0527173	0.0275276	0.00491398	0.0513314	0.0176551	0.0215493	0.0642256	0.00132798	0.0612148	0.00719974	0.0446515	0.00168519	0.0120138	0.0176122	0.0143621	0.0154767	0.0597972	0.0103194	0.04833323	0.04010651	0.0941795	0.0149939	0.226649	0.00678055	0.169414	0.00267183	0.0989785	0.0270195	0.0163194	0.0561129	0.0238674	0.0323539	0.0371581	0.0533619	0.14014	0.2246529	5	68.19178	0.01981301	0.260552	0.624582	1.062	2.05287	0.175418	0.202297	0.203393	0.155296	0.185281	0.0783155	0.2647594	0.8485172
