Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
1000	-598.8043	-539.096	-59.70829	4.568464	2.507968	0.0273489	0.0175835	0.00264844	0.326359	0.0777191	0.0319646	0.00883251	0.0703784	0.0611233	0.0347132	0.119889	0.199741	0.0202177	0.00203515	0.0727426	0.0163909	0.0499287	0.163452	0.115881	0.0161075	0.120452	0.0291181	0.031048	0.0386785	0.00820381	0.0482352	0.0147743	0.0041803	0.0733682	0.0111099	0.00389335	0.0111595	0.0134614	0.0637791	0.00164539	0.0178497	0.275658	0.0253641	0.048239	0.0777787	0.04588488	0.02531638	0.0811069	0.0531851	0.172749	0.00628378	0.0580805	0.0171461	0.0621306	0.0217182	0.0125608	0.0557375	0.0090936	0.136353	0.0573849	0.20466	0.0518102	0.1789776	5	76.71409	0.02381368	0.347211	0.700046	1.07872	1.87403	0.149223	0.229915	0.184998	0.121879	0.207233	0.106752	0.204294	0.8760787
1100	-607.0969	-550.4896	-56.60729	15.56922	1.834197	0.266259	0.0146572	0.0105669	0.111013	0.00644024	0.0626359	0.0803736	0.161901	0.0383906	0.0852578	0.0207174	0.12576	0.00944749	0.108551	0.00567366	0.0252602	0.00495257	0.0731982	0.0426747	0.0623037	0.0565295	0.00473143	0.00144016	0.0486709	0.000711243	0.0676893	0.0235909	0.22727	0.0626221	0.0864089	0.0110677	0.0363579	0.030797	0.153865	0.0157895	0.19557	0.120831	0.0233825	0.0023866	0.147613	0.07873582	-0.02391746	0.0327863	0.0386928	0.25428	0.00160326	0.0112211	0.0123356	0.0241608	0.0170656	0.0614885	0.152471	0.0435363	0.0861898	0.0641814	0.152331	0.0476562	0.1391347	5	80.73814	0.02823012	0.272646	0.636139	1.06523	2.02599	0.131234	0.312181	0.126716	0.0788277	0.25218	0.0988614	0.1152172	1.207586
1200	-604.2634	-555.107	-49.15637	10.71566	1.528262	0.0487722	0.0621536	0.00176857	0.0117801	0.0825395	0.0210401	4.03733e-05	0.0176281	0.0504387	0.0487157	0.127762	0.0609684	0.0592459	0.028733	0.0806092	0.0239476	0.00935608	0.000591762	0.134067	0.0683469	0.100737	0.0325647	0.107028	0.00403903	0.0010605	0.099225	0.0234952	0.120801	0.114091	0.0472198	0.0513222	0.263093	0.0286929	0.0610535	0.104994	0.0336865	0.14676	0.000563541	0.00655694	0.111415	0.05850161	0.02528529	0.0714572	0.0165546	0.262948	0.000242909	0.0398144	0.00191987	0.0326671	0.0436184	0.0193212	0.142605	0.00871727	0.144239	0.0343171	0.0725722	0.109006	0.2191684	5	84.9143	0.02633797	0.229656	0.593194	1.05204	2.12511	0.154763	0.279161	0.185458	0.102547	0.185191	0.0928806	0.2444537	0.8965641
1300	-588.2953	-540.3111	-47.98417	13.64611	4.304994	0.216669	0.00407883	0.00149864	0.136083	0.0314562	0.0227572	0.0758172	0.0184221	0.0363409	0.0790719	0.117675	0.239053	0.0385538	0.151853	0.109915	0.0125769	0.00373264	0.0224349	0.000400312	0.0276951	0.175358	0.00288794	0.0338234	0.0177054	0.0460414	0.0151643	0.0933055	0.0513355	0.00624344	0.0426232	0.096763	0.377725	0.0243174	0.0641706	0.0771818	0.0671502	0.0386142	0.00913597	0.00670961	0.0158533	0.06664808	-0.02124112	0.0258972	0.0315341	0.264537	0.000543173	0.054036	0.0241863	0.105468	0.0338167	0.0527033	0.0491168	0.0481233	0.127206	0.0170763	0.123798	0.0419564	0.1742258	7	69.2668	0.03031269	0.470371	0.785137	1.08424	1.66025	0.146358	0.20795	0.25422	0.114892	0.202892	0.0736881	0.1529847	1.138845
1400	-616.1569	-548.7984	-67.3585	10.22305	1.496817	0.0510918	0.0314425	0.0454431	0.144006	0.0600292	0.00530927	0.0208189	0.0708901	0.0118722	0.0570921	0.152378	0.14054	0.0497391	0.0946013	0.0244977	0.0862637	0.0325573	0.0647341	0.173151	0.13753	0.245259	0.00410478	0.16653	0.00541967	0.0259668	0.0361019	0.0341476	0.0265077	0.0207852	0.00901025	0.00598603	0.0300505	0.00361648	0.563877	0.0531327	0.133926	0.105824	0.0393019	0.0158917	0.346878	0.08731855	0.03749499	0.00881169	0.18512	0.115643	0.0111039	0.0119027	0.0174541	0.0561877	0.00751737	0.0519048	0.0827595	0.022426	0.0873072	0.00757751	0.271828	0.0624566	0.1568499	7	62.20841	0.01109605	0.22483	0.588026	1.05023	2.13691	0.19094	0.174961	0.222024	0.110423	0.228381	0.0732696	0.1943449	0.8070699
1500	-619.0637	-553.9968	-65.0669	3.540272	2.49492	0.0456816	0.0448009	0.0383784	0.0680595	0.194067	0.0669613	0.0327164	0.0861773	0.0312216	0.0508106	0.0956105	0.237176	0.0314769	0.0722653	0.0856623	0.021297	0.0014827	0.336456	0.140443	0.211531	0.171912	0.250892	0.0679058	0.00692355	0.0214922	0.0088393	0.0632629	0.00932104	0.0149313	0.00623527	0.295469	0.0881043	0.0536206	0.0442483	0.0205146	0.107433	0.0304828	0.0439933	0.304823	0.0347997	0.09872115	0.02757658	0.00450644	0.0952984	0.314965	0.0448504	0.0524047	0.0268458	0.0194814	0.0447778	0.045071	0.0284651	0.000896727	0.112958	0.0278654	0.0879094	0.0937041	0.08223055	6	66.72182	0.031949	0.345975	0.699076	1.07857	1.87638	0.151968	0.277586	0.214408	0.170341	0.129077	0.0566195	0.1098071	0.7488635
1600	-594.4693	-540.1968	-54.27255	1.70188	3.086351	0.0380895	0.0553299	0.0456139	0.145585	0.244464	0.0410742	0.0386168	0.0321856	0.0393997	0.00915104	0.103843	0.0724211	0.0327779	0.0416974	0.0200998	0.0089877	0.0423332	0.162523	0.0272595	0.014867	0.0499955	0.0147101	0.240864	0.100543	0.0015426	0.00939158	0.0038458	0.0199224	0.00673097	0.0155534	0.030235	0.0860503	0.0392995	0.0622402	0.0248113	0.0219201	0.139892	0.104148	0.0547647	0.0589005	0.05330966	-0.01861617	0.0889448	0.101659	0.287264	0.0409966	0.0221656	0.0120015	0.0356035	0.00743902	0.0272271	0.0574804	0.072629	0.0841922	0.000298594	0.153595	0.008503	0.1839556	5	76.56579	0.02335238	0.395834	0.7362	1.08291	1.78506	0.145788	0.21383	0.139012	0.161873	0.193527	0.14597	0.1653394	1.112594
1700	-630.9811	-565.6047	-65.37637	2.50534	1.718012	0.000292113	0.0943582	0.0379501	0.0750381	0.0652212	0.0322965	0.00896451	0.00871435	0.135676	0.0194869	0.112445	0.225982	0.0512216	0.0350129	0.157046	0.115282	0.0910957	0.316167	0.0450417	0.472812	0.321645	0.1526	0.139943	0.312833	0.221843	0.233757	0.00816927	0.0117746	0.00677583	0.000689527	0.0756022	0.30345	0.0141531	0.0255116	0.0488884	0.0384477	0.0636127	0.0848853	0.07486	0.148808	0.1041788	0.01025796	0.0566571	0.05312	0.261096	0.0453062	0.0540759	0.0266218	0.050064	0.0384019	0.0294024	0.040749	0.0580653	0.0579467	0.0331102	0.10976	0.085624	0.2257663	4	59.15527	0.02605075	0.257123	0.621234	1.06102	2.06063	0.157475	0.216656	0.209607	0.102444	0.176737	0.13708	0.2360242	0.9565385
1800	-582.6943	-554.0472	-28.64716	20.28781	1.51253	0.00666354	0.012549	0.0158813	0.057489	0.031412	0.00657152	0.00292689	0.0300097	0.00996232	0.0257373	0.0624169	0.0125156	0.0182185	0.0329367	0.0182957	0.00836379	0.000841934	0.0465503	0.0266034	0.00881447	0.0339028	0.0695587	0.00934317	0.0283047	0.0308621	0.0224348	0.0305834	0.0108467	0.0178948	0.0535423	0.00540331	0.010596	0.000406166	0.0090128	0.035438	0.0464034	0.0159089	0.0445013	0.0614409	0.0187454	0.02626417	-0.005075042	0.123591	0.0611093	0.396592	0.0084917	0.019459	0.0116165	0.0156033	0.0204848	0.0523474	0.0522561	0.0517295	0.0356308	0.0285619	0.118743	0.00378304	0.1387279	3	77.35849	0.02130493	0.227252	0.590629	1.05115	2.13097	0.152574	0.158799	0.188031	0.115056	0.262287	0.123254	0.1336528	1.037972
1900	-607.5616	-551.5468	-56.01482	2.383801	2.566682	0.0144348	0.244664	0.168484	0.139344	0.223507	0.0280658	0.00431874	0.18462	0.0178493	0.0464968	0.148845	0.0708828	0.0444974	0.0574539	0.075226	0.445183	0.0744755	0.103127	0.021864	0.229577	0.00410098	0.0179392	0.0799631	0.0990008	0.078377	0.0220508	0.0373706	0.0283333	0.0698207	0.114943	0.0421366	0.0757282	0.0186675	0.0278396	0.024742	0.0522393	0.164299	0.0940089	0.000685942	0.197082	0.08008985	-0.003627174	0.0901651	0.0845823	0.127211	0.0184026	0.157536	0.0112038	0.040218	0.0202626	0.0858142	0.100666	0.00075083	0.0772919	0.0331168	0.0377548	0.115024	0.204628	6	66.6279	0.02685272	0.352689	0.704312	1.07935	1.86365	0.140707	0.193623	0.231945	0.112629	0.235387	0.0857079	0.2010009	1.018046
