Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-121.8453	-119.1785	-2.666734	6.372416	0.7456837	0.0440101	0.367205	0.197347	0.269363	0.573595	0.126558	0.0446134	0.0948783	0.222601	0.116711	0.1667855	-0.04662863	0.201357	0.0161424	0.0439737	0.0437131	0.0576059	0.229099	0.0587723	0.0108669	0.0745876	0.0966968	0.0626478	0.0190324	0.0244301	0.02394	0.0371351	0.4791376	0	8.361822	0.1917193	0.083961	0.384311	0.940689	2.59104	0.0473974	0.150601	0.0702125	0.563533	0.0766535	0.0916024	0.4325089	1.10781
100	-129.8764	-123.0841	-6.792314	4.016833	0.5415058	0.0665482	0.779121	0.394282	0.361153	0.0628562	0.128389	0.359405	0.110765	0.0100961	0.239096	0.1541143	0.1014816	0.0109097	0.0851325	0.0152327	0.0332617	0.112949	0.120016	0.0582371	0.155432	0.104445	0.0656233	0.100757	0.0427053	0.0637061	0.0245345	0.00705804	0.6102062	0	6.059034	0.3877567	0.041315	0.278151	0.848268	2.83227	0.190023	0.154704	0.0620053	0.528551	0.0278639	0.0368529	0.7116878	0.8574072
200	-120.2916	-122.9764	2.684757	4.197536	0.2718067	0.0380525	0.0501807	0.221506	0.136634	0.170902	0.0209841	0.0606984	0.289249	0.500716	0.0400299	0.1574411	0.1021211	0.0664328	0.0496753	0.0252887	0.0199424	0.0227719	0.0015858	0.106286	0.417109	0.0183554	0.0929603	0.00237162	0.0630206	0.0697295	0.0326698	0.0118006	0.1886992	0	4.245655	0.2029289	0.00328742	0.0828302	0.545275	3.36861	0.0798187	0.187408	0.0816439	0.501179	0.0792363	0.0707147	0.2908203	0.6488516
300	-129.4464	-121.4952	-7.951127	4.377254	5.312001	0.242723	0.139385	0.498772	0.360192	0.0267715	0.0494807	0.229051	0.482157	0.195235	0.11727	0.1391753	0.05798674	0.0586825	0.0689027	0.0880229	0.0244467	0.058122	0.108789	0.114927	0.100528	0.00840323	0.162179	0.0192218	0.0145677	0.0484579	0.0674097	0.0573399	0.2739124	0	4.921016	0.1813823	0.514542	0.811071	1.08272	1.59167	0.091567	0.203139	0.0230009	0.486616	0.0515695	0.144107	0.3318992	0.8252881
400	-130.8667	-120.1657	-10.70094	7.762918	1.329697	0.234034	0.632244	0.00416281	0.273831	0.663064	0.0439792	0.266175	0.491032	0.0236487	0.0717919	0.3464589	-0.04586691	0.0578524	0.0126162	0.111355	0.0796931	0.051868	0.0358408	0.0662994	0.0661371	0.0435554	0.148364	0.0759076	0.073383	0.0603259	0.0184219	0.0983797	0.3019328	0	8.667423	0.1668789	0.197775	0.557515	1.03863	2.20608	0.0835729	0.192777	0.0548077	0.464553	0.119234	0.0850559	0.2560659	1.179122
500	-118.518	-119.4314	0.9134386	6.698093	1.195799	0.094496	0.164059	0.265812	0.0169424	0.199408	0.0332219	0.0146005	0.250964	0.0407888	0.0755671	0.09824222	-0.1435042	0.097048	0.0036655	0.0385168	0.217311	0.148689	0.00785481	0.0539724	0.0447079	0.0185971	0.105463	0.00054638	0.031523	0.0109067	0.062571	0.158628	0.3555303	0	7.389593	0.2417238	0.174291	0.528615	1.02614	2.27095	0.112485	0.189185	0.0885692	0.504755	0.061351	0.043655	0.2120261	1.676823
600	-133.2459	-119.6957	-13.55014	3.406264	0.982474	0.466416	1.07385	0.844031	0.217677	0.921791	0.311768	1.56905	0.0677733	0.146144	0.551366	0.4416235	-0.2078395	0.0395796	0.0727157	0.0869798	0.0539681	0.0281078	0.00268929	0.045285	0.0119277	0.0311226	0.272314	0.0209213	0.0369232	0.0846465	0.149715	0.0631045	0.6750467	0	3.937302	0.5563014	0.133444	0.47142	0.997034	2.3981	0.0393776	0.194657	0.101795	0.5538	0.0315863	0.0787834	0.4672072	1.444855
700	-130.7986	-123.7657	-7.032871	4.740961	2.785893	0.239503	0.15973	0.0100263	0.012294	0.680364	0.0927196	0.0588579	0.0284644	1.14805	0.467578	0.3083809	-0.08206094	0.103637	0.0458933	0.0694681	0.173235	0.00230432	0.00461332	0.0381555	0.0476982	0.0140351	0.129943	0.0357978	0.0499863	0.0983534	0.118536	0.0683433	0.3651044	0	5.655133	0.360096	0.371989	0.718939	1.08123	1.82784	0.0768544	0.080779	0.0745004	0.680888	0.0395664	0.0474122	0.2830434	1.289923
800	-130.0507	-123.7088	-6.341985	5.355266	1.85366	0.298187	0.368376	0.0626555	0.256814	0.145934	0.0272435	0.0172923	0.20368	0.0870085	0.0143113	0.1581225	0.09363085	0.162545	0.0208458	0.0808982	0.0317766	0.0982258	0.0118398	0.048117	0.0990742	0.0709554	0.170487	0.0325322	0.0095727	0.0312643	0.0364831	0.0953833	0.4113617	0	6.821053	0.3455512	0.275157	0.638492	1.06586	2.0205	0.0789899	0.1881	0.080123	0.544473	0.0587796	0.0495338	0.5049926	0.8145897
900	-117.2721	-121.1096	3.837474	4.17628	1.281103	0.066871	0.153239	0.215441	0.25068	0.151898	0.057245	0.0234911	0.165557	0.246374	0.00793287	0.1158026	-0.2121407	0.0629007	0.0302156	0.197464	0.0661129	0.0431907	0.0405225	0.112134	0.0783629	0.0410666	0.0616076	0.0751396	0.0831775	0.00057709	0.0543066	0.0532211	0.3855257	0	4.247708	0.4020331	0.189444	0.547543	1.03449	2.22853	0.0825334	0.147179	0.108773	0.442161	0.100636	0.118717	0.173385	2.223524
