Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	0	-166.2221	-136.9388	-29.28328	7.713079	6.166167	0.0941581	0.0538816	0.159698	0.0382448	0.210459	0.599281	0.0344805	0.429168	0.0279319	0.0101169	0.0190793	0.0977274	0.0458607	0.281948	0.0947002	0.790628	0.137178	0.0754554	0.0353344	0.0909877	0.762248	0.183267	0.2362179	-0.05470484	0.00772925	0.0135306	0.0950718	0.038461	0.0457706	0.0249765	0.0231578	0.0511336	0.097625	0.249464	0.0779397	0.140175	0.0258597	0.0103324	0.0987733	0.4671796	4	7.980724	0.158854	0.54432	0.827445	1.08088	1.54735	0.0690696	0.206011	0.0374649	0.570308	0.0600167	0.0571306	0.4124747	1.132626
1	0	-166.6019	-136.9264	-29.67555	19.11692	4.737928	0.00603005	0.0695874	0.154402	0.192399	0.171956	0.297118	0.000217067	0.000955723	0.00920947	0.0708642	0.105011	0.00968063	0.000999148	0.0922008	0.299097	0.0229168	0.458428	0.134101	0.128925	0.0624514	0.0464149	0.033056	0.1472391	0.1610296	0.0240968	0.147151	0.0415414	0.0943154	0.0885875	0.00221237	0.0219291	0.0130205	0.1913	0.134772	0.0492659	0.0104289	0.0299777	0.0491408	0.102261	0.4692509	5	23.28569	0.03381083	0.490815	0.797397	1.08373	1.62806	0.0901979	0.229428	0.0447639	0.485888	0.102575	0.0471478	0.6302804	0.7445112
2	0	-165.7985	-145.1173	-20.68117	4.906982	5.922261	0.061583	0.0251173	0.0929102	0.000950439	0.501605	0.0331601	0.111758	0.112691	0.137222	0.0986075	0.0034926	0.114647	0.0800169	0.652805	0.0461054	0.600282	0.0921432	0.171863	0.0349149	0.0411593	0.420835	0.118647	0.1667795	-0.1681067	0.0142678	0.00144907	0.225283	0.00635743	0.0928908	0.154125	0.0600812	0.091943	0.0630323	0.213073	0.0241136	0.0266482	0.0137922	0.0066084	0.00633561	0.5682232	4	6.038702	0.1368289	0.536392	0.823168	1.08143	1.55901	0.0782527	0.118781	0.00906822	0.601233	0.126622	0.0660432	0.4001165	1.420144
3	0	-168.1567	-135.7831	-32.37362	9.751902	2.981494	0.164305	0.00392523	0.211609	0.30217	0.178268	0.529169	0.472222	0.0943312	0.00585218	0.0557361	0.00970037	0.0100805	0.116218	1.00483	0.324411	0.00383148	0.416369	0.559156	0.269518	0.0187815	0.277216	0.0117813	0.2798575	0.07779766	0.0098687	0.00647425	0.0293611	0.181047	0.0173076	0.0924093	0.00355397	0.186316	0.0904809	0.0678281	0.168486	0.0123152	0.0802907	0.03487	0.0193916	0.356984	3	10.14856	0.08128211	0.387825	0.730498	1.08242	1.79925	0.0696284	0.0980871	0.0291663	0.673271	0.0527062	0.0771406	0.4347817	0.821065
4	0	-147.608	-138.6516	-8.956371	6.809269	1.468963	0.142476	0.0116106	0.113486	0.311467	0.0111306	0.00110571	0.226841	0.015216	0.0792738	0.056996	0.0144882	0.00227215	0.0122997	0.0209652	0.0393491	0.159686	0.443109	0.0613757	0.0371362	0.0330106	0.0639196	0.426832	0.08260259	-0.07346833	0.00988916	0.0201451	0.108967	0.0753846	0.0416504	0.0097981	0.0187537	0.00289929	0.0435208	0.287951	0.10602	0.104359	0.0308867	0.00221034	0.137566	0.4173711	5	8.234454	0.1880251	0.220488	0.583307	1.04855	2.14766	0.0876967	0.21094	0.0879475	0.447268	0.0593085	0.10684	0.3439028	1.213631
5	0	-155.7584	-143.3466	-12.41174	8.451346	1.537317	0.112489	0.00192613	0.215124	0.0798408	0.00526522	0.0173257	0.0060093	0.0581671	0.00444823	0.180229	0.0385994	0.0867332	0.0474525	0.132387	0.00251973	0.0454536	0.501049	0.0988102	0.101849	0.0702668	0.158251	0.0538635	0.1282582	-0.1216297	0.0585456	0.0391171	0.0857919	0.0232673	0.00063204	0.0571918	0.0335539	0.0052386	0.145975	0.109993	0.166452	0.0578261	0.0642187	0.0523445	0.0998521	0.4114933	4	14.74706	0.1594429	0.23103	0.594652	1.05254	2.12178	0.0364084	0.220222	0.0365196	0.644848	0.0229909	0.0390116	0.2898636	1.41961
6	0	-154.9975	-138.1522	-16.8453	6.755375	4.232836	0.194175	0.00834147	0.151436	0.0112576	0.00497948	0.36998	0.0454074	0.10545	0.0410617	0.0543694	0.00330964	0.00565341	0.0453817	0.0552144	0.271657	0.234699	0.691687	0.353438	0.00725576	0.189693	0.00535568	0.18005	0.1590222	-0.09450491	0.110492	0.0596395	0.174764	0.0639335	0.0340879	0.0330892	0.00187281	0.00558197	0.111174	0.0762314	0.177297	0.0371982	0.0689332	0.0285191	0.0171861	0.4479451	3	9.118648	0.2687232	0.466713	0.782895	1.0843	1.66609	0.0486018	0.197402	0.0909771	0.541534	0.0278872	0.0935977	0.3534402	1.267386
7	0	-155.8446	-138.9211	-16.92343	6.91335	3.172924	0.154565	0.0376003	0.36362	0.0535058	0.0361186	0.443313	0.188842	0.039691	0.00883181	0.000234214	0.0661952	0.0142495	0.0112476	0.424561	0.169112	0.313849	0.227756	0.0570648	0.0129946	0.0582709	0.142232	0.055481	0.1008584	-0.1324443	0.0505224	0.0381546	0.110022	0.197387	0.0343656	0.0640368	0.0156427	0.0657256	0.0435523	0.119148	0.1781	0.0160858	0.0563086	0.00498603	0.00596159	0.39266	3	8.316376	0.2954731	0.402212	0.740674	1.08325	1.77387	0.050885	0.215911	0.0204067	0.538648	0.0201987	0.153951	0.2602157	1.508979
8	0	-162.3536	-143.397	-18.95664	6.534977	4.732323	0.0135341	0.00328829	0.118261	0.272712	0.0463376	0.106917	0.332444	0.0389861	0.00311565	0.157579	0.0841522	0.0957979	0.32607	0.0568878	0.0547429	0.162104	0.24429	0.560334	0.0276728	0.182994	0.121477	0.208028	0.1479568	0.1332525	0.0984909	0.0652535	0.0711213	0.0462667	0.0242037	0.00689869	0.0429431	0.00837223	0.0237567	0.142273	0.0619504	0.116913	0.160688	0.0155201	0.115348	0.1947957	2	7.534623	0.1599133	0.490566	0.797251	1.08374	1.62845	0.14571	0.155274	0.0199808	0.599287	0.016082	0.0636668	0.3280481	0.5938021
9	0	-155.2299	-134.294	-20.93588	11.79521	2.438543	0.271093	0.000185822	0.150247	0.0311164	0.0055593	0.461007	0.248532	0.0947576	0.0537979	0.00575586	0.0533425	0.0236968	0.00173157	0.0352991	0.542718	0.017513	0.120026	0.0372769	0.0884275	0.0402965	0.181267	0.0482125	0.1066049	-0.03878277	0.0618914	0.0180107	0.195367	0.00362265	0.106899	0.151848	0.0358928	0.0144956	0.0647433	0.140855	0.0189151	0.0520332	0.0500173	0.065022	0.0203868	0.3342112	4	12.21636	0.2004657	0.340551	0.694789	1.07789	1.88676	0.0703798	0.164053	0.0322585	0.623124	0.021421	0.0887641	0.2954284	1.131276
