Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-261.5414	-250.38	-11.16143	33.04433	3.932797	0.1097726	0.06594749	0.0234191	0.108083	0.138748	0.00848447	0.0172573	0.0360667	0.0192331	0.0173571	0.109875	0.00687185	0.0713582	0.0839285	0.190138	0.147379	0.0217997	0.02016887	33.04433	0.450632	0.772853	1.08441	1.69211	0.296417	0.205129	0.115274	0.121871	0.132773	0.128536	0.08611636	0.2342049
100	-264.0743	-243.324	-20.75033	193.85	3.444137	0.04521597	0.002646146	0.0454358	0.0317482	0.187146	0.0114104	0.0990458	0.0175422	0.00883411	0.00214803	0.0231136	0.00114624	0.0194647	0.00583701	0.347875	0.188179	0.011074	0.0228609	193.85	0.420948	0.753489	1.08398	1.74159	0.281352	0.184641	0.130454	0.0665342	0.248663	0.0883561	0.02550705	0.8962583
200	-264.9981	-247.2085	-17.78955	121.9798	2.302832	0.03387575	0.009081486	0.0288004	0.030833	0.141691	0.107351	0.141542	0.00424064	0.115229	0.0117027	0.0332174	0.0301404	0.0763021	0.00591905	0.173632	0.0297378	0.0696614	0.0117903	121.9798	0.326929	0.683783	1.076	1.91329	0.240368	0.195097	0.14055	0.109361	0.190087	0.124538	0.02087179	0.5648919
300	-263.407	-250.4847	-12.92228	56.14635	2.478603	0.08891484	0.02685091	0.112975	0.00921607	0.189976	0.0164306	0.0195533	0.0151798	0.0334244	0.0033506	0.127732	0.0850864	0.117373	0.0561886	0.0451073	0.153477	0.0149305	0.007367836	56.14635	0.344419	0.697851	1.07838	1.87935	0.233819	0.211023	0.163208	0.104623	0.142186	0.14514	0.03421875	0.2153158
400	-266.3735	-247.9609	-18.41257	110.2684	3.584371	0.04131359	0.01411151	0.0241581	0.0593743	0.115461	0.0556067	0.114336	0.0509681	0.0124342	0.000479634	0.0719029	0.104498	0.129147	0.0212111	0.182433	0.0148462	0.0431439	0.02525245	110.2684	0.429962	0.759487	1.0842	1.72635	0.268573	0.286748	0.101946	0.061244	0.144037	0.137453	0.03936396	0.641512
500	-266.1523	-252.0868	-14.06551	58.76076	2.558104	0.05365179	0.008463096	0.0248018	0.057278	0.0142951	0.0410889	0.0192474	0.127278	0.0878512	0.00525552	0.0632912	0.103375	0.0777506	0.0602351	0.262241	0.0439333	0.0120783	0.04304673	58.76076	0.351897	0.703699	1.07926	1.86515	0.336593	0.240442	0.0679071	0.0622591	0.148942	0.143857	0.05150983	0.8356994
600	-255.5857	-248.4502	-7.135492	10.15286	2.144039	0.3081924	-0.001251536	0.0310998	0.0691719	0.0802528	0.0260792	0.136218	0.00424565	0.032023	0.0199005	0.0487123	0.00841834	0.0185696	0.0371316	0.331424	0.0055268	0.151226	0.1349288	10.15286	0.309883	0.669506	1.07321	1.9474	0.227821	0.228929	0.07405	0.0839338	0.255473	0.129793	0.1336772	1.009362
700	-264.2353	-251.7133	-12.52198	58.7536	2.76739	0.0615299	0.02617972	0.00449769	0.0026883	0.0454235	0.0658575	0.0755171	0.0446434	0.0832628	0.00683379	0.124499	0.101082	0.0170319	0.0368912	0.239635	0.10339	0.0487466	0.006748273	58.7536	0.370426	0.717778	1.0811	1.8307	0.298082	0.200443	0.146837	0.0670153	0.173448	0.114174	0.032928	0.2049403
800	-277.9333	-257.2248	-20.70856	249.4392	0.8556219	0.1347998	0.01402361	0.114398	0.000956556	0.102056	0.00132328	0.0445934	0.00032429	0.102914	0.00132017	0.0435449	0.237794	0.160428	0.0130147	0.109003	0.00706441	0.0612651	0.0007192815	249.4392	0.107328	0.4286	0.971251	2.49282	0.206673	0.264819	0.163586	0.0943934	0.176526	0.0940017	0.01474289	0.04878836
900	-263.4029	-250.6825	-12.72037	36.94839	3.994688	0.1915945	0.07571222	0.0615217	0.0221309	0.189585	0.0126053	0.214592	0.00071738	0.0400227	0.0147547	0.0188184	0.0784565	0.064786	0.0455172	0.120847	0.0930295	0.0226163	0.00320716	36.94839	0.45407	0.775025	1.0844	1.6865	0.297072	0.147201	0.137362	0.106704	0.211553	0.100107	0.07891938	0.04063844
1000	-265.2401	-252.0394	-13.20073	38.82661	2.27742	0.09136984	0.02380193	0.0247721	0.0837832	0.162992	0.00357139	0.010221	0.0401821	0.169006	0.00935886	0.013191	0.174533	0.00935554	0.097238	0.174934	0.0134989	0.0133632	0.04585494	38.82661	0.324284	0.681606	1.0756	1.91851	0.246633	0.179718	0.129352	0.0630568	0.242703	0.138537	0.06965688	0.6582974
1100	-256.1068	-245.0612	-11.04558	40.00384	2.314008	0.1487076	0.05838821	0.0452881	0.00267106	0.232138	0.0612523	0.0955983	0.00785958	0.0158618	0.034084	0.150517	0.0390035	0.00699824	0.0444911	0.172595	0.0667946	0.024848	0.0008111067	40.00384	0.328083	0.684728	1.07617	1.91102	0.294	0.214004	0.107873	0.0845873	0.19871	0.100825	0.05919931	0.01370129
1200	-262.4123	-248.2439	-14.16839	40.02153	4.448797	0.08015541	0.03904317	0.0183716	0.0958298	0.375049	0.092336	0.0897091	0.0505394	0.0777467	0.00454618	0.0310874	0.0255218	0.0438633	0.0407	0.0161454	0.0303507	0.00820334	0.03214352	40.02153	0.477437	0.789427	1.0841	1.64903	0.266987	0.223312	0.134937	0.0731812	0.127787	0.173796	0.07118669	0.4515383
1300	-258.2916	-247.5326	-10.75899	39.7211	2.613032	0.2356126	0.01360725	0.058904	0.0638993	0.0196125	0.146704	0.173915	0.0236829	0.0188073	0.00232402	0.0286897	0.0240405	0.0333794	0.077225	0.323121	0.00470186	0.000994263	0.03413161	39.7211	0.356918	0.70757	1.0798	1.85571	0.24626	0.204397	0.15829	0.0937322	0.202375	0.0949461	0.04773886	0.714965
1400	-267.4519	-258.9565	-8.49545	43.76363	1.492891	0.07437113	0.04080268	0.0290857	0.057964	0.0369534	0.0481638	0.00168784	0.00718261	0.170471	0.00470869	0.0413955	0.096756	0.00491283	0.176557	0.226321	0.00958078	0.0882607	0.004088923	43.76363	0.224222	0.587369	1.05	2.13841	0.286041	0.224182	0.113637	0.0633772	0.150438	0.162326	0.04489161	0.09108436
1500	-261.5946	-250.4389	-11.15564	40.46484	2.745243	0.1125843	0.04673248	0.113985	0.0506507	0.0994667	0.0566789	0.0828612	0.00316068	0.0793392	0.0123512	0.00956713	0.0836845	0.0151521	0.046573	0.0685282	0.24569	0.0323113	0.01119122	40.46484	0.36854	0.71637	1.08093	1.83416	0.293528	0.126369	0.139001	0.109743	0.141454	0.189904	0.05792371	0.1932063
1600	-267.5863	-256.4112	-11.17517	39.09392	0.8337197	0.09555516	0.04606142	0.0717342	0.000741995	0.105023	0.0100331	0.026994	0.104545	0.00434978	0.0172489	0.144413	0.10851	0.0403631	0.206406	0.0708052	0.0275559	0.0612771	0.05432807	39.09392	0.102711	0.420364	0.965877	2.51105	0.32739	0.161502	0.108915	0.09536	0.145384	0.161449	0.1003895	0.5411729
1700	-273.0495	-255.5625	-17.48701	68.82581	5.160671	0.09835915	0.02464312	0.0238977	0.0712688	0.256006	0.0209265	0.0029055	0.00354068	0.119958	0.0170767	0.00914481	0.162644	0.0391017	0.0365142	0.0669443	0.080126	0.0899446	0.06602181	68.82581	0.508617	0.807711	1.08301	1.60066	0.342182	0.185012	0.0851295	0.103208	0.163241	0.121228	0.09066493	0.7281957
1800	-273.539	-260.1412	-13.3978	40.92833	0.9634507	0.06312551	0.07201705	0.0243576	0.0129685	0.0768299	0.0352288	0.0209176	0.0190384	0.0224265	0.0635926	0.0362192	0.101881	0.109297	0.0600307	0.1079	0.0258376	0.283474	0.01626272	40.92833	0.129605	0.465483	0.99367	2.41124	0.257224	0.226065	0.128205	0.0969866	0.141827	0.149692	0.08827977	0.1842179
1900	-259.7191	-249.8595	-9.859649	18.68841	1.242992	0.2912287	0.06014213	0.0476818	0.120705	0.264079	0.0882343	0.00162988	0.0181142	0.065303	0.00815779	0.118338	0.0165832	0.0103159	0.0066911	0.145062	0.0311816	0.0579242	0.1468014	18.68841	0.182758	0.539322	1.03094	2.24698	0.329143	0.116171	0.144572	0.0838613	0.152645	0.173608	0.2069435	0.709379
2000	-272.1792	-252.397	-19.78224	96.39133	2.108543	0.02664475	0.004794316	0.0172454	0.00258138	0.167871	0.043188	0.0867879	0.00762236	0.0284449	0.0467778	0.0932807	0.181231	0.0815127	0.136814	0.0124741	0.0210456	0.0731228	0.03348321	96.39133	0.305896	0.666081	1.07248	1.95554	0.233873	0.200625	0.147709	0.0822016	0.16948	0.166112	0.03827753	0.8747485
2100	-255.9535	-243.484	-12.46955	56.83868	3.73489	0.0834046	0.04301471	0.035492	0.115538	0.161896	0.0473127	0.0105481	0.0156615	0.106776	0.036204	0.0319234	0.00746193	0.136073	0.0352476	0.244579	0.00609664	0.00918952	0.0469746	56.83868	0.439178	0.765512	1.08434	1.71097	0.21234	0.201865	0.10799	0.0746873	0.22085	0.182268	0.08998931	0.522002
2200	-271.2306	-251.8944	-19.33622	59.89442	2.006183	0.07438072	0.04900794	0.0394947	0.099922	0.202318	0.0126809	0.0422881	0.00880251	0.0921406	0.0715251	0.0934266	0.0429309	0.120906	0.00278013	0.038824	0.0825009	0.0494594	0.05627673	59.89442	0.294012	0.65567	1.07014	1.98018	0.296195	0.239018	0.129327	0.103134	0.101467	0.130858	0.1052847	0.5345197
2300	-269.3508	-252.9642	-16.38668	66.52618	1.593644	0.3137036	0.03635673	0.0373761	0.051188	0.00267041	0.0215518	0.087423	0.0168151	0.0139697	0.0837783	0.028341	0.0204827	0.112495	0.13403	0.262263	0.00846362	0.119152	0.03620013	66.52618	0.239433	0.603436	1.05548	2.10165	0.302551	0.1825	0.1162	0.0817293	0.163906	0.153114	0.07255685	0.4989208
2400	-261.9048	-248.2176	-13.6872	42.45118	5.002095	0.143883	0.02463773	0.0447615	0.123672	0.127038	0.0676474	0.03809	0.00622591	0.0530528	0.00690623	0.215839	0.00448578	0.106631	0.0164221	0.154166	0.0205269	0.0145348	0.03359497	42.45118	0.502165	0.80401	1.0833	1.61053	0.304101	0.125137	0.154343	0.126819	0.220834	0.0687652	0.0582327	0.576909
2500	-261.7587	-248.9766	-12.78206	44.61658	2.873592	0.08522853	0.05242436	0.00650627	0.0372902	0.109392	0.0372546	0.0445809	0.0133156	0.0823916	0.00115874	0.115972	0.0753249	0.0635926	0.0658117	0.0647256	0.0988569	0.183826	0.02454165	44.61658	0.37924	0.72428	1.08182	1.81466	0.311031	0.174445	0.103101	0.0991896	0.185446	0.126787	0.07696601	0.3188634
2600	-268.9101	-256.4678	-12.44235	72.60994	0.8909338	0.07995732	0.01663498	0.0425995	0.103689	0.221785	0.029367	0.015108	0.0686475	0.0186175	0.0514892	0.0972667	0.0777433	0.0726826	0.0904347	0.0734833	0.0255132	0.0115739	0.02897866	72.60994	0.114712	0.441323	0.979284	2.46468	0.291931	0.138444	0.165653	0.108132	0.195573	0.100266	0.04561364	0.6353068
2700	-278.2352	-264.5227	-13.71242	34.37746	1.210433	0.1731207	0.006327123	0.0494085	0.0465394	0.0208546	0.0265293	0.15872	0.00242352	0.0349333	0.185376	0.145107	0.0265373	0.0419666	0.0441343	0.0167093	0.0390309	0.161731	0.008167346	34.37746	0.176939	0.532	1.02768	2.26338	0.246912	0.234646	0.112338	0.126081	0.16532	0.114703	0.01449447	0.5634802
2800	-259.5724	-248.3144	-11.25792	52.82327	1.35807	0.09683333	0.0263756	0.0593139	0.0129197	0.0437638	0.0351644	0.0320634	0.000618606	0.0274849	0.00581208	0.0565941	0.00800392	0.0805707	0.010623	0.402383	0.0942253	0.13046	0.004432766	52.82327	0.202541	0.563091	1.04087	2.1935	0.262679	0.18031	0.168251	0.0845022	0.156423	0.147835	0.03080837	0.1438819
2900	-264.3368	-254.4819	-9.854954	13.85194	2.115886	0.2071097	-0.01832522	0.0226606	0.0250408	0.109086	0.0911514	0.0400072	0.0109167	0.0107245	0.0681075	0.028353	0.048058	0.153827	0.00884049	0.27443	0.0893602	0.0194363	0.249737	13.85194	0.306726	0.666797	1.07264	1.95384	0.244754	0.207885	0.159698	0.0541196	0.158647	0.174896	0.2314117	1.079189
3000	-258.0994	-247.32	-10.77948	39.2394	1.783629	0.09530962	0.046185	0.0576145	0.078257	0.161096	0.00290592	0.0210768	0.0443011	0.0507153	0.0241517	0.105433	0.11098	0.069092	0.0123095	0.153898	0.0622781	0.0458916	0.0482084	39.2394	0.266003	0.629839	1.0635	2.04066	0.24286	0.226764	0.118174	0.0717661	0.183271	0.157165	0.0943934	0.5107179
3100	-263.1899	-253.3466	-9.843298	12.66136	7.062752	0.2160524	0.08759862	0.0334914	0.005872	0.170237	0.0103852	0.00924488	0.0132409	0.0636013	0.00836865	0.0729799	0.0046507	0.0612278	0.0377354	0.290878	0.167808	0.0502791	0.01001963	12.66136	0.570255	0.84104	1.07881	1.5099	0.319291	0.239358	0.110328	0.105958	0.125166	0.0998995	0.09761826	0.102641
3200	-270.6139	-257.0724	-13.54146	77.85073	1.149129	0.1170431	0.03955726	0.0923844	0.0872248	0.102276	0.00152622	0.0996146	0.0384388	0.172949	0.0389702	0.0122444	0.0295051	0.00427289	0.128796	0.0967744	0.0265834	0.0684393	0.0106385	77.85073	0.165713	0.517405	1.0209	2.29598	0.279777	0.162255	0.0681219	0.0919474	0.211014	0.186886	0.05019576	0.2119402
3300	-268.1612	-250.0665	-18.09476	123.4305	1.426631	0.1495384	-0.001583619	0.0158242	0.0233966	0.127877	0.0110831	0.0834333	0.00830693	0.0881333	0.00260697	0.211643	0.144865	0.0366627	0.0444023	0.10406	0.0464612	0.051245	0.04727538	123.4305	0.213763	0.57587	1.04581	2.16456	0.290278	0.246642	0.0911693	0.119033	0.126741	0.126136	0.04569176	1.034659
3400	-274.1634	-249.7828	-24.38063	472.3809	1.824152	0.0630858	0.007600347	0.0714023	0.00980538	0.177122	0.0357696	0.0337064	0.0816305	0.00282701	0.019646	0.0055676	0.156907	0.0728897	0.0154038	0.237331	0.0168391	0.0631533	0.01535578	472.3809	0.27134	0.634909	1.0649	2.02886	0.249753	0.138773	0.075436	0.0748352	0.202501	0.258702	0.02295612	0.6689185
3500	-266.5961	-252.6437	-13.95237	80.33448	3.008379	0.03522555	0.01215952	0.0236132	0.071149	0.069946	0.0216618	0.0827621	0.010111	0.0993402	0.0430099	0.139212	0.0741396	0.11983	0.0576371	0.0210563	0.0947148	0.0718168	0.01234459	80.33448	0.389909	0.731991	1.08256	1.79554	0.251585	0.248039	0.126082	0.13477	0.147037	0.0924874	0.02450411	0.5037763
3600	-271.6622	-253.0912	-18.57098	122.2822	3.826909	0.08392715	0.01006329	0.0209714	0.00896423	0.0894524	0.113447	0.0514406	0.0113592	0.0747499	0.0208566	0.00878434	0.0391288	0.130778	0.0032344	0.150443	0.229093	0.0472973	0.02257864	122.2822	0.444593	0.769002	1.08439	1.70202	0.25093	0.191546	0.0867179	0.105343	0.222839	0.142624	0.03264193	0.6917066
3700	-261.0044	-250.8319	-10.17251	20.36331	3.47707	0.2019216	0.1250068	0.00722284	0.0314221	0.182962	0.163427	0.0792331	0.0358032	0.0721395	0.0246777	0.0429242	0.0357593	0.0199912	0.00450028	0.184391	0.0107214	0.104825	0.009486223	20.36331	0.423104	0.754933	1.08404	1.73793	0.327579	0.125108	0.102508	0.0881809	0.226098	0.130526	0.134493	0.07053321
3800	-263.2125	-250.586	-12.62643	48.82071	3.600189	0.05035821	0.0393247	0.0175849	0.233957	0.104429	0.00848153	0.00134342	0.0589226	0.0182499	0.00297773	0.0208904	0.0206019	0.307668	0.00307318	0.114698	0.0302216	0.0569006	0.002548425	48.82071	0.430952	0.76014	1.08422	1.72469	0.260267	0.198407	0.0817726	0.106683	0.193327	0.159543	0.04187312	0.06086064
3900	-270.0596	-257.4315	-12.62813	55.83516	1.718249	0.1616168	0.008501005	0.0119759	0.0642496	0.233271	0.114852	0.0536902	0.0437953	0.156904	0.0326116	0.00826058	0.0160439	0.105916	0.115141	0.000434062	0.0363099	0.0065449	0.0159689	55.83516	0.257155	0.621266	1.06103	2.06055	0.295913	0.204072	0.0950287	0.0810459	0.175332	0.148608	0.0244699	0.6525934
