Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
10	0	-130.6414	-123.155	-7.486339	19.29087	2.339001	0.107412	0.0500717	0.00921488	0.00967217	0.0331505	0.0204786	0.0370322	0.0304748	0.027364	0.0314242	0.00748435	0.00730529	0.00639927	0.00910802	0.0325467	0.0629766	0.042682	0.00355661	0.0180144	0.0509397	0.116891	0.00539973	0.03283188	0.1028418	0.0335894	0.207497	0.15539	0.0391341	0.0374863	0.0535122	0.0833265	0.104321	0.0639582	0.0404272	0.0184717	0.0554635	0.0092753	0.0484428	0.0497052	0.1500047	2	53.12119	0.08860339	0.330641	0.686816	1.07655	1.906	0.0671509	0.120665	0.0692649	0.592799	0.0935805	0.0565401	0.2528465	0.593264
11	0	-142.0848	-129.3218	-12.76301	8.147712	2.923273	0.0644185	0.118442	0.0161849	0.037915	0.069356	0.0602947	0.0245524	0.197598	0.0780271	0.0134867	0.000193722	0.00479958	0.0728453	0.0703063	0.00225822	0.0621017	0.0385781	0.0157964	0.00341832	0.0457866	0.0528323	0.0125835	0.05263882	0.09483194	0.0834305	0.11988	0.0811273	0.0306172	0.0678899	0.0537968	0.195601	0.103768	0.0580525	0.0261394	0.0369476	0.0275348	0.00753905	0.0451207	0.0625548	0.1305324	4	57.27924	0.05622107	0.383238	0.727189	1.08211	1.80746	0.112955	0.142012	0.0621041	0.583642	0.0389019	0.0603853	0.2253643	0.5792061
12	0	-138.3278	-123.6605	-14.66724	12.16493	0.7240296	0.00234149	0.0295775	0.0414435	0.0507558	0.00320121	0.0440872	0.0533806	0.00845052	0.0139414	0.0027734	0.0855985	0.00783018	0.297587	0.0025798	0.000328449	0.000502498	0.0873312	0.119013	0.0664088	0.0112243	0.00137995	0.0894427	0.04432232	-0.04094031	0.0274543	0.0512461	0.0418986	0.0269158	0.00828256	0.0701927	0.0237982	0.263769	0.0283474	0.192704	0.124016	0.0147766	0.071344	0.0164146	0.03884	0.2001254	3	55.83795	0.04438543	0.0793266	0.374651	0.933458	2.61257	0.0461297	0.220132	0.0469866	0.528937	0.0241979	0.133616	0.1591851	1.257187
13	0	-128.4407	-123.1524	-5.288229	15.73976	4.923261	0.00472895	0.0244219	0.00305968	0.0931156	0.00133954	0.00691603	0.0135852	0.0467882	0.0282892	0.0136391	0.00941543	0.0375469	0.0429258	0.00469732	0.0240371	0.0223846	0.141185	0.0402996	0.0181675	0.041617	0.0269174	0.0139101	0.03239213	0.05323156	0.00581821	0.0421722	0.1814	0.0267494	0.0106931	0.157627	0.0959403	0.0518509	0.00167573	0.106466	0.0335181	0.013292	0.033523	0.220274	0.0189996	0.1636138	5	51.21087	0.04053797	0.498859	0.802098	1.08343	1.61561	0.112595	0.125577	0.100884	0.51459	0.096478	0.0498761	0.2168453	0.7545183
14	0	-117.4312	-123.5766	6.145462	11.49463	1.865811	0.0207229	0.00204384	0.000679835	0.00836259	0.00642164	0.00304517	0.0185334	0.0101527	0.00508044	0.0104772	0.0453535	0.00347697	0.00774118	0.000105321	0.00170449	0.0045956	0.00748384	0.0125967	0.022109	0.0288305	0.00698277	0.150853	0.01248737	0.02015258	0.0808877	0.0744238	0.10604	0.0521843	0.0428431	0.110394	0.109905	0.0126385	0.0545887	0.182007	0.0402723	0.0642037	0.0105297	0.0297279	0.0293546	0.1275927	2	50.8578	0.07952928	0.276713	0.639941	1.06624	2.01711	0.0519427	0.0872978	0.0563152	0.633568	0.100834	0.0700423	0.1477453	0.8635992
15	0	-138.533	-124.3402	-14.19281	39.34863	1.381512	0.0126096	0.0528731	0.0096365	0.0177775	0.00614122	0.0246629	0.00345851	0.00520793	0.0249031	0.0104927	0.0374409	0.053934	0.00566023	0.100336	0.012624	0.0482369	0.0988792	0.0159619	0.0449285	0.0429339	0.069539	0.00802349	0.05382298	-0.03526765	0.056199	0.223285	0.145152	0.059893	0.0384351	0.0135187	0.0621175	0.00729932	0.0354462	0.0616818	0.0499228	0.041741	0.0228736	0.177331	0.0051037	0.2563058	1	53.50334	0.02494883	0.206425	0.567568	1.04263	2.18337	0.109354	0.0877039	0.107513	0.566459	0.0811693	0.0478001	0.2210381	1.159555
16	0	-128.4215	-124.3026	-4.118894	14.48069	0.755105	0.0193104	0.0025803	0.00154493	0.105475	0.0130545	0.0427585	0.0232663	0.0757005	0.0136623	0.00673861	0.0201204	0.0343315	0.011465	0.0907817	0.0733954	0.00473483	0.107094	0.0752545	0.112822	0.0666975	0.0267125	0.00110743	0.04806951	-0.0313414	0.044684	0.0289366	0.0885886	0.169266	0.0356797	0.140853	0.143168	0.0123371	0.117852	0.114174	0.0139102	0.0288704	0.012408	0.0450915	0.00418144	0.2847378	2	51.13284	0.0544663	0.0859767	0.388411	0.943694	2.58192	0.0800209	0.153072	0.0801532	0.516728	0.112647	0.0573798	0.2533964	1.123685
17	0	-120.1844	-127.9298	7.745399	15.22053	0.407797	0.00866221	0.032164	0.0138644	0.0208165	0.0166094	0.00688674	0.0352508	0.0124599	0.00582222	0.00219419	0.000538529	0.0272201	0.0146789	0.00100427	0.00579877	0.00752625	0.0202914	0.00456162	0.0239269	0.00403165	0.0934276	0.0213393	0.02043408	-0.02381755	0.0796118	0.0647574	0.0415388	0.19157	0.0183564	0.0597561	0.0845966	0.0908028	0.00485626	0.0976957	0.0340831	0.0245402	0.159623	0.0281947	0.0200172	0.2366965	2	53.71533	0.02828148	0.0178551	0.187556	0.739582	3.05501	0.185367	0.121361	0.0350489	0.494814	0.029738	0.133671	0.2128789	1.111883
18	0	-120.0907	-127.7532	7.662425	22.73798	0.3316867	0.026906	0.00406888	0.0174782	0.04641	0.000625661	0.000422712	0.0246104	0.018072	0.00968566	0.0149442	0.00396926	0.0176389	0.0217248	0.00778673	0.00750285	0.0396625	0.0223264	0.00747128	0.000650169	0.00832534	0.0622018	0.000500443	0.01745387	0.01216644	0.0876959	0.0218311	0.106561	0.238831	0.012222	0.0875985	0.0141555	0.0246091	0.0196161	0.0367937	0.0710041	0.164235	0.0217709	0.0111545	0.0819209	0.2523819	2	50.98901	0.03043194	0.00821426	0.129264	0.645373	3.21715	0.138837	0.199059	0.0583495	0.472128	0.0556449	0.0759822	0.2645483	0.9540105
19	0	-122.8549	-119.7028	-3.152084	28.71235	0.4908287	0.0869857	0.00370989	0.000795107	0.00276292	0.0011628	0.0133785	0.0285393	0.00518201	0.0500663	0.0126483	0.0022383	0.0159962	0.0176684	0.00647475	0.0902556	0.0107283	0.041135	0.0632828	0.176998	0.0206535	0.0270836	0.0353995	0.02819492	0.02799536	0.0522678	0.253175	0.00985396	0.0730922	0.0553637	0.0040257	0.032353	0.165583	0.126222	0.0222796	0.00628824	0.0588546	0.0258794	0.0536143	0.0611472	0.1656702	3	53.01741	0.06121352	0.0317007	0.245886	0.813479	2.90893	0.0797674	0.171212	0.0739908	0.602523	0.0233676	0.049139	0.1936656	0.8554449
