Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	0	-617.9935	-529.9432	-88.05025	11.46059	0.5439126	0.321828	0.644858	0.122964	0.902011	0.0303333	0.362245	0.465911	0.277843	0.469582	0.0335623	0.501243	0.0771453	0.843882	0.0111642	0.0593449	0.343999	0.0194258	0.0351975	0.196447	0.330422	0.40926	0.109448	0.0315394	0.150838	1.19374	0.0373152	0.111566	0.436473	0.170804	0.662559	0.0964949	0.0569558	0.0129193	0.0952417	0.075195	0.280619	0.108011	0.0610156	0.1954501	-0.04021877	0.0995898	0.139334	0.00297311	0.0185162	0.100803	0.00420615	0.222782	0.0416448	0.00163396	0.176446	0.0299829	0.095024	0.0126652	0.0284448	0.025954	0.3726503	4	53.57836	0.05101684	0.0417876	0.27962	0.849766	2.82883	0.169578	0.101572	0.130865	0.342765	0.0898321	0.165388	0.3324315	1.120984
1	0	-651.6137	-542.9555	-108.6581	4.538718	0.5973201	0.26305	0.649578	0.0186429	0.0974129	0.145332	0.190958	3.41355	0.490053	0.545797	0.0824992	0.596507	1.17823	0.408112	0.00385436	0.606642	0.209629	0.620832	0.115	0.548778	0.236442	0.0101237	0.323035	0.149796	0.128133	0.0210326	0.591746	0.311466	0.164315	0.205197	0.19348	0.542669	0.221154	0.0210093	0.94082	0.0462755	0.828552	1.32484	1.66021	0.3284913	-0.01077961	0.174692	0.0508776	0.0864286	0.0889827	0.165676	0.13353	0.18687	0.0225429	0.000658462	0.0184481	0.000551117	0.00325259	0.0354985	0.0135764	0.0184154	0.4639998	3	50.94203	0.07947081	0.0525558	0.310779	0.879946	2.75672	0.177478	0.0789622	0.112721	0.372563	0.11217	0.146106	0.4532201	1.023784
2	0	-598.9164	-530.6367	-68.27975	7.087936	0.665015	0.0682441	0.50571	0.161148	0.118261	0.703189	0.137702	0.166958	0.286322	0.204611	0.0024399	0.0431276	0.284104	0.300738	0.0492951	0.00957876	0.133966	0.212904	0.124515	0.0643158	0.319144	0.344567	0.0333534	0.0599124	0.0303324	0.108723	0.0656698	0.608412	0.0421898	0.0482596	0.329852	0.135544	0.0485074	0.0633394	0.0363998	0.198637	0.158428	0.296875	0.158108	0.1682687	0.01544834	0.0428522	0.255536	0.012167	0.0127108	0.116213	0.104283	0.0881935	0.00601556	0.0232797	0.164107	0.0424401	0.00885592	0.034916	0.0519604	0.0364691	0.3035218	3	52.1591	0.1036365	0.0667369	0.346545	0.911181	2.67554	0.178618	0.189059	0.12616	0.212334	0.144348	0.14948	0.3189701	0.9515681
3	0	-573.1094	-521.2603	-51.84913	45.04913	1.580925	0.0191481	0.00295158	0.0335979	0.109795	0.0212705	0.106452	0.00199738	0.00704947	0.0684924	0.157332	0.0372113	0.113902	0.0528953	0.0618373	0.0633524	0.0592378	0.322104	0.0549131	0.0472308	0.115708	0.0153318	0.0242125	0.0101094	0.264404	0.11744	0.196553	0.0297635	0.00510511	0.0477692	0.01948	0.181411	0.0180533	0.0048873	0.00859062	0.0269462	0.0201426	0.123441	0.0465353	0.07517216	0.04027654	0.0941001	0.0519261	0.0955376	0.131841	0.0622402	0.1058	0.0143419	0.0202119	0.0242296	0.231988	0.0357508	0.0145282	0.0322157	0.0776066	0.00768235	0.1519046	6	55.32292	0.05936704	0.237557	0.601495	1.05484	2.10611	0.153922	0.183765	0.0860762	0.262081	0.161504	0.152652	0.1921812	0.7904241
4	0	-624.546	-527.0079	-97.53811	29.70646	0.5129754	0.461736	0.337436	1.27012	0.202788	0.011123	0.19646	0.358851	0.27182	0.503967	0.337529	0.00530403	0.0121831	0.173075	0.125905	0.151092	0.637219	0.62348	0.380912	0.0652243	0.0856701	0.704011	0.264124	0.00190436	0.0104874	0.748798	0.1566	0.00209107	0.00979185	0.0722484	0.0377517	0.0419212	0.231414	0.279887	0.0332076	0.457812	0.239625	0.336589	0.307689	0.2737821	0.05109008	0.0615899	0.114114	0.0244756	0.0268905	0.0867297	0.115493	0.00198475	0.00626362	0.0438171	0.360203	0.0157773	0.0294599	0.0181468	0.0435791	0.0514752	0.3682756	3	50.21773	0.0373416	0.0358171	0.260302	0.829485	2.8744	0.151965	0.190664	0.0750781	0.289002	0.130687	0.162603	0.4193657	0.878173
5	0	-583.7414	-528.6178	-55.12364	4.65845	1.819502	0.0348127	0.0415916	0.0247745	0.0175525	0.0229486	0.118313	0.125311	0.208543	0.171942	0.0650263	0.00701967	0.530472	0.0812885	0.0111934	0.155045	0.108226	0.0120418	0.0588724	0.228798	0.0140469	0.044508	0.0210809	0.0699386	0.00192229	0.0894255	0.0196179	0.0856402	0.173208	0.17711	0.0684081	0.0314266	0.0808081	0.0549533	0.0807682	0.0471738	0.0462433	0.375286	0.0663944	0.1131439	-0.004020968	0.112579	0.0469096	0.0788508	0.00562454	0.01588	0.128881	0.266493	0.1346	0.0143906	0.0156609	0.0398703	0.0333672	0.036686	0.0399408	0.0302654	0.4260443	3	53.10623	0.06685356	0.270733	0.634336	1.06474	2.03019	0.150394	0.0867194	0.121198	0.282917	0.151575	0.207197	0.4220233	1.009528
6	0	-629.993	-527.0433	-102.9496	11.01483	0.8999087	0.241607	0.31643	0.022737	0.0966988	0.0390848	0.321309	0.103934	0.119989	0.519678	0.0193502	0.167806	0.0161827	0.00688677	0.465452	0.200727	0.774091	1.25732	0.417924	0.103699	2.51008	0.0808833	0.173831	0.182487	0.026214	0.0219777	0.650284	0.661182	0.239852	0.0515973	0.554235	0.28904	0.678774	0.397976	0.575351	0.0257587	0.108467	0.0710217	0.071168	0.2691996	0.04395177	0.0987857	0.229418	0.049099	0.0332956	0.0829492	0.0352864	0.0511919	0.0267474	0.00190882	0.198798	0.0240526	0.105146	0.0417684	0.0186378	0.00291445	0.2812471	3	50.80765	0.08066319	0.116576	0.444452	0.981211	2.45776	0.147421	0.144045	0.106091	0.323409	0.118188	0.160847	0.3251988	0.8648465
7	0	-608.0681	-537.3544	-70.71361	31.55252	0.734915	0.0730806	0.10181	0.191595	0.0919533	0.0727212	0.110133	0.11775	0.237286	0.00888696	0.24117	0.0567596	0.168384	0.307458	0.040946	0.00984327	0.228603	0.028503	0.0930414	0.204915	0.124767	0.107217	0.0244883	0.0728932	0.00380939	0.0306795	0.445052	0.301617	0.271651	0.0728145	0.11184	0.0844404	0.0581353	0.00377895	0.110974	0.0930943	0.261782	0.0796381	0.075316	0.1709115	0.01710311	0.0780682	0.195986	0.0186747	0.00205628	0.0324043	0.172875	0.0528998	0.0645329	0.00400577	0.122278	0.0275687	0.160736	0.0235185	0.0373772	0.00701812	0.3880474	1	51.74394	0.0427629	0.0816563	0.379549	0.93715	2.60164	0.160327	0.124045	0.124747	0.277292	0.137527	0.176061	0.4051505	0.9577858
8	0	-624.6173	-534.0248	-90.59248	24.32772	0.526988	0.0312967	0.55526	0.302032	0.165694	0.0259232	0.0407121	0.20388	0.0199306	0.106091	0.102239	0.128727	0.0377012	0.316993	0.198573	0.116043	0.164516	0.137165	0.233504	0.115304	0.233866	0.0915884	0.0509903	0.195477	0.160198	0.0278067	0.123279	0.212749	0.0168323	0.326736	0.0666411	0.306287	0.516078	0.291989	0.032375	0.168728	0.274316	0.264078	0.127	0.1868418	-0.04093318	0.0814201	0.262547	0.037139	0.0283938	0.0628323	0.148695	0.0282905	0.0246617	0.00692948	0.0185706	0.0215876	0.145623	0.00613482	0.0875074	0.039667	0.558985	2	54.12409	0.02268762	0.0384923	0.26917	0.838954	2.85338	0.174634	0.132715	0.104649	0.314061	0.143138	0.130802	0.5180518	1.079014
9	0	-610.105	-532.9494	-77.15556	7.786265	1.118694	0.598088	0.0671511	0.00219164	0.218862	0.0148126	0.252464	0.0167421	0.208383	0.131449	0.335167	0.279911	0.32316	0.226242	0.0601389	0.0386044	0.171112	0.0184094	0.00596273	0.2855	0.134782	0.425287	0.0317547	0.167017	0.0182073	0.0649798	0.245612	0.18202	0.00121033	0.0247565	0.0872908	0.959654	0.414475	0.162785	0.0765011	0.0842421	0.0628897	0.211572	0.285325	0.203865	-0.02031482	0.105172	0.0153204	0.084479	0.0151362	0.0576612	0.152022	0.101241	0.04725	0.00969003	0.102173	0.20266	0.0588676	0.0142155	0.0253078	0.00880292	0.536662	3	58.93236	0.03518439	0.16001	0.509735	1.01719	2.31307	0.128668	0.144992	0.106281	0.33998	0.0953106	0.184768	0.5163472	1.039343
