Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
14	0	-353.742	-315.0976	-38.64444	8.347675	0.9560597	0.3610532	-0.01041915	0.0727022	0.114637	0.018757	0.00632153	0.165499	0.00786266	0.0280361	0.00688755	0.0184296	0.05146	0.346247	0.000944309	0.0053541	0.119341	0.0375204	0.4430366	3	10.52246	0.07869541	0.128105	0.463134	0.99232	2.41644	0.185248	0.276228	0.09029	0.123659	0.228883	0.0956919	0.4326175	1.024084
15	0	-369.9785	-320.0486	-49.92992	7.239104	2.823291	0.2178953	-0.1781909	0.133581	0.111817	0.0167707	0.0573046	0.01582	0.0550749	0.074534	0.00164687	0.0629971	0.124177	0.22536	0.0191022	0.0284741	0.00626366	0.0670774	0.7952576	2	16.81149	0.09418159	0.375112	0.72125	1.08149	1.82215	0.173849	0.311047	0.0768486	0.120383	0.199405	0.118467	0.6170667	1.288771
16	0	-356.2713	-321.9427	-34.32856	4.917418	1.662215	0.3537095	0.1348433	0.173643	0.0399301	0.0173551	0.100203	0.0601447	0.00947193	0.126627	0.0038051	0.128172	0.0397689	0.15227	0.00840239	0.0627842	0.0752751	0.00214814	0.2743432	3	5.156364	0.1666934	0.249329	0.613504	1.05868	2.07849	0.216253	0.270669	0.167366	0.0900978	0.172386	0.0832276	0.4091865	0.6704601
17	0	-348.6286	-310.9846	-37.64397	5.928381	4.490401	0.4372947	0.1521354	0.0677453	0.0655669	0.0158353	0.0348403	0.101972	0.00612578	0.0788642	0.021018	0.0266038	0.0674952	0.424099	0.00980476	0.0124232	0.0423835	0.025223	0.3710648	4	6.515673	0.1806197	0.479429	0.790625	1.08406	1.64589	0.213923	0.323781	0.0957732	0.0588461	0.143829	0.163848	0.5232002	0.7092215
18	0	-350.5709	-307.6323	-42.93862	8.193557	3.713603	0.3246842	0.121843	0.0717885	0.0536981	0.0031451	0.0143235	0.0271154	0.0183571	0.050504	0.00221855	0.145123	0.0395217	0.424397	0.00681231	0.0527286	0.0845673	0.00569977	0.3411149	1	9.937273	0.1008625	0.437902	0.764684	1.08432	1.71309	0.192542	0.29493	0.108254	0.142276	0.192251	0.0697472	0.4629579	0.7368163
19	0	-359.2641	-313.2791	-45.98502	12.45572	2.462482	0.2070861	0.2433854	0.0945797	0.020891	0.0703511	0.0467711	0.0213269	0.0196001	0.067341	0.00755303	0.0767804	0.103327	0.323676	0.0919299	0.0376883	0.0176455	0.000539298	0.2394872	2	15.39867	0.1468667	0.342871	0.696629	1.07819	1.88231	0.196728	0.290485	0.132348	0.071637	0.195813	0.112989	0.4828726	0.4959636
20	0	-348.7822	-308.2741	-40.50809	6.057566	3.197069	0.3606249	-0.1032089	0.104218	0.0358066	0.0143223	0.0051613	0.128338	0.00190834	0.0768953	0.00532646	0.0633716	0.0914108	0.341817	0.0546121	0.0522661	0.00704116	0.0175056	0.5174361	4	6.593737	0.2388922	0.403955	0.741887	1.08333	1.77083	0.254405	0.286037	0.090419	0.0896193	0.204549	0.0749702	0.4142272	1.24916
21	0	-357.6144	-317.1179	-40.4965	8.450588	1.032606	0.2635116	0.1659122	0.150055	0.0294764	0.0270056	0.00890977	0.0531185	0.0446217	0.142035	0.0348179	0.040767	0.0414743	0.25242	0.000434112	0.0026683	0.16394	0.00825591	0.2162484	2	11.4439	0.1563257	0.143413	0.486338	1.0052	2.36505	0.199733	0.197053	0.133386	0.159825	0.18374	0.126263	0.3821606	0.5658574
22	0	-357.1167	-315.195	-41.92174	8.304989	2.686757	0.2618605	0.03276507	0.135192	0.0137652	0.101547	0.00271362	0.0563999	0.0180429	0.0782833	0.00705578	0.0247022	0.0919385	0.33185	0.0332343	0.0056326	0.0693583	0.0302845	0.3516772	3	10.04656	0.1462121	0.363477	0.712564	1.08046	1.8435	0.137155	0.294445	0.0921692	0.0744946	0.229173	0.172563	0.3844423	0.9147724
23	0	-362.3627	-316.5511	-45.8116	9.9906	2.41799	0.2003434	0.002595133	0.0801737	0.0517944	0.0137355	0.0206833	0.0261839	0.120887	0.0296906	0.0024623	0.0990418	0.00370625	0.214739	0.0981917	0.134447	0.101429	0.00283505	0.2459038	3	14.69974	0.09552438	0.338541	0.693186	1.07763	1.89064	0.246336	0.345439	0.057049	0.123498	0.0804319	0.147246	0.248499	0.9895568
24	0	-350.8077	-313.5116	-37.2961	5.012704	2.219453	0.3388099	0.1947808	0.151	0.218396	0.0143296	0.0241183	0.00240754	0.00391016	0.103319	0.0081255	0.0447203	0.133295	0.23735	0.0273325	0.00317634	0.0203737	0.00814631	0.4633322	4	5.413188	0.1976676	0.318135	0.67649	1.07462	1.93075	0.174467	0.310656	0.110128	0.0987681	0.141219	0.164763	0.658113	0.7040314
25	0	-353.4449	-308.7593	-44.68559	6.734633	2.595235	0.4339557	0.01944919	0.0933495	0.119354	0.0147783	0.00071063	0.0029566	0.00168827	0.173349	0.000380313	0.0437077	0.0490236	0.391787	0.0279659	0.0200555	0.0280356	0.0328568	0.3079432	3	18.72684	0.1248665	0.355304	0.70633	1.07963	1.85873	0.244513	0.231829	0.124418	0.0612774	0.175545	0.162418	0.3273924	0.9405936
26	0	-366.5696	-325.0215	-41.54807	9.022448	1.685204	0.3406665	-0.03004425	0.0499577	0.161412	0.0317605	0.0259867	0.248194	0.0754953	0.0187224	0.00059218	0.100284	0.0120269	0.0954098	0.0984687	0.0260788	0.0485032	0.00710758	0.3830513	3	10.62204	0.1666789	0.252568	0.616737	1.05967	2.07102	0.185488	0.212072	0.0664094	0.171628	0.288588	0.075814	0.353007	1.085109
27	0	-353.0188	-310.0349	-42.98385	8.588981	4.44221	0.2445275	-0.09409026	0.101417	0.0511399	0.0192551	0.0140407	0.0394293	0.0509935	0.0338861	0.00136538	0.0301246	0.0445354	0.303232	0.00394039	0.124012	0.172086	0.0105435	0.4433535	3	10.51981	0.07058236	0.47712	0.789235	1.08411	1.64954	0.160514	0.383752	0.0573233	0.103585	0.161713	0.133112	0.3492632	1.269396
28	0	-361.3231	-318.1375	-43.18565	9.574609	1.461695	0.4288935	0.0824065	0.0966852	0.0112669	0.00731054	0.0549056	0.0606663	0.0355485	0.0739535	0.00242334	0.142807	0.105678	0.307862	0.00798344	0.0200959	0.0662983	0.00651515	0.1398482	3	9.587702	0.08990125	0.219344	0.582054	1.04809	2.15051	0.187674	0.274273	0.0898886	0.0747045	0.202563	0.170896	0.2222547	0.629225
29	0	-348.9298	-308.3646	-40.5652	6.435619	5.234172	0.345652	0.09915818	0.121219	0.0743164	0.00778399	0.0236113	0.0399197	0.0100512	0.106782	0.00363766	0.00694092	0.0429539	0.424461	0.0250731	0.0334057	0.0406501	0.0391945	0.2205466	4	11.68182	0.06705218	0.511522	0.809363	1.08287	1.59624	0.206888	0.30113	0.0781709	0.101651	0.205182	0.106978	0.3197048	0.6898446
30	0	-355.9598	-311.4349	-44.52491	13.31425	3.488979	0.2113269	0.08360952	0.083649	0.0234513	0.00871089	0.0319747	0.013242	0.0214634	0.0892508	0.00281186	0.023194	0.0499516	0.468655	0.0306106	0.105227	0.0180457	0.0297625	0.2040834	3	17.43768	0.1190758	0.423877	0.75545	1.08406	1.73662	0.229881	0.228423	0.0686542	0.0782379	0.208779	0.186025	0.2876929	0.7093793
31	0	-353.0083	-317.9227	-35.0856	5.5493	3.364779	0.3305516	0.1494914	0.0768371	0.0360906	0.0306366	0.00932016	0.0409657	0.0125974	0.0516933	0.00162454	0.286669	0.0177617	0.267192	0.00229113	0.0169472	0.0765944	0.0727791	0.3115985	3	5.914494	0.1818508	0.415651	0.749915	1.08381	1.75063	0.278172	0.280239	0.109046	0.0647739	0.204088	0.0636808	0.4610899	0.6757869
32	0	-352.6466	-314.0991	-38.54748	7.135961	1.575265	0.1561497	-0.106634	0.136524	0.0175977	0.00038845	0.0592736	0.00161609	0.0212714	0.141702	0.01224	0.0721665	0.144692	0.313911	0.0518025	0.0125091	0.0119108	0.00239503	0.3415814	2	9.400654	0.09318236	0.236719	0.600623	1.05455	2.10811	0.231282	0.288866	0.112401	0.0744569	0.159034	0.133961	0.2349474	1.453863
33	0	-351.2143	-308.858	-42.3563	7.36635	3.378535	0.3737636	0.2347125	0.166503	0.0541897	0.0189821	0.00838061	0.0498373	0.0120913	0.0791225	0.00175638	0.0284709	0.00432047	0.33638	0.0424543	0.103857	0.0792191	0.0144357	0.2569745	4	10.81188	0.1450286	0.41658	0.750544	1.08384	1.74904	0.195845	0.251801	0.116006	0.104015	0.228457	0.103876	0.4916869	0.5226384
34	0	-352.256	-308.5819	-43.67415	11.0621	1.323257	0.1949749	0.05387328	0.0724611	0.0164535	0.0505931	0.0198311	0.0710642	0.0237207	0.155952	0.0139368	0.106037	0.117664	0.280275	0.0147807	0.00807953	0.0434679	0.00568357	0.229468	2	14.99205	0.1328075	0.196684	0.556225	1.0381	2.20899	0.254136	0.241059	0.135104	0.0819023	0.152616	0.135183	0.2833413	0.8098644
35	0	-350.6621	-305.3348	-45.32729	9.887534	5.907505	0.2653005	0.05719642	0.0931845	0.0670513	0.0130601	0.00893318	0.0758562	0.0257784	0.0798788	0.0109459	0.043946	0.0663028	0.387726	0.0409525	0.0151629	0.0650304	0.0061909	0.1650908	3	14.18302	0.1243547	0.535898	0.8229	1.08146	1.55974	0.226705	0.265491	0.141155	0.0867424	0.165066	0.114841	0.2222873	0.7426914
36	0	-354.9466	-312.1671	-42.77945	10.42401	3.048965	0.2807812	-0.001434466	0.0778681	0.0640325	0.0283125	0.0197875	0.0317304	0.0232324	0.163832	0.0350787	0.00871855	0.0140455	0.45923	0.00404353	0.0372986	0.032677	0.000112767	0.2051054	4	13.19135	0.0912404	0.393015	0.734203	1.08275	1.79003	0.25804	0.187327	0.119523	0.125757	0.155257	0.154095	0.203671	1.007043
37	0	-368.7543	-318.8353	-49.91895	10.82809	7.023273	0.1947768	0.1583021	0.117101	0.0962343	0.0199407	0.0151608	0.0725858	0.0129061	0.087174	0.0032506	0.017993	0.0129281	0.275371	0.0010894	0.016406	0.190727	0.0611313	0.4105465	2	16.85639	0.09128877	0.569207	0.840502	1.0789	1.51139	0.172448	0.309519	0.111324	0.0675331	0.195001	0.144175	0.5688487	0.7217148
38	0	-356.2591	-319.6725	-36.58656	6.84546	2.911384	0.3474674	0.06698092	0.158998	0.0518304	0.0316575	0.039284	0.13942	0.0299407	0.0474776	0.00816892	0.12643	0.0149168	0.295348	0.00790586	0.00950312	0.0254234	0.0136954	0.2868793	4	7.092108	0.1243478	0.382288	0.7265	1.08204	1.80917	0.123302	0.262238	0.144755	0.143324	0.171514	0.154867	0.3538602	0.8107136
39	0	-365.1315	-311.6144	-53.51709	12.60222	1.990481	0.1595656	0.1067241	0.135892	0.0122436	0.0115839	0.0214373	0.0348851	0.0248206	0.124267	0.00238489	0.0436277	0.0402976	0.329236	0.00523056	0.0912695	0.111972	0.0108527	0.3684246	2	22.98875	0.04252385	0.292136	0.653998	1.06975	1.98412	0.229806	0.238658	0.119671	0.100195	0.188666	0.123003	0.4751487	0.775388
40	0	-364.0127	-309.8825	-54.13023	12.74821	4.324594	0.1396035	0.1601627	0.183333	0.0404675	0.0478704	0.0099982	0.0231572	0.0652171	0.0170291	0.00588843	0.113761	0.00265013	0.268692	0.0101283	0.17995	0.018962	0.0128957	0.08579796	2	14.0566	0.1288434	0.471351	0.785735	1.08423	1.65869	0.157488	0.319318	0.123234	0.121757	0.153572	0.124631	0.2459607	0.348828
41	0	-353.2933	-311.1948	-42.09845	8.973618	4.173219	0.2539238	0.0730731	0.0743898	0.0167806	0.00715134	0.0107814	0.050703	0.00386821	0.0730895	0.0100116	0.0400474	0.089016	0.483091	0.0011289	0.0339111	0.0482581	0.057772	0.1792425	4	12.46064	0.1370948	0.463632	0.780994	1.08434	1.67104	0.294312	0.312196	0.0611123	0.0619164	0.147888	0.122575	0.2523156	0.7103901
42	0	-353.8724	-313.2215	-40.65092	7.909414	5.670836	0.2570725	0.08572389	0.156046	0.0540124	0.0741997	6.66237e-05	0.143143	0.0197622	0.0428237	0.00865301	0.0801888	0.0664405	0.156168	0.135966	0.00174087	0.0500991	0.01069	0.2801663	3	8.867301	0.1335799	0.52776	0.818444	1.08198	1.57182	0.183969	0.233671	0.144468	0.0861115	0.251937	0.0998432	0.3658902	0.7657114
43	0	-355.5402	-317.8863	-37.65387	7.360617	2.265488	0.3049808	0.06174681	0.197337	0.0144095	0.0630694	0.0483383	0.105003	0.0443299	0.056721	0.00290542	0.0820573	0.0422875	0.188358	0.102791	0.00354041	0.0103921	0.0384597	0.2007339	3	7.990042	0.1146367	0.323032	0.68057	1.07541	1.92099	0.168921	0.25763	0.083948	0.131615	0.193242	0.164644	0.2624807	0.7647568
44	0	-350.8785	-305.9286	-44.94995	12.11486	3.453315	0.2736102	0.0877896	0.0944678	0.040745	0.00424097	0.0106895	0.104499	0.0111985	0.120772	0.00761365	0.0362117	0.10546	0.261099	0.0162265	0.00851217	0.177061	0.0012022	0.1646568	3	14.24133	0.1039227	0.421551	0.753894	1.08399	1.74056	0.262868	0.289709	0.14374	0.0704726	0.161161	0.0720497	0.2524464	0.6522445
45	0	-358.04	-313.5468	-44.49318	10.20339	2.796605	0.321679	0.05948666	0.0915608	0.115313	0.02783	0.00611712	0.0064184	0.00439274	0.141488	0.000942579	0.0434947	0.175366	0.221001	0.0230791	0.0277033	0.0698171	0.0454762	0.1461509	3	11.22334	0.1228752	0.372888	0.719606	1.08131	1.8262	0.187922	0.386735	0.135019	0.057836	0.121267	0.11122	0.2056376	0.7107209
46	0	-348.0962	-310.6833	-37.41289	7.189802	2.174813	0.2839878	-0.05322463	0.0687412	0.107118	0.0150178	0.0039358	0.0038702	0.043046	0.0947343	0.00481342	0.0479075	0.152586	0.303346	0.0660374	0.00979466	0.0521434	0.0269085	0.3744635	3	7.7473	0.1253675	0.313286	0.672402	1.07381	1.94051	0.293883	0.244668	0.105951	0.0505428	0.147177	0.157778	0.3212388	1.165686
47	0	-356.7106	-311.7587	-44.95189	8.769998	6.11175	0.2191125	0.06433358	0.0519383	0.052845	0.0215477	0.0686319	0.0434313	0.0730557	0.0400174	0.00181501	0.048937	0.213591	0.299159	0.00159759	0.030052	0.0504601	0.00292154	0.3753453	3	10.16718	0.1140407	0.542587	0.826515	1.08101	1.54989	0.196577	0.307273	0.0672173	0.096451	0.122443	0.210039	0.4396789	0.8536805
48	0	-349.8813	-309.7973	-40.08392	9.157917	1.911567	0.2218438	0.1518325	0.120472	0.0287584	0.049806	0.0358494	0.0322514	0.00130927	0.0961621	0.0117562	0.0833801	0.102817	0.320191	0.0026392	0.0406293	0.0667223	0.00725688	0.3203791	2	10.9421	0.08049418	0.282485	0.645268	1.06761	2.00464	0.202127	0.292685	0.0783585	0.0838738	0.211483	0.131471	0.4722116	0.6784652
49	0	-365.5471	-317.7898	-47.75731	13.94467	2.881329	0.2198923	0.1454911	0.0688287	0.0817056	0.0271238	0.00202284	0.109037	0.0104314	0.0536922	0.00975024	0.0501296	0.0169824	0.341535	0.0362336	0.0231843	0.116348	0.052995	0.09483595	2	15.41428	0.07041392	0.379868	0.724738	1.08186	1.81353	0.181291	0.318513	0.118258	0.0516631	0.23582	0.094455	0.240327	0.3946121
50	0	-353.0555	-310.6355	-42.42005	8.70119	3.414632	0.2091599	0.06990969	0.161046	0.0489636	0.0293653	0.02146	0.0476734	0.0351634	0.0622166	0.0120597	0.0217518	0.0337587	0.43604	8.72427e-05	0.01534	0.0662702	0.00880395	0.1671579	4	15.02342	0.0843766	0.418996	0.752176	1.08392	1.74491	0.235664	0.275396	0.0733116	0.11916	0.139903	0.156565	0.2370676	0.7051066
51	0	-368.9382	-314.0299	-54.90828	16.25965	2.662416	0.1339738	0.106038	0.137719	0.00729291	0.0532138	0.0225844	0.019365	0.0240087	0.0890109	0.0110804	0.0628224	0.000520077	0.219004	0.0756533	0.0978984	0.107893	0.0719334	0.07841353	2	16.9568	0.05414784	0.361333	0.71094	1.08025	1.84747	0.17953	0.32627	0.0666624	0.124519	0.172447	0.130572	0.1844516	0.4251172
52	0	-352.5724	-310.6532	-41.91918	11.5051	1.791939	0.1640855	0.1011995	0.132776	0.107676	0.020504	0.00229032	0.0245581	0.0207199	0.0442938	0.00721322	0.108081	0.0711748	0.388562	0.0215661	0.00563943	0.0323132	0.0126327	0.3670057	4	14.03128	0.05500932	0.267107	0.630893	1.06379	2.03821	0.234609	0.262325	0.0590485	0.142768	0.122241	0.179008	0.4682052	0.7838565
