Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-557.2335	-490.264	-66.96948	32.96236	5.45893	0.204907	0.238199	0.0256453	0.148199	0.220472	0.216645	0.00262103	0.18701	0.0326054	0.143227	0.0228337	0.000787281	0.164903	0.0472236	0.136467	0.299829	0.0199705	0.0149009	0.0163275	0.0807718	0.0825273	0.348729	0.0155143	0.0908293	0.0147097	0.00109916	0.0804171	0.0781297	0.243276	0.0806767	0.0643465	0.0665141	0.213427	0.125564	0.225063	0.0594342	0.0562753	0.000963677	0.1036674	-0.05014611	0.0486959	0.100111	0.0458084	0.0339243	0.211492	0.00255656	0.00364239	0.00442889	0.0422533	0.00491294	0.272496	0.0714177	0.0546536	0.0208851	0.0827214	0.392687	4	39.99368	0.04658959	0.52009	0.814187	1.08242	1.5833	0.123339	0.121236	0.0645398	0.418843	0.115045	0.156997	0.3425409	1.146395
100	-567.9655	-486.0394	-81.92613	27.36564	4.629265	0.101495	0.186577	0.87572	0.64457	0.0893633	0.0319239	0.388019	0.101812	0.103056	0.136089	0.0061418	0.153795	0.0989931	0.0542838	0.178759	0.103902	0.0718303	0.511688	0.103663	0.00243609	0.694981	0.000417691	0.471598	0.60678	0.141604	0.152192	0.211754	0.650854	0.204629	0.0299953	0.37402	0.0631752	0.11466	0.0144509	0.173167	0.0623735	0.00056585	0.654918	0.2550954	-0.08565326	0.134823	0.0615465	0.0527311	0.0113748	0.131646	0.0550381	0.000292362	0.00812097	0.0320489	0.0017483	0.215512	0.209713	0.0461865	0.0300476	0.0091716	0.3741358	5	27.42065	0.111636	0.485911	0.794498	1.08388	1.63571	0.130895	0.110765	0.0817225	0.327593	0.160882	0.188143	0.2884826	1.29691
200	-562.7365	-487.2742	-75.46226	30.0248	5.181537	0.0217293	0.303123	0.095235	0.1324	0.112817	0.0580913	0.0703568	0.0755712	0.094005	0.165252	0.0130656	0.0117323	0.108683	0.0428571	0.0114925	0.480677	0.0192064	0.00867852	0.0754125	0.25568	0.0763663	0.64678	0.0387114	0.000894517	0.0724688	0.524365	0.0761853	0.0989088	0.247349	0.0700387	0.0056274	0.00834816	0.20396	0.039301	0.0490334	0.0562059	0.295554	0.239802	0.1437123	0.0482117	0.0374155	0.163571	0.0643812	0.000506003	0.145946	0.00753589	0.0147762	0.0139994	0.0232507	0.0605631	0.284213	0.0515091	0.0720423	0.0200823	0.0402083	0.4693753	1	34.39769	0.0416031	0.509447	0.808184	1.08297	1.5994	0.107784	0.140143	0.0816073	0.377348	0.144943	0.148175	0.517587	0.906853
300	-591.0512	-497.1523	-93.89895	34.27845	4.074785	0.227727	0.179189	0.0864072	0.366153	0.147776	0.0789311	0.107549	0.26763	0.125043	0.209664	0.0182894	0.0119691	0.031238	0.139566	0.179937	0.836572	0.146377	0.664686	0.125513	9.81321e-06	0.527462	0.0233398	0.176499	0.150495	0.0682724	0.0102525	0.0420818	0.183723	2.55713	0.144818	0.163351	0.475968	0.0644976	0.0914715	0.153044	0.119254	0.167631	0.119385	0.237628	0.01383209	0.0380388	0.250908	0.0555077	0.00955743	0.149232	0.0499512	0.000469133	0.00508357	0.00169238	0.0160301	0.268819	0.0643957	0.0391719	0.0216687	0.0294736	0.2867071	2	37.16385	0.04432824	0.458424	0.777756	1.08438	1.67944	0.129329	0.0906888	0.0683063	0.341484	0.147149	0.223043	0.3005392	0.9539758
400	-583.3003	-499.1366	-84.16372	27.18509	2.972167	0.211583	0.219388	0.599511	0.54064	0.0874056	0.0688967	0.644555	0.0927001	0.00477431	0.220516	0.00604105	0.142632	0.119054	0.224038	0.244899	0.30979	0.24172	0.00661215	0.15896	0.00606178	0.16406	0.04579	0.27319	0.121096	0.265188	0.0479587	0.989533	0.254475	0.503634	0.0627056	0.0913891	0.17448	0.0261317	0.335186	0.0508457	0.212444	0.540534	0.0021464	0.1819181	-0.04949131	0.0608627	0.0371476	0.118504	0.0212924	0.181265	0.0459569	0.00206858	0.00629933	0.0218938	0.0267126	0.161505	0.1711	0.103148	0.0324875	0.00975754	0.2977183	2	31.31047	0.05677209	0.387097	0.729975	1.08238	1.80055	0.123957	0.0908857	0.12064	0.273474	0.196082	0.194963	0.248227	1.199379
500	-579.7068	-501.9605	-77.7463	27.43332	2.676905	0.148298	0.0591492	0.0829156	0.424496	0.19414	0.186166	0.389324	0.439036	0.00615887	0.30183	0.0567257	0.29422	0.178389	0.103386	0.278448	0.0346686	0.0241497	0.118682	0.0107606	0.134555	0.0705454	0.678458	0.00951156	0.314314	0.102156	0.231268	4.45528e-06	0.258048	0.0268804	0.0745846	0.387393	0.0300357	0.120625	0.0349352	0.579199	0.0786182	0.225115	0.0372189	0.1538841	0.02102613	0.103187	0.0200176	0.0598735	0.051012	0.0999068	0.0680732	0.0132125	0.0280962	0.0216054	0.121015	0.123859	0.0893318	0.122143	0.0757407	0.0029263	0.2608841	4	37.99145	0.05150697	0.362612	0.711909	1.08038	1.8451	0.162012	0.190733	0.077112	0.250082	0.15602	0.164042	0.2819102	0.9254155
600	-567.9449	-502.9338	-65.01102	27.71323	3.55779	0.454643	0.00351257	0.078761	0.239135	0.122337	0.0770648	0.211009	0.36184	0.268629	0.349867	0.0126339	0.0209969	0.208992	0.158725	0.137812	0.0836581	0.338725	0.00700851	0.0315035	0.0126335	0.282379	0.0339569	0.197536	0.102279	0.0111576	0.0594698	0.116046	0.348557	0.0831911	0.129797	0.147311	0.130305	0.0126739	0.0298077	0.0321319	0.0881592	0.234701	0.0238691	0.1501621	-0.001644082	0.0589731	0.0144298	0.0722637	0.00312959	0.124095	0.00234051	0.00574536	0.0748507	0.0569003	0.0414635	0.329271	0.00205739	0.114868	0.0559213	0.0436906	0.2767191	4	32.41779	0.1126554	0.428286	0.75838	1.08416	1.72917	0.142888	0.149778	0.131874	0.253926	0.122866	0.198668	0.275075	1.005977
700	-557.6895	-492.4673	-65.22222	27.2408	2.801734	0.0374864	0.0417025	0.0626996	0.0248027	0.535808	0.660946	0.0140789	0.327436	0.498985	0.433543	0.0370711	0.123062	0.118166	0.0325869	0.0889844	0.163322	0.00496755	0.0407129	0.0111207	0.170468	0.088779	0.0443083	0.000771393	0.0867452	0.125884	0.0697368	0.0295899	0.0210474	0.668752	0.171987	0.125857	0.0426807	0.279219	0.0535594	0.0781117	0.363525	0.293154	0.141253	0.1501332	-0.05807007	0.129539	0.118609	0.0861854	0.000366581	0.0742446	0.00891363	0.00265796	0.00814203	0.047917	0.0180876	0.232735	0.0619365	0.128074	0.0726595	0.0099315	0.3578935	5	31.02612	0.07709644	0.373317	0.719924	1.08134	1.82541	0.140061	0.12622	0.0949555	0.243638	0.153274	0.241852	0.2998234	1.193681
800	-571.0168	-499.7201	-71.29668	24.64135	2.687436	0.287701	0.0445731	0.0725776	0.212768	0.106755	0.0743823	0.0438082	0.104986	0.174348	0.229696	0.0846496	0.181036	0.00187249	0.0820423	0.166391	0.0447798	0.00660278	0.0714966	0.00886199	0.0803832	0.0253054	0.146701	0.0253286	0.132572	0.213017	0.155382	0.0353737	0.00103767	0.0673244	0.63302	0.0189808	0.658239	0.199028	0.0172672	0.116703	0.147685	0.470388	0.257936	0.1430742	0.005324942	0.0353538	0.0966482	0.130957	0.00128232	0.0928759	0.0144238	0.0181765	0.0209531	0.0678926	0.156814	0.209741	0.0557328	0.0632308	0.0336772	0.0022416	0.3220019	4	34.56687	0.04302517	0.363536	0.712609	1.08047	1.84339	0.0945198	0.0937809	0.112036	0.254555	0.203853	0.241255	0.3273268	0.983732
900	-565.9614	-487.7736	-78.18777	25.27219	4.75738	0.0142723	0.368278	0.0573758	0.216798	0.122233	0.0120822	0.0309786	0.27466	0.104557	0.102592	0.00624053	0.00545529	0.399342	0.259108	0.273422	0.290031	0.0760535	0.0783647	0.0293092	0.335585	0.170528	0.275141	0.103967	0.81973	0.296634	0.133541	0.0161955	0.0830102	0.268373	0.243741	0.168635	0.419227	0.0676915	0.0480987	0.0199578	0.154481	0.796158	0.351264	0.249747	0.00620474	0.0788307	0.158488	0.103698	0.0282867	0.10713	0.00779004	0.0190546	0.0432156	0.034474	0.0150962	0.20749	0.0780653	0.0821923	0.0336329	0.00255687	0.219967	4	30.0292	0.05753635	0.491678	0.797905	1.0837	1.62672	0.16244	0.143861	0.062707	0.324191	0.129986	0.176814	0.2261717	0.9725662
