Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-242.5993	-252.6091	10.00974	162.9331	0.9383058	0.0806456	0.0963459	0.0893148	0.0381815	0.16479	0.0392267	0.010764	0.0816095	0.0257663	0.0391825	0.0993456	0.0289418	0.0277375	0.066893	0.0830048	0.00721084	0.05128623	0.01830485	0.0133394	0.159627	0.0336615	0.0293074	0.0792657	0.0250696	0.012948	0.00973233	0.0992395	0.0467187	0.10988	0.0270461	0.163028	0.176847	0.01429	0.01071816	162.9331	0.124486	0.457389	0.988975	2.42915	0.36788	0.156407	0.123145	0.0799214	0.142561	0.130086	0.02902301	0.3692988
100	-246.5192	-249.9154	3.396153	54.85545	2.077691	0.92501	0.0500414	0.0239133	0.00195285	0.0982189	0.00555911	0.0059978	0.093776	0.142511	0.0388675	0.00999648	0.145993	0.0931268	0.252583	0.295069	0.0189738	0.1630632	0.03370329	0.0283988	0.155511	0.170195	0.0571763	0.00584093	0.00462781	0.0150193	0.0457692	0.154811	0.112835	0.0927082	0.0355769	0.0412436	0.0334231	0.0468639	0.006738919	54.85545	0.302376	0.663029	1.07182	1.96278	0.264348	0.252308	0.0977292	0.0974359	0.17109	0.117089	0.04044221	0.1666308
200	-250.3816	-258.2601	7.87848	82.44353	1.910833	0.261204	0.427587	0.0439146	0.126116	0.0516541	0.023031	0.0535561	0.0782856	0.0378125	0.0264512	0.0989606	0.0149394	0.0725578	0.0557395	0.00111981	0.00293005	0.0903364	0.01306933	0.094077	0.00409895	0.0502526	0.0182601	0.0179304	0.211434	0.00157928	0.00882158	0.0024215	0.119907	0.0766503	0.0739037	0.117716	0.198194	0.0047539	0.002127645	82.44353	0.282393	0.645184	1.06759	2.00483	0.243823	0.170039	0.0967435	0.0915123	0.210936	0.186946	0.01519698	0.1400045
300	-214.8239	-248.7819	33.95795	61.51279	1.675116	0.0601248	0.0148008	0.0297831	0.000513751	0.0192509	0.0266907	0.00373344	0.00171539	0.0191657	0.0116332	0.0101486	0.0113744	0.00164912	0.0161468	0.0550423	0.0147155	0.02109067	0.01990364	0.0390669	0.23886	0.0362022	0.0600064	0.0188431	0.0339693	0.0698096	0.0687852	0.00734003	0.0608828	0.0476106	0.0195501	0.16564	0.0793603	0.0540736	0.003708754	61.51279	0.251151	0.615327	1.05924	2.07428	0.216594	0.2664	0.110238	0.0795695	0.128042	0.199156	0.0236124	0.1570681
400	-223.3827	-248.5686	25.1859	16.37057	1.716134	0.068285	0.0197927	0.042284	0.129575	0.0654854	0.0396275	0.00933118	0.00563957	0.00700736	0.0615164	0.0429212	0.0371378	0.236678	0.0850859	0.0198724	0.0442656	0.0677489	0.1009971	0.0585508	0.192122	0.0602668	0.0318856	0.0504751	0.00108583	0.0180234	0.0537518	0.0116766	0.0758502	0.0419425	0.0092545	0.145012	0.184025	0.0660776	0.008040833	16.37057	0.256864	0.62098	1.06094	2.06121	0.177154	0.251447	0.154345	0.113005	0.144191	0.159858	0.1090379	0.07374346
500	-232.9828	-247.1856	14.20273	45.10958	2.749153	0.0353424	0.110818	0.0315172	0.00830421	0.0201501	0.166147	0.0251675	0.0517999	0.171109	0.0385882	0.0106738	0.00189471	0.140863	0.0365499	0.0364161	0.124903	0.06022498	-0.00182674	0.00218249	0.176285	0.0928484	0.00247667	0.0146368	0.127598	0.0274852	0.00387434	0.0669275	0.0236555	0.0373024	0.00386014	0.179969	0.0170551	0.223842	0.04136181	45.10958	0.368874	0.71662	1.08096	1.83354	0.255582	0.32413	0.0508755	0.0821281	0.171676	0.115608	0.03953507	1.046206
600	-256.6395	-249.5269	-7.112591	4.606986	3.328736	1.79815	0.163071	0.0482378	0.0993884	0.249763	0.0764699	0.0325573	0.533091	0.295609	1.16071	0.426363	0.344552	0.373271	0.357124	0.148595	0.936819	0.4331575	0.1178588	0.0184967	0.113863	0.0806859	0.000693885	0.00395791	0.00437201	0.0685637	0.00188108	0.137075	0.198423	0.0627672	0.0864093	0.137937	0.0428508	0.0420229	0.1384345	4.606986	0.413196	0.748245	1.08372	1.75484	0.236999	0.207529	0.0620165	0.139424	0.239104	0.114927	0.2562933	0.5401409
700	-229.2723	-252.0681	22.7958	10.07003	3.384326	0.120009	0.0650279	0.121295	0.000489192	0.0330434	0.0417467	0.0834646	0.0508567	0.160886	0.074061	0.054246	0.0348494	0.0945977	0.0996724	0.0145088	0.0252251	0.05069521	0.1286574	0.0651113	0.0961404	0.0206944	0.0318019	0.0108834	0.0905348	0.0355733	0.0515827	0.0196907	0.115822	0.0116227	0.0369341	0.270695	0.0669772	0.0759358	0.004882269	10.07003	0.41697	0.750808	1.08385	1.74837	0.151314	0.215162	0.0782869	0.116219	0.0859585	0.353059	0.1335396	0.03656045
800	-235.7338	-245.1464	9.412619	9.754043	3.749616	0.207511	0.179957	0.0144446	0.0669968	0.0434127	0.109374	0.0660759	0.0260268	0.223521	0.479292	0.239827	0.0973305	0.181489	0.102809	0.311039	0.0189131	0.1077615	0.1226362	0.0240042	0.077861	0.00754481	0.0064791	0.00354042	0.154686	0.0539665	0.000530194	0.0484119	0.17162	0.0718564	0.0876342	0.18289	0.0931103	0.0158648	0.05249127	9.754043	0.440055	0.76608	1.08435	1.70952	0.290407	0.229032	0.104783	0.0761837	0.123007	0.176587	0.1751275	0.2997318
900	-229.2021	-250.9518	21.74976	25.06479	1.804282	0.0852669	0.083348	0.0385179	0.00449902	0.00319778	0.0357732	0.0210267	0.0710535	0.0972634	0.146267	0.0126644	0.116106	0.0939195	0.0181317	0.0459659	0.0468321	0.04685683	0.06608204	0.0912304	0.0156574	0.163243	0.0436801	0.0500598	0.0658242	0.000289656	0.00173399	0.0904693	0.0502348	0.0206994	0.0444102	0.302983	0.0439175	0.015568	0.001907416	25.06479	0.268737	0.632445	1.06422	2.0346	0.223089	0.201326	0.103291	0.0972519	0.223436	0.151606	0.06798946	0.02805459
