Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	0	-275.3435	-248.8661	-26.47742	4.34873	1.915108	0.365834	0.0609613	0.712125	0.0128842	0.491405	0.334574	0.0911417	0.0530373	0.151079	0.177079	0.0360048	0.204524	0.112492	0.521127	0.00646728	0.0652461	0.2413996	0.008307161	0.0195261	0.0246243	0.0793856	0.101642	0.014479	0.0276133	0.133361	0.0705395	0.11138	0.0786014	0.0583703	0.121154	0.0329294	0.0666926	0.0597024	0.1053102	2	50.95756	0.01398968	0.282926	0.645672	1.06771	2.00369	0.189691	0.259973	0.160236	0.150024	0.144789	0.0952862	0.1136174	0.9268848
1	0	-266.1629	-241.0216	-25.14126	3.813832	3.840174	0.126344	0.0195748	0.068155	0.290485	0.21345	0.0644736	0.180482	0.00192724	0.348865	0.110549	0.076633	0.406888	0.330267	0.146093	0.139874	0.00131492	0.228389	0.01987989	0.104791	0.0427683	0.100822	0.167808	0.0193264	0.00552846	0.100175	0.107524	0.0774727	0.086558	0.0077475	0.108493	0.000812236	0.0351838	0.0349888	0.1785926	2	50.73198	0.02497176	0.445361	0.769494	1.08439	1.70075	0.174783	0.253777	0.268024	0.105129	0.159338	0.03895	0.1984725	0.8998355
2	0	-271.2356	-245.3433	-25.89231	2.226854	1.948356	0.22488	0.0242118	0.0250379	0.318667	0.107621	0.096061	0.100667	0.00248166	0.134363	0.981188	0.428067	0.483529	0.103891	0.144425	0.0500069	0.332285	0.1763289	-0.01741558	0.0275094	0.0569956	0.0663977	0.036376	0.0648668	0.0115484	0.0988844	0.15953	0.183291	0.0634433	0.0296462	0.110211	0.0358313	0.0312587	0.0242111	0.1210197	1	51.87266	0.05399446	0.287031	0.649407	1.06864	1.99492	0.197205	0.292892	0.13252	0.140532	0.195984	0.0408671	0.1036041	1.168097
3	0	-263.8365	-248.4151	-15.42145	3.169539	2.607726	0.0908624	0.0383281	0.0508905	0.0596827	0.13446	0.0608518	0.12927	0.0086559	0.0185052	0.0819832	0.260333	0.0618154	0.124659	0.193099	0.109893	0.139398	0.1117201	0.06101938	0.00191206	0.0389054	0.0774541	0.0768573	0.0282431	0.066102	0.167452	0.0474693	0.129658	0.0267947	0.0215338	0.152131	0.0166714	0.0378835	0.110932	0.07295213	2	52.51634	0.0337822	0.356438	0.707202	1.07975	1.85661	0.242869	0.217822	0.16904	0.0797986	0.245154	0.0453164	0.1339715	0.5445347
4	0	-286.4654	-250.5194	-35.94605	10.58744	2.377902	0.339952	0.0295	0.000498334	0.0456582	0.176517	0.153305	0.122193	0.101678	0.275293	0.0627957	0.0565923	0.55649	0.132214	0.0825784	0.039874	0.100694	0.1572333	-0.005413388	0.165725	0.0051453	0.0872542	0.139621	0.0109315	0.000135667	0.022436	0.0754855	0.0265046	0.0768713	0.00867574	0.169347	0.0520201	0.061599	0.0982483	0.05822846	1	85.04871	0.04699605	0.334566	0.689996	1.0771	1.89834	0.246826	0.216339	0.109441	0.108422	0.2759	0.043073	0.05281507	1.102497
5	0	-264.6849	-242.0129	-22.67205	4.876101	3.041244	0.264972	0.0155356	0.0427021	0.054016	0.0994541	0.0886854	0.120403	0.0288507	0.049754	0.104991	0.121693	0.406155	0.132661	0.225599	0.115556	0.222046	0.1182484	0.06003392	0.0916168	0.0209196	0.130296	0.061147	0.120013	0.0481684	0.0883964	0.0978632	0.055482	0.0498815	0.00743069	0.119634	0.00916116	0.0272754	0.0727148	0.2293019	1	58.10962	0.02591742	0.392428	0.733786	1.08271	1.79107	0.185043	0.262839	0.163809	0.0832339	0.262529	0.0425459	0.2893358	0.7925112
6	0	-270.9889	-244.0824	-26.90657	2.242698	6.019335	0.0359309	0.0578863	0.241236	0.213148	0.406138	0.14611	0.153477	0.0445183	0.0877906	0.0478538	0.112902	0.378566	0.0825348	0.212854	0.190734	0.0678988	0.2272561	-0.01460768	0.062653	0.132173	0.100255	0.0159867	0.0310471	0.0282849	0.0681919	0.0203715	0.0723312	0.0680049	0.00989655	0.265645	0.0308842	0.0834991	0.0107763	0.1342655	2	55.79052	0.06419191	0.539597	0.824905	1.08122	1.55428	0.170248	0.262892	0.0989819	0.0861217	0.306096	0.0756614	0.1196578	1.122079
7	0	-280.4592	-251.0827	-29.37654	0.8451006	1.709243	0.0697799	0.0526414	0.100047	0.00041559	0.324171	0.135321	0.375305	0.0806694	0.604224	0.140226	0.0997112	0.316042	0.5151	0.283654	0.159581	0.0505753	0.130233	-0.04169253	0.00783216	0.0236262	0.12063	0.085309	0.037243	0.0344401	0.0325541	0.0112047	0.0779811	0.257393	0.0127355	0.0366823	0.079058	0.140309	0.0430029	0.1459808	0	61.1456	0.03786615	0.255913	0.620045	1.06067	2.06338	0.165498	0.286196	0.157792	0.0876035	0.227722	0.0751883	0.1042883	1.399782
8	0	-265.675	-240.6976	-24.97735	1.581113	2.139467	0.0434405	0.0115091	0.104457	0.190463	0.764235	0.203603	0.215793	0.0237678	0.19659	0.0459022	0.116692	0.296273	0.150869	0.277239	0.830846	0.216225	0.219177	0.0159017	0.011967	0.0205061	0.0957672	0.0493249	0.0853529	0.0159244	0.0710227	0.0600687	0.160708	0.105864	0.0100764	0.185896	0.00194862	0.113045	0.012528	0.1437544	2	54.45302	0.06860825	0.309373	0.66907	1.07312	1.94844	0.228653	0.240972	0.120633	0.116963	0.213864	0.0789156	0.1596561	0.9004003
9	0	-284.9161	-243.5791	-41.33704	0.8669411	1.852906	0.333766	0.0313728	0.491376	0.331301	0.719652	0.0327572	0.281843	0.0297961	0.899587	0.354069	0.708613	0.549795	0.0395315	0.0599376	0.608972	0.174763	0.3492124	0.04842554	0.00032665	0.00819124	0.11362	0.0807667	0.0742357	0.0226426	0.0408924	0.02862	0.142748	0.124189	0.0227328	0.158167	0.0317129	0.0301124	0.121043	0.1317306	1	53.98041	0.07945541	0.27506	0.638401	1.06583	2.02071	0.255626	0.277742	0.137111	0.132016	0.15558	0.041925	0.1801562	0.7312025
10	0	-261.0768	-246.9518	-14.12495	3.364948	2.897502	0.0847041	0.0391767	0.00201129	0.104209	0.154433	0.0874559	0.140797	0.00879527	0.0895359	0.0214166	0.287638	0.00987001	0.00719855	0.00401828	0.0807485	0.0223998	0.07682833	-0.005294137	0.0331286	0.0189969	0.0881424	0.229554	0.0777298	0.021848	0.0423502	0.0389448	0.0634126	0.0904038	0.0041575	0.0404327	0.0568362	0.0503568	0.143706	0.1403005	1	56.0607	0.01934639	0.381174	0.72569	1.08196	1.81118	0.258125	0.234405	0.11735	0.125542	0.1866	0.0779784	0.1350063	1.039214
11	0	-287.4457	-249.5807	-37.86493	3.208929	1.055542	0.277349	0.0270518	0.180547	0.11345	0.601548	0.236503	0.321217	0.00639503	1.17895	0.0203933	0.154738	0.276742	0.0267027	0.147875	0.425241	1.52535	0.3137237	0.009752706	0.020993	0.024949	0.0642707	0.0378772	0.0559111	0.0099186	0.055351	0.152302	0.180765	0.101933	0.0477726	0.126939	0.0423429	0.00691475	0.0717604	0.1332105	1	58.42317	0.0205796	0.147901	0.492832	1.00863	2.35064	0.228394	0.212517	0.132107	0.20521	0.170802	0.0509699	0.1429632	0.9317817
12	0	-269.2402	-253.0914	-16.14873	1.526846	2.302171	0.118867	0.0205771	0.0290056	0.160349	0.0562459	0.108556	0.288144	0.0587833	0.0696251	0.0287593	0.265877	0.085122	0.165399	0.0406638	0.00114734	0.172858	0.1316508	-0.05529023	0.0474561	0.0861329	0.0404343	0.154136	0.0512451	0.057279	0.080974	0.0593814	0.163698	0.00598812	0.0195988	0.0209837	0.0748854	0.0683791	0.0694276	0.1950445	3	56.39218	0.04449856	0.326861	0.683727	1.07599	1.91342	0.243926	0.253391	0.108109	0.143596	0.171863	0.0791135	0.1397543	1.395625
13	0	-268.5181	-244.8259	-23.69225	0.7023051	6.186678	0.388379	0.029305	0.191661	0.0404549	0.0297972	0.0624309	0.26022	0.0102188	0.0224359	0.0254328	0.115512	0.056732	0.0330573	0.056734	0.354088	0.0134855	0.1004958	0.02511318	0.0387279	0.031093	0.014707	0.105982	0.0329682	0.0319697	0.0409705	0.0172068	0.0918138	0.132333	0.0315293	0.119289	0.0666833	0.198168	0.0465582	0.1496042	2	56.73408	0.02207698	0.544968	0.827792	1.08084	1.5464	0.219063	0.273539	0.168916	0.0764324	0.195913	0.066136	0.1747174	0.856264
14	0	-267.8138	-245.9209	-21.89294	2.918358	2.145828	0.275793	0.0237548	0.415193	0.100334	0.159185	0.205557	0.190583	0.00532837	0.0856733	0.0832769	0.0560013	0.00374884	0.0957215	0.280134	0.320932	0.109603	0.1547032	-0.03323365	0.0227437	0.078863	0.178835	0.0165182	0.0813339	0.01528	0.0630589	0.0938661	0.112866	0.0510024	0.00966708	0.070971	0.0429871	0.0434536	0.118554	0.2416676	2	60.2338	0.01329593	0.310082	0.669676	1.07324	1.947	0.212371	0.256706	0.131001	0.073802	0.260306	0.0658149	0.208434	1.159444
15	0	-272.1649	-247.6528	-24.51215	1.225819	2.96164	0.00566231	0.0628017	0.192242	0.129775	0.703722	0.00660389	0.164915	0.0178208	0.227707	0.0792463	0.0226451	0.032097	0.00784099	0.0429379	0.114358	0.188707	0.1612776	-0.004475705	0.0108663	0.0413936	0.0281677	0.0191354	0.049571	0.0119691	0.035253	0.00708629	0.158814	0.0637787	0.0341299	0.360253	0.154979	0.0212164	0.00338639	0.1830531	1	72.93694	0.01764545	0.386272	0.729382	1.08232	1.80203	0.265562	0.22446	0.153441	0.115827	0.184515	0.0561948	0.1785774	1.025063
16	0	-276.756	-249.0222	-27.73383	1.423642	2.410324	0.0192225	0.0368197	0.274629	0.156076	0.145342	0.370883	0.502686	0.0408651	0.301933	0.0649543	0.104043	0.162741	0.587557	0.0779139	0.0422186	1.03464	0.2314344	0.05047827	0.0577194	0.0876017	0.0919425	0.0916937	0.0863832	0.0167092	0.0346386	0.173817	0.0382023	0.0197604	0.0099871	0.114691	0.0905023	0.0822482	0.00410285	0.1418098	2	54.49053	0.02569418	0.337786	0.692583	1.07753	1.8921	0.172764	0.311306	0.205182	0.0778947	0.177576	0.0552765	0.1922881	0.7374862
