Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates[47]	branch_rates[48]	branch_rates[49]	branch_rates[50]	branch_rates[51]	branch_rates[52]	branch_rates[53]	branch_rates[54]	branch_rates[55]	branch_rates[56]	branch_rates[57]	branch_rates[58]	branch_rates[59]	branch_rates[60]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
10	0	-601.6619	-512.7696	-88.89224	21.30262	4.126414	0.288739	0.271992	0.0047328	0.0603462	0.0272645	0.0273758	0.0579739	0.0861677	0.0318503	0.0571573	0.0418594	0.0448675	0.00787198	0.115429	0.0763019	0.0855898	0.501592	0.649841	0.0610273	0.00790716	0.227226	0.319683	0.453489	0.0186727	0.0255497	0.111931	0.00565008	0.0312822	0.059944	0.0545359	0.0483908	0.0219544	0.285068	0.0244104	0.106353	0.129681	0.154027	0.0027364	0.027234	0.394429	0.0229299	0.519719	0.361196	0.0395356	0.376721	0.0086079	0.109419	0.00373994	0.011787	0.00296371	0.426509	0.273215	0.0184345	0.180204	0.158513	0.243002	0.0588894	0.0194646	0.00559198	0.0969988	0.1491909	-0.01684148	0.12779	0.106622	0.0753359	0.0133884	0.0427265	0.0105399	0.00623053	0.0556029	0.0183271	0.00529671	0.352686	0.0323486	0.0829563	0.0545307	0.0156189	0.5449832	10	28.27275	0.07186881	0.461175	0.77947	1.08436	1.67499	0.125475	0.125304	0.0648857	0.367177	0.0947837	0.222374	0.5281417	1.031888
11	0	-569.1632	-507.6685	-61.49478	28.9445	5.117757	0.0457072	0.0150999	0.028912	0.000362927	0.0128949	0.114178	0.0299864	0.0426897	0.180452	0.0139476	0.0336441	0.0114749	0.0548647	0.00695058	0.0134465	0.0842244	0.21524	0.203067	0.0132522	0.0890143	0.17118	0.0779159	0.0582577	0.000252094	0.088316	0.170149	0.00275827	0.0243617	0.00518653	0.0461615	0.0523804	0.335338	0.241963	0.0234652	0.0351407	0.0117065	0.158906	0.144674	0.0754389	0.23858	0.10395	0.0278182	0.0575968	0.0508723	0.0705738	0.0182988	0.00382383	0.0343628	0.239739	0.000166592	0.0126987	0.0449397	0.0723717	0.0158939	0.0445991	0.0194469	0.000436358	0.0929428	0.0376041	0.0475881	0.06830777	0.07816676	0.0643254	0.0359157	0.103984	0.025828	0.0700208	0.0356857	0.0210976	0.0031615	0.0129465	0.168044	0.272706	0.0827099	0.0716062	0.0271114	0.00485753	0.394941	6	29.85659	0.05679583	0.506896	0.806728	1.08309	1.60329	0.136188	0.118403	0.0641112	0.328089	0.120591	0.232619	0.4731077	0.8347802
12	0	-595.7821	-517.8902	-77.89195	27.68364	8.39962	0.114825	0.0723677	0.0132429	0.0729643	0.0327459	0.0722441	0.0938658	0.0637877	0.125925	0.0158584	0.0181372	0.079474	0.126631	0.000110276	0.0320895	0.152158	0.707581	0.0279291	0.102857	0.0341667	0.164242	0.0620489	0.348682	0.0879188	0.0157537	0.105035	0.0217771	0.345217	0.0613823	0.020101	0.00364653	0.244168	0.0159088	0.0898318	0.431033	0.0879725	0.0247046	0.031826	0.135465	0.0203698	0.125895	0.255612	0.0409258	0.00456425	0.175674	0.191369	0.0701688	0.0110272	0.0374063	0.0135774	0.304291	0.299036	0.0169606	0.107201	0.00495741	0.18778	0.0289223	0.157865	0.151417	0.0467871	0.08980114	0.06585229	0.0790337	0.186029	0.070074	0.0116582	0.059524	0.0100731	0.00719733	0.036819	0.0606822	0.0432088	0.222393	0.0285384	0.11335	0.0692995	0.00212025	0.373481	10	29.24018	0.05965145	0.601711	0.856753	1.07574	1.46579	0.106963	0.130224	0.0923943	0.294445	0.184081	0.191893	0.4393333	0.8501086
13	0	-569.5754	-507.7473	-61.82818	34.01885	3.044395	0.0201098	0.0105075	0.0229108	0.0562348	0.0360721	0.266013	0.0574459	0.0693951	0.134429	0.0563038	0.0366197	0.00839944	0.262199	0.00857527	0.165536	0.0493272	0.223647	0.0023336	0.0276409	0.100367	0.0601432	0.153454	0.00207795	0.0587463	0.0103327	0.00873369	0.00604825	0.00733179	0.0250998	0.155489	0.0782229	0.121193	0.129303	0.0503541	0.00493591	0.0454652	0.0498622	0.143042	0.0051934	0.040814	0.0481721	0.0257936	0.00709603	0.190419	0.0244436	0.12173	0.00945457	0.0131828	0.139947	0.0701165	0.029085	0.0390071	0.100858	0.0226324	0.0227341	0.011529	0.209374	0.156532	0.0155461	0.0173271	0.05849487	0.0003930349	0.0334148	0.103536	0.0462975	0.0158123	0.184667	0.029702	0.0145613	0.0227241	0.0428876	0.0344433	0.272712	0.0401853	0.0700713	0.0788239	0.0101612	0.3768554	10	41.11441	0.05788012	0.392667	0.733957	1.08273	1.79065	0.0832847	0.160535	0.111667	0.304098	0.137094	0.203321	0.3772485	0.9989582
14	0	-569.0686	-496.0403	-73.02829	23.82718	7.02184	0.0126893	0.0767451	0.0280278	0.0714542	0.0142535	0.0262014	0.0582145	0.0147418	0.180582	0.104738	0.029374	0.0290763	0.01397	0.104443	0.140384	0.0807922	0.864156	0.0768853	0.184895	0.00145599	0.0923361	0.172725	0.418572	0.0400503	0.0700992	0.0557684	0.00231382	0.100282	0.0914931	0.0256936	0.0173699	0.156059	0.10056	0.0653704	0.0343533	0.140051	0.0610421	0.00654173	0.4158	0.00663372	0.0267783	0.104982	0.0269941	0.00914721	0.0244211	0.216309	0.0200442	0.0865289	0.0194376	0.000828194	0.321571	0.195854	0.0376596	0.285244	0.0257477	0.0592581	0.0289137	0.0913892	0.213319	0.0660778	0.09737159	-0.001817775	0.0414853	0.0665982	0.0714245	0.0146036	0.115433	0.0644284	0.000373752	0.00655766	0.062002	0.00687654	0.125596	0.284575	0.0771958	0.0554407	0.0074092	0.4356165	11	33.71364	0.0686822	0.569169	0.840482	1.0789	1.51145	0.118324	0.154578	0.0831039	0.341406	0.138158	0.16443	0.4337987	1.00419
15	0	-592.3263	-506.3922	-85.93407	31.66278	7.421988	0.221709	0.115019	0.0224988	0.140885	0.0274736	0.0989453	0.0332808	0.00985912	0.256287	0.0321683	0.0326675	0.058904	0.05136	0.0714643	0.0725501	0.0588939	0.0351145	0.135313	0.122668	0.156167	0.179449	0.0490558	0.00139372	0.00872744	0.0937973	0.230856	0.00122353	0.0438402	0.0215164	0.0341148	0.17515	0.147834	0.0261336	0.0231455	0.350929	0.0667183	0.000715196	0.00239005	0.0555351	0.147658	0.063921	0.0489156	0.276352	0.196045	0.0590149	0.00418585	0.0123271	0.164813	0.662235	0.154392	0.230998	0.00342463	0.0537175	0.0192206	0.025448	0.111278	0.00141403	0.203864	0.083839	0.102054	0.09814297	-0.1313081	0.0591046	0.0949807	0.0723192	0.00368361	0.072747	0.0596643	0.0077214	0.0115252	0.0305835	0.135888	0.128608	0.246546	0.0174914	0.0447099	0.0144273	0.4120308	9	34.52594	0.1001999	0.579449	0.845718	1.07797	1.49686	0.142045	0.0988957	0.0537243	0.322078	0.248692	0.134565	0.2807227	1.46775
16	0	-577.8551	-493.8736	-83.98155	26.74173	3.523423	0.0356637	0.0483716	0.0343495	0.0269173	0.118383	0.0195436	0.0694497	0.128878	0.17389	0.0053171	0.0181614	0.0155663	0.11582	0.0231501	0.118044	0.0210485	0.0046668	0.0901492	0.0088658	0.50047	0.142345	0.00680978	0.491587	0.128096	0.0271634	0.204852	0.000396842	0.0122758	0.150231	0.00629965	0.0369914	0.0421297	0.303599	0.0313983	0.127427	0.092328	0.249921	0.138811	0.150074	0.0748608	0.00947815	0.268106	0.0112819	0.0353646	0.00850547	0.167587	0.705224	0.0460727	0.00141593	0.0662355	9.18756e-05	0.0146936	0.163874	0.190173	0.101592	0.515239	0.522036	0.25012	0.0068946	0.4791	0.1546338	-0.04946943	0.0730825	0.173889	0.0680596	0.0187214	0.0927724	0.0131343	0.00294687	0.0108818	0.0781037	0.00198448	0.275177	0.026423	0.110564	0.0428107	0.0114491	0.3729409	10	30.38042	0.1098909	0.426097	0.756928	1.08411	1.73286	0.122367	0.141931	0.112045	0.307624	0.140589	0.175445	0.3234715	1.152933
17	0	-589.8359	-509.1983	-80.63765	24.60218	4.011492	0.272474	0.00867474	0.0151402	0.0224218	0.0272822	0.123723	0.0205743	0.164218	0.422431	0.0219251	0.0667065	0.0624985	0.346328	0.0266848	0.0857158	0.269832	0.577424	0.277661	0.0937122	0.00897863	0.138215	0.541398	0.103465	0.029943	0.0826575	0.05818	0.00074762	0.0683267	0.100431	0.200007	0.100047	0.0268701	0.011268	0.0966993	0.225123	0.565972	0.140478	0.245243	0.0907499	0.0585431	0.0839468	0.0355647	0.0369502	0.128772	0.0259976	0.0132335	0.0983582	0.0282069	0.258875	0.039244	0.108024	0.000416177	0.153266	0.0830983	0.0201507	0.0102124	0.0407051	0.523792	0.0132722	0.00597693	0.1321826	0.007090212	0.0422562	0.0998985	0.0271484	0.000104188	0.144882	0.0551411	5.71201e-05	0.0196354	0.0378242	0.118156	0.178299	0.159212	0.0340673	0.0819925	0.00132661	0.4350599	10	27.64316	0.1022915	0.454992	0.775606	1.0844	1.685	0.107157	0.098065	0.068743	0.403716	0.189636	0.132683	0.4421501	0.9839642
18	0	-603.5816	-518.1214	-85.46019	27.64952	3.432722	0.0189881	0.122437	0.0288986	0.067066	0.0390488	0.102201	0.0941265	0.242494	0.318101	0.0110904	0.154452	0.193156	0.222828	0.0272248	0.182087	0.0656022	0.246349	0.111371	0.159565	0.183852	0.193875	0.159752	0.0020919	0.273681	0.104089	0.115663	0.0120046	0.0683466	0.0375148	0.181675	0.272019	0.110637	0.0656053	0.036747	0.0110587	0.178995	0.0165245	0.0713007	0.11509	0.0282914	0.367964	0.160301	0.0217579	0.0802903	0.111771	0.14215	0.0492002	0.212282	0.00636222	0.046609	0.141198	0.0582408	0.0377411	0.0194795	0.0458788	0.151671	0.227392	0.0686695	0.362207	0.21891	0.1292974	0.06967413	0.0291181	0.110371	0.0587783	0.0105089	0.101885	0.0705314	0.00709434	0.00202192	0.0821942	0.0928075	0.294213	0.0264678	0.0457705	0.0370819	0.0311561	0.3488569	10	33.52455	0.08682571	0.420195	0.752983	1.08395	1.74287	0.140842	0.150168	0.0770654	0.271942	0.195572	0.16441	0.4185311	0.833527
19	0	-574.0233	-515.5758	-58.44749	28.22416	4.242875	0.0976176	0.00300293	0.0220299	0.0160229	0.0148892	0.00323524	0.0507538	0.0237502	0.123122	0.00444902	0.0323176	0.0695	0.023681	0.0431804	0.1263	0.0425489	0.170805	0.0872801	0.212177	0.117011	0.0651447	0.115213	0.0426539	0.0356436	0.00824393	0.0545995	0.00991369	0.0148523	0.13076	0.0921212	0.0440779	0.00293334	0.065046	0.0383426	0.0181365	0.146977	0.0385887	0.0844815	0.0373808	0.0562443	0.116466	0.254588	0.020918	0.107788	0.0293439	0.139381	0.0478703	0.0474541	0.278515	0.0766503	0.251666	0.0661629	0.153083	0.0158019	0.00914397	0.0360142	0.200168	0.0482512	0.332761	0.0575956	0.08670742	-0.103198	0.112433	0.300609	0.0344394	6.13524e-05	0.0510822	0.0394335	0.00787084	0.00993883	0.00906436	0.0626694	0.110942	0.205816	0.0188823	0.0239338	0.0128238	0.3819146	9	28.68362	0.06996952	0.467226	0.78321	1.08429	1.66527	0.0703834	0.14393	0.0457574	0.392166	0.182686	0.165078	0.2787165	1.370262
