Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	0	-227.6651	-248.5831	20.91798	174.584	1.667407	0.00997537	0.00998492	0.0617475	0.00170566	0.0558546	0.0155207	0.00889994	0.00308135	0.0683093	8.40046e-05	0.0573628	0.0271599	0.0116611	0.0292205	0.0546673	0.0127389	0.03215644	0.005824226	0.0496226	0.131823	0.1081	0.0175738	0.0491737	0.000559634	0.0195013	0.0064826	0.0593666	0.0751919	0.14836	0.0952588	0.169668	0.068734	0.000584039	0.008022545	174.584	0.250064	0.614241	1.05891	2.07679	0.198401	0.324073	0.074694	0.0918946	0.161119	0.149819	0.01384677	0.5793802
1	0	-228.7024	-248.5624	19.85998	99.02367	1.773573	0.0204382	0.0342856	0.00855784	0.0667644	0.115665	0.0151241	0.0513479	0.00277583	0.0124362	0.0799333	0.00344731	0.0966349	0.0291484	0.00670022	0.0037286	0.0389603	0.02777959	0.005699273	0.0664674	0.130435	0.130175	0.0449667	0.00574546	0.0261653	0.0146121	0.00718518	0.137817	0.0921367	0.0196321	0.0548683	0.164445	0.0738498	0.0314992	0.02481465	99.02367	0.264662	0.628552	1.06313	2.04365	0.238775	0.264396	0.126114	0.0876424	0.182668	0.100404	0.03051393	0.8132239
2	0	-242.1136	-248.8277	6.714079	76.38386	1.128004	0.0715032	0.152499	0.0775142	0.0407425	0.0916963	0.083999	0.491459	0.0217196	0.00804009	0.327166	0.0172727	0.00167947	0.0465466	0.031992	0.0169199	0.154676	0.08965977	0.01397208	0.0103225	0.095496	0.0205604	0.047066	0.00557081	0.0204697	0.0700184	0.0109396	0.0593452	0.0579824	0.496203	0.0126381	0.0655997	0.00946624	0.0183222	0.01637705	76.38386	0.161763	0.512113	1.01835	2.30778	0.163754	0.285577	0.0953855	0.0883593	0.237155	0.12977	0.03034913	0.5396218
3	0	-242.6288	-255.3197	12.69095	91.94409	2.332596	0.0999259	0.0751698	0.00719378	0.0662712	0.0579112	0.1859	0.0390708	0.014054	0.195384	0.0606303	0.0637183	0.0391699	8.87005e-05	0.0211775	0.020358	0.0532369	0.05631129	0.0186342	0.0168371	0.0483051	0.0670992	0.0462888	0.0287478	0.063259	0.103132	0.0051831	0.172422	0.0423463	0.00459197	0.00675344	0.258896	0.0957216	0.0404166	0.006710532	91.94409	0.329988	0.686285	1.07645	1.90727	0.151892	0.31212	0.145357	0.0550042	0.162809	0.172818	0.02534473	0.2647703
4	0	-245.327	-253.5245	8.197456	30.594	0.9639498	0.0639969	0.318327	0.00454191	0.406525	0.0555042	0.027766	0.146346	0.0343869	0.0249946	0.00449004	0.00663051	0.0668129	0.0625067	0.00881755	0.161558	0.0840033	0.1368832	0.05145042	0.0022791	0.109616	0.109398	0.126603	0.0420949	0.10257	0.0379125	0.00457203	0.0808245	0.133169	0.0223235	0.0176497	0.0913788	0.102292	0.0173173	0.08157971	30.594	0.129706	0.465641	0.99376	2.41089	0.26979	0.286786	0.105572	0.0692673	0.138953	0.129632	0.1330301	0.6132424
5	0	-238.9992	-251.7371	12.73791	164.0906	1.884288	0.0582494	0.0964008	0.0515704	0.0698459	0.049636	0.0427626	0.0347663	0.00594648	0.0332647	0.141102	0.0462179	0.022347	0.0087014	0.0708382	0.0130175	0.0748849	0.06497515	0.01579007	0.046059	0.158078	0.0711857	0.0787275	0.00978661	0.0575354	0.00191276	0.010552	0.125077	0.0125703	0.187278	0.0690593	0.12588	0.0108003	0.0354985	0.001531201	164.0906	0.27906	0.642117	1.0668	2.01202	0.214791	0.289475	0.0870402	0.0713418	0.199322	0.13803	0.01732127	0.08840007
6	0	-238.1473	-257.231	19.08368	36.07077	1.126484	0.0192368	0.0520972	0.00610823	0.102573	0.0725764	0.0798614	0.197333	0.0085038	0.0674968	0.0534093	0.0146759	0.0121334	0.0288684	0.00713771	0.0815371	0.112169	0.05383632	0.04746861	0.0583771	0.176347	0.0265854	0.0761573	0.0660526	0.0166027	0.157555	0.0187324	0.118981	0.0242138	0.0417181	0.0019649	0.0905302	0.123756	0.00242688	0.01464654	36.07077	0.161478	0.511727	1.01816	2.30864	0.273108	0.211105	0.115505	0.0778745	0.214327	0.10808	0.06211515	0.2357966
7	0	-229.9598	-245.1111	15.15131	47.96716	2.78281	0.0143049	0.0479323	0.0417356	0.144835	0.0676079	0.0100473	0.0180584	0.00538366	0.00447233	0.0147369	0.0955876	0.0469036	0.0273769	0.140226	0.135617	0.0678994	0.03780699	0.01048508	0.0385428	0.0784855	0.0236609	0.0350218	0.0146344	0.0233212	0.0995979	0.0205273	0.0176174	0.029471	0.103527	0.020559	0.125199	0.344671	0.025164	0.03947494	47.96716	0.371729	0.718747	1.08121	1.82831	0.236165	0.187161	0.0939962	0.127521	0.205506	0.149651	0.04996002	0.7901306
8	0	-229.6217	-251.947	22.32526	128.3183	0.8126743	0.0391651	0.0228268	0.0259797	0.00971232	0.0353868	0.0436578	0.108845	0.0116472	0.0217498	0.011956	0.0244025	0.0295712	0.0335377	0.00917578	0.00407292	0.0216617	0.02725733	0.009558193	0.0608194	0.000357793	0.0143052	0.0853192	0.140368	0.0103164	0.0193417	0.00242506	0.238432	0.012614	0.218213	0.00894799	0.0931814	0.0841215	0.0112372	0.01501713	128.3183	0.0982527	0.412187	0.960406	2.52915	0.276245	0.192478	0.0967847	0.122673	0.163381	0.148439	0.02457532	0.6110654
9	0	-239.3046	-247.1532	7.848551	13.30111	2.556905	0.0163172	0.277081	0.0722235	0.319766	0.225877	0.0271523	0.492251	0.031337	0.00715969	0.1714	0.00834316	0.0710161	0.242486	0.312868	0.191125	0.0282939	0.1459581	0.05202716	0.0305892	0.283162	0.144401	0.0596119	0.0127165	0.0258306	0.0300364	0.000783054	0.0962847	0.0237711	0.111888	0.0088213	0.0446901	0.083464	0.0439504	0.02652539	13.30111	0.351786	0.703613	1.07925	1.86536	0.235346	0.239961	0.0971424	0.158308	0.112114	0.157129	0.07855255	0.337677
10	0	-224.1605	-244.1446	19.98405	50.39448	2.490873	0.0197385	0.0986222	0.148139	0.0710571	0.0238105	0.0183006	0.0550521	0.00523821	0.00612486	0.0460198	0.00295712	0.00905985	0.0361491	0.00202023	0.136915	0.0180759	0.07753696	0.02775507	0.0418127	0.0492131	0.116569	0.0611258	0.000182991	0.00831337	0.0465402	0.0154804	0.0825122	0.120682	0.199505	0.0228589	0.14889	0.000693839	0.0856214	0.0005570729	50.39448	0.34559	0.698773	1.07852	1.87711	0.269482	0.177736	0.13215	0.0886049	0.208511	0.123516	0.02831215	0.01967611
11	0	-243.754	-250.6667	6.912739	20.55874	2.443267	0.0270678	0.200977	0.168849	0.228224	0.0267622	0.0248686	0.410557	0.00274229	0.0650767	0.191543	0.311512	0.0855955	0.129992	0.203433	0.254044	0.0113125	0.1073492	0.05200526	0.0764786	0.0480367	0.233857	0.0112668	0.0420245	0.0224336	0.075217	0.0117983	0.0596977	0.0478888	0.0429593	0.0757956	0.150502	0.000566132	0.101478	0.01421435	20.55874	0.341011	0.695154	1.07795	1.88588	0.178262	0.241913	0.157457	0.135845	0.176995	0.109527	0.06621961	0.2146547
12	0	-236.6143	-248.8715	12.25719	108.6063	1.05697	0.00886041	0.104547	0.101967	0.0287821	0.0198327	0.00915685	0.0234715	0.00319925	0.050241	0.0170736	0.2721	0.00512195	0.0716431	0.0141954	0.00399809	0.135386	0.08765525	0.01672673	0.117193	0.0595944	0.14219	0.054148	0.00495824	0.0328921	0.0164795	0.0061591	0.179987	0.0215208	0.0190569	0.0396596	0.0254356	0.161054	0.119673	0.005328222	108.6063	0.148179	0.49323	1.00883	2.34976	0.252138	0.172311	0.146089	0.074335	0.216107	0.13902	0.02205495	0.2415885
13	0	-248.3124	-253.7567	5.444322	45.87507	1.748371	0.0415432	0.194176	0.046844	0.0225637	0.0540821	0.11954	0.112874	0.0552991	0.00205049	0.169473	0.131994	0.153594	0.00103794	0.0635034	0.025322	0.00134897	0.1934452	0.02180971	0.0842724	0.0498475	0.0626136	0.0446164	0.0557848	0.0692003	0.0350723	0.00299694	0.0912426	0.0833427	0.0894547	0.0645469	0.115148	0.130373	0.0214879	0.01634811	45.87507	0.261269	0.625278	1.0622	2.05125	0.251689	0.233948	0.0516024	0.0944601	0.272985	0.0953162	0.03815782	0.4284341
14	0	-237.0161	-248.3857	11.36963	127.6281	1.327888	0.02878	0.0523825	0.0822947	0.066722	0.189436	0.0653806	0.0197355	0.0325999	0.0391322	0.0560755	0.0415698	0.0458623	0.0212112	0.0417142	0.0179975	0.0729759	0.04263432	-0.00214261	0.0127047	0.0972111	0.158339	0.0319678	0.00579996	0.0217232	0.0641726	0.0189513	0.160288	0.0215457	0.129612	0.0565419	0.178018	0.0240065	0.0191174	0.02514555	127.6281	0.197469	0.557154	1.03848	2.20689	0.262713	0.214968	0.0808978	0.0889956	0.175506	0.176919	0.02300294	1.093145
15	0	-240.7234	-250.5847	9.861348	35.85699	2.169137	0.00814214	0.0233128	0.110858	0.0888823	0.254282	0.0271531	0.0956316	0.134936	0.00158735	0.0369878	0.253385	0.142773	0.0867563	0.0815364	0.0253153	0.105476	0.1342213	0.02810208	0.0127825	0.115786	0.0702044	0.0252976	0.000965494	0.0158288	0.0845781	0.0090617	0.139327	0.204743	0.0594187	0.0826371	0.158015	0.00597774	0.0153775	0.0197943	35.85699	0.312662	0.671873	1.0737	1.94177	0.325193	0.172698	0.125828	0.105776	0.182979	0.0875251	0.04789638	0.4132734
16	0	-240.6967	-242.9302	2.23357	42.43928	3.090537	0.00257831	0.0548234	0.169542	0.171978	0.0457431	0.0464469	0.261865	0.015874	0.00480688	0.166192	0.0524779	0.0233503	0.541278	0.190134	0.153568	0.006721	0.1081062	0.04160438	0.0571291	0.0893009	0.117899	0.0560767	0.0202381	0.0236306	0.00692906	0.000867752	0.205719	0.0965975	0.129601	0.0323114	0.120177	0.0388367	0.00468665	0.03728406	42.43928	0.396147	0.736421	1.08293	1.7845	0.255966	0.275088	0.0885812	0.0978002	0.152185	0.130379	0.07888844	0.4726176
17	0	-252.763	-253.4546	0.6916329	13.17589	2.332254	0.0901224	0.335075	0.0931799	0.549645	0.369525	0.0515582	0.0981457	0.408156	0.0509106	0.110483	0.213854	0.209354	0.494403	0.124908	0.580523	0.0334595	0.305755	0.1152285	0.085973	0.00633698	0.0113804	0.0157651	0.0426257	0.0146657	0.00178964	0.00735525	0.196659	7.96994e-05	0.161748	0.200558	0.0483144	0.204718	0.0020313	0.01431094	13.17589	0.329953	0.686256	1.07645	1.90734	0.185148	0.256359	0.0755458	0.133939	0.252776	0.0962322	0.1295394	0.1104756
18	0	-239.1271	-250.3891	11.26209	35.56169	2.006635	0.186246	0.271987	0.118515	0.0856898	0.0202465	0.0273068	0.0374487	6.81575e-06	0.0277099	0.0529451	0.213307	0.068175	0.119505	0.110581	0.083928	0.119291	0.1161114	0.06993935	0.0407622	0.0423542	0.0681549	0.0947731	0.00235011	0.0972394	0.0655716	0.0112389	0.102272	0.288099	0.00981967	0.0137126	0.105308	0.0307812	0.0275633	0.008393003	35.56169	0.294065	0.655717	1.07015	1.98006	0.234392	0.21247	0.110853	0.0940805	0.172262	0.175943	0.07833235	0.1071461
19	0	-242.6745	-250.7782	8.103765	15.80008	2.604072	0.0442135	0.116475	0.0350699	0.0338764	0.0400849	0.339182	0.106077	0.00436778	0.156258	0.530533	0.262792	0.159177	0.0368892	0.351928	0.0180416	0.11131	0.1676318	0.06905999	0.00476263	0.0477719	0.0913971	0.0589857	0.0265984	0.0147442	0.0809668	0.00281629	0.0564872	0.0513058	0.224699	0.147035	0.0931379	0.0900974	0.00919449	0.00939153	15.80008	0.356107	0.706948	1.07972	1.85723	0.318252	0.272963	0.104282	0.0571667	0.155485	0.0918503	0.07845152	0.1197113
20	0	-224.3094	-248.6529	24.34354	87.61234	1.670907	0.00724251	0.0627349	0.0110132	0.0224257	0.015199	0.0106641	0.065612	0.0175515	0.0201149	0.0419713	0.00835785	0.00917149	0.0141338	0.136355	0.0449908	0.0445963	0.04103583	0.02906688	0.0420754	0.231392	0.0915845	0.014203	0.0752949	0.036133	0.0541546	0.000117935	0.120936	0.0385491	0.111917	0.000104486	0.118314	0.015218	0.0500068	0.003676842	87.61234	0.250558	0.614735	1.05906	2.07565	0.294922	0.233307	0.0858226	0.0655333	0.215561	0.104855	0.03274373	0.1122915
