Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-49.8286	-81.55596	31.72736	5.885039	0.4794024	0.205525	0.0421294	0.0423472	0.00720337	0.0767907	0.0223981	0.0047512	0.0496194	0.06098402	0.103765	0.204399	0.030236	0.00798953	0.00809676	0.0249941	0.0145273	0.103613	0.0547132	0.0207792	0.0435771	0.061806	0.0351984	0.0281134	0.349025	0.0129325	0.01509789	5.885039	0.0296365	0.238257	0.804682	2.92742	0.0779622	0.485576	0.00898686	0.0666448	0.331831	0.0289991	0.1188629	0.1270194
100	-52.05126	-85.06189	33.01063	17.095	3.391811	0.0135407	0.00970291	0.0277474	0.0360392	0.0614808	0.00683794	0.0108354	0.0513887	0.02897823	0.04199206	0.0454822	0.0642736	0.272798	0.0376517	0.0660766	0.00560507	0.0106356	0.0265915	0.180707	0.0318856	0.0639909	0.119154	0.00365118	0.0590436	0.0124538	0.0005443152	17.095	0.417472	0.751148	1.08387	1.74751	0.0284598	0.451913	0.00606257	0.113947	0.330937	0.0686815	0.04253638	0.01279646
200	-41.19813	-80.57163	39.3735	23.94296	1.590427	0.0383649	0.00733645	0.00353431	0.0116784	0.00937246	0.00273707	0.0302037	0.00174973	0.01799353	0.02271723	0.0385414	0.0466214	0.0250087	0.19002	0.0504612	0.174383	0.0150063	0.00704897	0.0294927	0.0281872	0.0817384	0.0459819	0.0529172	0.168007	0.0465848	0.004107631	23.94296	0.238959	0.602947	1.05532	2.10277	0.0799263	0.466293	0.000750209	0.0339736	0.372666	0.0463903	0.02682487	0.1531278
300	-54.13385	-82.77223	28.63839	8.058156	0.2412648	0.0818317	0.0952362	0.0165156	0.0200146	0.0114823	0.223774	0.0196853	0.0961158	0.06441719	0.01665226	0.0441256	0.0349958	0.00346241	0.080419	0.0588275	0.0145454	0.0607829	0.0043028	0.106144	0.0298313	0.188784	0.00513244	0.0792562	0.258641	0.0307492	0.03448195	8.058156	0.00172935	0.0604581	0.482699	3.45511	0.0240119	0.416981	0.0610722	0.09781	0.34825	0.0518744	0.05113421	0.674342
400	-45.31592	-81.40742	36.0915	5.801209	1.71164	0.0523969	0.0618885	0.0309644	0.0257856	0.00460141	0.00482612	0.00604473	0.0162489	0.02182665	0.04984355	0.134449	0.0826314	0.0151883	0.0437929	0.109809	0.0550498	0.0355617	0.013699	0.129921	0.14117	0.10302	0.0379776	0.00538154	0.0565871	0.0357618	0.04228569	5.801209	0.256244	0.620371	1.06076	2.06262	0.0657593	0.465634	0.0196524	0.122221	0.301309	0.0254235	0.09212925	0.4589823
500	-39.5766	-86.61198	47.03538	348.0651	0.1304459	0.00942591	0.00108833	0.00209868	0.00125008	0.00284648	0.00114215	2.42744e-06	0.00116564	0.003971724	0.003840991	0.0303163	0.00566551	0.199731	0.269962	0.00544187	0.0776598	0.0153656	0.0577198	0.00701134	0.0158697	0.0119068	0.0631491	0.0329743	0.0367785	0.170449	0.001023757	348.0651	1.33211e-05	0.00540536	0.182412	3.81217	0.0611239	0.524586	0.0117716	0.120728	0.209432	0.0723578	0.004864749	0.210444
600	-46.59848	-83.34744	36.74896	16.23676	0.8290386	0.0390689	0.0246484	0.00859242	0.0229199	0.00601272	0.00811081	0.0193728	0.0257379	0.031447	0.06592375	0.145149	0.0244597	0.0666472	0.0928446	0.0244298	0.0348153	0.0625273	0.0201698	0.0176447	0.143903	0.00916137	0.0675774	0.0131043	0.221272	0.0562948	0.008138578	16.23676	0.101721	0.418568	0.964687	2.51502	0.0497963	0.509926	0.00320693	0.0680183	0.325543	0.0435095	0.07406233	0.1098882
700	-59.70255	-82.3269	22.62436	6.340854	1.128796	0.0638312	0.152746	0.0361553	0.0302605	0.327816	0.105206	0.156137	0.00451447	0.198028	0.05818684	0.164522	0.0286011	0.169971	0.066655	0.0380394	0.0518622	0.0647001	0.017825	0.0065896	0.0576532	0.134988	0.00025053	0.0545631	0.0513936	0.092386	0.05980542	6.340854	0.161912	0.512314	1.01845	2.30733	0.00820544	0.50541	0.0379815	0.116495	0.249449	0.08246	0.1179923	0.5068588
800	-39.69801	-82.77698	43.07897	34.8134	0.7574853	0.0144959	0.00376029	0.000887995	0.0154796	0.00258137	0.00930366	0.00133934	0.00620155	0.006602	0.03339954	0.095601	0.111854	0.0399917	0.099774	0.050918	0.0334339	0.0845105	0.0161662	0.0150418	0.161829	0.0323481	0.104512	0.00832606	0.0920117	0.0536818	0.01852087	34.8134	0.0864858	0.389437	0.944441	2.57964	0.0312403	0.419038	0.0165151	0.100325	0.318079	0.114803	0.05192041	0.3567166
900	-47.15196	-85.13563	37.98367	110.094	1.396655	0.00745807	0.0025189	0.0205384	0.00430747	0.00718389	0.00266111	0.01328	0.000159169	0.004218222	0.004462678	0.0302972	0.0123832	0.0716328	0.171683	0.105713	0.00558414	0.0489126	0.0752331	0.00500354	0.0385759	0.0418939	0.026708	0.0109894	0.2798	0.0755898	0.02577617	110.094	0.208907	0.570399	1.04373	2.17697	0.22306	0.32511	0.00392843	0.106025	0.293373	0.0485031	0.03023885	0.8524191
1000	-51.07904	-82.14632	31.06727	10.34163	0.9890549	0.0311956	0.0909753	0.0206269	0.0362076	0.00963834	0.0705685	0.0252624	0.0166955	0.03895407	0.05267168	0.124379	0.0215409	0.0804375	0.0167289	0.128911	0.0156367	0.00233398	0.00662809	0.165173	0.0103971	0.0287302	0.0267051	0.0196317	0.185231	0.167535	0.04405669	10.34163	0.134765	0.473437	0.998163	2.39364	0.0540036	0.386832	0.00713188	0.160809	0.353556	0.0376673	0.09672837	0.4554681
1100	-47.23241	-81.76102	34.52861	10.86246	3.444803	0.0491662	0.0316255	0.0110762	0.00769792	0.0189975	0.013594	0.00017885	0.0159155	0.01300492	0.1302848	0.0107307	0.127646	0.0431022	0.0326045	0.164016	0.0366892	0.0511658	0.0267889	0.00440095	0.0471776	0.0672329	0.0174041	0.0483609	0.283724	0.0389561	0.03896532	10.86246	0.420992	0.753519	1.08398	1.74151	0.0353861	0.383294	0.00361231	0.0730943	0.397378	0.107235	0.1692501	0.2302233
1200	-59.35029	-87.42481	28.07452	23.38786	0.273986	0.0446331	0.132407	0.0226595	0.00648654	0.00633856	0.0331746	0.0510189	0.0291716	0.04450519	0.01044764	0.0377083	0.115004	0.0223089	0.0290042	0.0427405	0.219313	0.0936472	0.000746942	0.0637161	0.0207688	0.0617141	0.0153176	0.00561426	0.192839	0.0795571	0.05415406	23.38786	0.00342279	0.0844794	0.549417	3.36268	0.0279555	0.234578	0.0108126	0.0890898	0.544121	0.0934422	0.0646017	0.838276
1300	-38.58816	-78.83946	40.2513	16.21505	1.76978	0.0221706	0.011608	0.0125921	0.0119298	0.00772425	0.0119125	0.000347989	0.00907267	0.00695851	0.05380628	0.154789	0.0963554	0.0181104	0.0113298	0.0912786	0.0813248	0.0627314	0.0181625	0.018091	0.00909104	0.0799351	0.0212044	0.00335762	0.252415	0.0818232	0.01744339	16.21505	0.264154	0.628064	1.063	2.04479	0.0547018	0.505563	0.00385057	0.0806495	0.292431	0.0628037	0.07124967	0.2448207
1400	-47.85256	-81.17773	33.32517	10.35017	1.923439	0.0226162	0.0253185	0.0114638	0.00264984	0.0153885	0.0240121	0.000722733	0.0815686	0.05771695	0.06892621	0.0631982	0.010602	0.0727965	0.0693382	0.0803511	0.0737752	0.0302027	0.00860544	0.0011208	0.304061	0.0175298	0.0115246	0.0145756	0.170279	0.0720398	0.03782075	10.35017	0.283961	0.646617	1.06795	2.00147	0.0788493	0.415985	0.0346854	0.0517884	0.331962	0.0867307	0.106747	0.3543029
1500	-51.44348	-80.28598	28.84249	8.470443	3.897573	0.0769893	0.070754	0.0503682	0.0384515	0.0285461	0.0332677	0.00216504	0.0790623	0.06153186	0.0598417	0.0657682	0.0240486	0.137268	0.0448303	0.230367	0.087453	0.0206211	0.00676699	0.00439063	0.13967	0.00011767	0.0031867	0.00610673	0.147377	0.0820285	0.02052652	8.470443	0.448645	0.771591	1.0844	1.69536	0.0262456	0.368799	0.00504283	0.208044	0.355725	0.0361441	0.08036822	0.2554059
1600	-54.69199	-82.41296	27.72097	2.750235	0.6535704	0.152193	0.135792	0.0179868	0.0525552	0.230577	0.00444591	0.0637764	0.0982551	0.1139071	0.1840567	0.0906081	0.0896562	0.000290351	0.0869008	0.000988402	0.0253636	0.0978355	0.0382052	0.0530854	0.0447381	0.126941	0.0588241	0.00166316	0.211089	0.0738113	0.02355574	2.750235	0.0643123	0.340774	0.906368	2.68855	0.0472016	0.29612	0.0121137	0.113487	0.405291	0.125787	0.2076124	0.1134602
1700	-53.56647	-82.67477	29.1083	8.057787	2.658123	0.08322	0.0291762	0.0376215	0.0489851	0.0329625	0.0399553	0.0187697	0.00423456	0.08293777	0.1144375	0.0969809	0.0592675	0.00990911	0.155292	0.0524489	0.065537	0.200113	0.0085083	0.0435512	0.0681739	0.148915	0.0033783	0.0239323	0.0328563	0.0311366	0.05977834	8.057787	0.360953	0.710651	1.08022	1.84818	0.0759531	0.36242	0.0272256	0.069228	0.422113	0.0430598	0.1742158	0.3431281
1800	-51.3172	-80.99793	29.68073	16.47874	6.70175	0.058852	0.0336948	0.0141713	0.0050704	0.0300197	0.0132559	0.00911699	0.020576	0.01597173	0.04470194	0.0462979	0.0078569	0.114886	0.00679893	0.0464608	0.0645735	0.0578153	0.0231802	0.00420775	0.034259	0.119665	0.0910816	0.241078	0.11652	0.0253201	0.02809177	16.47874	0.560367	0.835927	1.07965	1.52406	0.0424207	0.440511	0.00610378	0.0998527	0.295042	0.11607	0.07279372	0.3859093
1900	-39.04079	-79.43217	40.39137	14.58166	1.041582	0.00267063	0.0230186	0.0036004	0.0116	0.0158653	0.0105924	0.0164514	0.00946898	0.01881633	0.03876236	0.0286125	0.116356	0.0398694	0.0661178	0.0465673	0.0433842	0.0193229	0.0195174	0.0276367	0.0671071	0.0239907	0.116794	0.00413287	0.347987	0.0326048	0.01174426	14.58166	0.145175	0.488903	1.00656	2.35936	0.0255637	0.390359	0.00610954	0.187622	0.341974	0.0483718	0.05050662	0.2325291
2000	-49.25056	-81.41037	32.15981	10.06471	1.352246	0.00414014	0.0673878	0.0168906	0.00211824	0.0681662	0.00753717	0.0605742	0.136005	0.04498896	0.09552086	0.138983	0.0108015	0.00218326	0.181124	0.0103668	0.00825164	0.0393906	0.0346976	0.100576	0.01094	0.0661171	0.0714038	0.0138178	0.132244	0.179102	0.01728043	10.06471	0.201569	0.561961	1.04042	2.19605	0.0482568	0.339799	0.0561522	0.185848	0.300758	0.0691866	0.1128013	0.1531936
2100	-52.14431	-83.32239	31.17808	21.29993	0.4718114	0.0832175	0.0150936	0.00183043	0.0286307	0.0215999	0.105515	0.0356256	0.00579552	0.07083896	0.03660426	0.0991635	0.00998315	0.0284528	0.141935	0.0429719	0.0219078	0.0121275	0.00663103	0.0174757	0.119099	0.228823	0.111972	0.00312605	0.036346	0.119987	0.02252204	21.29993	0.0282897	0.233116	0.798622	2.93997	0.0442181	0.415015	0.0203332	0.0600789	0.434201	0.0261533	0.0591263	0.3809141
2200	-36.62113	-82.69563	46.0745	6.969186	1.118081	0.0152693	0.00400003	0.000655306	0.00453448	0.00987689	0.000225753	0.0200953	0.0109606	0.009941588	0.07973052	0.107239	0.133998	0.00252907	0.0537634	0.0583049	0.0173258	0.0408332	0.0262605	0.0180781	0.0525745	0.00236116	0.0374499	0.0357522	0.312297	0.101233	0.02428462	6.969186	0.159894	0.509578	1.01711	2.31342	0.0154924	0.398037	0.0012561	0.092311	0.469061	0.0238425	0.1040151	0.233472
