Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-71.94609	-84.02436	12.07827	15.68683	0.4351677	0.01249151	0.1353154	0.20409	0.103858	0.0454526	0.0325026	0.131486	0.0918064	0.0399714	0.012824	0.0747304	0.0184875	0.0211591	0.0371118	0.0141261	0.0859605	0.0864331	0.04511586	15.68683	0.0220975	0.207504	0.766695	3.0037	0.0588742	0.35251	0.026877	0.0560123	0.431255	0.0744714	0.1804312	0.2500446
100	-66.47115	-79.82036	13.34922	13.79487	2.563138	0.0289826	0.07700887	0.0542181	0.0430602	0.0332101	0.18874	0.00433682	0.0396349	0.051472	0.0288792	0.0209217	0.0210677	0.0941093	0.0516638	0.0273635	0.177715	0.163608	0.005542197	13.79487	0.352362	0.704059	1.07931	1.86427	0.0292466	0.527563	0.0199112	0.0579113	0.281433	0.0839345	0.08255107	0.06713659
200	-69.63806	-81.53832	11.90026	14.97518	2.659536	0.007121547	0.02671096	0.104899	0.000644065	0.0807497	0.155126	0.0903176	0.00404818	0.0074726	0.00272958	0.00641972	0.085863	0.0016158	0.0370016	0.0390859	0.197897	0.186129	0.03088288	14.97518	0.361078	0.710746	1.08023	1.84795	0.010663	0.490007	0.0136114	0.143046	0.323686	0.0189859	0.05759384	0.5362185
300	-76.02176	-86.67941	10.65765	11.71871	1.052338	0.02934271	0.1172843	0.069848	0.0271868	0.0332202	0.030194	0.11728	0.018422	0.122109	0.00178726	0.0304448	0.0459112	0.233718	0.0617255	0.00182919	0.175774	0.0305496	0.06025195	11.71871	0.147277	0.491937	1.00816	2.35263	0.0773231	0.394598	0.0040408	0.214267	0.294942	0.0148292	0.1775363	0.3393783
400	-70.01803	-84.82064	14.80261	6.786501	2.108417	0.04292976	0.09731234	0.116678	0.0133739	0.0258202	0.131495	0.0801191	0.0198116	0.031381	0.013665	0.0425236	0.00530326	0.0252223	0.236327	0.00647283	0.16313	0.0886775	0.03250414	6.786501	0.305882	0.666069	1.07248	1.95557	0.0120243	0.457268	0.032716	0.0859999	0.282689	0.129302	0.1298165	0.2503853
500	-66.7049	-79.58072	12.87581	12.61669	1.919653	0.05186106	0.06112388	0.0649507	0.12344	0.0579301	0.204007	0.160547	0.0132218	0.0532972	0.00966631	0.00398137	0.133215	0.0436105	0.0616485	0.0137876	0.0359574	0.0207402	0.05191826	12.61669	0.283491	0.646188	1.06784	2.00248	0.0645777	0.384195	0.00169512	0.132502	0.303383	0.113647	0.1130421	0.4592823
600	-72.81508	-86.58593	13.77085	5.463925	2.010671	0.04746301	0.004217678	0.10825	0.163158	0.0784329	0.204494	0.00609317	0.0688926	0.0985054	0.0422991	0.0279801	0.0325491	0.00780928	0.0470879	0.00501275	0.0550505	0.0543852	0.07968791	5.463925	0.294545	0.656144	1.07025	1.97906	0.05385	0.379234	0.0754177	0.134928	0.274579	0.0819915	0.08390559	0.949733
700	-70.66093	-80.29535	9.634421	10.93651	0.3447226	0.03844997	0.24618	0.259584	0.270719	0.0221405	0.0316682	0.0196641	0.0678927	0.00267441	0.00818207	0.0292506	0.0322089	0.0791769	0.00840317	0.00742402	0.113263	0.0477481	0.02551029	10.93651	0.00961276	0.139447	0.663805	3.18714	0.0439109	0.380807	0.00316042	0.175044	0.333378	0.0637	0.2716903	0.09389473
800	-66.41706	-79.05619	12.63913	5.637618	1.970291	0.05368423	-0.03076161	0.239739	0.0163748	0.0972655	0.0785818	0.00597979	0.0452103	0.0257925	0.000202585	0.0190355	0.0257101	0.00067321	0.12893	0.0357678	0.143994	0.136743	0.1433798	5.637618	0.289702	0.651817	1.06923	1.98925	0.0701724	0.456474	0.00277799	0.11596	0.26372	0.0908957	0.1126182	1.27315
900	-67.92306	-80.68985	12.76679	25.96757	0.4092725	0.05804845	0.01370252	0.0558814	0.0471977	0.0875026	0.0761467	0.0778769	0.0205453	0.0871389	0.0242704	0.0731312	0.0101728	0.0562393	0.121896	0.0201154	0.232102	0.00978318	0.04309775	25.96757	0.0180745	0.188648	0.741123	3.05215	0.0203233	0.41316	0.01038	0.140337	0.377192	0.0386068	0.05680027	0.7587596
