Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-231.465	-238.7068	7.241802	41.65597	2.834695	0.116336	0.0705545	0.0440045	0.169938	0.0502669	0.350308	0.0747743	0.0236779	0.17121	0.0351658	0.17841	0.0934859	0.243465	0.210408	0.09337487	0.03888186	0.0156331	0.00981378	0.035666	0.153253	0.334302	0.00115069	0.0442061	0.00464269	0.13209	0.0508922	0.0207768	0.00187335	0.125714	0.0512905	0.0186966	0.006511806	41.65597	0.376055	0.721944	1.08157	1.82043	0.140746	0.103095	0.307497	0.0465837	0.298922	0.103157	0.04539367	0.1434519
100	-229.4804	-228.833	-0.6474226	118.9166	2.506581	0.0643718	0.130465	0.0126423	0.384712	0.16958	0.0552049	0.0434614	0.0861275	0.144109	0.200828	0.102803	0.0473722	0.210922	0.0263414	0.06348715	0.02131216	0.00390889	0.065677	0.131043	0.266007	0.00532744	0.002526	0.0033029	0.00370804	0.154472	0.0695923	0.0178674	0.0209037	0.186446	0.00610623	0.0631122	0.01249929	118.9166	0.34708	0.699943	1.0787	1.87427	0.131033	0.152792	0.22825	0.0638673	0.269329	0.154728	0.03381145	0.3696762
200	-224.8616	-231.7436	6.882008	63.63079	2.386588	0.0132818	0.059745	0.053976	0.219979	0.074875	0.116596	0.011501	0.0120276	0.00891298	0.0609038	0.424946	0.200524	0.286903	0.0133444	0.08563945	0.01056481	0.00010109	0.0897124	0.00985943	0.153458	0.04319	8.38363e-05	0.0528335	0.00760779	0.238703	0.00115967	0.0201585	0.0209618	0.283664	0.0291872	0.0493204	0.03355335	63.63079	0.335434	0.690694	1.07722	1.89665	0.0939703	0.122048	0.299151	0.100417	0.258575	0.125839	0.04411816	0.7605338
300	-225.1194	-234.2039	9.084471	264.9445	1.050952	0.00304424	0.000765747	0.010178	0.0199013	0.0440287	0.0460228	0.0166307	0.0385811	0.121912	0.060234	0.0170913	0.107187	0.148488	0.00464438	0.1117572	0.002662667	0.00553783	0.1961	0.057843	0.0975456	0.0856179	0.0239071	0.0093489	0.00335414	0.175764	0.0984762	0.0948253	0.0452278	0.0401159	0.0468068	0.0195293	0.005613936	264.9445	0.147007	0.491549	1.00795	2.35349	0.141904	0.129037	0.235293	0.081984	0.309168	0.102614	0.008276602	0.6782899
400	-225.6919	-238.5277	12.8358	98.28356	3.846973	0.0380807	0.102468	0.0471024	0.00713558	0.0156941	0.0582512	0.0445579	0.0525757	0.264485	0.0459554	0.0888584	0.0337768	0.0916404	0.0524794	0.05906339	0.01348315	0.00955905	0.0885205	0.102018	0.321057	0.0240577	0.0108291	0.124409	0.0276407	0.0861744	0.02766	0.0256823	0.00290156	0.0955689	0.0240856	0.0298367	0.00423737	98.28356	0.445753	0.769745	1.08439	1.70011	0.177888	0.124254	0.26666	0.0425485	0.274873	0.113776	0.01772052	0.2391223
500	-233.7065	-234.6123	0.9057777	110.1719	4.993596	0.0170487	0.13261	0.0266586	0.0620066	0.000345428	0.0396668	0.0854912	0.0878926	0.0277546	0.150332	0.290883	0.497656	0.0139585	0.217334	0.1084796	0.004656385	0.0149442	0.0284451	0.118379	0.0969456	0.000823977	0.000586675	0.0196033	0.0213408	0.157076	0.0529678	0.0712644	0.00427299	0.308272	0.0830302	0.0220479	0.002471413	110.1719	0.501811	0.803807	1.08331	1.61107	0.197167	0.214476	0.228249	0.0636997	0.229279	0.0671297	0.007127798	0.3467288
600	-204.3985	-234.3829	29.98439	464.5946	0.9599289	0.0133698	0.0112641	0.0201444	0.025221	0.00632982	0.00201615	0.00701167	0.00606606	0.00261033	0.00777379	0.0562993	0.00553788	0.00595728	0.0150189	0.0124686	0.002492689	0.00720998	0.124773	0.0946929	0.16064	0.0498379	0.00076341	0.0358526	0.00941812	0.193528	0.0262677	0.108981	0.0192628	0.0873679	0.0782421	0.00316338	0.0005730741	464.5946	0.128891	0.464367	0.99303	2.41371	0.122551	0.168896	0.252176	0.0764878	0.257686	0.122203	0.003065763	0.1869271
700	-223.757	-226.4571	2.700151	343.0247	2.051329	0.0137911	0.0763491	0.0660805	0.124197	0.163381	0.0206576	0.0624366	0.0176701	0.113138	0.223963	0.180373	0.0901898	0.119816	0.151047	0.1216727	0.006587696	0.00689497	0.127479	0.239849	0.108038	0.0426592	0.000122731	0.00505139	0.000940314	0.105409	0.0154275	0.0111521	0.00136251	0.27631	0.0517908	0.00751228	0.001894909	343.0247	0.299326	0.660363	1.07122	1.96909	0.178362	0.119741	0.245637	0.0489742	0.305805	0.10148	0.008482605	0.2233876
800	-236.4483	-234.1837	-2.264614	61.20349	1.721461	0.19378	0.0781494	0.253302	0.263775	0.172801	0.251855	0.236863	0.0659962	0.328583	0.508957	0.444373	0.466276	0.166485	0.151148	0.2303538	0.01395628	0.0103876	0.0915955	0.0375939	0.288484	0.00880324	0.00360478	0.000151895	0.0048066	0.175885	0.0148733	0.209829	0.0493764	0.0322941	0.0152587	0.0570566	0.01213204	61.20349	0.257597	0.621699	1.06116	2.05955	0.131941	0.202964	0.205086	0.0789378	0.249726	0.131344	0.02608832	0.4650374
900	-234.5801	-244.5508	9.970732	341.2323	1.242923	0.0687693	0.0271661	0.067079	0.0101311	0.174658	0.00822881	0.0143663	0.0280682	0.0275456	0.0211315	0.189918	0.0414259	0.0327841	0.0680579	0.04390535	0.003725668	0.041666	0.0420867	0.153776	0.0817575	0.0284024	0.00839491	0.0223131	0.00129507	0.3361	0.0794658	0.11135	0.0300503	0.00473163	0.0386402	0.0199696	0.0002161808	341.2323	0.182745	0.539307	1.03093	2.24702	0.164524	0.129523	0.218146	0.06574	0.35722	0.0648477	0.003941849	0.05484249
