Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	0	-50.08201	-78.50063	28.41862	2.544793	1.830485	0.0463635	0.0432682	0.235786	0.104961	0.0540727	0.0026214	0.034863	0.0548457	0.09728306	0.1546176	0.0260165	0.000835197	0.103932	0.0501123	0.160537	0.0659821	0.0205755	0.0125892	0.0723971	0.0226991	0.0111038	0.0681114	0.00642859	0.280061	0.0986187	0.06217627	2.544793	0.272164	0.635686	1.06511	2.02704	0.0662264	0.378054	0.00459809	0.215083	0.306091	0.0299478	0.2167938	0.286799
1	0	-51.37717	-78.01807	26.6409	4.331742	1.707239	0.134392	0.0254867	0.0748861	0.213795	0.106014	0.00954913	0.0347757	0.129525	0.05935396	0.1713109	0.150895	0.0484259	0.0568919	0.0950312	0.0249969	0.0129229	0.0281651	0.0107484	0.00288134	0.0474854	0.159482	0.0596873	0.0113468	0.26163	0.0294101	0.00537768	4.331742	0.255635	0.619772	1.06058	2.06401	0.0263142	0.378621	0.0167193	0.163038	0.362669	0.0526388	0.1766886	0.03043592
2	0	-41.91334	-75.23095	33.31761	12.44797	1.624089	0.0426692	0.028252	0.0336488	0.00524181	0.0114057	0.0301203	0.0530587	0.0257294	0.02926423	0.06272591	0.0528395	0.0614876	0.0452905	0.13347	0.092222	0.0533536	0.026621	0.00101069	0.00815648	0.0623447	0.0399903	0.0377839	0.012463	0.219807	0.153159	0.04324368	12.44797	0.243871	0.607987	1.05695	2.09119	0.0613352	0.387294	0.000977849	0.120894	0.401031	0.0284681	0.1059696	0.4080763
3	0	-53.13543	-84.83609	31.70066	5.680868	1.319012	0.017224	0.0342627	0.024122	0.0653744	0.113769	0.0235785	0.0259499	0.00643956	0.05990584	-0.006306027	0.0339435	0.112195	0.0517862	0.188528	5.73459e-05	0.132563	0.0655933	0.0219631	0.00176868	0.0157633	0.17331	0.0135304	0.00382366	0.0889123	0.0962626	0.08173109	5.680868	0.195962	0.55537	1.03775	2.21091	0.0277536	0.422199	0.0638793	0.113285	0.347758	0.0251252	0.07542506	1.083607
4	0	-49.53066	-78.77597	29.24532	5.236941	0.3977709	0.115003	0.0416259	0.0447407	0.0686782	0.0337902	0.123006	0.104858	0.10404	0.06019484	0.09790434	0.166284	0.168561	0.00214003	0.0976398	0.0488878	0.0269376	0.0793977	0.00179001	0.188559	0.0423947	0.0125545	0.0140485	0.00611308	0.110831	0.0338623	0.02256508	5.236941	0.0163941	0.180089	0.728857	3.07466	0.0265837	0.444929	0.00863326	0.103846	0.364702	0.0513067	0.1204694	0.1873096
5	0	-52.1303	-77.38873	25.25843	2.8866	0.5754767	0.28329	0.10149	0.137478	0.00560829	0.0513517	0.112146	0.00106654	0.0399038	0.1390576	0.1853471	0.0601082	0.042326	0.0558647	0.161736	0.0784205	0.107885	0.0185141	0.00270823	0.0118693	0.0387096	0.0310742	0.018216	0.088046	0.101043	0.183479	0.1343839	2.8866	0.0480928	0.298363	0.868273	2.78527	0.026911	0.433939	0.00524349	0.121065	0.381808	0.0310334	0.319731	0.4203029
6	0	-49.11078	-87.46136	38.35057	27.56333	3.677643	0.000193762	0.0128365	0.00376173	0.00681777	0.00977583	0.0061523	0.00158337	0.0223123	0.01093311	0.04356997	0.0738093	0.117457	0.0371145	0.0562249	0.133595	0.0141276	0.0571352	0.0865841	0.0873756	0.00697029	0.0557225	0.0194724	0.0924463	0.12304	0.0389256	0.05149053	27.56333	0.435726	0.763268	1.0843	1.71671	0.112078	0.343174	0.0183218	0.119978	0.318875	0.0875728	0.0950605	0.5416606
7	0	-47.15469	-86.4696	39.31491	35.06489	1.385583	0.0329531	0.0223596	0.00748694	0.00132123	0.015649	0.00653827	0.00231713	0.00817431	0.01075328	0.01657127	0.0240446	0.193721	0.0218613	0.162419	0.0191913	0.0820094	0.0584456	0.00136566	0.0401215	0.132966	0.0531299	0.055729	0.0147821	0.0669059	0.0733086	0.001594531	35.06489	0.207094	0.568333	1.04293	2.18164	0.065732	0.433093	0.0176881	0.0549644	0.308233	0.120289	0.0181658	0.08777655
8	0	-50.60063	-84.31859	33.71796	17.67573	0.2282491	0.0228154	0.0100644	0.000231688	0.0168188	0.0741191	0.090502	0.0238599	0.0385689	0.03065631	0.1072132	0.0204427	0.0111045	0.0569355	0.0838548	0.0405884	0.110959	0.104188	0.00533774	0.228433	0.00907663	0.0233367	0.0377017	0.0770363	0.183264	0.00774132	0.009295202	17.67573	0.00124811	0.0514958	0.453319	3.49394	0.0612042	0.35094	0.00700382	0.149396	0.382705	0.0487507	0.1165084	0.07978138
9	0	-55.52564	-88.29916	32.77352	47.00441	0.3455729	0.0658933	0.00956086	0.0169845	0.00336661	0.0724111	0.00447153	0.0348342	0.0032347	0.04571005	0.01904836	0.0270875	0.00469375	0.055741	0.197916	0.0118001	0.089604	0.177221	0.00643383	0.0333019	0.0719858	0.0364812	0.0195663	0.0101249	0.0478779	0.210165	0.007978504	47.00441	0.00970787	0.140109	0.664971	3.18521	0.0247202	0.4419	0.0287659	0.0817455	0.327177	0.0956914	0.02702686	0.2952065
