Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
14	0	-444.4173	-332.6342	-111.7831	18.76275	5.309448	0.0808555	-0.0268793	0.0612715	0.0214718	0.010519	0.0220591	0.102536	0.0132278	0.14148	0.010848	0.00552916	0.115117	0.206945	0.0892885	0.116813	0.0712927	0.0116018	0.4878642	6	19.43623	0.04077206	0.514443	0.811016	1.08272	1.59182	0.315631	0.227751	0.133873	0.0521604	0.155176	0.115409	0.4609849	1.058308
15	0	-442.2061	-339.9887	-102.2174	12.43201	3.167103	0.1166788	0.1065408	0.159134	0.0449756	0.0276906	0.0546027	0.075707	0.0434999	0.0845909	0.0134338	0.108319	0.0370105	0.172034	0.0417756	0.0166251	0.0904049	0.0301967	0.3447165	7	12.95438	0.1203375	0.40179	0.74038	1.08323	1.77461	0.232396	0.25141	0.122369	0.134218	0.150338	0.109269	0.4512573	0.7639023
16	0	-444.176	-339.9956	-104.1804	12.21936	3.701464	0.0885109	0.03443608	0.107908	0.00779359	0.00792477	0.014986	0.0294433	0.0242611	0.0490541	0.012843	0.149538	0.0427387	0.159603	0.000891225	0.0704617	0.276569	0.0459841	0.5631834	7	16.27695	0.06841583	0.43717	0.764209	1.08432	1.71431	0.275663	0.248496	0.0888188	0.133599	0.151321	0.102102	0.5976194	0.9423779
17	0	-451.4614	-342.4533	-109.0081	14.64386	3.40294	0.08887082	0.03666907	0.0585095	0.0271699	0.00581594	0.0265744	0.108114	0.00454092	0.0334413	0.00593588	0.168326	0.0753046	0.243523	0.0182838	0.0178177	0.133696	0.072946	0.3600347	6	16.97936	0.06436597	0.418217	0.751651	1.08389	1.74624	0.161533	0.273784	0.0950354	0.101362	0.282643	0.0856422	0.3967038	0.9075656
18	0	-464.8051	-339.113	-125.6922	30.81084	3.243602	0.07186465	-0.007625854	0.0491845	0.0935309	0.0253617	0.00079418	0.0900447	0.00198233	0.0456777	0.0100333	0.040899	0.140917	0.0903793	0.0328657	0.162218	0.207472	0.00863881	0.3847759	5	35.11409	0.07926379	0.407271	0.744182	1.08348	1.76507	0.170394	0.365991	0.125731	0.110915	0.160935	0.0660336	0.37715	1.02022
19	0	-436.7449	-338.7543	-97.99062	10.92491	4.696984	0.1133912	0.1904594	0.0454023	0.0186439	0.00199916	0.0157603	0.0612565	0.0160493	0.105748	0.00555284	0.0980929	0.0300271	0.270521	0.0684089	0.134786	0.0656255	0.0621265	0.4010007	9	11.99329	0.1435789	0.488984	0.796318	1.08379	1.63091	0.30245	0.261146	0.11567	0.0931206	0.115377	0.112237	0.5914601	0.6779843
20	0	-442.8711	-337.1522	-105.7189	14.48974	1.342898	0.09627155	0.0690916	0.120291	0.043305	0.0119706	0.100055	0.0189409	0.00419353	0.128167	0.014203	0.118866	0.0393003	0.228094	0.00674353	0.0668141	0.0849722	0.0140845	0.453532	9	14.85458	0.07961577	0.200002	0.560131	1.03969	2.20018	0.217896	0.27909	0.13737	0.0683192	0.142884	0.154441	0.5226236	0.8677986
21	0	-447.538	-339.0004	-108.5377	13.25675	3.85276	0.0926501	0.04079422	0.14641	0.0212091	0.00389737	0.00356192	0.179263	0.00416683	0.180764	0.0277323	0.0906745	0.0243776	0.0876499	0.0681442	0.107553	0.0544136	0.000182467	0.3711464	7	20.81293	0.0890734	0.446086	0.769958	1.08439	1.69956	0.229967	0.212006	0.166386	0.072659	0.202652	0.11633	0.4119406	0.9009706
22	0	-453.1483	-341.5947	-111.5537	15.46728	1.608237	0.04605549	0.06680573	0.0446593	0.0838474	0.080117	0.033958	0.0938752	0.044164	0.141945	0.00167156	0.124123	0.0566535	0.111499	0.0309118	0.0348893	0.0736176	0.0440684	0.3414114	5	18.43682	0.07075426	0.241569	0.605634	1.05619	2.0966	0.217195	0.300705	0.110816	0.0618195	0.166744	0.14272	0.4082171	0.8363475
23	0	-441.7862	-339.6528	-102.1334	14.46209	1.007713	0.0781847	0.09229575	0.103921	0.0634243	0.0262832	0.0524797	0.0800508	0.00508405	0.120975	0.0181964	0.101233	0.0660156	0.102097	0.0496364	0.174938	0.0231225	0.0125428	0.3791552	7	15.43279	0.0640537	0.13849	0.479058	1.00127	2.38119	0.205282	0.253731	0.138785	0.0962881	0.209912	0.0960023	0.471451	0.8042304
24	0	-452.3609	-351.7513	-100.6096	12.06222	1.797637	0.1075789	0.07302338	0.0619583	0.0211451	0.0672439	0.00991083	0.131061	0.00928492	0.206244	0.00105923	0.104581	0.0245051	0.0941509	0.0548441	0.0464867	0.135398	0.0321266	0.3539234	5	13.18483	0.09353013	0.267861	0.631612	1.06399	2.03654	0.177656	0.305785	0.145168	0.0631441	0.221014	0.0872325	0.4269468	0.8289638
25	0	-447.9932	-337.8604	-110.1327	13.18074	6.33821	0.08190064	-0.0453175	0.0851936	0.0149743	0.0480873	0.0269048	0.136035	0.0289188	0.137373	0.0448912	0.0618997	0.0444814	0.123712	0.0611595	0.00508394	0.0545065	0.126779	0.3808051	10	15.8879	0.08374423	0.549669	0.830298	1.08049	1.53954	0.213623	0.329907	0.15076	0.0642753	0.129887	0.111547	0.3354876	1.13508
26	0	-447.0195	-341.3857	-105.6338	13.81767	3.524541	0.08328769	0.1139375	0.0657718	0.0515572	0.0280751	0.0606738	0.0315483	0.00900496	0.113554	0.0118855	0.0572318	0.0637671	0.170374	0.00807258	0.216469	0.079219	0.0327964	0.2508556	6	13.99799	0.1923246	0.426169	0.756976	1.08411	1.73274	0.219084	0.25844	0.109601	0.0601103	0.125426	0.227338	0.3647931	0.6876654
