Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-150.9089	-129.4559	-21.45301	4.467848	4.825893	0.265621	0.108102	0.905192	0.496011	0.0687798	0.0983194	2.30033	0.12499	0.983713	0.408378	0.5389387	-0.132428	0.14225	0.000692373	0.213668	0.0756271	0.0990375	0.0330464	0.010201	0.0660161	0.0361363	0.114873	0.0572079	0.047624	0.0300588	0.000417874	0.073144	0.2811988	0	4.925041	0.4500231	0.494682	0.799666	1.08359	1.62206	0.0588599	0.19115	0.080353	0.522494	0.0580332	0.0891097	0.1487709	1.890147
100	-145.9735	-130.733	-15.24051	4.344393	4.002537	0.205844	0.49585	0.446977	0.108972	0.393459	0.261092	0.877387	0.191549	0.142506	1.76509	0.3989542	-0.1749071	0.00439496	0.0873762	0.158369	0.0899495	0.0215991	0.0329078	0.0262824	0.0418169	0.109135	0.191466	0.0147074	0.0475187	0.101501	0.0331302	0.0398457	0.4375064	0	4.498708	0.2074677	0.454502	0.775297	1.0844	1.6858	0.103364	0.175475	0.0224401	0.620246	0.0324251	0.04605	0.2625993	1.666061
200	-154.0627	-135.2878	-18.77498	4.966971	1.065859	0.212747	0.022139	1.25693	0.176574	0.339299	0.689943	0.622837	3.00306	0.582895	0.584265	0.6217365	-0.07264191	0.0142142	0.099334	0.27475	0.0159115	0.0480858	0.0155605	0.036152	0.00064473	0.0131392	0.202147	0.0676755	0.0162085	0.041295	0.00715418	0.147729	0.4348919	0	5.645006	0.231422	0.149904	0.49569	1.01011	2.3443	0.0350513	0.0977085	0.0598184	0.656197	0.0269808	0.124244	0.3622499	1.20053
300	-147.3624	-133.9912	-13.37123	6.355282	4.411838	0.140963	0.337271	1.02559	0.345343	0.0595198	0.101224	0.0064603	0.150902	0.336236	0.00964417	0.3645225	0.009217995	0.0733523	0.0382236	0.123931	0.0168605	0.0933579	0.143479	0.0186613	0.0247056	0.108754	0.0745032	0.017587	0.126314	0.117687	0.01581	0.00677376	0.2133882	0	12.41172	0.09728036	0.475649	0.788346	1.08414	1.65186	0.0858785	0.143038	0.0260671	0.652481	0.0312888	0.0612462	0.2226062	0.9585906
400	-156.1191	-128.6975	-27.42161	7.12475	4.036556	0.105374	0.363889	0.77246	1.60334	0.0967754	0.30794	0.576738	0.857296	1.04079	1.52992	0.4754152	-0.09977012	0.000294538	0.183041	0.0599964	0.050437	0.0825848	0.00454162	0.0205191	0.0241232	0.0681865	0.18033	0.14975	0.0235631	0.0312201	0.0391883	0.0822243	0.3696984	0	11.62091	0.4115715	0.456359	0.776464	1.08439	1.68278	0.0686332	0.179662	0.0808303	0.572677	0.0383053	0.0598928	0.2699283	1.369617
500	-153.5003	-132.45	-21.05033	5.937342	2.137669	0.84026	1.42784	1.1361	0.646617	0.120542	0.0185131	0.589865	0.554337	1.35584	0.175482	0.5600081	-0.1827616	0.0429758	0.051143	0.265726	0.00150219	0.0271373	0.0485413	0.008394	0.0816655	0.150338	0.103724	0.0999955	0.0126832	0.0283262	0.0502461	0.0276023	0.3121871	0	6.096609	0.1438168	0.309172	0.668898	1.07308	1.94885	0.0873873	0.145751	0.0959554	0.524631	0.0616848	0.0845907	0.1294255	2.412099
600	-159.0291	-135.5103	-23.51879	10.42485	1.286661	1.11929	0.320428	0.961861	0.462	0.180795	0.312068	1.23132	0.110742	0.349652	0.461683	0.4379037	-0.06391138	0.0885881	0.0302369	0.0420014	0.0195478	0.0486575	0.0294921	0.0507146	0.0337596	0.0936158	0.177899	0.0871881	0.0188299	0.085711	0.17266	0.0210987	0.2201299	0	22.02045	0.07947663	0.190408	0.548712	1.03498	2.2259	0.0821757	0.18256	0.0543942	0.640708	0.00808291	0.0320788	0.1562185	1.409115
700	-147.7957	-128.6123	-19.18333	5.311172	2.868506	1.00212	0.0112697	0.377655	0.102129	0.159386	0.186657	0.0494829	0.783045	2.18047	0.0351883	0.3425997	0.1298769	0.00779635	0.0930709	0.208455	0.0117309	0.0586345	0.022652	0.0474945	0.0924563	0.141014	0.143542	0.0135514	0.0512106	0.0200387	0.00932916	0.079023	0.392815	0	8.35964	0.1268511	0.378826	0.723977	1.08178	1.81541	0.0869446	0.124435	0.05795	0.643296	0.0265425	0.0608313	0.5226918	0.7515231
800	-145.8875	-127.5563	-18.33124	6.831218	6.065064	0.23853	0.218143	1.1209	0.455347	0.544113	0.0563744	0.151696	0.138214	0.192962	0.474557	0.3144108	0.0833212	0.0991714	0.0149609	0.209761	0.0413133	0.0389592	0.0406181	0.0331912	0.0123733	0.0484283	0.160243	0.0665986	0.0270376	0.091904	0.0139535	0.101487	0.3037153	0	9.491153	0.169721	0.541084	0.825707	1.08111	1.5521	0.0734588	0.210869	0.0272508	0.533789	0.0476636	0.10697	0.3870365	0.7847201
900	-155.8765	-141.6031	-14.27336	8.481798	2.413209	0.271939	0.354449	0.0993275	0.491451	0.0134186	0.545509	0.200106	0.407964	0.30903	0.268167	0.2531527	0.0006661765	0.0136778	0.0666353	0.0425846	0.0110481	0.0303893	0.065556	0.0374744	0.0165512	0.166877	0.0412845	0.223101	0.0273937	0.137354	0.109617	0.0104559	0.1827351	0	14.74385	0.1340591	0.338071	0.69281	1.07757	1.89155	0.111536	0.261551	0.0385488	0.538029	0.0155998	0.0347342	0.1834013	0.9963677
