Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	0	-123.2609	-119.1792	-4.081655	12.24727	0.8291407	0.312593	0.000950531	0.00235669	0.0450143	0.0258807	0.0388594	0.087071	0.0123354	0.0107458	0.0317378	0.08684552	0.03197957	0.116917	0.121744	0.137263	0.0527986	0.0217261	0.0862011	0.0407282	0.0272239	0.025457	0.119911	0.0304723	0.0282228	0.00822205	0.0146345	0.168478	0.2148584	0	55.11045	0.03380306	0.101743	0.418607	0.964713	2.51494	0.100511	0.214463	0.10134	0.413398	0.0308021	0.139485	0.246838	0.8704431
1	0	-145.7134	-119.2107	-26.5027	6.872395	1.804388	0.911756	0.676619	0.00572434	0.230675	0.126442	0.0506746	0.105113	0.0383142	0.698532	0.142866	0.2866491	-0.005212202	0.0262408	0.216946	0.105358	0.0389103	0.0754181	0.0913645	0.0198727	0.110378	0.0471209	0.110961	0.0401344	0.030203	0.0409327	0.000978569	0.0451815	0.2194647	0	72.17241	0.02933899	0.268751	0.632458	1.06422	2.03457	0.0855174	0.344852	0.0369981	0.410004	0.0573768	0.0652523	0.2142525	1.024327
2	0	-123.2026	-121.6818	-1.520791	38.10461	1.081616	0.0459657	0.00235206	0.0399731	0.01514	0.0127508	0.0554679	0.0114807	0.045026	0.00642159	0.00459981	0.03559436	0.01581698	0.0297454	0.121385	0.116678	0.0620615	0.00821138	0.00497064	0.11216	0.0127103	0.0820107	0.180481	0.0627068	0.0366161	0.094955	0.00896315	0.0663455	0.1523146	0	52.73692	0.04044278	0.152945	0.49998	1.01231	2.33477	0.0469967	0.197019	0.0635702	0.581263	0.0671572	0.0439941	0.1681316	0.905925
3	0	-117.1571	-115.4383	-1.718816	18.63591	0.8999489	0.0557998	0.0476938	0.00937379	0.0309479	0.0417608	0.0180362	0.0339113	0.104185	0.0701118	0.00441926	0.03966573	0.03124368	0.0122243	0.0827974	0.0747874	0.00604942	0.0833821	0.152721	0.0453776	0.0517303	0.00399111	0.204274	0.183715	0.0652802	0.0288984	0.00285234	0.00191914	0.09199301	0	51.32267	0.08067416	0.116584	0.444466	0.981219	2.45773	0.108839	0.207366	0.0712063	0.47014	0.0722613	0.0701874	0.1232367	0.7464742
4	0	-124.1493	-117.5578	-6.591471	19.87846	1.707408	0.0549748	0.000705013	0.00475256	0.00856397	0.00332525	0.124628	0.0278189	0.0218037	0.0501271	0.0497442	0.02163636	0.06337695	0.00728372	0.0750645	0.293727	0.0543216	0.0105728	0.0791274	0.100389	0.0909141	0.0639757	0.0537984	0.0409217	0.0107692	0.00902042	0.00327417	0.106841	0.1367302	0	60.47182	0.03992468	0.255659	0.619795	1.06059	2.06395	0.106735	0.150626	0.0572309	0.578241	0.0264122	0.0807554	0.2001072	0.683285
5	0	-122.701	-113.9203	-8.780645	19.61853	1.032788	0.0176462	0.082372	0.0166617	0.12389	0.0146859	0.00212747	0.0337391	0.00644803	0.0779488	0.0549202	0.1285615	0.02042248	0.0258912	0.0275254	0.087496	0.00191959	0.0459725	0.0184445	0.0404936	0.120444	0.00488226	0.268935	0.109433	0.155211	0.00233222	0.0158708	0.0751497	0.1732565	0	51.97177	0.02676856	0.143449	0.48639	1.00523	2.36493	0.11215	0.184474	0.0626345	0.448255	0.0802023	0.112284	0.193679	0.894555
6	0	-123.4329	-118.0216	-5.411314	8.694617	1.329558	0.0259882	0.013137	0.0130813	0.0376822	0.0415053	0.064852	0.0143261	0.0935213	0.0780419	0.103831	0.03921437	-0.04383611	0.083603	0.0522337	0.157412	0.0439294	0.0439805	0.0656349	0.126783	0.00913142	0.0132876	0.11769	0.0308778	0.189206	0.0161044	0.0109427	0.0391836	0.1620376	0	59.61631	0.03060987	0.197752	0.557488	1.03862	2.20614	0.0434172	0.229932	0.0595012	0.517885	0.0351236	0.114141	0.1182015	1.370859
7	0	-132.0228	-117.6455	-14.37725	12.20546	2.170496	0.0425685	0.0718631	0.095208	0.0977061	0.0797352	0.5956	0.0232461	0.0413557	0.0777445	0.0145714	0.1687423	-0.04089611	0.020714	0.0186376	0.207032	0.00813881	0.0284861	0.204512	0.0574725	0.0441436	0.0382652	0.0647404	0.0110551	0.0277721	0.00413503	0.00888481	0.25601	0.1910222	0	50.70129	0.07282089	0.312811	0.672	1.07372	1.94146	0.0349318	0.164815	0.0659194	0.561355	0.080178	0.0928014	0.1501261	1.272412
8	0	-127.5842	-115.6433	-11.94084	5.210134	1.300761	0.17592	0.0215584	0.0761164	0.000574956	0.00305738	0.151721	0.0602987	0.144558	0.156081	0.267835	0.1367544	0.04610389	0.00514234	0.0809069	0.140791	0.00166342	0.0201441	0.00741944	0.0424909	0.125618	0.0052343	0.151015	0.168259	0.0585703	0.0442918	0.0404196	0.108034	0.1034069	0	57.70196	0.05224587	0.19284	0.551644	1.03621	2.2193	0.100658	0.287483	0.0851749	0.421085	0.062753	0.0428452	0.1495108	0.6916351
9	0	-125.8117	-114.3033	-11.50841	10.36405	2.791174	0.143363	0.0398957	0.0874173	0.00748371	0.000567602	0.234388	0.00191846	0.124951	0.244236	0.0462859	0.07984243	-0.07023306	0.00103948	0.0124165	0.0692164	0.0397709	0.0615249	0.0161925	0.0663898	0.0413653	0.0966652	0.484202	0.0280235	0.0319414	0.0413457	0.00184312	0.00806303	0.1397078	0	55.04281	0.08351709	0.372433	0.719269	1.08127	1.82703	0.119218	0.174115	0.0574672	0.511625	0.0368184	0.100756	0.06947477	2.010915
