Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
1000	-133.7804	-120.3146	-13.46582	15.76392	0.4491746	0.0555152	0.046666	0.00442137	0.179703	0.124732	0.0832064	0.000743598	0.0223467	0.0450916	0.131518	0.09129631	0.10442	0.143581	0.0273058	0.0338917	0.0797231	0.0405472	0.064877	0.0669148	0.0216409	0.0382325	0.0564283	0.00711742	0.158777	0.0346081	0.114931	0.111424	0.3303335	0	50.52199	0.06555154	0.0244004	0.217447	0.779449	2.9787	0.133269	0.158129	0.0295739	0.574178	0.0447107	0.0601399	0.4347536	0.7598179
1100	-135.1591	-118.0043	-17.15479	19.07698	0.2934579	0.0569127	0.153127	0.145237	0.0626175	0.10946	0.00823243	0.115831	0.0669018	0.527907	0.0524715	0.1727932	-0.0236052	0.0545614	0.0415684	0.0720588	0.00518346	0.0286575	0.0826078	0.216119	0.0437154	0.0363517	0.211942	0.0572777	0.0430601	0.0159998	0.0876943	0.00320261	0.1195697	0	60.54207	0.05269028	0.00477966	0.0994163	0.584651	3.31115	0.080954	0.195453	0.0853875	0.477088	0.0662439	0.0948742	0.0959645	1.245978
1200	-128.2706	-121.5296	-6.740998	12.39888	1.849072	0.118063	0.0476144	0.00821542	0.0265573	0.0101058	0.0133797	0.0404277	0.0952875	0.00254681	0.0122803	0.05501545	-0.04477361	0.0816582	0.0148814	0.00881633	0.404952	0.00632156	0.0144923	0.0286618	0.0669576	0.0225758	0.10128	0.0422477	0.0522155	0.100284	0.0424206	0.0122352	0.1917699	0	51.83211	0.1063668	0.274568	0.637941	1.06571	2.02178	0.141541	0.0966819	0.062404	0.628267	0.0361001	0.0350065	0.1469963	1.30459
1300	-154.5497	-133.8256	-20.72412	21.1616	1.149865	0.13586	0.0435889	0.113821	0.0557798	0.61551	0.361007	0.0473126	0.0170666	0.0664243	0.0584179	0.1296009	-0.009268305	0.0856236	0.0278269	0.126699	0.0194374	0.170156	0.0980041	0.0956062	0.0294601	0.0169469	0.0886847	0.0185153	0.0970471	0.0516718	0.0457941	0.0285267	0.1840462	0	51.73902	0.05867803	0.16585	0.517587	1.02099	2.29558	0.122519	0.179835	0.122874	0.456187	0.0706276	0.0479565	0.1747779	1.053029
1400	-133.2207	-122.1593	-11.06135	7.660074	0.4702239	0.0685563	0.159447	0.0324003	0.064849	0.0495147	0.127529	0.0655094	0.247495	0.0254405	0.250906	0.08709522	-0.003714867	0.0462794	0.103126	0.0326508	0.0117178	0.0410275	0.187974	0.110179	0.00881844	0.0542379	0.281795	0.00726029	0.0669525	0.00241646	0.00634667	0.0392181	0.1765044	0	50.21926	0.05807984	0.0280107	0.232033	0.797332	2.94262	0.0980841	0.229666	0.0275819	0.47584	0.0256083	0.143219	0.1727895	1.021499
1500	-139.426	-120.4032	-19.02279	15.72972	1.788303	0.0266999	0.0279578	0.130645	0.0161012	0.131915	0.330172	0.355889	0.467218	0.0180261	0.149444	0.1701301	0.01968974	0.033176	0.0951158	0.0265154	0.0140911	0.0364677	0.0314896	0.0391996	0.00797647	0.0178056	0.096008	0.0145976	0.117732	0.0541224	0.197923	0.21778	0.1654775	0	57.04736	0.05017125	0.266625	0.630433	1.06366	2.03928	0.0499393	0.155121	0.0804544	0.581146	0.0628536	0.0704851	0.1851672	0.8936651
1600	-135.6175	-125.9111	-9.706351	11.72915	0.736503	0.0432364	0.0537589	0.0305404	0.203931	0.0370557	0.0428609	0.0543404	0.0234304	0.101831	0.0647258	0.0605225	-0.05168125	0.0550715	0.0412373	0.0961563	0.151902	0.00786539	0.122455	0.0285316	0.0722234	0.0714496	0.162827	0.0172382	0.00102185	0.133084	0.0155276	0.0234081	0.1331928	0	58.99447	0.08653956	0.0819962	0.380256	0.937679	2.60007	0.119786	0.261109	0.0515343	0.458053	0.0181375	0.0913802	0.08151155	1.634036
1700	-129.8197	-123.9758	-5.843972	15.1859	1.189049	0.0419713	0.0708037	0.0132447	0.0119606	0.114685	0.0130645	0.0295682	0.0375574	0.0021389	0.000104246	0.0516958	-0.08328556	0.0261113	0.0103099	0.0459886	0.0345858	0.0121984	0.0985129	0.0699553	0.122224	0.00678428	0.0795449	0.0964179	0.153532	0.115565	0.0880073	0.0402618	0.2607529	0	57.00066	0.06112786	0.173063	0.527033	1.02541	2.27449	0.0653958	0.116566	0.0957291	0.529147	0.0501013	0.14306	0.1774674	1.469301
1800	-127.7346	-119.5124	-8.222237	12.10798	0.3276239	0.0718026	0.0829391	0.00953393	0.0223261	0.0931083	0.117767	0.296286	0.0280584	0.041668	0.101512	0.07087292	0.00162105	0.0391554	0.0251078	0.1662	0.0406574	0.0211796	0.0298855	0.203463	0.0432107	0.0140405	0.235599	0.0202445	0.0878869	0.0241386	0.00773494	0.0414964	0.0870492	0	57.28447	0.02864564	0.00780153	0.126085	0.639406	3.22671	0.172048	0.146347	0.106825	0.428323	0.0332375	0.113219	0.08867025	0.9817182
1900	-133.4222	-121.0791	-12.34304	32.28962	1.232309	0.38663	0.0268668	0.0777716	0.0134831	0.0293023	0.0462063	0.0425946	0.140256	0.0239322	0.000542976	0.08097355	0.02253943	0.143209	0.00507629	0.0806229	0.00368795	0.0688525	0.0456767	0.0423035	0.0537903	0.0289277	0.132611	0.0128284	0.0652156	0.123476	0.174158	0.0195648	0.1020598	0	55.80945	0.02986066	0.180859	0.536951	1.02989	2.2523	0.0726927	0.184217	0.0642564	0.566979	0.0358249	0.07603	0.1245993	0.8191046
