Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-311.5897	-286.6367	-24.95304	6.673448	1.644354	0.186922	0.262256	0.24469	0.0144438	0.248622	0.0497168	0.104787	0.091263	0.0255086	0.428205	0.0775413	0.660708	0.582274	0.537036	0.0742093	0.0754165	0.179196	0.0956309	0.0778433	0.0711201	0.341998	0.00918006	0.1806649	-0.1292169	0.0460206	0.0900144	0.0110343	0.0134548	0.00220041	0.0299154	0.243014	0.00786135	0.151063	0.00214876	0.248462	0.0195689	0.02503	0.0974727	0.0127393	0.3073489	3	7.224427	0.1286148	0.246786	0.610945	1.05788	2.08439	0.173238	0.267831	0.128869	0.0573768	0.19527	0.177415	0.178132	1.725399
100	-312.0336	-280.3763	-31.65721	7.465958	2.434542	0.152319	0.527747	0.0927542	0.228005	0.163282	0.0869277	0.0533067	0.12004	0.0163205	0.328945	0.142863	0.50986	0.116331	0.577326	0.86964	0.139399	0.101853	0.00671239	0.996266	0.150053	0.0947341	0.0940644	0.1858887	-0.05673403	0.0320818	0.190296	0.0123423	0.0795619	0.0668334	0.000124408	0.105835	0.0139117	0.0829718	0.0277265	0.188438	0.00957284	0.065696	0.0762787	0.0483299	0.2926313	2	8.033582	0.1732948	0.340162	0.694479	1.07784	1.88752	0.153951	0.334437	0.158396	0.123364	0.107519	0.122333	0.2358973	1.240503
200	-326.5507	-286.8837	-39.66707	6.00813	1.599696	0.0387826	0.986345	0.0706151	0.669788	0.0653145	0.886661	0.00947828	0.247086	0.697069	0.0645705	0.104735	0.994762	1.25551	0.184679	0.590484	0.101988	0.165976	0.124831	0.373966	0.651231	0.406952	0.557824	0.3747874	0.1091893	0.0223294	0.275794	0.00542626	0.0552184	0.0206948	0.00662629	0.179858	0.00889539	0.052739	0.0375784	0.265499	0.00221948	0.027706	0.0383427	0.00107319	0.287481	1	6.515382	0.2698836	0.240321	0.604351	1.05578	2.09955	0.214023	0.234546	0.0913422	0.120028	0.201411	0.138649	0.3966702	0.7247354
300	-312.0404	-281.2339	-30.80652	5.777194	4.198179	0.120403	0.403731	0.000817395	0.369763	0.219376	0.288153	6.3599e-05	0.19324	0.395212	0.337793	0.0807914	0.479279	0.372924	0.194831	0.319841	0.120987	0.00304867	0.222672	0.136885	0.212653	0.0229816	0.374484	0.2300355	0.1280264	0.0198942	0.109167	0.00872926	0.100615	0.00388993	0.000218497	0.124305	0.0164553	0.158556	0.0263997	0.194228	0.0312107	0.0308855	0.10178	0.0736655	0.3878977	0	8.525174	0.1798618	0.464928	0.781795	1.08432	1.66896	0.250625	0.269403	0.173087	0.0867781	0.149751	0.0703544	0.5159242	0.7518503
400	-299.5055	-286.2307	-13.27472	7.176102	1.84646	0.0619043	0.0615317	0.135785	0.350165	0.0105505	0.177086	0.0825784	0.121533	0.201096	0.0943919	0.013114	0.0223532	0.120221	0.123766	0.100594	0.283425	0.0700714	0.147383	0.0970096	0.00860178	0.0837394	0.0037276	0.07581145	-0.05191038	0.0383291	0.099656	0.00918666	0.0932691	0.0293529	0.00197189	0.132251	0.0126763	0.24892	0.0606644	0.177704	0.0441341	0.00347004	0.0252816	0.0231321	0.3855281	1	13.43989	0.1061474	0.274231	0.637626	1.06563	2.02252	0.218657	0.292955	0.150457	0.0821254	0.138284	0.117522	0.3336177	1.155598
500	-306.0926	-284.0125	-22.08009	6.906398	1.457035	0.166965	0.149548	0.234849	0.281596	0.330526	0.353105	0.201865	0.0742001	0.854048	0.0342414	0.00463935	0.0366873	0.156354	0.0957894	0.132407	0.0379638	0.115238	0.16118	0.0658444	0.165624	0.282412	0.0355743	0.1453492	0.1080007	0.029519	0.16968	0.0247749	0.13881	0.00129481	0.0392713	0.155976	0.0203989	0.0694571	0.10421	0.205747	0.0160836	0.0151432	0.004068	0.00556639	0.2325572	1	7.874069	0.1258346	0.218608	0.581245	1.0478	2.15235	0.230681	0.278322	0.0887351	0.0893471	0.133805	0.179111	0.3405579	0.6828713
600	-305.5674	-279.9881	-25.57928	6.129929	0.9708326	0.0983455	0.0290319	0.21251	0.746919	0.092008	0.128496	0.285345	0.0300074	0.0856469	0.0624345	0.0265653	0.111664	0.430841	0.246408	0.299201	0.104935	0.520744	0.634575	0.252903	0.340169	0.0205553	0.295159	0.2069559	0.05109475	0.0572538	0.225437	0.000909906	0.0822623	0.00372563	0.00642157	0.249118	0.00169393	0.057607	0.0413905	0.156922	0.00574901	0.0106806	0.100556	0.000272921	0.2119288	3	6.363034	0.1825554	0.131098	0.467806	0.994994	2.4061	0.225414	0.227982	0.154124	0.0895967	0.18245	0.120433	0.2630236	0.8057408
700	-301.404	-274.1048	-27.29925	5.960193	3.322116	0.0311188	0.103357	0.110823	0.314149	0.608643	0.0368739	0.0112961	0.253575	0.0185123	0.562603	0.00238545	0.242569	0.225378	0.00568473	0.796661	0.339499	0.162466	0.0884211	0.17429	0.153248	0.540215	0.503982	0.251847	-0.008756146	0.0402292	0.15177	0.00858043	0.0622027	0.022198	8.81454e-05	0.157289	0.00961037	0.15278	0.0199731	0.178929	0.02698	0.0142771	0.124229	0.0308641	0.4110215	1	7.744358	0.1821327	0.412742	0.747935	1.0837	1.75562	0.222819	0.33237	0.0822884	0.125075	0.15058	0.0868676	0.4022653	1.021767
800	-312.2178	-282.606	-29.61176	8.27365	1.355366	0.123039	0.406809	0.156574	0.095331	1.25121	0.0569136	0.00654864	0.296379	0.0943924	0.250045	0.091637	0.182642	0.0402744	0.058136	0.265278	0.068069	0.432741	0.402757	0.0257312	0.154099	0.0766426	0.838203	0.3163171	0.04251113	0.025602	0.0440239	0.0138258	0.0285993	0.00255925	0.000621884	0.277842	0.00424152	0.0514664	0.0119295	0.176025	0.0231294	0.151436	0.172016	0.0166821	0.4165836	0	10.74607	0.2008442	0.20209	0.562567	1.04066	2.19468	0.169005	0.358443	0.0936373	0.0816703	0.178544	0.1187	0.4590948	0.9074023
900	-314.3557	-286.1168	-28.23885	6.25189	2.025024	0.348578	0.0342669	0.0895297	0.373638	0.129335	0.975856	0.121059	0.259913	0.056101	0.126823	0.00182001	0.181802	0.572194	0.242271	0.126672	0.0300962	0.442317	0.108409	0.491343	0.00639214	0.0120996	0.0790177	0.1673166	-0.08366727	0.0318141	0.198434	0.0134201	0.0248729	0.0141581	0.0163755	0.144524	0.00164126	0.0322417	0.112775	0.154566	0.10865	0.00372703	0.122172	0.0206284	0.4365521	2	8.367607	0.3336159	0.296244	0.657649	1.0706	1.9755	0.191949	0.303873	0.1058	0.122369	0.166344	0.109666	0.3528849	1.237095
1000	-307.1436	-279.2103	-27.93324	9.101577	1.840715	0.0439229	0.00489319	0.00366312	0.0545373	0.469958	0.0185977	0.0387279	0.272422	0.0163111	0.107257	0.0962311	0.120172	0.16428	0.218664	0.275848	0.461797	0.0410284	0.0904012	0.222241	0.469899	0.305886	0.299182	0.2092651	0.07097091	0.0189108	0.0776857	0.00922657	0.112894	0.0209958	0.0135286	0.139719	0.00660171	0.0922939	0.0387511	0.265772	0.0439944	0.023385	0.103891	0.0323503	0.1245966	0	13.51536	0.1131548	0.27349	0.636931	1.06544	2.02414	0.213847	0.407674	0.109777	0.0678797	0.121608	0.0792148	0.1955675	0.6371028
1100	-308.9595	-283.2994	-25.66005	8.577066	2.164422	0.265437	0.0372911	0.115646	0.259936	0.0668741	0.244985	0.100878	0.142082	0.0133473	0.458833	0.188852	0.176715	0.151477	0.220226	0.0772956	0.182122	0.17072	0.0269143	0.0779666	0.22403	0.157535	0.0477217	0.1543812	0.09270567	0.0138514	0.145734	0.00350577	0.0483816	0.0049944	0.0147397	0.0906482	0.00228011	0.237385	0.0341174	0.103037	0.0590532	0.00635173	0.187812	0.0481075	0.1974428	1	13.2015	0.1604931	0.312142	0.671432	1.07361	1.94282	0.200942	0.350464	0.059755	0.125364	0.177884	0.0855911	0.2901485	0.6804888
1200	-305.4535	-285.4258	-20.02762	6.771368	1.527462	0.094953	0.104455	0.0691358	0.00591328	0.0497564	0.334832	0.0208448	0.137007	0.00915657	0.300349	0.276835	0.311526	0.387946	0.160315	0.323161	0.0290622	0.0308447	0.481012	0.0115065	0.205387	0.022255	0.261916	0.1927875	0.2174767	0.00950633	0.0402789	0.00486324	0.0261927	0.0467484	0.00176264	0.11809	0.00333882	0.284568	0.0062883	0.12647	0.105812	0.00243625	0.138637	0.0850077	0.2283802	1	8.790191	0.147719	0.229534	0.593064	1.05199	2.12541	0.181654	0.310156	0.205224	0.0787661	0.16148	0.0627202	0.4458569	0.5122276
1300	-308.0773	-290.761	-17.31627	6.481775	1.810806	0.14399	0.15455	0.0273305	0.0260219	0.301853	0.113034	0.010087	0.0808599	0.0637331	0.33609	0.0622843	0.229046	0.319659	0.110406	0.193482	0.0625442	0.316197	0.053617	0.107493	0.0325941	0.176068	0.202029	0.1756167	0.2323937	0.0119423	0.207951	0.00770465	0.0156891	0.014819	0.0138412	0.0839199	0.000965418	0.0745516	0.0628819	0.198699	0.00887681	0.00245646	0.235601	0.060101	0.1669614	3	6.907009	0.1374167	0.269595	0.633259	1.06444	2.0327	0.273282	0.293263	0.133165	0.0614841	0.154421	0.0843859	0.3993551	0.4180774
1400	-307.9772	-285.8929	-22.08431	10.11861	5.192134	0.0187333	0.1524	0.0604801	0.00178234	0.112941	0.0219083	0.178075	0.0667558	0.00954501	0.376625	0.00997126	0.15786	0.00720545	0.0759884	0.312606	0.0428459	0.157744	0.180559	0.0766988	0.00645294	0.16451	0.0751402	0.1767949	0.2631198	0.00949774	0.0741997	0.0136975	0.107988	0.0377615	0.0110013	0.0653591	0.0168516	0.109785	0.0104563	0.228321	0.157696	0.0246677	0.0913226	0.0413955	0.1474955	1	11.84244	0.1091513	0.509867	0.808423	1.08295	1.59876	0.204759	0.367212	0.138651	0.0826018	0.144182	0.0625938	0.4106153	0.359206
1500	-299.3062	-281.8617	-17.44446	12.11853	3.243552	0.067838	0.249545	0.0381528	0.00791878	0.0566972	0.0308639	0.220214	0.0246648	0.0135636	0.279621	0.000168149	0.0556375	0.0599778	0.223043	0.0121099	0.0652213	0.0240272	0.175425	0.104082	0.0526848	0.113907	0.0176503	0.09282854	0.1378022	0.0395321	0.0911668	0.0176594	0.0505396	0.0177404	0.00354053	0.071207	0.0114599	0.118894	0.0674997	0.285641	0.0475493	0.0370193	0.113124	0.0274266	0.180829	0	14.57774	0.07037122	0.407268	0.74418	1.08348	1.76507	0.203813	0.270986	0.122989	0.0791854	0.177588	0.145439	0.3186312	0.5675181
1600	-316.4281	-288.6825	-27.74556	4.05735	1.856725	0.261262	0.942002	0.100398	0.483972	0.283507	0.0616708	0.194587	0.0276936	0.0891801	0.6361	0.0362802	0.38226	0.18283	0.37747	0.46461	0.7165	0.0124668	0.598496	0.539458	0.262512	0.198612	0.0174852	0.3631035	-0.04240216	0.0287964	0.164327	0.0494056	0.0467873	0.0287804	0.00581217	0.220034	0.0163561	0.0797364	0.0509985	0.16289	0.0109728	0.0926948	0.0214167	0.020992	0.5843776	3	4.377397	0.2346577	0.27555	0.638859	1.06595	2.01964	0.237314	0.31504	0.151762	0.0648859	0.123833	0.107165	0.5419754	1.078236
1700	-303.2329	-275.187	-28.04595	7.192808	3.39188	0.0505806	0.0537628	0.0604804	0.132502	0.0985132	0.0547874	0.0089862	0.0705763	0.0175455	0.268038	0.0126048	0.482571	0.751562	0.455377	0.140831	0.056959	0.18868	0.0218967	0.00138667	0.00434933	0.141543	0.390102	0.138343	-0.0387612	0.0587391	0.188564	0.0257286	0.0556399	0.00305699	0.0114152	0.0736765	0.00507728	0.128762	0.00288637	0.233357	0.00663284	0.0633844	0.107471	0.0356084	0.2589473	0	18.95472	0.09217543	0.417477	0.751151	1.08387	1.7475	0.162632	0.320741	0.121814	0.124456	0.177765	0.0925929	0.2201861	1.176038
1800	-313.0731	-279.2548	-33.81829	6.238713	5.40963	0.343236	0.0735106	0.184088	0.152326	0.581166	0.0131309	0.0436473	0.0544219	0.0583251	0.123833	0.0523746	1.34201	0.0387564	0.252091	0.913366	0.295425	0.286814	0.441444	0.618973	0.101592	0.168963	0.259942	0.2865364	-0.007787752	0.0307393	0.0748803	0.00901669	0.0538378	0.0197936	0.0127801	0.24476	0.000922803	0.134724	0.021134	0.197901	0.00782372	0.0935435	0.0779968	0.0201462	0.5179185	1	7.464604	0.1039807	0.51825	0.813157	1.08252	1.58607	0.195342	0.337128	0.113299	0.116673	0.128455	0.109103	0.5101307	1.015266
1900	-306.9913	-279.7472	-27.24411	5.223075	4.332574	0.246669	0.0526679	0.278759	0.183796	0.362929	0.264037	0.1386	0.0408244	0.0315393	0.153727	0.308705	0.416582	0.296113	0.132765	0.0541243	0.0429448	0.317429	0.0970692	0.0091286	0.125257	0.309442	0.347417	0.1637544	-0.1173139	0.0180727	0.161922	0.00466355	0.0375823	0.000839316	0.0101221	0.127289	0.00836892	0.0195925	0.0036947	0.354088	0.00334707	0.120716	0.112426	0.0172764	0.257183	2	7.51121	0.08432458	0.471749	0.785978	1.08422	1.65806	0.261356	0.27965	0.0931306	0.109894	0.09559	0.16038	0.1398691	1.838741
2000	-304.4637	-281.5836	-22.88004	6.393053	1.513937	0.23829	0.207575	0.141004	0.04602	0.141619	0.0990903	0.212239	0.201304	0.00715552	0.947347	0.0555408	0.676611	0.211298	0.00943686	0.000215343	0.0304998	0.309895	0.274283	0.262687	0.106081	0.110582	0.0564244	0.1598382	-0.04875413	0.0217923	0.0634265	0.00859254	0.0187907	0.00483758	0.021773	0.23147	0.00869623	0.140139	0.0680086	0.225262	0.0243992	0.0357528	0.0973098	0.0297492	0.3410848	2	7.893142	0.2684538	0.227467	0.59086	1.05123	2.13044	0.298756	0.266354	0.137249	0.0700455	0.159889	0.0677061	0.2923307	1.166777
2100	-309.706	-271.7267	-37.97924	7.913162	3.426593	0.316684	0.190037	0.0406183	0.775429	0.577158	0.0927974	0.0226328	0.0790891	0.0557903	0.217164	0.048138	0.481919	0.154887	0.793572	0.368434	0.111587	0.0606049	0.404797	0.0159652	0.281542	0.346985	0.066667	0.2216664	0.05503566	0.0145159	0.155032	0.0183814	0.00796566	0.0616319	2.10539e-05	0.125106	0.00126624	0.225472	0.00449736	0.284741	0.012847	0.0640218	0.0190467	0.00545493	0.5687194	1	9.91688	0.03792905	0.41979	0.752711	1.08394	1.74356	0.189865	0.405983	0.0609339	0.0642073	0.186516	0.0924953	0.6237551	0.9117672
2200	-312.4183	-282.1961	-30.22215	7.916232	1.328576	0.034841	0.105725	0.459842	0.0399319	0.252667	0.32512	0.473066	0.0840419	0.00950313	0.560413	0.296618	0.0106633	0.449166	0.0753145	0.123404	0.014208	0.598516	0.184148	0.0372597	0.520933	0.444263	0.551448	0.2717204	0.05690012	0.00764426	0.223126	0.00597581	0.0108691	0.00242852	0.00986784	0.0806891	0.000350434	0.240427	0.169663	0.164913	0.00363444	0.0112599	0.0428054	0.0263467	0.4699108	1	8.687596	0.1176154	0.197586	0.557292	1.03854	2.20658	0.276402	0.36043	0.0623911	0.0691292	0.144338	0.0873092	0.5268109	0.8919914
2300	-315.6951	-279.5066	-36.18848	7.347579	5.143298	0.0936655	0.477914	0.0544103	0.205989	0.465506	0.0163851	0.19001	0.00316107	0.00708565	0.684894	0.195532	1.04045	0.480698	0.219287	0.151735	0.00817691	0.396981	0.06357	0.688547	0.0550717	0.371581	0.00942664	0.2219979	0.1420929	0.0158334	0.0979341	0.0129233	0.0202121	0.0298129	0.0249619	0.151619	0.00630626	0.116726	0.00562087	0.305399	0.026429	0.0692434	0.0828506	0.0341281	0.2034215	0	17.443	0.1377207	0.507922	0.807314	1.08304	1.60172	0.289016	0.248252	0.0682524	0.0991193	0.166226	0.129135	0.3455144	0.5887498
2400	-303.9518	-275.3057	-28.64605	7.858353	2.431161	0.244127	0.0688584	0.0965032	0.435191	0.126119	0.267057	0.105233	0.214658	0.0140544	0.419585	0.0166642	0.315116	0.00631126	0.801292	0.504145	0.12037	0.210685	0.244379	0.0118332	0.0184056	0.152072	0.270752	0.1930612	0.1973188	0.0115179	0.240674	0.00625182	0.00433293	0.0095201	0.00789485	0.114558	0.0041872	0.142264	0.0730984	0.182978	0.0231879	0.00558841	0.143443	0.0305025	0.1401158	2	8.109755	0.1376705	0.339831	0.694216	1.0778	1.88815	0.201641	0.325972	0.105809	0.110475	0.174886	0.0812185	0.3374346	0.4152384
2500	-312.5288	-287.5844	-24.9444	5.238227	2.726125	0.350151	0.151995	0.0135565	0.0549152	0.73042	0.101904	0.0931426	0.0532378	0.0391389	0.292828	0.230108	0.396143	0.363546	0.0687793	0.233349	0.570763	0.032814	0.0249996	0.290839	0.479566	0.356766	0.0339054	0.1664397	0.126923	0.0382383	0.121448	0.0430339	0.0430118	0.01781	0.00246211	0.0794107	0.00159978	0.083437	0.0341757	0.307646	0.0357335	0.0427575	0.104434	0.0448015	0.2214952	2	7.270362	0.09439126	0.366898	0.715141	1.08078	1.83718	0.210448	0.246477	0.132495	0.103432	0.149533	0.157616	0.3484182	0.6357164
2600	-306.6525	-281.1703	-25.48223	6.845365	2.861443	0.062948	0.186134	0.180321	0.554602	0.937419	0.199236	0.0234054	0.189914	0.430537	0.179186	0.0315482	0.0115829	0.0164449	0.0343442	0.351539	0.0340564	0.317264	0.151497	0.329419	0.050105	0.107767	0.264061	0.170313	-0.2146226	0.0183875	0.185007	0.0399307	0.0607584	0.00625469	0.0101736	0.138675	0.00202975	0.12472	0.00760947	0.112046	0.0205973	0.131504	0.128086	0.0142209	0.5604281	1	6.910917	0.1877554	0.378251	0.723556	1.08174	1.81645	0.190656	0.392164	0.0971905	0.0705398	0.131106	0.118344	0.3458055	1.620645
2700	-297.6982	-284.3006	-13.39754	7.566818	1.041754	0.0177656	0.00148664	0.259388	0.0808223	0.375033	0.217062	0.0145855	0.171529	0.2628	0.0814447	0.00486011	0.11664	0.309264	0.0826833	0.00422988	0.0363362	0.0532782	0.357859	0.0698013	0.0617159	0.0483408	0.201629	0.1482061	0.273911	0.0585558	0.0971159	0.0221094	0.0208808	0.000535646	0.0120131	0.174512	0.0102473	0.0577681	0.0136411	0.140917	0.00617407	0.0903416	0.271204	0.0239841	0.2078209	2	9.635301	0.1228942	0.145209	0.488952	1.00659	2.35925	0.199289	0.257071	0.141547	0.0803906	0.117972	0.203731	0.4817319	0.4314036
