Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
14	0	-340.1673	-295.2259	-44.94144	9.117893	2.906025	0.1319802	-0.004338421	0.014203	0.144964	0.0050517	0.0124953	0.00694099	0.0086667	0.0968301	0.0251571	0.259831	0.0283339	0.123527	0.0608231	0.00661376	0.175624	0.0309376	0.2438296	2	14.75535	0.09554196	0.381859	0.726188	1.08201	1.80994	0.193468	0.2986	0.220044	0.0542902	0.161225	0.0723733	0.2394912	1.018115
15	0	-325.9574	-290.1461	-35.81138	7.682197	2.821097	0.1432846	0.03113322	0.0201932	0.261372	0.0362896	0.0382793	0.0675857	0.0208915	0.166351	0.0046037	0.168717	0.0288519	0.114549	0.0419677	0.0209707	0.00625254	0.00312565	0.2652896	1	9.550764	0.123819	0.37493	0.721116	1.08148	1.82248	0.227063	0.365068	0.0897637	0.0867461	0.168183	0.0631753	0.2964228	0.8949702
16	0	-325.2974	-290.9279	-34.36953	5.843299	2.921133	0.169815	0.1288914	0.0233352	0.149146	0.0181901	0.016666	0.0102339	0.00157433	0.167229	0.0154776	0.157139	0.04145	0.204832	0.0188371	0.0489074	0.11981	0.00717166	0.3657093	1	6.246495	0.1091661	0.383067	0.727066	1.0821	1.80777	0.228615	0.254162	0.140284	0.0876633	0.225208	0.0640683	0.4946007	0.739403
17	0	-327.8864	-295.8014	-32.08501	5.858077	1.230371	0.2432309	0.163518	0.0560382	0.142285	0.00804527	0.0244163	0.00702752	0.0048605	0.122894	0.00890784	0.0912506	0.0476985	0.313668	0.0252022	0.00207222	0.115935	0.029699	0.319707	0	6.374691	0.1099972	0.180514	0.536517	1.0297	2.25327	0.262829	0.211033	0.136251	0.136016	0.163565	0.0903049	0.483225	0.6616111
18	0	-330.7924	-296.281	-34.51136	7.404139	1.653142	0.1049645	0.02545586	0.0484898	0.0786443	0.048324	0.0136559	0.0304735	0.0199767	0.141303	0.00624881	0.0855778	0.0426443	0.0731402	0.153721	0.0808812	0.16653	0.0103894	0.2815493	2	10.72102	0.06288224	0.24804	0.612209	1.05828	2.08147	0.184043	0.283581	0.136563	0.0943349	0.20307	0.0984089	0.3070052	0.9170833
19	0	-329.3472	-286.4221	-42.92507	7.468731	3.628072	0.09824002	-0.009247623	0.0307349	0.25629	0.000550969	0.00479479	0.0133617	0.0179356	0.0792393	0.0102892	0.0892984	0.0270233	0.156916	0.122514	0.0262069	0.162898	0.0019467	0.3031233	0	10.54605	0.123235	0.432685	0.761279	1.08425	1.72179	0.149977	0.31304	0.110397	0.0949987	0.224067	0.10752	0.2938757	1.031468
20	0	-325.3104	-290.7901	-34.52026	6.625008	1.80353	0.1030088	0.05933921	0.0805441	0.144786	0.00038742	0.00187132	0.022924	0.0118027	0.196061	0.0108011	0.105312	0.0696526	0.130776	0.0108209	0.00337248	0.185563	0.0253262	0.299747	2	7.143764	0.1232054	0.268638	0.632351	1.06419	2.03482	0.190328	0.257491	0.124278	0.0781676	0.240627	0.109108	0.3590862	0.8347494
21	0	-335.3053	-291.7501	-43.55519	13.22043	1.010217	0.08734651	0.093761	0.0356526	0.128775	0.026852	0.0182853	0.0430153	0.00526213	0.244019	0.0145512	0.175032	0.0514447	0.172657	0.012987	0.0253657	0.0130056	0.0330951	0.1635918	0	16.70631	0.04709176	0.138988	0.479802	1.00167	2.37954	0.257966	0.225159	0.119855	0.0858119	0.232167	0.0790416	0.2573528	0.6356714
22	0	-332.6012	-292.8023	-39.79883	7.368745	3.163146	0.1341476	-0.0047744	0.0531255	0.11677	0.00874041	0.0578774	0.0418596	0.0140623	0.10846	0.0101324	0.116019	0.0414208	0.189783	0.114723	0.0126946	0.089759	0.024572	0.4138724	2	10.2549	0.1612779	0.401502	0.740179	1.08321	1.77511	0.247085	0.340651	0.0628343	0.117418	0.113618	0.118393	0.409098	1.011671
23	0	-336.2233	-292.9074	-43.31592	12.74695	0.9024957	0.09483903	0.04277221	0.0277606	0.120962	0.072409	0.0267178	0.0761538	0.0139584	0.229694	0.0269895	0.0662541	0.02072	0.0891212	0.0339424	0.0278315	0.0406503	0.126835	0.2896976	2	13.37216	0.07955166	0.117112	0.445347	0.981758	2.45578	0.203131	0.277457	0.128596	0.093219	0.185611	0.111986	0.3324698	0.8713501
