Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates[47]	branch_rates[48]	branch_rates[49]	branch_rates[50]	branch_rates[51]	branch_rates[52]	branch_rates[53]	branch_rates[54]	branch_rates[55]	branch_rates[56]	branch_rates[57]	branch_rates[58]	branch_rates[59]	branch_rates[60]	branch_rates[61]	branch_rates[62]	branch_rates[63]	branch_rates[64]	branch_rates[65]	branch_rates[66]	branch_rates[67]	branch_rates[68]	branch_rates[69]	branch_rates[70]	branch_rates[71]	branch_rates[72]	branch_rates[73]	branch_rates[74]	branch_rates[75]	branch_rates[76]	branch_rates[77]	branch_rates[78]	branch_rates[79]	branch_rates[80]	branch_rates[81]	branch_rates[82]	branch_rates[83]	branch_rates[84]	branch_rates[85]	branch_rates[86]	branch_rates[87]	branch_rates[88]	branch_rates[89]	branch_rates[90]	branch_rates[91]	branch_rates[92]	branch_rates[93]	branch_rates[94]	branch_rates[95]	branch_rates[96]	branch_rates[97]	branch_rates[98]	branch_rates[99]	branch_rates[100]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-609.3054	-559.0588	-50.2466	9.143551	1.605503	0.0105963	0.0282096	0.0271484	0.0015249	0.0471023	0.0735072	0.0334419	0.0439675	0.0185885	0.00861338	0.0461038	0.010676	0.0522588	0.000661682	0.0551958	0.0175513	0.0416785	0.000905371	0.0169419	0.022139	0.0504363	0.0210967	0.022087	0.0397083	0.0207882	0.0152364	0.0111129	0.0324443	0.0781016	0.0038499	0.0295432	0.00353604	0.00282883	0.00158522	0.0623811	0.0302282	0.0111209	0.0204171	0.0881398	0.0173963	0.020335	0.0210767	0.0101457	0.0215805	0.0196737	0.0151518	0.0596938	0.00644166	0.0200794	0.0206284	0.0423111	0.0147855	0.010185	0.391494	0.0278389	0.0717972	0.0144364	0.0212152	0.00871288	0.00489029	0.00552814	0.176485	0.0353542	0.0306783	0.051635	0.127487	0.0631125	0.000174526	0.0739279	0.0134978	0.0216172	0.0263422	0.0222826	0.0298772	0.10281	0.0167333	0.0166682	0.0434184	0.00106991	0.0710677	0.00999964	0.026505	0.010896	0.116921	0.0244147	0.00381608	0.000258436	0.0100336	0.00259417	0.0454075	0.0281776	0.0776233	0.00139821	0.0625256	0.0257154	0.00940262	0.0847985	0.0354102	0.128108	0.0207197	0.03881916	-0.018643	0.0274532	0.0466393	0.0200661	0.0388267	0.0919635	0.0112384	0.0878552	0.00632568	0.00350875	0.0150683	0.0932634	0.211236	0.0325629	0.312126	0.00186635	0.3949016	15	62.0219	0.05838367	0.24117	0.605225	1.05606	2.09755	0.123138	0.299781	0.126408	0.156969	0.222783	0.0709206	0.3762586	1.049548
100	-631.1704	-556.1735	-74.99689	2.355784	3.784685	0.00567715	0.000519026	0.0141856	0.0205625	0.0497543	0.065773	0.0627274	0.0149213	0.00266914	0.0016689	0.00319611	0.00563496	0.0951242	0.0163775	0.140185	0.0440502	0.0406172	0.0109671	0.0794428	0.044383	0.0173244	0.0394555	0.0358762	0.0409278	0.0157475	0.0184176	0.0299047	0.0272025	0.0133565	0.0511559	0.000371741	0.0550574	0.0910496	0.0261113	0.13779	0.0118962	0.00416485	0.0273842	0.0611415	0.0103535	0.0205863	0.131614	0.0371196	0.0104205	0.124254	0.105775	0.0147011	0.0332936	0.0645485	0.00594232	0.0119885	0.00307328	0.10184	0.208897	0.0710952	0.0390187	0.00765251	0.214624	0.00532025	0.00328483	0.0708821	0.0325865	0.11468	0.0192373	0.0282052	0.0317839	0.00125755	0.0953908	0.105146	0.0115434	0.0566581	0.0237593	0.00147281	0.0557755	0.0515256	0.0112682	0.0440212	0.00328902	0.0113458	0.0042673	0.0200977	0.00781589	0.000532649	0.0375364	0.0558445	0.0170587	0.0132444	0.0087801	0.00795909	0.00282053	0.0118564	0.168651	0.00312711	0.0783227	0.0468429	0.0029954	0.0283629	0.00416583	0.0465649	0.104332	0.03926423	-0.05062898	0.0259061	0.0276237	0.139379	0.0162737	0.0416453	0.00779259	0.0393888	0.00981355	0.0960236	0.216366	0.0401581	0.0452358	0.10234	0.190854	0.00119942	0.6081401	17	79.7785	0.03670241	0.442128	0.767418	1.08437	1.70609	0.164132	0.268056	0.143756	0.0978411	0.210129	0.116085	0.5575111	1.090813
200	-615.5686	-566.6724	-48.89618	4.585598	2.78191	0.0482087	0.00283666	0.0228449	0.011637	0.016754	0.0516058	0.00013377	0.0289604	0.0702192	0.00995705	0.0245096	0.00322198	0.0274928	0.0283112	0.0130549	0.0175275	0.00313412	0.0151135	0.0442619	0.0337704	0.0130154	0.0344923	0.00634749	0.0259961	0.030637	0.0252462	0.107673	0.0413253	0.102316	0.0144754	0.155281	0.0150807	0.000200535	0.11415	0.0145827	0.00409774	0.016083	0.0082961	0.00417735	0.0683705	0.0736974	0.0144242	0.0158095	0.00424172	0.0393874	0.00191072	0.023402	0.026898	0.0215826	0.0269792	0.0448541	0.033978	0.0179912	0.00113409	0.0194427	0.00818528	0.0301267	0.00780918	0.00633353	0.0237644	0.0644199	0.0583303	0.0126553	0.0419347	0.00281144	0.149498	0.0118856	0.0376748	0.116563	0.00419451	0.0185033	0.182844	0.113177	0.0600802	0.0102948	0.0462327	0.172576	0.0184375	0.0480181	0.0614105	0.00445471	0.112242	0.032769	0.00270774	0.0164818	0.0300085	0.00776833	0.0812636	0.0052402	0.020246	0.00870337	0.0397557	0.00902673	0.0607786	0.0177683	0.00348858	0.0254191	0.00695643	0.0155247	0.00709716	0.03529505	0.01062493	0.0246526	0.0597103	0.0419316	0.0207166	0.0513352	0.0285403	0.110161	0.00458895	0.0780975	0.062779	0.125882	0.192469	0.0724878	0.0239195	0.102728	0.5605653	15	69.73081	0.03553755	0.371653	0.71869	1.0812	1.82845	0.151025	0.251958	0.18426	0.143419	0.189169	0.0801692	0.5711902	0.9813986
300	-629.2099	-566.3705	-62.83946	2.074707	2.535715	0.0384301	0.0448011	0.0130982	0.0237426	0.00765892	0.000175524	0.00667694	0.0441956	0.0624607	0.00831632	0.0615684	0.0232013	0.00119779	0.0419662	0.031324	0.0132262	0.0363619	0.061328	0.0890913	0.0149915	0.0153333	0.0562768	0.00568108	0.00231533	0.0124231	0.0740884	0.0841434	0.0159566	0.05729	0.0352792	0.0743412	0.0814541	0.0537856	0.173376	0.00169879	0.00710299	0.00672972	0.00209972	0.0279323	0.00511426	0.0235235	0.0236194	0.0054804	0.0429102	0.120152	0.0317584	0.0374178	0.0428375	0.0344807	0.0576679	0.0858792	0.00571263	0.0280331	0.0328814	0.0730105	0.0133515	0.044862	0.0705347	0.0260628	0.0163583	0.00230725	0.0489899	0.0103219	0.0172418	0.0142812	0.0235435	0.00757996	0.0245536	0.0251352	0.0859619	0.0372709	0.0214773	0.0154121	0.0593635	0.0253524	0.0451397	0.108997	0.00850882	0.0106703	0.0186585	0.0045054	0.130088	0.0305045	0.0697353	0.0775074	0.0369206	0.0285183	0.0231439	0.030415	0.00712058	0.00795789	0.159114	0.0209211	0.0128583	0.0254986	0.0621846	0.0720935	0.111024	0.072358	0.0112754	0.04762464	0.002493231	0.00488529	0.0649728	0.101862	0.024744	0.0411076	0.0113459	0.054464	0.00241767	0.0565646	0.0663791	0.04173	0.350447	0.0227206	0.101996	0.0543634	0.4240997	12	70.88474	0.03079381	0.349817	0.702082	1.07902	1.86908	0.151065	0.29005	0.132661	0.144909	0.206425	0.074891	0.4265929	0.9941555
400	-591.102	-552.9859	-38.11605	1.230979	4.044598	0.0274402	0.00917432	0.00041444	0.00252976	0.0126915	0.0048299	0.0163873	0.0337434	0.0145345	0.0522854	0.00754957	0.0556033	0.00110205	0.00901589	0.117174	0.0227497	0.00367202	0.0100251	0.00755719	0.0052323	0.00664156	0.00478512	0.00947214	0.0566256	0.0119206	0.0695624	0.0430721	0.0419118	0.00365002	0.00466147	0.00921732	0.0175346	0.0377512	0.0254976	0.122537	0.0134848	0.0293144	0.010219	0.0252476	0.0326331	0.00510197	0.0395763	0.0123155	0.025113	0.00969777	0.00484131	0.0245541	0.0167703	0.176682	0.0102966	0.00478091	0.0398464	0.00144686	0.0941795	0.0294009	0.00859647	0.0169762	0.00904407	0.0545737	0.0129648	0.0276121	0.0280929	0.0543505	0.0262038	0.0218214	0.0179566	0.032856	0.00797253	0.0305114	0.0471796	0.0497029	0.0487098	0.00376461	0.0203258	0.0369751	0.0117344	0.0183644	0.0077348	0.000990695	0.0300065	0.0019518	0.0312124	0.0383252	0.0131119	0.0185894	0.0533141	0.0139323	0.0304486	0.00468215	0.060041	0.00549342	0.0080273	0.0802043	0.0963438	0.0935705	0.0838874	0.0855117	0.00388883	0.0289786	0.00967286	0.03173832	-0.05144944	0.00790925	0.0540325	0.0665348	0.0128763	0.107375	0.0123949	0.116349	0.00198011	0.0488668	0.0872172	0.0203141	0.09513	0.0136659	0.268305	0.0870487	0.413733	12	68.37653	0.04832371	0.456795	0.776737	1.08439	1.68208	0.151609	0.224813	0.200391	0.0878194	0.265453	0.0699154	0.3622835	1.142014
500	-595.4857	-545.3955	-50.09011	4.60848	2.630774	0.0174255	0.00994902	0.089169	0.00248154	0.0191102	0.00768981	0.0183401	0.00545112	0.184966	0.0694923	0.0683329	0.0341008	0.0283463	1.04415e-05	0.0816563	0.00409563	0.0235622	0.00260522	0.000122485	0.0468753	0.0504871	0.00354958	0.0287272	0.103697	0.00114065	0.0168615	0.0261345	0.00090014	0.0208538	0.00598269	0.0756348	0.0301922	0.00552966	0.000295823	0.0791638	0.00556554	0.00469654	0.00752114	0.0216357	0.00222191	0.0128233	0.0333925	0.0194155	0.000557161	0.0178532	0.0686608	0.0514024	0.0273059	0.144065	0.00118585	0.00701389	0.0112684	0.00126132	0.311445	0.00776196	0.000863968	0.00470014	0.00188043	0.00246682	0.0815046	0.0113692	0.0233096	0.124608	0.0201675	0.0272779	0.00154151	0.000742378	0.0342486	0.0598313	0.0054034	0.0971221	0.0199454	0.0157937	0.0506151	0.0286074	0.0129801	0.0715576	0.00904531	0.00182205	0.055003	0.00406084	0.0219037	0.00905391	0.0126824	0.00313464	0.106137	0.00862089	0.0316737	0.0103985	0.00975912	0.00547401	0.0248193	0.0249443	0.0736303	0.0210781	0.00335895	0.184047	0.017559	0.120722	0.000852546	0.02860915	0.003601515	0.00116607	0.0656173	0.0763264	0.0265489	0.00671616	0.00520559	0.113977	0.00204732	0.0571607	0.0816187	0.115012	0.175062	0.0243894	0.191092	0.05806	0.3397375	14	63.86741	0.04201082	0.358515	0.708792	1.07997	1.85272	0.249974	0.236054	0.145993	0.119084	0.183617	0.0652783	0.343339	0.9895103
600	-603.668	-551.6446	-52.02346	5.183919	1.894263	0.0182596	0.0149069	0.00319839	0.00623845	0.0593995	0.0641975	0.0376935	0.01482	0.0144458	0.0574919	0.0232669	0.0634529	0.00681947	0.000632078	0.0794066	0.0244643	0.113455	0.0225981	0.0111406	0.0180069	0.00173793	0.0220766	0.00288835	0.0145678	0.00240933	0.00973027	0.0052617	0.00572791	0.0253694	0.0161776	0.0480611	0.0816094	0.00527626	0.00590614	0.0802867	0.0248501	0.0157245	0.0267311	0.0202821	0.00385446	0.00478502	0.102374	0.00453981	0.0206169	0.00706945	0.00607634	0.0614102	0.0198391	0.18204	0.0229475	0.0121274	0.026376	0.00577168	0.0879569	0.0126535	0.00751729	0.0237242	0.0156586	0.00498628	0.0097491	0.112225	0.124636	0.0501513	0.0131842	0.0542534	0.015279	0.04233	0.00617294	0.0591965	0.0440447	0.0308399	0.0209575	0.00326685	0.00646232	0.0422792	0.00846893	0.0433383	0.0193218	0.00630168	0.113314	0.0173903	0.0759282	0.00365644	0.0437272	0.022604	0.0448565	0.0214888	0.0216047	0.058965	0.0117851	0.000867021	0.0324387	0.00966363	0.0388185	0.081257	0.126728	0.00288654	0.0228559	0.0285705	0.00110978	0.02660562	0.05666136	0.0380379	0.0417241	0.0544276	0.034427	0.040403	0.0171586	0.113777	0.00317277	0.0180827	0.0686728	0.114025	0.160367	0.0853593	0.209257	0.00110846	0.4815669	13	67.29362	0.02540219	0.280317	0.643277	1.0671	2.0093	0.181436	0.23859	0.148912	0.11114	0.228738	0.0911842	0.5382283	0.8947261
700	-587.0966	-551.7256	-35.37098	15.19142	2.622858	0.0111795	0.0262147	0.0242421	0.0132931	0.00735263	0.00429352	0.051686	0.0124615	0.0366342	0.000226901	0.0097743	0.000143328	0.00789186	0.00148943	0.0164709	0.0157135	0.000850787	0.00190593	0.021451	0.0123593	0.0300173	0.00687134	0.0350285	0.121253	0.00411114	0.00174785	0.00528147	0.0211059	0.00907266	0.0214943	0.0365952	0.0516066	0.012861	0.0336276	0.0650175	0.0256522	0.0037738	0.00145002	0.000817576	0.00123843	0.000252576	0.0116534	0.0413571	0.0278513	0.00206809	0.00433003	0.104022	0.0406865	0.0324254	0.0066867	0.0209272	0.00142533	0.00252151	0.04272	0.0390477	0.0208297	0.00689066	0.00884978	0.00407902	0.0157515	0.0251966	0.0459514	0.0695148	0.0776643	0.00520509	0.00725442	0.034254	0.0134989	0.0291209	0.0383892	0.0131147	0.0015133	0.0110275	0.0387346	0.0260672	0.0952561	0.0046088	0.0215305	0.011217	0.0237361	0.000735288	0.0553966	0.0372709	0.0154134	0.0450948	0.00361274	0.0084899	0.0168623	0.00135259	0.00655006	0.0132812	0.017708	0.0300045	0.0445614	0.052227	0.0174276	0.050381	0.0126544	0.113697	0.0276925	0.02225813	-0.01936976	0.011676	0.0769847	0.0836746	0.00937599	0.0257758	0.00434827	0.105167	0.00222553	0.0314891	0.199535	0.0217445	0.224087	0.0389268	0.121197	0.0437928	0.4962393	7	71.26484	0.03167715	0.357804	0.708249	1.0799	1.85405	0.191395	0.205796	0.10692	0.110787	0.29121	0.0938923	0.4768695	1.040619
800	-606.5944	-584.5033	-22.09112	3.405786	2.397507	0.039295	0.0422466	0.0637977	0.00661946	0.00863896	0.00333687	0.0578705	0.0310178	0.101256	0.145898	0.0408573	0.0319461	0.0175867	0.0113639	0.00435594	0.00942317	0.0492323	0.0234456	0.0177118	0.0469633	0.0437541	0.0220362	0.108642	0.00255115	0.00768795	0.0254408	0.00370559	0.0819822	0.124241	0.00547024	0.00323877	0.0783614	0.0485274	0.00952202	0.0203174	4.70075e-05	0.0332493	0.00203627	0.0319297	0.1595	0.00538671	0.00188479	0.118061	0.00260347	0.0579513	0.00789305	0.00999392	0.020565	0.00560566	0.0406539	0.0048163	0.00395078	0.0300766	0.0508101	0.0227276	0.0211174	0.0296002	0.0234605	0.0210489	0.0169796	0.00420386	0.0465851	0.131433	0.0144748	0.0211852	0.0505234	0.0498718	0.00224088	0.035864	0.0025519	0.00327435	0.00755762	0.0390472	0.00861575	0.00663041	0.0144691	0.0651635	0.0170427	0.00349413	0.0173979	0.0433374	0.00963196	0.042877	0.00357496	0.0515156	0.0149456	0.00275471	0.0289072	0.0217776	0.0441709	0.0139463	0.0577116	0.183818	0.0375389	0.167915	0.0119908	0.0113965	0.0831946	0.0554309	0.0147739	0.03413356	-0.02721695	0.0320666	0.029965	0.0505666	0.0310833	0.0361108	0.0130815	0.195945	0.00428561	0.0318017	0.0537665	0.113766	0.0579613	0.0907546	0.158304	0.100542	0.4267004	18	59.66848	0.08637111	0.336519	0.691567	1.07736	1.89455	0.210389	0.237078	0.187728	0.0956039	0.174602	0.0945983	0.3994835	1.06813
900	-611.0743	-555.3578	-55.71652	3.100289	3.038303	0.0133363	0.0455885	0.0237771	0.00710225	0.00103408	0.00994749	0.0855115	0.00721665	0.00903449	0.0265808	0.023689	7.06632e-05	0.0105688	0.020477	0.0680428	0.0367125	0.00463194	0.00318052	0.0249321	0.0104596	0.0159353	0.00116713	0.0581763	0.00516174	0.000577318	0.00516314	0.0563869	0.006262	0.0786497	0.00118343	0.0478505	0.0170137	0.0508967	0.0171419	0.107608	0.0148989	0.0820895	0.0269004	0.0312995	0.0500995	0.000711575	0.0658866	0.00997538	0.0270772	0.00934301	0.00112788	0.0788167	0.0584949	0.0880805	0.0310431	0.0100237	0.0360922	0.00867072	0.0879386	0.00951801	0.0545578	0.0439119	0.0266273	0.0138289	0.0244491	0.00366179	0.093117	0.00306081	0.016453	0.168937	0.0329021	0.0157194	0.0349001	0.0620027	0.0486898	0.0569287	0.00682597	0.0260003	0.00859073	0.0561633	0.00673159	0.00119866	0.00735536	0.00121699	0.0136524	0.0984311	0.0646826	0.0403334	0.00797799	0.0267918	0.0713036	0.0201991	0.0461821	0.0250762	0.0112104	0.0673676	0.0134338	0.0553381	0.0645392	0.0286366	0.0338398	0.0421625	0.0128748	0.0124853	0.0521148	0.03024855	-0.04334756	0.0200225	0.0660536	0.122243	0.0796232	0.0666333	0.00910752	0.0866525	0.00730186	0.0235998	0.0929788	0.0802989	0.114515	0.059721	0.167569	0.00367982	0.5425282	15	72.05884	0.03078309	0.392203	0.733627	1.0827	1.79147	0.162824	0.296204	0.169243	0.141299	0.143548	0.0868809	0.4991806	1.086837
