Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
10	0	-347.8596	-312.4172	-35.44238	11.52965	1.893114	0.209584	0.208951	0.0922738	0.227617	0.0041216	0.133454	0.246545	0.326291	0.00786248	0.0411547	0.147769	0.036906	0.11944	0.104819	0.0128221	0.235802	0.0932316	0.435597	0.220109	0.301675	0.40308	0.138311	0.1405014	-0.02805169	0.0644782	0.00304313	0.0250827	0.0312057	0.0580017	0.0139837	0.065742	0.0481175	0.0307833	0.0503855	0.0100627	0.118911	0.108587	0.138215	0.233401	0.2831569	0	50.16444	0.04488378	0.280173	0.643144	1.06707	2.00961	0.169577	0.34444	0.112118	0.107299	0.148905	0.117661	0.2551052	1.109961
11	0	-336.7689	-314.5075	-22.26133	23.37931	1.756315	0.0290873	0.017934	0.111154	0.0779284	0.136682	0.0251947	0.0818441	0.0757822	0.0232431	0.0988839	0.0124066	0.138471	0.0194878	0.00411196	0.000104414	0.106156	0.0743053	0.0260467	0.0185503	0.126754	0.0636696	0.0281789	0.08694183	0.03032589	0.0501687	0.0043486	0.0345259	0.050293	0.0151295	0.0074858	0.028986	0.165694	0.0585207	0.0410767	0.0207323	0.142207	0.133817	0.15964	0.0873754	0.1597862	1	62.08895	0.02868672	0.262343	0.626318	1.0625	2.04884	0.182463	0.333877	0.181421	0.0971734	0.13386	0.0712057	0.1901121	0.8404842
12	0	-354.4075	-320.3627	-34.04482	22.27943	2.426488	0.0119575	0.0645471	0.269064	0.0536701	0.434987	0.0771304	0.0039605	0.0303767	0.0362962	0.151009	0.243781	0.104335	0.0398793	0.090812	0.010566	0.0188067	0.337171	0.127711	0.133142	0.275894	0.185961	0.0360141	0.1070658	-0.003000298	0.0266084	0.0182498	0.00193477	0.0212145	0.0254822	0.0674943	0.122123	0.0838595	0.00204021	0.0132768	0.196988	0.0646905	0.229916	0.0511146	0.0750082	0.1525728	1	54.93787	0.03821426	0.339374	0.693852	1.07774	1.88903	0.174991	0.296527	0.175095	0.0870394	0.121438	0.14491	0.1495725	1.020059
13	0	-342.744	-303.6441	-39.09982	33.06115	1.711483	0.205575	0.156434	0.246042	0.0927361	0.11606	0.0393553	0.0292404	0.0790645	0.0374467	0.224912	0.278316	0.0564576	0.0747801	0.00740647	0.33269	0.0428806	0.0293493	0.136116	0.019982	0.183951	0.080861	0.356781	0.09126857	0.001683601	0.0774434	0.242717	0.040154	0.0112878	0.00485737	0.0189202	0.0994158	0.00781001	0.00279762	0.298207	0.13999	0.012145	0.00549504	0.0280922	0.0106665	0.08732071	1	58.7394	0.03849648	0.256222	0.62035	1.06076	2.06267	0.201559	0.219471	0.096901	0.127714	0.141772	0.212583	0.08900431	0.981084
14	0	-352.6123	-310.1578	-42.45451	49.21223	0.9086403	0.146519	0.0242183	0.0260697	0.0658071	0.0343877	0.00538411	0.113865	0.00798721	0.038889	0.130336	0.131014	0.146756	0.345813	0.0244827	0.279599	0.0610804	0.240415	0.13626	0.0882842	0.0200517	0.0671394	0.00533478	0.1441376	-0.007016041	0.188998	0.0353821	0.0415962	0.0346878	0.00221317	0.0766449	0.112281	0.00458542	0.0897679	0.0687782	0.0818919	0.00271033	0.176752	0.0570627	0.0266474	0.1389335	0	62.58929	0.03454016	0.118384	0.447458	0.983043	2.45112	0.280785	0.267347	0.130535	0.0830175	0.157876	0.0804389	0.1319175	1.053185
15	0	-341.8178	-305.8868	-35.93095	19.88523	2.628398	0.0949404	0.000480132	0.0215341	0.0797507	0.0731594	0.226646	0.030262	0.0456358	0.00865903	0.0649601	0.188443	0.187449	0.292161	0.0917478	0.0850901	0.226917	0.0810874	0.0200298	0.994908	0.00573656	0.003151	0.166207	0.1248231	0.01560648	0.0802729	0.0987277	0.0369885	0.0661491	0.04294	0.00196124	0.0989391	0.112381	0.00628413	0.252275	0.0462507	0.014448	0.0168472	0.113751	0.011784	0.1679749	2	52.44179	0.03255676	0.358301	0.70863	1.07995	1.85312	0.226135	0.259887	0.103701	0.118612	0.11933	0.172335	0.1835814	0.9149888
16	0	-355.5059	-312.4831	-43.02282	15.75509	2.163236	0.080359	0.204916	0.14143	0.00505339	0.174487	0.000849938	0.224637	0.0139998	0.00663485	0.054958	0.651142	0.162548	0.236786	0.0190071	0.0986103	0.142787	0.412469	0.098239	0.244631	0.00229846	0.0448234	0.0632481	0.1346392	-0.02857717	0.0527849	0.0534829	0.0326718	0.00391176	0.0138153	0.157862	0.0438629	0.211907	0.00873006	0.0703399	0.062073	0.00938422	0.0957041	0.0754021	0.108068	0.166448	1	60.96433	0.02380059	0.312011	0.67132	1.07358	1.94308	0.174679	0.361014	0.0748434	0.0630195	0.182145	0.1443	0.1378708	1.207275
17	0	-345.6499	-313.9173	-31.73262	34.84478	1.786329	0.346263	0.0316858	0.145222	0.0327642	0.122701	0.0441282	0.0262162	0.0668397	0.0523265	0.161348	0.00394966	0.145365	0.0854159	0.0864503	0.191242	0.000861724	0.0130908	0.432547	0.160388	0.348883	0.0234908	0.0674099	0.139711	-0.03865207	0.071673	0.172848	0.00321527	0.0228465	0.0223796	0.088032	0.0470174	0.0126638	0.0609663	0.0182938	0.217677	0.0288991	0.20786	0.00953734	0.0160902	0.1198227	2	50.16502	0.04364297	0.266363	0.630182	1.06359	2.03986	0.137191	0.371561	0.0968094	0.0887405	0.147123	0.158575	0.08117062	1.476183
18	0	-345.7705	-308.096	-37.67443	11.0831	1.338376	0.250132	0.453707	0.0193523	0.0306094	0.129723	0.0167438	0.350545	0.218461	0.0114783	0.149017	0.391238	0.0691125	0.0288357	0.187906	0.10987	0.285042	0.374514	0.134801	0.209031	0.124115	0.448768	0.182991	0.139637	0.02695381	0.017117	0.0809229	0.0338215	0.0273782	0.0125708	0.144297	0.0283853	0.024066	0.0072266	0.224191	0.0613609	0.0947459	0.0362582	0.0939654	0.113693	0.2587324	3	50.0239	0.03519813	0.199241	0.55924	1.03933	2.20219	0.223174	0.286633	0.107896	0.138267	0.169589	0.0744407	0.2856862	0.9056524
19	0	-346.8357	-304.8973	-41.93842	17.93708	1.914638	0.591963	0.067964	0.00329443	0.0375534	0.186408	0.245693	0.0188153	0.0206022	0.00592084	0.0803612	0.151262	0.137795	0.301987	0.12586	0.129883	0.412535	0.892381	0.161848	0.818688	0.0122819	0.413174	0.182556	0.2275158	0.01145975	0.183049	0.0456501	0.00966199	0.0317816	0.0178221	0.0111632	0.202492	0.0244708	0.00308032	0.0849163	0.237768	0.0273504	0.0622926	0.0489782	0.00952442	0.2374765	2	50.57719	0.03464599	0.282868	0.645618	1.0677	2.00382	0.230714	0.276864	0.136723	0.042836	0.129688	0.183176	0.2489363	0.9539651
