Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-248.8215	-246.9833	-1.838202	81.16749	0.9483054	0.0161883	0.1028	0.190451	0.41699	0.0579476	0.208324	0.295817	0.0366652	0.0680067	0.0527456	0.0971205	0.133694	0.364287	0.00564963	0.0234805	0.796775	0.1449925	0.008531516	0.0171464	0.117004	0.018333	0.0268157	0.0134633	0.00356698	0.00391363	0.0100911	0.131835	0.0279846	0.0820468	0.0852606	0.352345	0.0451943	0.0649988	0.01996213	81.16749	0.126527	0.460643	0.990877	2.42195	0.196091	0.250082	0.155947	0.114427	0.162022	0.121431	0.02849365	0.7005818
100	-245.2789	-250.0868	4.807918	42.12878	1.360238	0.0540973	0.381352	0.0402922	0.11576	0.0944928	0.115724	0.116903	0.161236	0.265163	0.127506	0.0855161	0.110192	0.0817871	0.164383	0.219599	0.0173552	0.2102245	0.03170107	0.0579006	0.109958	0.0201943	0.119058	0.0038193	0.0011449	0.0978559	0.0057825	0.0888031	0.0779415	0.0372903	0.0134009	0.166286	0.170899	0.0296646	0.03225657	42.12878	0.202902	0.56351	1.04104	2.19255	0.157254	0.251891	0.171591	0.0802318	0.168128	0.170904	0.06395764	0.5043427
200	-244.7234	-258.1336	13.41015	54.1878	2.019185	0.0197965	0.123561	0.0179393	0.0475218	0.171131	0.00487149	0.0688005	0.0051681	0.425547	0.0500445	0.0991337	0.00213336	0.0204256	0.00595926	0.0517873	0.0173007	0.07587963	0.02975855	0.0586794	0.0448744	0.016211	0.0478856	0.00193943	0.0260826	0.0586057	0.0060398	0.232435	0.158828	0.0342031	0.0181086	0.170291	0.121192	0.00462419	0.001111189	54.1878	0.295554	0.657038	1.07046	1.97695	0.146365	0.189873	0.173682	0.237133	0.107378	0.145569	0.03086974	0.03599604
300	-207.4503	-242.4532	35.00297	175.2984	5.578599	0.00818268	0.00523366	0.00827191	0.0249282	0.0055135	0.00459915	0.0182447	0.00353194	0.00147037	0.00204679	0.00272134	0.00477806	0.00653607	0.00747645	0.00508954	0.0177533	0.01172302	0.01342685	0.0474249	0.0803847	0.00761973	0.128764	0.00178094	0.00258398	0.0464775	0.0229944	0.0622972	0.0268469	0.137503	0.0245336	0.117519	0.281058	0.0122133	0.00734068	175.2984	0.524468	0.816624	1.08218	1.57673	0.259528	0.253283	0.0801665	0.0687135	0.177065	0.161243	0.02076753	0.353469
400	-227.3521	-248.1164	20.76436	72.94817	1.609003	0.0509735	0.0426269	0.000989829	0.0261324	0.0756091	0.0789046	0.0811661	0.0321379	0.0146398	0.0557044	0.0449784	0.0294844	0.0363259	0.0341126	0.01071	0.00336134	0.02609589	0.0158113	0.0164688	0.22274	0.0399953	0.0441017	0.0365179	0.00378149	0.00660659	0.0333051	0.115519	0.0736249	0.130988	0.0622172	0.132002	0.0326406	0.0494922	0.008184669	72.94817	0.241681	0.605749	1.05623	2.09634	0.283882	0.154684	0.117142	0.132542	0.20585	0.1059	0.02399597	0.3410852
500	-248.9132	-245.3344	-3.578808	22.48501	4.691551	0.411537	0.36185	0.15602	0.51383	0.376678	0.0607902	0.0463916	0.11805	0.468313	0.506747	0.0132579	0.0757149	0.107228	0.265229	0.0795476	0.108534	0.1590879	0.01416798	0.0479136	0.168091	0.0867204	0.0387504	0.00878511	0.0317371	0.0708601	0.00443289	0.101218	0.138139	0.165247	0.000776274	0.0697922	0.0243043	0.0432329	0.08424028	22.48501	0.48874	0.796173	1.08379	1.63129	0.245972	0.20185	0.102434	0.0995358	0.218552	0.131657	0.09840825	0.8560286
600	-246.2406	-248.4798	2.239199	58.84302	1.126068	0.0064184	0.11074	0.0769765	0.0666337	0.0714503	0.00154546	0.529927	0.188952	6.90079e-05	0.545451	0.0556573	0.0515606	0.0946563	0.164215	0.035057	0.0228941	0.1595207	0.01086023	0.0290719	0.101068	0.158853	0.00280341	0.014459	0.0335248	0.0250844	0.00242669	0.178061	0.0365716	0.0943583	0.0280277	0.230844	0.0217673	0.0430793	0.04042446	58.84302	0.161399	0.511621	1.01811	2.30887	0.273487	0.263436	0.065676	0.0798443	0.218686	0.0988703	0.05128469	0.7882363
700	-230.962	-253.5454	22.58349	171.2002	1.59262	0.00668299	0.0310243	0.000919049	0.0108172	0.0205159	0.0239369	0.0317065	0.0693479	0.000513984	0.0808083	0.0235513	0.0361672	0.0113327	0.0421049	0.0458889	0.00648179	0.02984264	0.01137788	0.0194209	0.02238	0.0427167	0.00265028	0.0542571	0.00187822	0.0406333	0.0243859	0.145784	0.0592114	0.12929	0.0568985	0.355738	0.0259352	0.0188206	0.001072191	171.2002	0.239282	0.603281	1.05543	2.10201	0.302917	0.209957	0.0955004	0.061414	0.15699	0.173221	0.01245007	0.08611931
800	-239.2054	-253.2558	14.05044	24.74639	2.470989	0.0727837	0.0727641	0.130502	0.129315	0.105147	0.0218299	0.0457425	0.00250096	0.00345678	0.0741781	0.0335302	0.103974	0.072825	0.015805	0.079156	0.427313	0.07761283	0.06071627	0.0258552	0.176721	0.0225003	0.0280776	0.00624033	0.030903	0.114085	0.00473854	0.0822671	0.0571411	0.102124	0.0203811	0.123649	0.107766	0.0975507	0.001863874	24.74639	0.343689	0.697276	1.07829	1.88075	0.266691	0.158916	0.132046	0.0911702	0.248428	0.102748	0.06258014	0.02978379
900	-227.0419	-245.7521	18.7102	144.2019	2.089244	0.0170465	0.0760779	0.00703124	0.00221037	0.020311	0.0193785	0.0145079	0.125954	0.00220946	0.0447989	0.000241546	0.0462322	0.00888155	0.0146062	0.00776056	0.0414932	0.02842807	0.008427202	0.023895	0.0489101	0.000845532	0.0239673	0.0113292	0.00422959	0.0175746	0.00540114	0.170376	0.162113	0.0386745	0.041486	0.373252	0.00141986	0.0765261	0.0336715	144.2019	0.3037	0.66418	1.07207	1.96005	0.267873	0.257286	0.102743	0.114619	0.162464	0.0950157	0.0420987	0.7998227
1000	-249.1464	-260.2192	11.07283	72.43295	0.7962141	0.0681368	0.411643	0.000871946	0.0435189	0.0194218	0.029614	0.131106	0.0113552	0.1486	0.0673311	0.00367681	0.00634559	0.0390517	0.0213909	0.158991	0.213355	0.06340918	0.02762922	0.0381918	0.0058603	0.071822	0.103203	0.0620649	0.00640147	0.103144	0.0843199	0.220198	0.0526623	0.0132563	0.061507	0.140233	0.0182199	0.018916	0.004118372	72.43295	0.0947529	0.405605	0.9559	2.54374	0.18112	0.188042	0.195683	0.0687612	0.215034	0.151361	0.03174759	0.1297224
1100	-253.9789	-245.0842	-8.89467	21.02377	1.457767	0.339096	0.913371	0.138504	0.733533	0.217232	0.031881	0.629616	0.0232031	0.141683	0.647617	0.737645	0.348967	0.0136975	0.11562	0.180385	0.0386303	0.3746857	0.06738686	0.0687858	0.0538413	0.0114158	0.0182778	0.0214559	0.0133209	0.0015724	0.00197514	0.0258847	0.132271	0.129469	0.163708	0.336709	0.0154977	0.00581447	0.05144275	21.02377	0.218724	0.581372	1.04784	2.15206	0.250039	0.191333	0.106694	0.101924	0.237777	0.112233	0.1188296	0.4329119
1200	-225.8006	-246.9768	21.17618	44.88519	3.276982	0.0418398	0.0528196	0.00719361	0.0742266	0.0181664	0.00224987	0.00883886	0.0504726	9.62216e-05	0.081584	0.0279347	0.0200604	0.0243955	0.0690723	0.0634228	0.00407849	0.03321611	0.04153837	0.0489092	0.0857414	0.0147391	0.0152109	0.00156474	0.0242514	0.033362	0.0111342	0.121736	0.0399011	0.141877	0.250198	0.0688909	0.124922	0.0175626	0.01768615	44.88519	0.409616	0.745796	1.08358	1.76101	0.274911	0.199807	0.0795877	0.133598	0.19625	0.115847	0.05922452	0.2986288
1300	-244.9012	-243.1903	-1.710946	7.582729	1.983876	0.57297	0.59629	0.00225739	0.0600299	0.265287	0.174118	0.73707	0.327134	0.707739	0.0836027	0.905617	0.0603	0.132224	0.0532372	0.10243	0.341549	0.193881	0.1596135	0.00727067	0.180677	0.124805	0.0508171	0.003232	0.0269185	0.0544601	0.000260342	0.0499216	0.132573	0.199285	0.011858	0.129667	0.0206989	0.00755533	0.01212473	7.582729	0.291342	0.653288	1.06958	1.98579	0.207026	0.324312	0.10738	0.0535146	0.142249	0.165519	0.1717383	0.07060007
1400	-247.6552	-254.4038	6.748664	74.94471	0.4476345	0.122804	0.153125	0.0198261	0.0976799	0.0183683	0.0106774	0.0688978	0.113234	0.112214	0.0308801	0.191688	0.00892145	0.16917	0.126923	0.121822	0.0208657	0.09145297	0.01984833	0.00896409	0.0206176	0.276793	0.012205	0.0227405	0.00713259	0.0404209	0.00505322	0.330404	0.147597	0.0255712	0.0317751	0.029579	0.0256781	0.015469	0.01278353	74.94471	0.0241431	0.216363	0.778081	2.98141	0.176974	0.247739	0.159275	0.112048	0.191926	0.112038	0.03263185	0.39175
1500	-229.8314	-242.618	12.78652	30.52149	3.233821	0.14616	0.23689	0.0380421	0.212799	0.0628508	0.0190087	0.00526504	0.208508	0.00731703	0.0577684	0.021132	0.0283526	0.0391447	0.00632274	0.0796606	0.0282753	0.1287508	0.06820217	0.0293332	0.0326477	0.0704762	0.0223206	0.00323645	0.0666142	0.0377352	0.00362366	0.0704879	0.096123	0.137373	0.0375895	0.288948	0.095766	0.00772529	0.0444473	30.52149	0.406579	0.743704	1.08345	1.76627	0.320133	0.155526	0.0723806	0.083489	0.192881	0.175591	0.1126495	0.3945629
1600	-230.0683	-247.169	17.10064	96.95859	1.558997	0.124248	0.0230065	0.00639152	0.00877787	0.0671673	0.0328721	0.0887622	0.00214246	0.00614238	0.0843622	0.045137	0.0209998	0.043596	0.010643	0.155944	0.00357615	0.05077989	0.029263	0.0804346	0.0589617	0.205863	0.0501074	0.0452323	0.00884814	0.00253529	0.0167376	0.0493472	0.151325	0.157494	0.00706944	0.0234076	0.13175	0.0108854	0.001913805	96.95859	0.234294	0.598091	1.05371	2.11391	0.243369	0.252702	0.137394	0.0857993	0.150145	0.130591	0.03117681	0.06138554
1700	-215.2849	-249.0808	33.79589	98.18176	3.040881	0.0141145	0.0136365	0.00331397	0.0107458	0.0208892	0.0167255	0.0219124	0.00888813	0.00210962	0.0012775	0.0336947	0.00124041	0.00195632	0.00409611	0.0631549	0.00727249	0.01127373	0.009788194	0.0845201	0.0859799	0.263587	0.0270648	0.0640286	0.000153593	0.00844284	0.00500668	0.0536677	0.0664655	0.188151	0.00301188	0.0797063	0.031711	0.038504	0.008745821	98.18176	0.3924	0.733767	1.08271	1.79112	0.273311	0.257656	0.121399	0.0628421	0.164416	0.120377	0.01853401	0.4718795
1800	-238.4531	-238.161	-0.292137	11.52297	7.26025	0.26585	0.494073	0.0359409	0.324054	0.0196942	0.179919	0.159844	0.0354329	0.123808	0.246178	0.0504559	0.173282	0.0344323	0.917282	0.0406833	0.103813	0.2034722	0.09284888	0.0521878	0.194815	0.0506635	0.0523253	0.00398465	0.00423569	0.144848	0.00170826	0.104573	0.0417708	0.118031	0.00829151	0.191139	0.0245914	0.0068348	0.02043779	11.52297	0.575385	0.843659	1.07835	1.50261	0.252837	0.172951	0.123047	0.0691605	0.200962	0.181043	0.1132867	0.1804077
1900	-249.8017	-252.0656	2.263858	37.22868	1.485912	0.0108982	0.334523	0.226938	0.142942	0.205648	0.0545765	0.729973	0.0100602	0.106373	0.121063	0.0391169	0.0661933	0.26586	0.00532111	0.0476574	0.150433	0.1983148	0.02431347	0.0191234	0.045215	0.0607989	0.0187368	0.0672234	0.0113298	0.0422215	0.0349264	0.0158381	0.142676	0.201123	0.014593	0.232558	0.0635131	0.0301239	0.0009609173	37.22868	0.223138	0.586195	1.04958	2.14108	0.213258	0.211012	0.111059	0.125188	0.168241	0.171243	0.02527439	0.0380194
2000	-228.1842	-244.3931	16.20895	70.90379	2.953636	0.0180316	0.00245755	0.00228037	0.108775	0.0472143	0.123928	0.0663052	0.0204352	0.0171794	0.0749706	0.120877	0.046955	0.0774805	0.00519499	0.0773075	0.0122497	0.06055442	0.03265821	0.0203853	0.0964814	0.0278846	0.145472	0.0328345	0.0157477	0.00846626	0.000111944	0.260221	0.059943	0.0550192	0.0419774	0.131122	0.0819094	0.0224245	0.0002228764	70.90379	0.385643	0.728928	1.08228	1.80315	0.165208	0.232996	0.158018	0.114929	0.198523	0.130326	0.03288109	0.006778255
2100	-259.3077	-248.4297	-10.87802	5.55574	3.63275	0.590991	0.414065	0.0196428	0.0888078	0.212458	0.836412	1.01676	0.314413	0.404537	0.395991	1.04026	0.00249461	0.412848	0.981721	0.267317	0.52935	0.3438299	0.07907194	0.0403626	0.150346	0.019928	0.0316749	0.0205896	0.0349578	0.00204278	0.0251169	0.0712845	0.11006	0.165038	0.0531719	0.138805	0.0796261	0.0569963	0.1338477	5.55574	0.432974	0.761468	1.08425	1.7213	0.281471	0.306361	0.0895363	0.0672235	0.152208	0.103199	0.2129196	0.6286301
2200	-237.3723	-248.5824	11.21009	28.01982	1.159163	0.0100504	0.0757762	0.101155	0.474637	0.00904486	0.122822	0.0919724	0.112539	0.0193657	0.0222767	0.0841378	0.000707415	0.157599	0.0474147	0.250362	0.0101636	0.1405584	0.05899333	0.060988	0.103298	5.56699e-05	0.0406477	0.133608	0.0171173	0.0132012	0.00204047	0.220097	0.0235931	0.0869888	0.007901	0.111995	0.153782	0.0246859	0.003315751	28.01982	0.167575	0.51987	1.02207	2.29048	0.243549	0.159396	0.104075	0.140665	0.252686	0.0996302	0.06230908	0.05321457
