Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
1000	-370.6696	-337.7261	-32.94348	10.4842	3.489184	0.302436	0.0159883	0.024536	0.429619	0.0710556	0.242821	0.36976	0.117047	0.251035	0.449552	0.113157	0.366394	0.0676492	0.0226078	0.159479	0.675226	0.27549	0.0170659	0.106579	0.027066	0.392353	0.0306724	0.1936398	0.07313426	0.170476	0.083501	0.0855202	0.0993483	0.0881421	0.0444783	0.022092	0.00024425	0.0663239	0.125788	0.0538094	0.0571763	0.0424875	0.0389325	0.0216802	0.4196431	3	12.06426	0.1782515	0.423891	0.755459	1.08406	1.73659	0.120822	0.152737	0.209971	0.0680956	0.26084	0.187535	0.4927773	0.8515876
1100	-361.2521	-337.088	-24.16412	7.253893	2.542211	0.253405	0.0713495	0.0418387	0.345197	0.153205	0.242303	0.0304955	0.231673	0.162787	0.239545	0.0845168	0.262647	0.199198	0.0917929	0.398704	0.240586	0.27699	0.256958	0.0240807	0.0658982	0.176055	0.0527914	0.1736624	-0.02764864	0.0420561	0.0576244	0.192852	0.112206	0.0465529	0.0290368	0.036398	0.0113686	0.0773521	0.0847265	0.0919585	0.0339625	0.0199364	0.0926932	0.0712766	0.4500367	2	10.83607	0.2033763	0.350422	0.702553	1.07909	1.86793	0.164893	0.131366	0.159635	0.0969246	0.348652	0.0985292	0.4223881	1.065458
1200	-351.1049	-332.3275	-18.7774	10.60218	3.053336	0.0548449	0.0120105	0.0434829	0.0292939	0.393783	0.155812	0.114316	0.121656	0.287861	0.175356	0.121965	0.00352495	0.0683859	0.00364147	0.0690437	0.171512	0.122813	0.0516704	0.109262	0.00748151	0.00739803	0.0954984	0.1087288	-0.08539231	0.08791	0.0822144	0.115095	0.162585	0.119154	0.0303636	0.0121405	0.00671199	0.103231	0.0733553	0.0385063	0.0112818	0.0791852	0.0296274	0.0486394	0.4329901	2	17.54725	0.1044876	0.393346	0.734439	1.08277	1.78945	0.173169	0.130951	0.283847	0.123082	0.189707	0.099244	0.3475977	1.245664
1300	-384.4393	-331.37	-53.06934	5.85472	2.193691	0.809499	0.127283	0.275894	0.00835915	1.63355	0.00891744	0.052028	1.35708	0.0258282	0.892977	0.0397583	0.0745322	1.40231	0.431346	1.2136	2.28821	0.0530459	0.379558	0.110956	0.770567	0.733485	0.496327	0.7045706	-0.1737237	0.0237822	0.15749	0.102241	0.140937	0.0482939	0.0110236	0.0136747	0.00541978	0.181577	0.152162	0.0789513	0.00172777	0.0657822	0.0076453	0.00929257	0.5611812	3	7.955096	0.1906039	0.315349	0.674147	1.07416	1.93635	0.167795	0.0998358	0.259569	0.0709076	0.278906	0.122987	0.3874575	1.448368
1400	-370.1249	-330.9696	-39.15529	6.770341	3.889302	0.255121	0.0940657	0.301973	0.154376	0.206966	0.72229	0.566664	0.0192331	0.0262018	0.848041	0.316376	0.413316	0.146612	0.663069	0.201687	0.296717	0.433475	0.525591	0.865677	0.104269	0.212884	0.373694	0.3388873	-0.1818947	0.08686	0.0543437	0.205455	0.111378	0.13255	0.0478506	0.0176071	0.0025645	0.0434272	0.0925169	0.00380311	0.00221118	0.0799914	0.0808947	0.0385467	0.4381221	2	7.897258	0.1835718	0.448176	0.771292	1.0844	1.69613	0.160907	0.111811	0.298999	0.0465244	0.271663	0.110097	0.2562273	1.709896
1500	-358.8592	-336.7576	-22.1016	7.49015	2.643245	0.269453	0.0541683	0.208068	0.0298524	0.0317586	0.0666605	0.342721	0.214822	0.0920034	0.415235	0.138651	0.0326167	0.0635741	0.65734	0.6312	0.0131866	0.0705286	0.253935	0.333477	0.0219386	0.134498	0.0556357	0.1808647	-0.09660891	0.144575	0.0241147	0.136092	0.0877121	0.259878	0.0177735	0.0231226	0.00262277	0.0801672	0.0525286	0.0475963	0.0160115	0.0842351	0.0181387	0.00543232	0.4200046	3	8.464658	0.2053895	0.35963	0.709644	1.08008	1.85064	0.122626	0.066595	0.253626	0.0764387	0.35744	0.123274	0.3233957	1.298733
1600	-354.718	-332.5015	-22.21649	7.576179	2.238642	0.138602	0.0829903	0.392665	0.23803	0.289516	0.172618	0.2014	0.406684	0.392059	0.268614	0.282057	0.0221534	0.0303507	0.129915	0.0923224	0.251802	0.130265	0.326948	0.270948	0.297689	0.160575	0.338723	0.2154349	-0.08426932	0.0891286	0.129321	0.166918	0.0889938	0.128531	0.0754573	0.0140755	0.00243717	0.0835404	0.0455144	0.0959546	0.0363641	0.00482554	0.0144798	0.0244592	0.5463753	5	11.84258	0.2002701	0.320189	0.678207	1.07496	1.92665	0.128518	0.166479	0.187341	0.0950616	0.254375	0.168225	0.462106	1.182359
1700	-360.111	-334.8028	-25.30815	6.260343	2.526336	0.1952	0.160927	0.180043	0.0928049	0.16128	0.172434	0.126194	0.620052	0.433783	0.399586	0.10636	0.00920468	0.288934	0.174258	0.46374	0.241103	0.216104	0.0306111	0.258767	0.108952	0.0552349	0.441992	0.2654823	0.02217105	0.0927164	0.146982	0.0643483	0.0712981	0.0215484	0.0572256	0.00546494	0.00227803	0.0704563	0.0805195	0.106426	0.000854481	0.106455	0.145691	0.0277355	0.4945852	3	7.05804	0.4933022	0.348939	0.701398	1.07892	1.87074	0.156214	0.121909	0.149676	0.090402	0.258255	0.223543	0.5167562	0.9570957
1800	-355.4599	-328.5254	-26.93451	6.947378	3.175363	0.229432	0.0588975	0.0795912	0.0826513	0.23423	0.266497	0.100143	0.22299	0.0191554	0.23273	0.428687	0.381042	0.758244	0.324414	0.244894	0.0108562	0.0410136	0.0190445	0.0833618	0.0308052	0.122431	0.441987	0.1902536	-0.121966	0.0573004	0.204629	0.159475	0.0360223	0.161213	0.0401021	0.000649673	0.0102037	0.146782	0.0374157	0.060375	0.00734507	0.0301137	0.0222598	0.0261135	0.4057936	1	7.533628	0.1698455	0.402389	0.740797	1.08325	1.77356	0.152589	0.156488	0.209892	0.0846026	0.302407	0.0940212	0.2838276	1.429719
1900	-375.1162	-340.2443	-34.87182	8.560505	2.040924	0.398478	0.194942	0.171888	0.049054	0.159477	0.165867	0.448738	0.304675	0.0608847	1.07653	0.484132	0.120231	0.260326	0.208547	0.497781	0.197485	0.194096	0.216949	0.472509	0.354505	0.197261	0.0388243	0.2676431	-0.05482308	0.0379369	0.0549223	0.12671	0.0573976	0.213197	0.0116999	0.00162566	0.00412726	0.164808	0.048365	0.0752795	0.00115571	0.0973144	0.0353883	0.0700727	0.5723388	3	9.338966	0.1227334	0.298111	0.659296	1.07098	1.97161	0.132483	0.144837	0.177289	0.131387	0.235991	0.178014	0.5175157	1.105935
2000	-369.1274	-329.4867	-39.64071	6.705397	4.176687	0.296731	0.0434414	0.239152	0.0609122	0.181113	0.906144	0.69914	0.245434	0.0405976	0.483115	0.673869	0.593944	0.0427523	0.0654125	0.308407	0.469049	0.0790269	1.21392	0.278365	0.482151	0.0421423	0.114108	0.2842783	0.1394462	0.0859	0.117635	0.0671339	0.045378	0.176093	0.0115401	0.064173	0.00493156	0.151123	0.132538	0.0289706	0.000144616	0.0128535	0.079225	0.0223601	0.5831995	2	8.423945	0.1113705	0.463813	0.781106	1.08433	1.67075	0.140922	0.135085	0.196223	0.0900784	0.314626	0.123066	0.7226457	0.8070338
