Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	0	-253.6878	-244.8896	-8.798177	23.33193	0.9933823	0.1856869	0.05697037	0.133065	0.0886696	0.0781855	0.00404271	0.00924197	0.029522	0.0229049	0.000270161	0.208911	0.000992513	0.0939529	0.0832134	0.218963	0.0277191	0.00034669	0.057744	23.33193	0.135631	0.474754	0.998895	2.39072	0.239852	0.23921	0.0738058	0.0882963	0.262652	0.0961841	0.1147144	0.503372
1	0	-273.1796	-251.388	-21.79158	204.759	1.828797	0.009877035	0.00854162	0.0289341	0.0810948	0.234839	0.00374114	0.00381084	0.045909	0.00507139	0.00987759	0.180114	0.138998	0.0311417	0.00360202	0.126247	0.0986384	0.00798086	0.0005226267	204.759	0.271945	0.635479	1.06505	2.02753	0.219651	0.231421	0.0958028	0.0812678	0.264393	0.107464	0.009064247	0.05765804
2	0	-255.0815	-249.5991	-5.48239	20.77324	1.949293	0.08065685	0.05905439	0.0468193	0.101002	0.000651609	0.0408558	0.00309756	0.0122315	0.00915833	0.00332601	0.0993899	0.11015	0.120739	0.117374	0.195673	0.095361	0.0441705	0.01185922	20.77324	0.287146	0.649511	1.06867	1.99468	0.154667	0.248672	0.0659604	0.114631	0.291197	0.124873	0.07091361	0.1672348
3	0	-271.608	-247.4522	-24.15587	227.123	4.088772	0.008822411	0.004754288	0.0361394	0.0548645	0.171287	0.00172729	0.0277212	0.0064046	0.00809448	0.00815411	0.173354	9.10351e-05	0.126413	0.0272245	0.182396	0.166006	0.0101232	0.001478233	227.123	0.459173	0.778224	1.08438	1.67823	0.196085	0.208636	0.164667	0.0942563	0.269736	0.0666195	0.006232521	0.2371805
4	0	-256.6689	-249.2237	-7.445211	20.40951	1.185423	0.09402462	0.04633523	0.0538088	0.0641606	0.0208728	0.0420567	0.0258903	0.030247	0.0184956	0.000189437	0.266091	0.0012321	0.147975	0.0195908	0.118619	0.179344	0.0114283	0.01546859	20.40951	0.172401	0.526178	1.02502	2.2764	0.24183	0.223243	0.123727	0.0856877	0.225308	0.100204	0.06180382	0.2502854
5	0	-270.1479	-252.0557	-18.0922	74.64296	2.948565	0.02408933	0.01256757	0.0131203	0.057002	0.0475324	0.0179308	0.00282197	0.0162496	0.00173454	0.00203702	0.144499	0.0818468	0.140901	0.00904061	0.256631	0.152276	0.0563782	0.01361585	74.64296	0.385243	0.72864	1.08225	1.80387	0.307631	0.223475	0.0801483	0.0945408	0.192161	0.102044	0.02618342	0.5200181
6	0	-258.2905	-250.9088	-7.381761	13.33267	2.902823	0.1814477	0.09529977	0.0726395	0.0194017	0.00585555	0.047071	0.0481757	0.00179048	0.0202757	0.00453002	0.383427	0.0560489	0.0480103	0.0463558	0.185506	0.0195088	0.0414033	0.03004771	13.33267	0.381602	0.726002	1.08199	1.8104	0.271989	0.227515	0.130528	0.0883644	0.134179	0.147424	0.1253475	0.2397153
7	0	-263.7576	-251.1553	-12.6023	55.45263	1.50004	0.0405634	0.01304556	0.0442856	0.180173	0.013937	0.043553	0.0127556	0.0131087	0.00253328	0.00543004	0.296717	0.118822	0.0674875	0.0023958	0.0759941	0.113928	0.00887993	0.001312242	55.45263	0.225329	0.588563	1.05042	2.13568	0.310358	0.19555	0.121309	0.0556825	0.204293	0.112807	0.0143578	0.09139581
8	0	-261.8559	-250.8548	-11.00114	31.80051	1.775308	0.05554792	0.075974	0.0522218	0.0597393	0.070155	0.0526814	0.0349535	0.0100972	0.051393	0.0187777	0.0639597	0.0641492	0.051873	0.146437	0.0922593	0.15743	0.0738723	0.03797588	31.80051	0.264894	0.628775	1.0632	2.04313	0.192583	0.296977	0.117899	0.1166	0.126546	0.149396	0.1139499	0.3332683
9	0	-270.3321	-255.3249	-15.00723	43.97946	1.536115	0.03716304	-0.004932687	0.0444731	0.116267	0.0140355	0.000943111	0.0207445	0.0304688	0.144001	0.00192108	0.172694	0.0733807	0.175415	0.0967336	0.0408754	0.011029	0.0570182	0.04961657	43.97946	0.230848	0.594459	1.05247	2.12222	0.241396	0.25843	0.107385	0.079211	0.228401	0.0851773	0.04468388	1.110391
