Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-224.7895	-245.3808	20.59125	135.7172	1.998949	0.00177961	0.141328	0.0181012	0.0175138	0.00654345	0.000187003	0.0465469	0.0135053	0.0116687	0.0401992	0.0196346	0.0835384	0.010576	0.00163721	0.00164027	0.0981886	0.04639425	0.01314384	0.065668	0.0929667	0.00628536	0.0592456	0.0980709	0.0290287	0.0912468	0.0577168	0.00271665	0.00746748	0.022317	0.00332969	0.327515	0.0925129	0.0439122	0.008520922	135.7172	0.293149	0.654902	1.06996	1.98199	0.224462	0.16434	0.16327	0.113346	0.164257	0.170326	0.02166477	0.3933078
100	-260.1815	-248.7779	-11.40363	17.08222	3.8078	0.253934	0.607502	0.259649	0.0871599	1.14739	0.212112	0.151325	0.037838	0.396663	0.407487	0.228558	0.0471709	0.3521	1.18635	0.203861	0.146766	0.3566303	0.003836819	0.0305702	0.0361881	0.134167	0.148455	0.0724573	0.0245839	0.0747755	0.0640828	0.00654009	0.0732339	0.0617187	0.022855	0.0603679	0.162174	0.0278307	0.08889749	17.08222	0.443482	0.768289	1.08438	1.70385	0.338299	0.140959	0.13747	0.0977022	0.173274	0.112296	0.09273431	0.9586257
200	-243.1742	-251.1265	7.952315	50.29166	2.205854	0.0147535	0.0702638	0.392429	0.0947282	0.0297776	0.0934777	0.242653	0.0256352	0.00274671	0.108465	0.2801	0.111703	0.030071	0.0334449	0.0739108	0.000172668	0.09062717	0.02195913	0.0519204	0.0860318	0.0638647	0.0490019	0.137879	0.0150014	0.132714	0.0203488	0.0200904	0.0250113	0.0623174	0.0668838	0.223857	0.0323052	0.0127719	0.007396489	50.29166	0.316669	0.675259	1.07438	1.93369	0.277059	0.198008	0.0896326	0.0761399	0.132872	0.226289	0.02935562	0.2519616
300	-226.8798	-246.6598	19.78003	120.328	4.517515	0.00297996	0.0394751	0.039458	0.0195473	0.0238	0.00755882	0.0674826	0.0048713	0.0213653	0.00709546	0.0281611	0.0494173	0.0358112	0.029897	0.0414279	0.0308378	0.02904737	0.009361801	0.0576128	0.0212062	0.0872462	0.117952	0.12845	0.0113554	0.0103273	0.00238655	0.00849925	0.0226393	0.0698026	0.00413974	0.285395	0.0216401	0.151347	0.03311158	120.328	0.480714	0.791397	1.08402	1.64386	0.329133	0.187185	0.119707	0.0791194	0.151782	0.133073	0.04247338	0.7795843
400	-252.5096	-246.8879	-5.62168	38.846	3.31347	0.0169718	0.256414	0.229687	0.044658	0.311076	0.0435147	0.0780354	0.164695	0.0855843	0.631893	0.481269	0.492355	0.0641777	0.00171749	0.0664668	0.308873	0.226431	0.006072628	0.0317384	0.0277205	0.193381	0.0198072	0.104895	0.000536257	0.0405298	0.00800583	0.0680886	0.0903062	0.122362	0.0268699	0.0520866	0.208831	0.00484221	0.05848471	38.846	0.412147	0.747529	1.08368	1.75664	0.248652	0.284132	0.122492	0.0703272	0.160338	0.114058	0.06455733	0.9059343
500	-228.591	-252.4168	23.82584	85.58205	2.948937	0.021618	0.00597944	0.0138055	0.0464153	0.00578767	0.0808818	0.00667506	0.00795079	0.0262994	0.00295189	0.0504449	0.0940497	0.0269139	0.0181941	0.0124364	0.0543306	0.02718119	0.0120157	0.0569845	0.0567878	0.0178889	0.125364	0.109038	0.0107761	0.022934	0.0455418	0.0633553	0.0115798	0.0374694	0.0272851	0.284047	0.0144377	0.116511	0.01434444	85.58205	0.385273	0.728661	1.08225	1.80381	0.240287	0.175714	0.0964422	0.140921	0.210222	0.136413	0.02636014	0.5441717
600	-256.6834	-247.8833	-8.80014	12.91025	1.225487	0.00372781	0.436111	0.8708	0.500172	0.310198	0.0337316	0.385845	0.127028	0.568276	0.276336	0.0970245	0.569989	0.216459	0.650623	0.567137	1.0939	0.2698423	0.1062388	0.0144509	0.0253634	0.36663	0.0493202	0.0237508	0.00347666	0.0959034	0.0110361	0.08674	0.0169785	0.00746312	0.0533588	0.0679402	0.0114976	0.16609	0.066612	12.91025	0.179641	0.535421	1.02921	2.25572	0.281476	0.115635	0.141637	0.0982563	0.249575	0.113421	0.1728508	0.3853728
700	-233.2568	-254.3227	21.06592	194.6729	2.336942	0.0814792	0.0655077	0.00145202	0.000190278	0.00487237	0.0177684	0.0130681	0.039215	0.0353683	0.00673128	0.00726347	0.00136512	0.0258462	0.0950603	0.010694	0.0153947	0.03030294	0.0050543	0.0189518	0.0720714	0.146342	0.00228956	0.0977264	0.00121021	0.0410002	0.0194724	0.0568326	0.0203026	0.0236119	0.162256	0.217789	0.0953518	0.0247923	0.01330454	194.6729	0.330431	0.686646	1.07652	1.90641	0.312127	0.231613	0.0904635	0.0538205	0.117317	0.194658	0.01835884	0.7246939
800	-231.0503	-246.9253	15.87493	120.2828	1.975798	0.0199769	0.0725574	0.0942187	0.0319804	0.0270163	0.00526857	0.0469783	0.00317463	0.00243398	0.0437087	0.0202839	0.014854	0.0202702	0.061142	0.0558985	0.192276	0.04652551	0.01731804	0.0672129	0.0162669	0.117048	0.0827187	0.02871	0.0342416	0.160425	0.00277764	0.00359697	0.00394828	0.0285553	0.0240358	0.198463	0.0471001	0.1849	0.007999049	120.2828	0.290368	0.652415	1.06937	1.98784	0.270434	0.224149	0.0804705	0.07479	0.178883	0.171274	0.02531709	0.3159546
900	-244.919	-247.4441	2.525108	11.4997	2.416275	0.138881	0.0894445	0.131321	0.25179	0.104225	0.0441571	0.551098	0.308656	0.0765626	0.246347	0.287455	0.050442	0.00644368	0.325743	0.615573	0.268687	0.1415298	0.1270836	0.0254811	0.0686712	0.329266	0.0265169	0.0502359	0.0335491	0.0112789	0.0479565	0.0258371	0.0194096	0.0558167	0.0670657	0.174136	0.00554834	0.0592309	0.01701753	11.4997	0.338372	0.693051	1.07761	1.89096	0.275593	0.203884	0.126633	0.122629	0.121526	0.149735	0.1441012	0.1180943
