Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	0	-133.137	-119.3412	-13.79574	15.8594	1.081924	0.0534103	0.16901	0.0942675	0.338478	0.13346	0.125213	0.140733	0.0241277	0.0198606	0.102204	0.1116438	0.0274619	0.0248421	0.122635	0.0369345	0.189401	0.0194839	0.00288772	0.0296531	0.00657402	0.0799732	0.158647	0.00254353	0.0809154	0.085364	0.0170122	0.143133	0.08248396	0	50.6415	0.05337667	0.153004	0.500063	1.01235	2.33458	0.0853315	0.193718	0.0492371	0.531565	0.0321888	0.107959	0.1099459	0.7502234
1	0	-140.6071	-120.2255	-20.38161	24.76182	0.1534954	0.249886	0.0427242	0.126272	0.270459	0.0459673	0.220237	0.0612314	0.363837	0.304577	0.100963	0.2028361	-0.02258485	0.0225604	0.0441324	0.173084	0.12328	0.145856	0.0235306	0.0553513	0.0348196	0.00299705	0.0370353	0.0782998	0.177154	0.0166476	0.0220181	0.0432344	0.2078394	0	56.74081	0.03619006	6.54777e-05	0.0119481	0.252343	3.73564	0.0713961	0.218164	0.0908712	0.567122	0.0124508	0.039995	0.1852545	1.121913
2	0	-128.9366	-123.6921	-5.244557	20.64195	0.3888466	0.0524435	0.0240869	0.0239881	0.0462263	0.0394446	0.00334178	0.075665	0.179728	0.01973	0.00566422	0.05356525	0.02966925	0.0183596	0.0824909	0.240197	0.0907325	0.083064	0.0240156	0.0567608	0.01128	0.0853845	0.0100475	0.009246	0.15126	0.000679511	0.0581111	0.0783712	0.1079128	0	55.09325	0.02902424	0.0151388	0.173376	0.718924	3.09256	0.0385166	0.159555	0.0864932	0.52266	0.091819	0.100956	0.137582	0.7843523
3	0	-132.8358	-120.1712	-12.66464	7.840729	1.06106	0.186174	0.0730127	0.00341978	0.0247292	0.0236138	0.353539	0.227151	0.0733249	0.0821864	0.173353	0.1458359	0.009232169	0.0592124	0.0587064	0.0275227	0.233768	0.051346	0.00296889	0.0341174	0.0265079	0.272687	0.0572577	0.03328	0.011872	0.0904616	0.0364814	0.00381036	0.1613788	0	50.88474	0.09279934	0.148974	0.494366	1.00942	2.34724	0.0432918	0.235577	0.0594702	0.562767	0.0417451	0.0571487	0.170611	0.9458876
4	0	-131.9803	-121.8044	-10.17588	18.22874	0.8845767	0.0326953	0.0220167	0.203601	0.0432889	0.185881	0.0486517	0.0276237	0.126846	0.0798728	0.00981206	0.09477381	0.005568303	0.224983	0.0470565	0.125806	0.0159126	0.00545698	0.0173369	0.00169306	0.0314003	0.0737656	0.0657642	0.0384724	0.186555	0.0734623	0.0424388	0.0498961	0.08614936	0	66.30895	0.03843836	0.113388	0.439081	0.977892	2.46964	0.0538184	0.216319	0.0926683	0.548184	0.0194934	0.069517	0.09171766	0.9392887
5	0	-139.8313	-122.781	-17.0503	7.821119	0.7113279	0.0959239	0.0251293	0.0164485	0.118048	0.0514406	0.126763	0.203781	0.277342	0.480626	0.0810845	0.1162025	-0.09678233	0.0316362	0.0911729	0.0227107	0.0534128	0.0127689	0.0869335	0.0325343	0.0182135	0.0491576	0.275512	0.0151008	0.0539877	0.0501996	0.0227097	0.183949	0.1731468	0	59.86718	0.08311834	0.0766094	0.368826	0.928995	2.62557	0.0442263	0.098523	0.0797775	0.56507	0.0376016	0.174802	0.07636443	2.267375
6	0	-133.6478	-118.0021	-15.64567	7.552113	4.359986	0.00621769	0.0250989	0.04074	0.0975694	0.0707161	0.199424	0.043818	0.154196	0.354518	0.0968684	0.1830729	-0.04178908	0.0759064	0.35572	0.0836734	0.013848	0.050186	0.00364057	0.0346498	0.0133944	0.00588087	0.116366	0.00941978	0.0314781	0.0244325	0.0700675	0.111337	0.1065503	0	53.41262	0.1200916	0.473107	0.786805	1.08419	1.65589	0.13487	0.181976	0.053967	0.507287	0.0495041	0.0723958	0.06476121	1.64528
7	0	-129.0945	-117.6288	-11.46571	10.97003	0.2576325	0.0684762	0.142655	0.0957039	0.0586083	0.0192321	0.103543	0.0429725	0.0841462	0.0342115	0.684387	0.1349015	0.005760086	0.0508445	0.0984816	0.108035	0.0757905	0.0148959	0.0259404	0.0881262	0.0574337	0.0616064	0.0531164	0.0222513	0.270234	0.000573312	0.0559717	0.0166995	0.1342442	0	50.83166	0.04052617	0.00248672	0.0722547	0.517307	3.40795	0.0596912	0.173337	0.110417	0.475805	0.0895963	0.0911541	0.1400043	0.9588578
8	0	-137.3529	-116.9457	-20.40712	16.74736	0.7611381	0.214712	0.0177904	0.00230178	0.321595	0.28467	0.0386455	0.324513	0.312151	0.00968632	0.0450214	0.1534399	-0.0080963	0.0227962	0.0801616	0.307741	0.0303658	0.0279612	0.0623772	0.0533926	0.124982	0.0142346	0.0319532	0.0291684	0.0035835	0.12952	0.00092305	0.0808399	0.1284099	0	50.56382	0.1478217	0.0872669	0.391004	0.945576	2.57615	0.0551742	0.165469	0.0642499	0.552346	0.0396794	0.123082	0.1203136	1.067293
9	0	-136.7701	-118.5542	-18.21592	29.83181	0.2979722	0.00160462	0.188525	0.0449877	0.0160956	0.0226147	0.19258	0.667352	0.0813181	0.0681205	0.00917223	0.117183	-0.01682781	0.0102324	0.0217848	0.196533	0.00763762	0.152978	0.134296	0.0125699	0.000236444	0.0151212	0.178497	0.145494	0.0194279	0.0395233	0.00423241	0.0614364	0.1214569	0	66.48302	0.01885243	0.00513226	0.102919	0.592382	3.29957	0.0878417	0.233754	0.0832376	0.451934	0.0796574	0.0635762	0.1046291	1.160833
10	0	-133.7804	-120.3146	-13.46582	15.76392	0.4491746	0.0555152	0.046666	0.00442137	0.179703	0.124732	0.0832064	0.000743598	0.0223467	0.0450916	0.131518	0.09129631	0.10442	0.143581	0.0273058	0.0338917	0.0797231	0.0405472	0.064877	0.0669148	0.0216409	0.0382325	0.0564283	0.00711742	0.158777	0.0346081	0.114931	0.111424	0.3303335	0	50.52199	0.06555154	0.0244004	0.217447	0.779449	2.9787	0.133269	0.158129	0.0295739	0.574178	0.0447107	0.0601399	0.4347536	0.7598179
11	0	-135.1591	-118.0043	-17.15479	19.07698	0.2934579	0.0569127	0.153127	0.145237	0.0626175	0.10946	0.00823243	0.115831	0.0669018	0.527907	0.0524715	0.1727932	-0.0236052	0.0545614	0.0415684	0.0720588	0.00518346	0.0286575	0.0826078	0.216119	0.0437154	0.0363517	0.211942	0.0572777	0.0430601	0.0159998	0.0876943	0.00320261	0.1195697	0	60.54207	0.05269028	0.00477966	0.0994163	0.584651	3.31115	0.080954	0.195453	0.0853875	0.477088	0.0662439	0.0948742	0.0959645	1.245978
12	0	-128.2706	-121.5296	-6.740998	12.39888	1.849072	0.118063	0.0476144	0.00821542	0.0265573	0.0101058	0.0133797	0.0404277	0.0952875	0.00254681	0.0122803	0.05501545	-0.04477361	0.0816582	0.0148814	0.00881633	0.404952	0.00632156	0.0144923	0.0286618	0.0669576	0.0225758	0.10128	0.0422477	0.0522155	0.100284	0.0424206	0.0122352	0.1917699	0	51.83211	0.1063668	0.274568	0.637941	1.06571	2.02178	0.141541	0.0966819	0.062404	0.628267	0.0361001	0.0350065	0.1469963	1.30459
13	0	-154.5497	-133.8256	-20.72412	21.1616	1.149865	0.13586	0.0435889	0.113821	0.0557798	0.61551	0.361007	0.0473126	0.0170666	0.0664243	0.0584179	0.1296009	-0.009268305	0.0856236	0.0278269	0.126699	0.0194374	0.170156	0.0980041	0.0956062	0.0294601	0.0169469	0.0886847	0.0185153	0.0970471	0.0516718	0.0457941	0.0285267	0.1840462	0	51.73902	0.05867803	0.16585	0.517587	1.02099	2.29558	0.122519	0.179835	0.122874	0.456187	0.0706276	0.0479565	0.1747779	1.053029
14	0	-133.2207	-122.1593	-11.06135	7.660074	0.4702239	0.0685563	0.159447	0.0324003	0.064849	0.0495147	0.127529	0.0655094	0.247495	0.0254405	0.250906	0.08709522	-0.003714867	0.0462794	0.103126	0.0326508	0.0117178	0.0410275	0.187974	0.110179	0.00881844	0.0542379	0.281795	0.00726029	0.0669525	0.00241646	0.00634667	0.0392181	0.1765044	0	50.21926	0.05807984	0.0280107	0.232033	0.797332	2.94262	0.0980841	0.229666	0.0275819	0.47584	0.0256083	0.143219	0.1727895	1.021499
15	0	-139.426	-120.4032	-19.02279	15.72972	1.788303	0.0266999	0.0279578	0.130645	0.0161012	0.131915	0.330172	0.355889	0.467218	0.0180261	0.149444	0.1701301	0.01968974	0.033176	0.0951158	0.0265154	0.0140911	0.0364677	0.0314896	0.0391996	0.00797647	0.0178056	0.096008	0.0145976	0.117732	0.0541224	0.197923	0.21778	0.1654775	0	57.04736	0.05017125	0.266625	0.630433	1.06366	2.03928	0.0499393	0.155121	0.0804544	0.581146	0.0628536	0.0704851	0.1851672	0.8936651
16	0	-135.6175	-125.9111	-9.706351	11.72915	0.736503	0.0432364	0.0537589	0.0305404	0.203931	0.0370557	0.0428609	0.0543404	0.0234304	0.101831	0.0647258	0.0605225	-0.05168125	0.0550715	0.0412373	0.0961563	0.151902	0.00786539	0.122455	0.0285316	0.0722234	0.0714496	0.162827	0.0172382	0.00102185	0.133084	0.0155276	0.0234081	0.1331928	0	58.99447	0.08653956	0.0819962	0.380256	0.937679	2.60007	0.119786	0.261109	0.0515343	0.458053	0.0181375	0.0913802	0.08151155	1.634036
17	0	-129.8197	-123.9758	-5.843972	15.1859	1.189049	0.0419713	0.0708037	0.0132447	0.0119606	0.114685	0.0130645	0.0295682	0.0375574	0.0021389	0.000104246	0.0516958	-0.08328556	0.0261113	0.0103099	0.0459886	0.0345858	0.0121984	0.0985129	0.0699553	0.122224	0.00678428	0.0795449	0.0964179	0.153532	0.115565	0.0880073	0.0402618	0.2607529	0	57.00066	0.06112786	0.173063	0.527033	1.02541	2.27449	0.0653958	0.116566	0.0957291	0.529147	0.0501013	0.14306	0.1774674	1.469301
18	0	-127.7346	-119.5124	-8.222237	12.10798	0.3276239	0.0718026	0.0829391	0.00953393	0.0223261	0.0931083	0.117767	0.296286	0.0280584	0.041668	0.101512	0.07087292	0.00162105	0.0391554	0.0251078	0.1662	0.0406574	0.0211796	0.0298855	0.203463	0.0432107	0.0140405	0.235599	0.0202445	0.0878869	0.0241386	0.00773494	0.0414964	0.0870492	0	57.28447	0.02864564	0.00780153	0.126085	0.639406	3.22671	0.172048	0.146347	0.106825	0.428323	0.0332375	0.113219	0.08867025	0.9817182
19	0	-133.4222	-121.0791	-12.34304	32.28962	1.232309	0.38663	0.0268668	0.0777716	0.0134831	0.0293023	0.0462063	0.0425946	0.140256	0.0239322	0.000542976	0.08097355	0.02253943	0.143209	0.00507629	0.0806229	0.00368795	0.0688525	0.0456767	0.0423035	0.0537903	0.0289277	0.132611	0.0128284	0.0652156	0.123476	0.174158	0.0195648	0.1020598	0	55.80945	0.02986066	0.180859	0.536951	1.02989	2.2523	0.0726927	0.184217	0.0642564	0.566979	0.0358249	0.07603	0.1245993	0.8191046
20	0	-138.1452	-124.9576	-13.18761	12.03155	0.8110684	0.0555591	0.223351	0.0357694	0.0173694	0.0284705	0.0785892	0.406588	0.00363947	0.113837	0.0149635	0.1353922	0.03962342	0.0749767	0.077845	0.00298591	0.18648	0.014875	0.040295	0.120215	0.074228	0.0365463	0.0765515	0.0851299	0.0256591	0.0387294	0.094032	0.0514514	0.0827146	0	55.26739	0.08718495	0.0979117	0.411552	0.959975	2.53056	0.050725	0.213288	0.131267	0.439215	0.0751798	0.0903257	0.122338	0.6761152
21	0	-128.4356	-119.1917	-9.243948	19.8914	0.5945962	0.0826421	0.0849943	0.0264265	0.00536518	0.0548464	0.0680498	0.0615849	0.156015	0.030771	0.182432	0.07517748	-0.00566884	0.0472808	0.11549	0.0166445	0.0604005	0.0163846	0.000159905	0.0132424	0.0290102	0.00242	0.0238245	0.0553778	0.298116	0.182422	0.0323733	0.106853	0.1325033	0	64.15098	0.02170768	0.0519955	0.309255	0.878537	2.76021	0.128563	0.195727	0.0533567	0.495762	0.0352717	0.0913196	0.1268344	1.044695
22	0	-140.6017	-118.7337	-21.86796	20.10849	0.44401	0.031813	0.0533404	0.0495187	0.597246	0.125395	0.253945	0.216854	0.13486	0.19489	0.0648405	0.2208268	-0.04847915	0.0482137	0.201688	0.083484	0.0849025	0.102063	0.0124607	0.0583818	0.106333	0.0021237	0.10896	0.00786312	0.000158105	0.0760177	0.0287142	0.0786359	0.1680519	0	65.36711	0.0291531	0.0235415	0.213803	0.774829	2.98783	0.0708871	0.219514	0.0834727	0.539592	0.0304502	0.0560843	0.1195727	1.405436
