Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates[47]	branch_rates[48]	branch_rates[49]	branch_rates[50]	branch_rates[51]	branch_rates[52]	branch_rates[53]	branch_rates[54]	branch_rates[55]	branch_rates[56]	branch_rates[57]	branch_rates[58]	branch_rates[59]	branch_rates[60]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-590.6908	-504.4433	-86.24754	34.32755	3.948843	0.0319702	0.0307591	0.00238172	0.0106573	0.0824729	0.0409183	0.0144075	0.122676	0.0183456	0.00577894	0.0243974	0.16623	0.145642	0.00495076	0.226744	0.0126909	0.12832	0.0348447	0.43524	0.148132	0.0833737	0.0837396	0.00137315	0.150485	0.260594	0.000437724	0.00553071	0.0623538	0.064974	0.0322294	0.440561	0.208508	0.00920512	0.399254	0.115935	0.0385051	0.0832415	0.0588764	0.118151	0.00899145	0.00752053	0.0161175	0.144941	0.0547084	0.0556333	0.0249403	0.00856474	0.00256356	0.0588163	0.0305029	0.0935649	0.152414	0.0266643	0.0189152	0.131979	0.0249878	0.0278847	0.15779	0.0755129	0.060103	0.08258067	-0.042077	0.0484337	0.0304665	0.0382213	0.00306052	0.122233	0.0440627	0.0337401	0.0120496	0.031796	0.087049	0.362796	0.0735694	0.0396419	0.0348258	0.0380551	0.4544876	8	53.22774	0.03884891	0.45153	0.773421	1.08441	1.69064	0.154482	0.123538	0.0819939	0.309956	0.138254	0.191777	0.4124106	1.102027
100	-591.6296	-512.6609	-78.96873	26.4033	3.165253	0.00512899	0.167355	0.0276127	0.0766769	0.060645	0.117867	0.128606	0.0321392	0.00294484	0.0140643	0.00455538	0.0390348	0.0590827	0.0315005	0.170975	0.040951	0.0279957	0.012858	0.263299	0.00776721	0.0348385	0.0617968	0.014361	0.141341	0.340255	0.0262937	0.0302908	0.11705	0.0435161	0.0451164	0.151661	0.330794	0.0035901	0.0232385	0.0485779	0.0273245	0.0749908	0.037822	0.357615	0.074369	0.106055	0.0980091	0.214573	0.180812	0.0376362	0.00612821	0.0108284	0.00753764	0.273225	0.00913539	0.0691318	0.158625	0.092315	0.20158	0.225885	0.0011353	0.0224069	0.00562055	0.0122283	0.0184807	0.1060794	0.02558723	0.0390794	0.104367	0.0548545	0.0290824	0.113249	0.0331005	0.0369035	0.042099	0.022363	0.0907938	0.243996	0.028301	0.076844	0.0695501	0.0154164	0.5575489	10	50.70091	0.05698707	0.401655	0.740286	1.08322	1.77484	0.106713	0.139804	0.0705491	0.388873	0.132396	0.161664	0.5831361	0.9561213
200	-586.6415	-504.6582	-81.98336	33.23108	2.449262	0.0162181	0.00866215	0.0527803	0.0370932	0.0128582	0.0199077	0.00943317	0.00751667	0.0054514	0.000437762	0.012439	0.176954	0.0608151	0.00224328	0.152527	0.0166828	0.134541	0.0136122	0.242276	0.127742	0.145163	0.00032552	0.0157032	0.0607907	0.100522	0.107497	0.252356	0.00615788	0.0559707	0.13244	0.00857852	0.498083	0.0428735	0.00452121	0.195994	0.0370418	0.0251891	0.0204494	0.0138697	0.00400205	0.0907945	0.11397	0.124927	0.113856	0.0615665	0.0499843	0.0214949	0.00433676	0.347152	0.00261455	0.105871	0.144343	0.510809	0.0711348	0.271767	0.0344246	0.0951924	0.000723642	0.184823	0.000455962	0.07455338	0.007656525	0.117354	0.158532	0.031206	0.00196807	0.144897	0.047466	0.000269729	0.00647444	0.0196053	0.0360621	0.29092	0.0684953	0.0312924	0.0338031	0.0116541	0.322078	7	66.24427	0.04608814	0.341593	0.695616	1.07803	1.88476	0.117981	0.0839222	0.0765096	0.37039	0.165906	0.185291	0.3297346	0.9767797
300	-598.7283	-507.4766	-91.25168	9.35471	4.3513	0.0131328	0.0986564	0.00965564	0.0133996	0.0190889	0.0275152	0.0108885	0.138921	0.022719	0.0207083	0.00875791	0.0997363	0.259111	0.00795675	0.0582354	0.369914	0.104604	0.0814502	0.285592	0.00769961	0.158773	0.115212	0.0866565	0.000365953	0.0626593	0.00714273	0.0392038	0.047144	0.0328302	0.0558504	0.0402379	0.16796	0.00775476	0.046421	0.0499454	0.157996	0.007111	0.0770161	0.0389951	0.157453	0.0654721	0.0763316	0.160591	0.170194	0.0127141	0.0397179	0.0682176	0.0488184	0.00250387	0.0538067	0.109042	0.0127644	0.0647242	0.179859	0.433287	0.294148	0.195336	0.00320809	0.340668	0.0280072	0.08503234	0.04010359	0.0701781	0.0350848	0.103047	0.027143	0.106016	0.0494907	0.0608914	0.0264619	0.0449432	0.0278732	0.281716	0.0648899	0.0613207	0.0373299	0.00361455	0.3974383	5	53.41799	0.03656746	0.472678	0.786544	1.0842	1.65658	0.109245	0.0720275	0.123951	0.297855	0.21353	0.183391	0.4375418	0.9083434
400	-612.1918	-503.2196	-108.9721	25.41395	2.753109	0.0892978	0.095955	0.179271	0.0207105	0.0771873	0.331111	0.0424574	0.0086922	0.0446537	0.0682536	0.0643808	0.0145894	0.109032	0.0552407	0.0162433	0.0141327	0.0980091	0.00140773	0.131202	0.00965458	0.0206436	0.0355004	0.00983537	0.195975	0.00943537	0.00174859	0.00163239	0.112675	0.0295129	0.132326	0.0321631	0.0505065	0.265493	0.0613532	0.0562863	0.136685	0.0141144	0.0521411	0.0456615	0.233346	0.219042	0.0194536	0.0631986	0.511249	0.0127579	0.556548	0.0828878	0.347232	1.00892	0.341852	0.373475	0.00783666	0.016949	0.0718359	0.00974928	0.282444	0.052804	0.31961	0.25301	0.0762986	0.1286823	0.03431918	0.0227104	0.0655577	0.0451925	0.0139141	0.198991	0.0341704	0.00226322	0.00218871	0.0222024	0.0501833	0.221206	0.229495	0.0293999	0.0487224	0.0138031	0.3596423	9	55.35786	0.06151102	0.369212	0.716872	1.08099	1.83292	0.0767299	0.100099	0.0864866	0.369689	0.187753	0.179242	0.3939615	0.912887
500	-606.1727	-519.9801	-86.19258	21.65659	2.319311	0.00215964	0.0208592	0.00769053	0.00501086	0.279366	0.081626	0.050527	0.150705	0.0138796	0.0161182	0.00606647	0.128378	0.205434	0.0381151	0.290116	0.0024492	0.0790498	0.0249338	0.040796	0.141945	0.0449169	0.104584	0.00543293	0.0332923	0.0203513	0.422413	0.132427	0.213205	0.0750477	0.0712306	0.155365	0.371039	0.126234	0.0487815	0.118183	0.176075	0.057124	0.230903	0.0464087	0.291185	0.00415009	0.0570396	0.0244484	0.230404	0.0881755	0.0992253	0.108292	0.0134028	0.0151044	0.0571141	0.0812599	0.138168	0.155275	0.0327548	0.201846	0.0116247	0.0925867	0.0462865	0.194443	0.0696778	0.08755865	0.03099092	0.0814681	0.172225	0.0789885	0.0092119	0.0395417	0.00146225	0.0776308	0.00883826	0.0577648	0.0780959	0.179854	0.0720452	0.0996803	0.0277993	0.0153945	0.4166758	9	52.64384	0.06782617	0.328628	0.685174	1.07625	1.90994	0.160624	0.105645	0.0989466	0.230942	0.144695	0.259147	0.4476667	0.9307723
600	-614.4028	-520.4302	-93.97254	38.09803	3.667492	0.0142428	0.0375854	0.108888	0.117679	0.229955	0.00758526	0.00907351	0.203157	0.116965	0.176311	0.0256885	0.00327041	0.0875574	0.000445945	0.189995	0.0756957	0.041792	0.0852359	0.0721083	0.103531	0.106896	0.183531	0.0848142	0.0414561	0.0706378	0.0160501	0.130966	0.329729	0.0529502	0.0395802	0.031139	0.178552	0.0271079	0.180254	0.521139	0.0242985	0.237123	0.167734	0.161442	0.000608836	0.0127827	0.0565385	0.179839	0.172433	0.0136692	0.0980882	0.00935431	0.029207	0.0907479	0.000545677	0.0992166	0.262716	0.0407437	0.649116	0.17675	0.00576348	0.0707654	0.0584975	0.0942151	0.0901251	0.08475036	-0.01820914	0.100155	0.0450427	0.0201957	0.0110389	0.175107	0.00913714	0.00395992	0.0215851	0.0485643	0.0809218	0.0149492	0.279581	0.0959127	0.0207914	0.0730585	0.439119	8	64.81718	0.05242611	0.435108	0.762864	1.08429	1.71774	0.119411	0.11072	0.110443	0.343196	0.178381	0.137849	0.4209099	1.043261
700	-567.0297	-506.3524	-60.67737	25.92972	4.383766	0.0353086	0.072382	0.231355	0.00111686	0.105059	0.136553	0.00519511	0.0267758	0.0150307	0.0971399	0.0909065	0.141212	0.0188141	0.142272	0.00443261	0.074213	0.0321476	0.0171772	0.0968975	9.41472e-06	0.0895139	0.174401	0.0683554	0.010429	0.134815	0.00560065	0.0524074	0.0414712	0.0170801	0.00845555	0.0754625	0.0505235	0.0587225	0.0352009	0.00298308	0.0348254	0.0404376	0.00767259	0.0353634	0.0265754	0.230307	0.151432	0.0998539	0.0479687	0.0256473	0.0150408	0.0036306	0.0783243	0.0160638	0.0407532	0.0774022	0.0127226	0.00446608	0.00619011	0.103511	0.042929	0.0261418	0.0584067	0.0516813	0.180321	0.07406744	0.02338487	0.0559133	0.120507	0.0349591	0.00447346	0.0701954	0.0246084	0.0100218	0.0242797	0.00959233	0.0739744	0.276193	0.114822	0.099596	0.0353632	0.0455007	0.2854478	9	51.60476	0.05352489	0.474277	0.787515	1.08417	1.65404	0.122576	0.134827	0.0974671	0.306909	0.123707	0.214514	0.3088327	0.9242798
800	-605.162	-527.2264	-77.93555	33.47153	4.735759	0.000792789	0.135881	0.0201089	0.0064762	0.00784863	0.063579	0.0481333	0.104444	0.111298	0.262445	0.0169942	0.0201137	0.0828977	0.0054028	0.0820162	0.185636	0.202172	0.00398633	0.033486	0.0590765	0.193943	0.0561547	0.180341	0.013719	0.0380269	0.165441	0.0343394	0.025164	0.120747	0.0876304	0.0316261	0.0862209	0.0736528	0.0339692	0.0886688	0.04954	0.0897528	0.0851167	0.0571758	0.0138229	0.0153182	0.0968796	0.398335	0.0293629	0.0370434	0.0736968	0.0330368	0.0798944	0.236148	0.0551955	0.0672807	0.113436	0.0680678	0.0934941	0.295816	0.00722626	0.0597287	0.00185739	0.034	0.116025	0.07839581	-0.04764248	0.0299138	0.249889	0.0137974	0.00635302	0.049094	0.0860867	0.00697005	0.0112934	0.0103319	0.136762	0.173703	0.152234	0.0293248	0.0180487	0.0261981	0.3827779	8	58.62643	0.06030024	0.490719	0.797341	1.08373	1.62821	0.117686	0.108357	0.0750843	0.317999	0.149608	0.231266	0.3351354	1.142159
900	-574.3896	-508.3597	-66.02989	30.0542	2.393323	0.0275344	0.207177	0.339808	0.0100665	0.00836481	0.234749	0.0423579	0.0350283	0.0644992	0.0995869	0.130756	0.0332302	0.0370799	0.0815444	0.0523204	0.0142354	0.0259798	0.00757135	0.111118	0.0843664	0.00664359	0.130882	0.0325487	0.0175654	0.121707	0.00072658	0.0218638	0.211523	0.0134556	0.0042066	0.0216974	0.116571	0.288842	0.00314318	0.0140923	0.010361	0.109634	0.00761343	0.00269801	0.071918	0.0512602	0.00116459	0.069317	0.0459839	0.00657873	0.168397	0.126891	0.136706	0.0583934	0.0441516	0.0371037	0.0282141	0.0896398	0.0480771	0.191978	0.0267067	0.208097	0.187468	0.117507	0.0323202	0.08180558	-0.04583104	0.0207592	0.238328	0.0631199	0.0506192	0.141372	0.0343079	0.00256276	0.00160377	0.00513911	0.0239678	0.120671	0.175448	0.0314924	0.0609504	0.0296582	0.3517366	10	52.28963	0.1021629	0.336104	0.691233	1.07731	1.89535	0.0829492	0.297852	0.066414	0.294923	0.149784	0.108078	0.3059056	1.149821
