Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-275.3435	-248.8661	-26.47742	4.34873	1.915108	0.365834	0.0609613	0.712125	0.0128842	0.491405	0.334574	0.0911417	0.0530373	0.151079	0.177079	0.0360048	0.204524	0.112492	0.521127	0.00646728	0.0652461	0.2413996	0.008307161	0.0195261	0.0246243	0.0793856	0.101642	0.014479	0.0276133	0.133361	0.0705395	0.11138	0.0786014	0.0583703	0.121154	0.0329294	0.0666926	0.0597024	0.1053102	2	50.95756	0.01398968	0.282926	0.645672	1.06771	2.00369	0.189691	0.259973	0.160236	0.150024	0.144789	0.0952862	0.1136174	0.9268848
100	-266.1629	-241.0216	-25.14126	3.813832	3.840174	0.126344	0.0195748	0.068155	0.290485	0.21345	0.0644736	0.180482	0.00192724	0.348865	0.110549	0.076633	0.406888	0.330267	0.146093	0.139874	0.00131492	0.228389	0.01987989	0.104791	0.0427683	0.100822	0.167808	0.0193264	0.00552846	0.100175	0.107524	0.0774727	0.086558	0.0077475	0.108493	0.000812236	0.0351838	0.0349888	0.1785926	2	50.73198	0.02497176	0.445361	0.769494	1.08439	1.70075	0.174783	0.253777	0.268024	0.105129	0.159338	0.03895	0.1984725	0.8998355
200	-271.2356	-245.3433	-25.89231	2.226854	1.948356	0.22488	0.0242118	0.0250379	0.318667	0.107621	0.096061	0.100667	0.00248166	0.134363	0.981188	0.428067	0.483529	0.103891	0.144425	0.0500069	0.332285	0.1763289	-0.01741558	0.0275094	0.0569956	0.0663977	0.036376	0.0648668	0.0115484	0.0988844	0.15953	0.183291	0.0634433	0.0296462	0.110211	0.0358313	0.0312587	0.0242111	0.1210197	1	51.87266	0.05399446	0.287031	0.649407	1.06864	1.99492	0.197205	0.292892	0.13252	0.140532	0.195984	0.0408671	0.1036041	1.168097
300	-263.8365	-248.4151	-15.42145	3.169539	2.607726	0.0908624	0.0383281	0.0508905	0.0596827	0.13446	0.0608518	0.12927	0.0086559	0.0185052	0.0819832	0.260333	0.0618154	0.124659	0.193099	0.109893	0.139398	0.1117201	0.06101938	0.00191206	0.0389054	0.0774541	0.0768573	0.0282431	0.066102	0.167452	0.0474693	0.129658	0.0267947	0.0215338	0.152131	0.0166714	0.0378835	0.110932	0.07295213	2	52.51634	0.0337822	0.356438	0.707202	1.07975	1.85661	0.242869	0.217822	0.16904	0.0797986	0.245154	0.0453164	0.1339715	0.5445347
400	-286.4654	-250.5194	-35.94605	10.58744	2.377902	0.339952	0.0295	0.000498334	0.0456582	0.176517	0.153305	0.122193	0.101678	0.275293	0.0627957	0.0565923	0.55649	0.132214	0.0825784	0.039874	0.100694	0.1572333	-0.005413388	0.165725	0.0051453	0.0872542	0.139621	0.0109315	0.000135667	0.022436	0.0754855	0.0265046	0.0768713	0.00867574	0.169347	0.0520201	0.061599	0.0982483	0.05822846	1	85.04871	0.04699605	0.334566	0.689996	1.0771	1.89834	0.246826	0.216339	0.109441	0.108422	0.2759	0.043073	0.05281507	1.102497
500	-264.6849	-242.0129	-22.67205	4.876101	3.041244	0.264972	0.0155356	0.0427021	0.054016	0.0994541	0.0886854	0.120403	0.0288507	0.049754	0.104991	0.121693	0.406155	0.132661	0.225599	0.115556	0.222046	0.1182484	0.06003392	0.0916168	0.0209196	0.130296	0.061147	0.120013	0.0481684	0.0883964	0.0978632	0.055482	0.0498815	0.00743069	0.119634	0.00916116	0.0272754	0.0727148	0.2293019	1	58.10962	0.02591742	0.392428	0.733786	1.08271	1.79107	0.185043	0.262839	0.163809	0.0832339	0.262529	0.0425459	0.2893358	0.7925112
600	-270.9889	-244.0824	-26.90657	2.242698	6.019335	0.0359309	0.0578863	0.241236	0.213148	0.406138	0.14611	0.153477	0.0445183	0.0877906	0.0478538	0.112902	0.378566	0.0825348	0.212854	0.190734	0.0678988	0.2272561	-0.01460768	0.062653	0.132173	0.100255	0.0159867	0.0310471	0.0282849	0.0681919	0.0203715	0.0723312	0.0680049	0.00989655	0.265645	0.0308842	0.0834991	0.0107763	0.1342655	2	55.79052	0.06419191	0.539597	0.824905	1.08122	1.55428	0.170248	0.262892	0.0989819	0.0861217	0.306096	0.0756614	0.1196578	1.122079
700	-280.4592	-251.0827	-29.37654	0.8451006	1.709243	0.0697799	0.0526414	0.100047	0.00041559	0.324171	0.135321	0.375305	0.0806694	0.604224	0.140226	0.0997112	0.316042	0.5151	0.283654	0.159581	0.0505753	0.130233	-0.04169253	0.00783216	0.0236262	0.12063	0.085309	0.037243	0.0344401	0.0325541	0.0112047	0.0779811	0.257393	0.0127355	0.0366823	0.079058	0.140309	0.0430029	0.1459808	0	61.1456	0.03786615	0.255913	0.620045	1.06067	2.06338	0.165498	0.286196	0.157792	0.0876035	0.227722	0.0751883	0.1042883	1.399782
800	-265.675	-240.6976	-24.97735	1.581113	2.139467	0.0434405	0.0115091	0.104457	0.190463	0.764235	0.203603	0.215793	0.0237678	0.19659	0.0459022	0.116692	0.296273	0.150869	0.277239	0.830846	0.216225	0.219177	0.0159017	0.011967	0.0205061	0.0957672	0.0493249	0.0853529	0.0159244	0.0710227	0.0600687	0.160708	0.105864	0.0100764	0.185896	0.00194862	0.113045	0.012528	0.1437544	2	54.45302	0.06860825	0.309373	0.66907	1.07312	1.94844	0.228653	0.240972	0.120633	0.116963	0.213864	0.0789156	0.1596561	0.9004003
900	-284.9161	-243.5791	-41.33704	0.8669411	1.852906	0.333766	0.0313728	0.491376	0.331301	0.719652	0.0327572	0.281843	0.0297961	0.899587	0.354069	0.708613	0.549795	0.0395315	0.0599376	0.608972	0.174763	0.3492124	0.04842554	0.00032665	0.00819124	0.11362	0.0807667	0.0742357	0.0226426	0.0408924	0.02862	0.142748	0.124189	0.0227328	0.158167	0.0317129	0.0301124	0.121043	0.1317306	1	53.98041	0.07945541	0.27506	0.638401	1.06583	2.02071	0.255626	0.277742	0.137111	0.132016	0.15558	0.041925	0.1801562	0.7312025
