Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-473.9854	-406.8256	-67.15975	17.67299	2.883462	0.397789	0.0115446	0.0187591	0.057815	0.21701	0.08977	0.133395	0.0583185	0.106873	0.0164401	0.187582	0.103189	0.0200988	0.119087	0.105761	0.0468559	0.145876	0.0557267	0.176778	0.00349408	0.0773909	0.00162556	0.157461	0.0953197	0.0050634	0.283755	0.0859048	0.431864	0.0845459	0.0471995	0.0509918	0.0040286	0.0231236	0.142755	0.112603	0.210959	0.0315253	0.00230234	0.0107363	0.0243143	0.343941	0.369921	0.224311	0.0506125	0.00922678	0.0838333	0.1174907	-0.07555567	0.0762474	0.00554252	0.109848	0.00498975	0.0188103	0.00755414	0.0499914	0.00795453	0.0525889	0.00099387	0.195626	0.010053	0.00660063	0.406779	0.046421	0.3317195	4	53.30603	0.07629568	0.38004	0.724864	1.08188	1.81322	0.0381918	0.255579	0.142567	0.28624	0.161958	0.115464	0.2561638	1.294951
100	-478.8798	-418.2126	-60.66721	11.23483	2.040385	0.043308	0.0644993	0.168925	0.0516805	0.0626383	0.109104	0.0372096	0.208924	0.265115	0.0182097	0.0254017	0.0170808	0.0409224	0.0864747	0.128519	0.217538	0.0553928	0.0564697	0.132514	0.0305881	0.0564019	0.00455172	0.137746	0.261564	0.132024	0.266983	0.15263	0.576839	0.0575487	0.124937	0.0456832	0.0866944	0.176157	0.0134052	0.272963	0.0522594	0.0300879	0.0065245	0.293201	0.0224926	0.17063	0.0553483	0.0149604	0.0542968	0.0541355	0.0580837	0.1467449	0.1199584	0.146989	0.000655315	0.136571	0.0183893	0.0762301	0.00530817	0.0517632	0.0131954	0.135505	0.00135715	0.0915484	0.0017187	0.000326623	0.317363	0.0030786	0.2916099	6	65.47802	0.06488505	0.298048	0.659241	1.07097	1.97174	0.0589257	0.183127	0.172027	0.228306	0.298823	0.0587915	0.4115684	0.7085334
200	-462.9287	-410.8477	-52.081	13.44698	3.470007	0.284763	0.0232872	0.0726866	0.0439015	0.00111665	0.0129226	0.0837094	0.0243556	0.0771102	0.137263	0.0414006	0.0893614	0.00371846	0.0566386	0.192136	0.004997	0.0183987	0.0165489	0.220011	0.028808	0.0877617	0.0735797	0.128253	0.220874	0.0112659	0.00803883	0.20986	0.13491	0.06769	0.207261	0.0214186	0.120798	0.0124156	0.0292941	0.00847861	0.318063	0.103909	0.0112125	0.0104664	0.0319008	0.0949302	0.00606606	0.0037829	0.0733458	0.0940164	0.154346	0.08004791	-0.01309534	0.11116	0.0222342	0.103673	0.0150059	0.0371294	0.00659086	0.0682556	0.00880852	0.0795201	0.00112926	0.147573	0.00124707	0.0146307	0.376357	0.00668501	0.3440628	4	56.05995	0.06079698	0.422644	0.754626	1.08402	1.73871	0.0351551	0.306713	0.133653	0.201219	0.250865	0.0723945	0.3309674	1.039567
300	-471.8173	-410.4798	-61.33744	23.10001	2.051146	0.2048	0.102009	0.0952182	0.0680062	0.32244	0.0224576	0.0215894	0.0289229	0.0438644	0.0220496	0.028991	0.113013	0.0475271	0.158121	0.196556	0.00549509	0.048272	0.0527583	0.553794	0.0150955	0.0834208	0.0336274	0.0292952	0.187794	0.002628	0.0252193	0.0289514	0.113907	0.239929	0.0623655	0.132636	0.178275	0.000462137	0.0887514	0.0188877	0.07565	0.00717406	0.163541	0.12126	0.02973	0.079376	0.118711	0.00483921	0.0771446	0.00656215	0.098927	0.1231619	0.09035198	0.102063	0.0285789	0.175348	0.0596604	0.0336682	0.00244253	0.0659671	0.00197972	0.0437645	0.00977485	0.136484	0.00889135	0.0188001	0.304746	0.00783087	0.2474128	6	50.40285	0.0992835	0.299305	0.660345	1.07122	1.96913	0.0557498	0.194991	0.15767	0.235323	0.228735	0.127531	0.3377647	0.7325003
400	-464.6961	-416.9778	-47.71835	8.364034	3.731285	0.00505771	0.169421	0.0334649	0.00311437	0.171163	0.0353887	0.0428592	0.164147	0.0378758	0.0390053	0.106384	0.074611	0.0190467	0.142403	0.0912815	0.00131654	0.0489623	0.0395663	0.217387	0.0291799	0.0436096	0.0018282	0.046351	0.0856904	0.00650607	0.149269	0.0218955	0.0951735	0.0195217	0.0926162	0.00472222	0.0581399	0.0853628	0.0808111	0.0201116	0.125445	0.0543864	0.0132453	0.0360299	0.10822	0.0116268	0.0554027	0.00302731	0.0390121	0.156505	0.0440021	0.07049498	0.06416768	0.0569895	0.00255406	0.221766	0.0427304	0.00988692	0.00259064	0.0756219	0.0217637	0.0537189	0.00684162	0.0897685	0.000754061	0.0208265	0.385915	0.00827218	0.3069362	5	52.26052	0.1403216	0.438962	0.765372	1.08434	1.71133	0.0335487	0.175693	0.240056	0.226961	0.22928	0.0944611	0.3711039	0.8270897
500	-462.6805	-407.5617	-55.11874	13.59296	2.16942	0.092295	0.0116703	0.309123	0.235309	0.0111462	0.132614	0.123592	0.0371334	0.0412159	0.111851	0.00339578	0.148634	0.0292121	0.0112241	0.0925041	0.103194	0.0317245	0.0601376	0.0420758	0.0652917	0.042716	0.0191471	0.057166	0.0968596	0.0194428	0.0394474	0.109388	0.0423137	0.0249686	0.0447513	0.0636058	0.140912	0.0427813	0.00185064	0.076321	0.0309729	0.0858028	0.128379	0.00895862	0.0955267	0.0132103	0.0840614	0.188936	0.121345	0.111313	0.264542	0.07202417	0.01152478	0.106638	0.00504334	0.0580674	0.000365127	0.100971	0.00342905	0.0922921	0.0125967	0.0581193	0.00665091	0.0936484	0.00136816	0.0206344	0.427714	0.0124612	0.2973022	6	58.28264	0.07349436	0.312693	0.671899	1.0737	1.9417	0.0326317	0.249202	0.197381	0.228288	0.18266	0.109837	0.308827	0.9626821
600	-474.6116	-411.0092	-63.60235	20.10011	4.064321	0.110102	0.0485745	0.0744756	0.174658	0.0152	0.0278685	0.173489	0.104275	0.0420777	0.168855	0.0303768	0.0978415	0.0753863	0.260211	0.156336	0.202074	0.158567	0.00337635	0.00972698	0.0918868	0.0620469	0.111613	0.149137	0.078639	0.027104	0.0837183	0.150856	0.0378876	0.0010071	0.0106757	0.168791	0.0700363	0.166984	0.0821485	0.0672959	0.0686375	0.114055	0.00491777	0.0890723	0.459659	0.00538098	0.00225407	0.101304	0.157105	0.0254555	0.306217	0.1094172	0.05860622	0.0778049	0.0124961	0.0933603	0.0140677	0.116689	0.000206066	0.0585075	0.00673416	0.0170385	0.0168103	0.151474	0.0298634	0.00547212	0.398917	0.000558843	0.5212306	6	55.19564	0.06269638	0.457861	0.777404	1.08439	1.68035	0.0341691	0.344712	0.14918	0.196686	0.227824	0.047429	0.5798368	0.8989263
700	-450.7096	-422.1655	-28.54407	17.5549	3.599967	0.0414586	0.00788605	0.00446082	0.0520092	0.0849399	0.118224	0.0838729	0.00936523	0.0111586	0.0675536	0.0182142	0.0962049	0.0164148	0.00381718	0.138645	0.0162263	0.00362753	0.00656927	0.10194	0.0380727	0.14666	0.0252445	0.0937221	0.0906564	0.0858079	0.00916214	0.292989	0.0610941	0.031959	0.0284379	0.0258302	0.00910426	0.078975	0.0558054	0.109206	0.0766892	0.172411	0.0207917	0.0581282	0.0114877	0.0427377	0.0290966	0.000871152	0.0614418	0.00104303	0.0605472	0.04820641	-0.121757	0.18819	0.0325542	0.131218	0.0602225	0.0041827	0.00142666	0.0532998	0.00667645	0.0745774	0.0116059	0.203577	0.0170053	0.00630423	0.196764	0.0123949	0.5839592	5	52.32229	0.07555861	0.430938	0.760131	1.08422	1.72472	0.0242745	0.242196	0.136938	0.219072	0.240619	0.136901	0.4622022	1.263428
800	-461.0612	-413.1355	-47.92573	13.14136	4.030605	0.115981	0.0688643	0.129786	0.0721719	0.0432667	0.0177984	0.0724358	0.206712	0.0377498	0.0738002	0.0328457	0.0542964	0.00813646	0.0360107	0.0853231	0.0268718	0.0883113	0.0156877	0.107407	0.105435	0.0744436	0.0491803	0.0257869	0.526982	0.17874	0.0134977	0.0989679	0.106841	0.0106226	0.0578332	0.0490947	0.0131721	0.0503789	0.135317	0.143613	0.114739	0.0206212	0.00398474	0.00973328	0.215253	0.0790388	0.0510488	0.000605007	0.0114878	0.0661925	0.00996537	0.08894829	0.01273726	0.167927	0.0189716	0.0414393	0.0172613	0.0639344	0.0146993	0.0667524	0.00885068	0.0697983	0.0112381	0.166392	0.0126233	0.00948381	0.327198	0.00343049	0.2934393	5	56.14305	0.06816921	0.456036	0.776261	1.0844	1.68331	0.0222957	0.185833	0.134517	0.246173	0.31865	0.0925307	0.3061766	0.958399
900	-491.5637	-412.2919	-79.2718	14.79485	2.435556	0.151189	0.136338	0.359545	0.0894742	0.146104	0.333497	0.249864	0.0349733	0.039109	0.00431767	0.00616548	0.0816582	0.00159879	0.213583	0.0463324	0.0339385	0.0229203	0.235137	0.130813	0.146879	0.509558	0.0427346	0.181884	0.00558996	0.0864047	0.0579414	0.0618508	0.0235074	0.00319644	0.0446109	0.185921	0.00712011	0.098969	0.0107525	0.146217	0.0741526	0.0286802	0.0876933	0.0301832	0.491286	0.0378404	0.00562127	0.213431	0.0491603	0.0116772	0.0531184	0.0941787	0.03199574	0.0948111	0.0342101	0.105025	0.00286258	0.0378562	0.00240492	0.0497819	0.00894512	0.0136245	0.00531242	0.0597718	0.00124117	0.00483245	0.53318	0.0461411	0.3825498	5	51.95876	0.03189102	0.34026	0.694557	1.07786	1.88732	0.0627454	0.187671	0.115261	0.238842	0.275302	0.120179	0.4145455	0.9228173
