Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-56.02517	-84.43373	28.40857	9.39236	0.4372418	0.0378683	0.0785681	0.0297248	0.0489603	0.202534	0.0551674	0.025129	0.00614235	0.08480173	0.18162	0.251236	0.065648	0.0511209	0.0517299	0.0168318	0.0088762	0.0600749	0.0269812	0.00786302	0.08549	0.0401476	0.25791	0.00259366	0.0444678	0.0290293	0.000216372	9.39236	0.0224332	0.208988	0.768629	2.99995	0.0381361	0.434888	0.0255987	0.085535	0.300689	0.115153	0.1818363	0.001189927
100	-61.6401	-81.03085	19.39076	5.995582	3.307938	0.0724021	0.691909	0.0851628	0.00559924	0.0198949	0.0171278	0.172281	0.151607	0.1872911	0.1396678	0.272935	0.0661653	0.136937	0.00808993	0.010512	0.0627533	0.112087	0.00848283	0.0865551	0.0425259	0.0636785	0.0212498	0.0261016	0.0804484	0.00147834	0.002248558	5.995582	0.411765	0.747268	1.08366	1.7573	0.0239979	0.521281	0.00169938	0.127865	0.295565	0.0295917	0.1419164	0.01584425
200	-55.34238	-80.86367	25.52128	7.837481	2.284754	0.0139497	0.215879	0.0369685	0.0191069	0.0928896	0.0393085	0.00457907	0.281801	0.08723253	0.09254148	0.0791465	0.0165916	0.0257252	0.0369031	0.0704184	0.066108	0.0742022	0.00304196	0.0221599	0.312807	0.0981937	0.0162002	0.0601123	0.0749566	0.0434328	0.02759724	7.837481	0.325051	0.682238	1.07572	1.91699	0.0478697	0.323083	0.00183136	0.12651	0.374722	0.125984	0.1201387	0.2297115
300	-61.05258	-85.77466	24.72208	13.94504	0.510675	0.222261	0.2171	0.0818381	0.0432076	0.131313	0.0269132	0.0120507	0.0495379	0.06151441	0.1022783	0.000529766	0.0217075	0.164321	0.046444	0.0279903	0.047687	0.0596246	0.00492694	0.0794653	0.0970923	0.00613939	0.0586031	0.0152302	0.313646	0.0565933	0.0122116	13.94504	0.035383	0.258828	0.827883	2.87791	0.0190569	0.320103	0.0188725	0.0900871	0.509733	0.0421479	0.1144899	0.1066609
400	-55.75702	-83.67759	27.92057	27.81732	1.458068	0.0253498	0.0124151	0.0142959	0.0267192	0.00867788	0.0573529	0.0839332	0.0116036	0.08909903	0.01231636	0.0544124	0.0515556	0.252158	0.0379546	0.0553284	0.0509971	0.0126712	0.00254219	0.0495933	0.049704	0.0447346	0.0254708	0.00286347	0.186753	0.123261	0.001827948	27.81732	0.218772	0.581425	1.04786	2.15194	0.0235018	0.482464	0.0508026	0.0889169	0.294641	0.0596731	0.01414431	0.1292356
500	-47.17667	-80.20175	33.02508	73.19688	0.9379326	0.0192122	0.00671934	0.0806127	0.00285758	0.0371816	0.0139565	0.0205064	0.00487392	0.02186251	0.01013917	0.154867	0.00697631	0.0242809	0.00515975	0.0156091	0.0334069	0.0553613	0.0338038	0.0372799	0.0659943	0.12952	0.0891471	0.0252857	0.30727	0.0160377	0.01346757	73.19688	0.124409	0.457267	0.988903	2.42942	0.0582272	0.414572	0.0402412	0.107487	0.329529	0.0499439	0.02360674	0.5704968
600	-51.54516	-83.1713	31.62613	2.553422	1.019986	0.00587592	0.0306419	0.0859945	0.0483976	0.124324	0.0136608	0.0103676	0.16	0.04527943	0.1714511	0.0565625	0.0989646	0.133662	0.00110635	0.0471909	0.185015	0.0572765	0.00230272	0.0849713	0.0768294	0.0100475	0.0225584	0.0304984	0.0968316	0.0961825	0.00481411	2.553422	0.140924	0.482678	1.00323	2.37316	0.0486527	0.40028	0.0350065	0.0811749	0.420514	0.0143721	0.1762652	0.02731174
700	-49.55415	-80.50672	30.95257	26.80445	2.608569	0.0220712	0.0129988	0.0119092	0.00221346	0.0618075	0.0104451	0.000583223	0.041171	0.03946565	0.1071545	0.175243	0.00628158	0.115157	0.107579	0.0117402	0.00877555	0.0999042	0.000567791	0.0624729	0.054588	0.0305807	0.0244237	0.000635775	0.0939821	0.208068	0.001694469	26.80445	0.356514	0.70726	1.07976	1.85647	0.0535085	0.308265	0.00729416	0.157561	0.374762	0.0986081	0.108849	0.01556715
800	-54.16341	-80.33632	26.17291	5.916283	0.6663075	0.0183852	0.0111055	0.0908213	0.0715785	0.0792833	0.122117	0.0896368	0.0136131	0.07827785	-0.05371119	0.014217	0.135933	0.119475	0.0124636	0.168417	0.113473	0.0619719	0.00183784	0.0361629	0.00434927	0.0402875	0.111165	0.0122114	0.141007	0.0270288	0.2210726	5.916283	0.0670112	0.34719	0.911713	2.67409	0.0385788	0.44475	0.00654671	0.0477962	0.398537	0.0637914	0.1673614	1.320929
900	-41.64689	-79.05104	37.40416	38.98616	2.792117	0.000678654	0.000377263	0.0247663	0.000623737	0.0340606	0.0036394	0.0141604	0.0187057	0.01304065	0.01913748	0.178602	0.0219473	0.0619483	0.109807	0.043475	0.0672962	0.056491	0.0183712	0.0838991	0.00053964	0.0221786	0.15911	0.00631167	0.12003	0.0499928	0.0143749	38.98616	0.372512	0.719327	1.08128	1.82688	0.0354232	0.460833	0.0144468	0.102258	0.357856	0.0291827	0.03351238	0.4289429
