Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-464.5007	-426.4192	-38.08158	12.61761	2.64619	0.0787023	0.0146308	0.013836	0.0127727	0.077766	0.0658771	0.00278156	0.0715719	0.00236711	0.229975	0.0326771	0.0338374	0.143587	0.0388248	0.00223053	0.0158655	0.0339619	0.0260769	0.101187	0.0132493	0.00815868	0.104791	0.0246968	0.0249311	0.0188462	0.0718929	0.00845637	0.041249	0.0619881	0.258739	0.157724	0.10728	0.12524	0.0229085	0.00923635	0.104417	0.00914802	0.0038829	0.00230461	0.048745	0.295009	0.00941159	0.14231	0.0735784	0.129927	0.0302407	0.06797104	-0.02274895	0.210525	0.0304687	0.0169954	0.00137598	0.034916	0.0467947	0.212058	0.0326724	0.0802794	0.0179792	0.0321716	0.0100248	0.0521937	0.218527	0.00301839	0.4048446	4	52.65107	0.06146022	0.359893	0.709844	1.08011	1.85015	0.051928	0.252717	0.167472	0.21221	0.223239	0.0924342	0.3820957	1.059537
100	-475.4045	-429.0631	-46.3414	17.17924	1.51159	0.111011	0.000784065	0.0261358	0.0102309	0.117635	0.255073	0.0798682	0.00401252	0.0298951	0.124678	0.0129827	0.000614163	0.0102002	0.342403	0.0587112	0.0421574	0.108439	0.0642895	0.0167666	0.00998493	0.0146479	0.0446573	0.0202185	0.0377998	0.0319882	0.0403121	0.00517166	0.0896709	0.519279	0.0231812	0.00753163	0.00244815	0.00302882	0.00454716	0.0513975	0.0468819	0.252024	0.00180917	0.156306	0.00386365	0.189667	0.144716	0.0859956	0.118078	0.0379377	0.0759367	0.08925364	-0.06220694	0.174564	0.0369202	0.0585059	0.0148339	0.0227449	0.00572044	0.101575	0.0477223	0.0536581	0.00178072	0.206609	0.000890151	0.0617644	0.203727	0.00898433	0.4877821	6	54.76056	0.05782389	0.227107	0.590474	1.0511	2.13132	0.023712	0.248758	0.208658	0.231681	0.204695	0.0824958	0.4255751	1.146171
200	-468.6658	-423.9137	-44.75205	16.37169	6.087281	0.0471929	0.0904266	0.013822	0.000175714	0.20116	0.0018032	0.125697	0.081997	0.102141	0.00745856	0.0319253	0.0289161	0.0251679	0.0660133	0.00298072	0.132958	0.0419198	0.0562384	0.0127443	0.0116138	0.0119544	0.0618378	0.0253488	0.0977938	0.172968	0.0344734	0.163093	0.12156	0.0236521	0.0711943	0.0804337	0.0420957	0.037406	0.0103844	0.000247689	0.0953747	0.000861177	0.0480614	0.162179	0.0930695	0.105395	0.0111805	0.130011	0.0652333	0.0216418	0.0324479	0.04738118	-0.03398178	0.0995366	0.0114431	0.0390969	0.0251235	0.093973	0.0151418	0.187371	0.0497406	0.135523	0.0199093	0.0745684	0.0215736	0.14681	0.0555589	0.0246305	0.3378778	5	50.60517	0.1000024	0.541801	0.826093	1.08106	1.55104	0.0455068	0.250508	0.218261	0.17895	0.218582	0.088193	0.303896	1.11182
300	-474.9922	-428.1905	-46.80168	7.722737	2.703596	0.268876	0.0343511	0.0545563	0.0748408	0.0302616	0.0608749	0.0386647	0.07868	0.0567314	0.121354	0.058815	0.131383	0.159742	0.0504946	0.0200091	0.478431	0.0331672	0.0437484	0.0526901	0.0596772	0.0114342	0.147807	0.00791074	0.127367	0.180204	0.0119041	0.00841968	0.0312176	0.200879	0.0175644	0.0552222	0.0546699	0.053656	0.0845997	0.0275054	0.00244739	0.222802	0.424451	0.030338	0.00306449	0.0478396	0.00693165	0.035323	0.0571184	0.0742788	0.00360799	0.08700567	0.01030091	0.253957	0.0891034	0.00198116	0.197412	0.0464113	0.00587833	0.124566	0.0714627	0.0039531	0.0192402	0.0637414	0.0163994	0.0232626	0.0715036	0.011128	0.3122255	7	50.11113	0.09532736	0.364947	0.713673	1.0806	1.84078	0.0221019	0.199547	0.196941	0.216457	0.221534	0.143419	0.3225264	0.9680618
400	-459.7515	-428.547	-31.20451	15.43032	3.44501	0.0616602	0.0166798	0.0419114	0.0490288	0.0121547	0.0216708	0.385677	0.0988821	0.006673	0.039468	0.0216763	0.00744239	0.0161815	0.0290739	0.21405	0.0672046	0.026452	0.0499567	0.00698272	0.00837572	0.0588066	0.0515265	0.105133	0.0827719	0.00263319	0.0136237	0.00363608	0.0204517	0.0233301	0.0661943	0.159309	0.0578046	0.0785461	0.235872	0.0286061	0.0981095	0.000406219	0.0997374	0.00794556	0.0716841	0.0303015	0.0490876	0.121273	0.13124	0.0399141	0.00958894	0.06517362	-0.07855532	0.278639	0.0163738	0.0251168	0.0234863	0.0283505	0.00447529	0.157704	0.0202281	0.107076	0.0190729	0.0359886	0.0059516	0.0943937	0.180086	0.00305725	0.324075	7	50.1388	0.1000676	0.421006	0.753528	1.08398	1.74149	0.0110265	0.24609	0.26155	0.187559	0.221196	0.0725781	0.2455197	1.319955
500	-471.6455	-439.8101	-31.83533	18.03886	1.889549	0.0112081	0.197343	0.00527277	0.0575613	0.157487	0.0351759	0.0735474	0.0280243	0.0170792	0.00549839	0.00592697	0.00554944	0.0211429	0.0310761	0.111367	0.0583531	0.0460468	0.116394	0.0233269	0.05484	0.0116252	0.0610162	0.13879	0.0262355	0.120169	0.050209	0.042284	0.00236799	0.0840619	0.0185178	0.000875907	0.0481654	0.0383361	0.0254902	0.00583948	0.266278	0.0208226	0.219953	0.161865	0.0192859	0.00853186	0.0134996	0.00799451	0.0747675	0.221603	0.0867122	0.07665979	0.04853756	0.167956	0.00463514	0.0356135	0.0242389	0.186542	0.0049967	0.0797951	0.00774989	0.0716037	0.00220598	0.0791926	0.00234276	0.0189848	0.287359	0.0267833	0.4822896	6	52.55857	0.07363365	0.279724	0.64273	1.06696	2.01058	0.0460791	0.288382	0.164675	0.178339	0.259648	0.0628777	0.5308271	0.9085624
600	-474.796	-430.8348	-43.96117	13.88562	3.024958	0.0495089	0.0974234	0.0601686	0.000559895	0.0386933	0.00802828	0.0267921	0.0651877	0.0259473	0.0874396	0.145775	0.109379	0.00766447	0.00249685	0.0787047	0.0436263	0.00453759	0.0649778	0.0399976	0.0277575	0.00250435	0.0406431	0.00585642	0.0260573	0.0308302	0.120141	0.0342585	0.0333121	0.0610206	0.00497193	0.0813688	0.102212	0.00971253	0.0195915	0.110772	0.113797	0.0480769	0.203753	0.00606821	0.17713	0.00513028	0.101118	0.0783551	0.00737497	0.0208374	0.0379988	0.06282036	-0.04836712	0.229936	0.177515	0.0344739	0.0110606	0.0665774	0.00553586	0.10598	0.0337199	0.0887062	0.00376272	0.0329197	0.0150337	0.0188769	0.158078	0.0178235	0.5346935	4	61.76422	0.05173369	0.391184	0.732901	1.08264	1.79328	0.0220875	0.186851	0.104466	0.291374	0.31756	0.077662	0.4863264	1.099454
700	-439.5989	-423.8046	-15.7943	7.332493	3.997191	0.0292219	0.0576817	0.00124164	0.0323744	0.0358198	0.0217071	0.0604814	0.0575425	0.0288551	0.00270214	0.0610875	0.0464048	0.0332171	0.0183084	0.00715762	0.113931	0.00955253	0.0189432	0.0126212	0.0164748	0.00408139	0.0237614	0.00847465	0.105916	0.0433726	0.000845153	0.0205866	0.0808324	0.0446232	0.0913254	0.015499	0.105766	0.0091074	0.0378102	0.0350933	0.137629	0.0169559	0.0260263	0.00579244	0.00848374	0.0052707	0.000210984	0.0414741	0.0991304	0.00355165	0.0103495	0.03582032	0.0459053	0.164286	0.00232509	0.178072	0.0309069	0.0579502	0.0250285	0.168451	0.0418665	0.0153702	0.0131584	0.0568801	0.0013906	0.0220342	0.220017	0.00226419	0.4278492	3	51.32049	0.07628349	0.454208	0.775112	1.0844	1.68628	0.0301351	0.220179	0.180014	0.16296	0.321548	0.0851642	0.4737545	0.9031032
800	-487.4892	-437.0646	-50.42452	11.36161	1.970324	0.0875479	0.0236311	0.094984	0.195412	0.0732771	0.0356194	0.175219	0.071817	0.102564	0.0144949	0.0617535	0.213536	0.0219692	0.0213854	0.146851	0.0164005	0.00827776	0.00552273	0.0333573	0.0962409	0.01576	0.0973892	0.011085	0.0880922	0.0388168	0.0370406	0.108594	0.0721214	0.00634121	0.105593	0.22439	0.0996636	0.0115281	0.0666415	0.162976	0.0790733	0.0902797	0.067444	0.0381592	0.125146	0.0458857	0.0796532	0.0587966	0.126125	0.0161309	0.083187	0.08288433	0.01595856	0.316971	0.0386234	0.0299258	0.0242058	0.0016001	0.00429356	0.218696	0.0461918	0.0153452	0.00359356	0.0314242	0.040595	0.0314633	0.185572	0.0114981	0.3186249	6	51.95718	0.09566938	0.289706	0.65182	1.06923	1.98924	0.034644	0.257185	0.143493	0.198125	0.253029	0.113524	0.3345835	0.9523032
900	-451.9728	-421.1117	-30.86108	7	2.154855	0.0168765	0.0316339	0.110609	0.0789018	0.0203496	0.011713	0.0239741	0.0767775	0.0579806	0.00354214	0.028532	0.252344	0.0278419	0.0938037	0.00171739	0.0041215	0.0014875	0.0151468	0.00672527	0.0771413	0.006253	0.0474676	0.00734674	0.0552079	0.0506726	0.0254118	0.104388	0.114252	0.0194554	0.0158913	0.193145	0.0120286	0.0131703	0.0140379	0.0211628	0.0242242	0.0542028	0.0230186	0.138751	0.0183048	0.0106008	0.073721	0.0161965	0.006676	0.0200698	0.060484	0.04874667	0.009696783	0.384376	0.00920319	0.0252651	0.0124622	0.00351192	0.00635043	0.175584	0.0331874	0.0141064	0.00737619	0.122535	0.00749114	0.0390378	0.15618	0.00333292	0.4678394	4	58.83238	0.03707434	0.311085	0.670531	1.07342	1.94496	0.0299303	0.197254	0.194019	0.158441	0.269566	0.15079	0.4775362	0.9796941
