Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
10	0	-196.435	-225.1661	28.73106	62.24011	3.050982	0.00684848	0.029664	0.0704385	0.00756819	0.000519703	0.0450203	0.00483358	0.00356056	0.0332444	0.0226268	0.0214916	0.0462902	0.0112048	0.0308252	0.02616411	0.01298743	0.0116295	0.134283	0.0409665	0.173463	0.0167556	0.00498977	0.120715	0.000739405	0.21727	0.123661	0.0434773	0.000889531	0.079524	0.0142827	0.0173543	0.006390349	62.24011	0.393168	0.734312	1.08276	1.78976	0.131947	0.101817	0.269715	0.0830782	0.358646	0.0547968	0.01937778	0.3297771
11	0	-209.0666	-215.432	6.3654	11.74814	2.283542	0.0292526	0.0414834	0.0764324	0.0371578	0.223988	0.218293	0.0503547	0.0533946	0.281919	0.251886	0.0427247	0.531172	0.405528	0.188724	0.1247867	0.1449941	0.00708144	0.0791288	0.152421	0.140505	0.00293444	0.00359724	0.0816242	0.00502628	0.339278	0.0768701	0.0730145	0.00266792	0.0242891	0.00350023	0.00806263	0.0669162	11.74814	0.324924	0.682134	1.0757	1.91724	0.1583	0.183468	0.243766	0.0695433	0.257647	0.0872763	0.2119103	0.315776
12	0	-211.1703	-220.7008	9.530527	19.58422	1.53042	0.106541	0.116747	0.095429	0.0540674	0.0882637	0.233338	0.161504	0.104922	0.200535	0.198933	0.274269	0.311277	0.183767	0.187492	0.1273182	0.1334952	0.0382662	0.15613	0.0322639	0.184727	0.00240756	0.0101082	0.0592224	0.00475695	0.192857	0.125912	0.034001	0.000897967	0.110887	0.0302588	0.0173039	0.01514652	19.58422	0.229984	0.593543	1.05216	2.12431	0.161095	0.140858	0.190069	0.0737213	0.353338	0.0809196	0.1486417	0.1018995
13	0	-204.4791	-227.0889	22.60983	57.15628	1.842013	0.0189133	0.150984	0.0115974	0.0535621	0.0281073	0.0256365	0.0944559	0.0081207	0.00569714	0.103316	0.00205469	0.0585089	0.0297189	0.0653552	0.0429393	0.02450482	0.00914306	0.0207636	0.013737	0.277335	0.0258993	0.00745627	0.0601879	0.0250022	0.150204	0.122266	0.0743043	0.00575487	0.110896	0.0491037	0.0479467	0.03405106	57.15628	0.273657	0.637088	1.06548	2.02377	0.128239	0.252993	0.227531	0.0638442	0.2572	0.0701928	0.05855587	0.5815139
14	0	-205.0342	-217.9131	12.87888	21.11078	2.776827	0.195565	0.0364789	0.0503249	0.111237	0.205148	0.0246381	0.231007	0.00498369	0.0237495	0.215871	0.179289	0.204423	0.0536	0.130049	0.1514752	0.08730809	0.0257352	0.00799071	0.201855	0.217797	0.0102943	0.000665289	0.05269	0.00378022	0.189288	0.0248153	0.133156	0.0107299	0.0016875	0.110489	0.00902658	0.003599454	21.11078	0.371224	0.718372	1.08117	1.82924	0.139669	0.141865	0.215234	0.0580783	0.344924	0.10023	0.09090754	0.03959467
15	0	-205.076	-218.7459	13.66984	11.78126	2.935969	0.0634446	0.224284	0.139198	0.0381842	0.130561	0.109334	0.0652102	0.263992	0.202089	0.14402	0.0332846	0.0656957	0.0400003	0.0974213	0.07748303	0.05676127	0.00501545	0.0208055	0.0311516	0.17088	0.00791928	0.00234502	0.0733268	0.00642965	0.171773	0.17415	0.272719	0.00375445	0.0298907	0.0213521	0.00848775	0.03601794	11.78126	0.384247	0.72792	1.08218	1.80565	0.132965	0.187086	0.202849	0.0747974	0.282903	0.1194	0.09277921	0.3882113
16	0	-187.2132	-214.1597	26.94647	101.7962	4.401403	0.023503	0.0400804	0.0805932	0.00149872	0.00175317	0.00900749	0.06283	0.0112724	0.0019182	0.0234755	0.0111829	0.00704089	0.0180636	0.0299176	0.03847665	0.02681981	0.00308118	0.164057	0.10531	0.225342	0.00150037	0.0102795	0.0440679	0.000333767	0.202975	0.0663501	0.0854512	0.00301016	0.0479142	0.0158461	0.024481	0.0003461744	101.7962	0.47514	0.788038	1.08415	1.65267	0.14273	0.219625	0.168833	0.0952416	0.293225	0.0803447	0.02716598	0.01274294
17	0	-204.5255	-219.3472	14.82164	31.9097	6.13376	0.172586	0.0560423	0.00337116	0.0024586	0.0618553	0.0405468	0.00669815	0.109703	0.126854	0.10402	0.0767208	0.125582	0.043799	0.0129867	0.08043676	0.01371179	0.0117399	0.127577	0.0344166	0.22402	0.0381235	0.000397563	0.0154935	0.00290565	0.214059	0.0178755	0.0995578	0.000870018	0.136403	0.0448292	0.0317317	0.03181281	31.9097	0.54329	0.826893	1.08096	1.54886	0.173204	0.116215	0.188196	0.0604467	0.403549	0.0583892	0.04552461	0.6988048
18	0	-193.0713	-225.2517	32.18045	156.7802	2.293849	0.00416116	0.0323145	0.00617796	0.0189687	0.00286684	0.000587504	0.0235886	0.00699838	0.00865931	0.0286853	0.00843976	0.0219015	0.00336603	0.000757035	0.008748055	0.004176255	0.00314946	0.232312	0.0684589	0.149218	0.00455844	0.0152067	0.0837601	0.00445279	0.138681	0.0426823	0.0885406	0.0157869	0.0497682	0.0789274	0.0244977	0.001885235	156.7802	0.325998	0.683018	1.07586	1.91512	0.118869	0.113958	0.248835	0.0507825	0.366225	0.10133	0.00606149	0.3110184
19	0	-193.2784	-215.2265	21.9481	42.89928	3.959846	0.0345267	0.147792	0.0386422	0.000984087	0.0308134	0.145654	0.0173955	0.0292559	0.0068398	0.0464796	0.0341323	0.00729222	0.0610949	0.0100538	0.05287802	0.02660627	0.0103165	0.0772431	0.0871566	0.0785656	0.0145133	0.000842779	0.00222059	0.00177247	0.207525	0.160716	0.157116	0.00236794	0.0635898	0.127791	0.00826267	0.02288666	42.89928	0.452143	0.773809	1.08441	1.68964	0.180439	0.196145	0.185265	0.0584297	0.300498	0.0792241	0.04949293	0.4624229
