Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
10	0	-101.9841	-123.6036	21.61952	5.191761	0.6414189	0.00866985	0.0176478	0.010139	0.0013408	0.00413058	0.00182263	0.00506906	0.0245894	0.00947049	0.0177492	0.0288436	0.00168776	0.0098818	0.0851345	0.0139065	0.191162	0.016632	0.0615368	0.0229405	0.0218307	0.0370601	0.0552657	0.04538109	-0.1494008	0.0405795	0.00320415	0.173358	0.0968576	6.67631e-05	0.0535677	0.0304848	0.0350407	0.0131771	0.334951	0.00532394	0.0465553	0.101587	0.0197476	0.0454987	0.6678271	1	8.735704	0.2948741	0.0617478	0.334528	0.901063	2.70266	0.0576611	0.341975	0.0741733	0.364257	0.0219453	0.139988	0.5184263	1.288181
11	0	-123.6711	-123.591	-0.08014595	5.266041	2.197881	0.0327189	0.0409067	0.0736211	0.00369484	0.0280049	0.0302706	0.0770523	0.047567	0.100418	0.00398397	0.546746	0.0422794	0.00184377	0.0673023	0.32724	0.00482872	0.0160693	0.0859687	0.279826	0.1302	0.00732376	0.010345	0.08120548	0.4072628	0.0189096	0.11012	0.0645982	0.21229	0.0275588	0.0132441	0.0198172	0.0456879	0.0201363	0.16743	0.154302	0.0650824	0.0604519	0.00484998	0.0155228	0.3626603	5	5.828283	0.3049735	0.315804	0.674531	1.07424	1.93543	0.0924973	0.33834	0.0981798	0.366879	0.0549783	0.0491254	0.7699231	0.4710344
12	0	-95.06931	-122.8664	27.79705	6.061446	1.020801	0.00236594	0.00185499	0.0269655	0.139053	0.00173647	0.0378896	0.0163585	0.00405834	0.0185033	0.0233204	0.0338128	0.0181268	0.00710624	0.0260292	0.0216514	0.0449186	0.0376632	0.0735838	0.00202041	0.00467259	0.00306366	0.0124402	0.02740126	0.1164629	0.00571934	0.083173	0.0966483	0.0980676	0.102224	0.0157132	0.075361	0.000956401	0.0254473	0.294918	0.00497184	0.0682846	0.0251826	0.03195	0.0713826	0.386986	4	6.362971	0.1408113	0.141085	0.482916	1.00336	2.37264	0.0914057	0.237925	0.10869	0.457694	0.033835	0.0704496	0.5034488	0.7686699
13	0	-106.2807	-120.3934	14.11274	10.54725	0.8665901	0.00109758	0.00796003	0.011115	0.00828238	0.0356656	0.0334267	0.0310972	0.0193828	0.10303	0.0267122	0.0952456	0.0213375	0.0189318	0.0652673	0.0602598	0.0229055	0.0102464	0.0643344	0.0365738	0.0146715	0.0469709	0.0154306	0.02471238	0.1706934	0.124134	0.205112	0.0515069	0.0228919	0.055293	0.0126566	0.0602509	0.063831	0.112206	0.226856	0.00361988	0.00200626	0.00391978	0.0164253	0.0392899	0.3702282	4	11.13731	0.1481254	0.109629	0.432623	0.973826	2.48392	0.102156	0.267223	0.061861	0.463259	0.0256058	0.0798962	0.5409216	0.6844397
14	0	-107.7678	-125.8696	18.10175	6.046003	3.549449	0.0209238	0.0368467	0.0148093	0.013638	0.0316532	0.0154816	0.041531	0.0278275	0.021494	0.0642407	0.278265	0.0206617	0.000746455	0.0450818	0.0336849	0.0339472	0.0299245	0.0262158	0.0051458	0.00289092	0.078825	0.00419184	0.03732075	0.2635391	0.0232637	0.0497703	0.153394	0.042624	0.0894303	0.0144098	0.0890306	0.0156989	0.0603484	0.0794037	0.130991	0.0981235	0.0149374	0.0855411	0.0530338	0.3466596	1	6.882844	0.241867	0.427757	0.75803	1.08415	1.73006	0.0598044	0.210093	0.161385	0.374235	0.0848251	0.109657	0.6101987	0.5681094
15	0	-135.8706	-121.575	-14.29563	3.4673	8.269748	0.00283122	0.0463577	0.0828166	0.0267977	0.0333383	0.06768	0.0691041	0.0332336	0.389391	0.175827	0.659258	0.10899	0.0259582	0.410237	0.115004	0.0129463	0.0299246	0.0216069	0.499388	0.328617	0.0234355	0.101043	0.1031332	0.2045558	0.0100721	0.0290376	0.146708	0.0827665	0.056986	0.0833892	0.0618897	0.0496069	0.0610632	0.223183	0.0411696	0.0396161	0.021247	5.10994e-05	0.0932144	0.4010606	6	3.78146	0.5449743	0.59896	0.855412	1.07603	1.46959	0.0551916	0.126806	0.0357547	0.537564	0.15665	0.0880341	0.6056164	0.6622353
16	0	-122.5144	-122.7747	0.2603401	6.312528	3.025072	0.0627987	0.0102218	0.0407653	0.0173075	0.025713	0.00780502	0.143773	0.00431894	0.0953924	0.00778342	0.160988	0.0195375	0.0840245	0.144266	0.333634	0.17038	0.00235285	0.023284	0.0228047	0.0978061	0.000723423	0.00357097	0.08635954	-0.07845542	0.023026	0.0254854	0.0608213	0.182241	0.0635334	0.00852759	0.0551108	0.117162	0.109135	0.224725	0.0106829	0.0278303	0.0728023	0.00873685	0.01018	0.3678784	4	7.411189	0.1142721	0.391192	0.732907	1.08264	1.79326	0.0549664	0.238331	0.043991	0.49278	0.0378858	0.132046	0.2894229	1.271075
17	0	-123.266	-127.0152	3.749271	4.134267	2.07266	0.0293779	0.000610983	0.0386939	0.0146332	0.00644749	0.0140879	0.0220961	0.17557	0.0382177	0.0313313	0.103113	0.0281267	0.0208325	0.0690106	0.0647346	0.0213971	0.00131087	0.032283	0.414959	0.243331	0.0499779	0.0123954	0.07610705	0.1144871	0.0119277	0.0219314	0.0574469	0.0338027	0.0865329	0.0170847	0.0586339	0.0502765	0.0678538	0.345163	0.0134669	0.0128057	0.00555113	0.0960447	0.121478	0.3332038	3	7.491937	0.3903011	0.301797	0.662524	1.07171	1.96397	0.105429	0.209246	0.0957254	0.460239	0.0739214	0.055439	0.4476909	0.7442721
18	0	-133.6419	-129.1904	-4.451514	3.034914	1.228794	0.0643393	0.0398722	0.0583423	0.0763114	0.0621846	0.0725384	0.0361111	0.060335	0.141431	0.134401	0.697309	0.00603582	0.21818	0.271534	0.145552	0.579634	0.0554002	0.191014	0.00250651	0.194963	0.0312641	0.0976709	0.1349683	0.2177834	0.0141628	0.072214	0.131565	0.0417407	0.0438588	0.00970988	0.257112	0.045695	0.145477	0.147671	0.0229443	0.0179687	0.0192922	0.00409726	0.0264908	0.4052837	4	3.310926	0.421893	0.180232	0.536164	1.02954	2.25406	0.0692137	0.276828	0.0966106	0.364183	0.0986004	0.0945643	0.6230671	0.6504656
19	0	-117.582	-122.7342	5.152209	5.093854	1.505751	0.00332768	0.0726713	0.0404778	0.0212812	0.080114	0.0185618	0.00326688	0.0300645	0.0792108	0.0495573	0.379264	0.0456683	0.0609787	0.174341	0.0750315	0.0192517	0.0266234	0.0256805	0.185682	0.0167429	0.0116682	0.0220737	0.07610103	0.06717625	0.00853356	0.115625	0.088435	0.195355	0.119919	0.0898533	0.0552404	0.00638118	0.0265862	0.0468587	0.0364599	0.04346	0.0541645	0.0184396	0.094688	0.3721461	2	12.03821	0.1825924	0.22621	0.589511	1.05076	2.13352	0.117099	0.226701	0.0527209	0.491778	0.0501389	0.0615627	0.4393223	0.8470912
