Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates[47]	branch_rates[48]	branch_rates[49]	branch_rates[50]	branch_rates[51]	branch_rates[52]	branch_rates[53]	branch_rates[54]	branch_rates[55]	branch_rates[56]	branch_rates[57]	branch_rates[58]	branch_rates[59]	branch_rates[60]	branch_rates[61]	branch_rates[62]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-432.917	-361.5403	-71.37668	8.659798	4.72013	0.100032	0.00793943	0.0183689	0.137632	0.292273	0.0090931	0.0133625	0.144791	0.061732	0.17252	0.0301456	0.207833	0.071512	0.0290423	0.0806576	0.0101123	0.0210469	0.00126096	0.128821	0.00083658	0.00700409	0.0372625	0.0493799	0.00747288	0.185242	0.718438	0.0909597	0.00732138	0.611168	0.0670596	0.0574009	0.040426	0.075406	0.0473974	0.110168	0.00337149	0.158173	0.324457	0.168595	0.00480629	0.00553107	0.0399018	0.0552502	0.459481	0.655103	0.073355	0.0115847	0.0218633	0.451342	0.117259	0.0352649	0.0800361	0.0833557	0.383608	0.044876	0.517466	0.0273772	0.077192	0.381381	0.0217056	0.514889	1.10963	0.1344772	-0.08469928	0.0720253	0.113731	0.114426	0.105807	0.0413488	0.0497366	0.0239116	0.00525537	0.105114	0.021272	0.138706	0.000540588	0.0902329	0.103098	0.0147961	0.6805603	11	10.3514	0.1885844	0.490022	0.79693	1.08375	1.6293	0.143462	0.169338	0.146779	0.103045	0.269217	0.168159	0.595861	1.142146
100	-449.052	-360.8436	-88.20847	10.74713	2.767317	0.0285043	0.115088	0.0264856	0.0285796	0.0853643	0.136679	0.268636	0.0451697	0.545818	0.280084	0.112296	0.0156182	0.104398	0.0375056	0.32009	0.0437712	0.173018	0.00589445	0.287493	0.00558927	0.0061195	0.287745	0.000916453	0.445492	0.00184157	0.698796	0.243276	0.00138039	0.331679	0.109778	0.00477236	0.0346013	0.181628	0.012216	0.028566	0.516036	0.127151	0.0934128	0.520784	0.0886049	0.0973166	0.014872	0.638411	0.0218237	1.09409	0.280196	0.0261157	0.317384	0.564774	0.0235588	0.111556	0.944213	0.102222	0.193547	0.0430112	0.0366133	0.11293	0.00650095	0.0292022	0.123287	0.0489054	0.0354746	0.2282941	0.02316063	0.115434	0.0760349	0.0714063	0.0267485	0.0734695	0.102641	0.0279926	0.00125847	0.0807282	0.0343828	0.163644	0.00352853	0.0859024	0.102684	0.0341447	0.825135	16	11.57131	0.1271771	0.37042	0.717773	1.0811	1.83071	0.170243	0.200914	0.171921	0.0448199	0.25708	0.155021	0.8482957	0.9726975
200	-418.6885	-366.6457	-52.04281	13.56432	4.929153	0.00314545	0.0453071	0.0167169	0.0304077	0.043016	0.176278	0.113816	0.103902	0.139198	0.0766653	0.014467	0.083976	0.0221266	0.063102	0.0034632	0.0374594	0.0719616	0.0450747	0.110907	0.0627128	0.00905019	0.0495163	0.0518988	0.0892567	0.173351	0.0334349	0.0561288	0.120838	0.442848	0.0443235	0.0629312	0.0216881	0.0279926	0.00831472	0.0209864	0.113195	0.271216	0.00852069	0.670616	0.0103246	0.0344855	0.0115191	0.00448395	0.0199877	0.170429	0.0429248	0.231964	0.113501	0.264061	0.036529	0.0248824	0.150434	0.0685752	0.0113838	0.441003	0.142744	0.105468	0.0937074	0.263703	0.0296883	0.0758858	0.141071	0.08226259	-0.007943618	0.14225	0.0313536	0.0700303	0.112415	0.142808	0.0540602	0.165121	0.00809372	0.0956694	0.00781815	0.0610347	0.0108551	0.0674364	0.00549644	0.0255579	0.5918254	12	14.33587	0.1258329	0.499108	0.802243	1.08342	1.61523	0.140363	0.111747	0.271526	0.0922942	0.272153	0.111916	0.5838818	1.013605
300	-437.1366	-358.9802	-78.1564	14.41554	4.228815	0.165029	0.162298	0.0611927	0.0241427	0.0121349	0.171408	0.0393889	0.0068747	0.121599	0.584035	0.0640817	0.0297005	0.000795805	0.0172163	0.0496861	0.0185759	0.00580158	0.0101119	0.0746239	0.0291315	0.052019	0.00559727	0.0401173	0.216097	0.193203	0.280636	0.0224284	0.0742377	0.587527	0.0381948	0.00218515	0.0202991	0.0616735	0.0817685	0.012336	0.112684	0.99155	0.0160203	0.0551642	0.0232856	0.000271505	0.0207062	0.20507	0.0176357	0.495418	0.1599	0.0325825	0.189388	0.645105	0.000943342	0.0981574	0.269545	0.613651	0.00889209	0.151784	0.0323334	0.601946	0.0785061	0.00850757	0.0182343	0.0920515	0.0758343	0.1455842	0.3008768	0.0766374	0.154785	0.0612895	0.00352674	0.162226	0.0504268	0.0198835	0.000990209	0.0461168	0.1117	0.12611	0.0246398	0.0447781	0.10347	0.0134207	0.6661841	13	14.68905	0.1650238	0.466507	0.782768	1.0843	1.66642	0.124333	0.125812	0.228909	0.0985349	0.267094	0.155317	0.9670609	0.688875
400	-427.5175	-362.5393	-64.97812	13.17514	6.480284	0.00143569	0.00396396	0.00245618	0.340271	0.238487	0.145842	0.108022	0.0696188	0.0616401	0.0726537	0.132223	0.0236571	0.0186936	0.0794406	0.107279	0.079127	0.00486437	0.00644987	0.060092	0.0181617	0.00239117	0.006227	0.0522276	0.0111807	0.020906	0.451568	0.00454754	0.208555	0.296854	0.0143468	0.00194098	0.000217188	0.0272924	0.0904217	0.0711734	0.0882339	0.069866	0.2733	0.0150454	0.21958	0.287747	0.0244272	0.0588835	0.159295	0.257469	0.0240489	0.0129214	0.224913	0.224801	0.049651	0.0790385	0.00232931	0.0432309	0.0673893	0.223801	0.0214972	0.393595	0.0967014	0.14427	0.0530519	0.0438774	0.573338	0.1082236	-0.01457517	0.0472978	0.129102	0.126022	0.0565385	0.075957	0.0310815	0.0344866	0.0241082	0.105284	0.0504624	0.139151	0.0212973	0.0544855	0.0640139	0.0407128	0.5604868	13	15.06203	0.1457756	0.553944	0.83256	1.08016	1.53333	0.172463	0.113629	0.211026	0.104201	0.247913	0.150768	0.5459117	1.026699
500	-435.6533	-356.7144	-78.93885	9.35896	8.649218	0.0986852	0.0260819	0.0324834	0.185489	0.034975	0.00949803	0.0508613	0.00532798	0.525683	0.0275352	0.030132	0.115371	0.533822	0.292609	0.145764	0.171062	0.0384434	0.0149705	0.0423005	0.0428781	0.0270752	0.12088	0.0576885	0.0664615	0.0187457	0.884879	0.0135156	0.0270533	0.242639	0.03825	0.00182922	0.0226239	0.0332646	0.0768492	0.00474372	0.149985	0.110983	0.693199	0.00232432	0.0772551	0.665474	0.00845424	0.0965113	0.147185	0.547694	0.0343315	0.0866204	0.0528381	0.508635	0.00591954	0.0894919	0.0726168	0.234456	0.0138961	0.395753	0.0259909	0.826514	0.000506592	0.638356	0.0335873	0.01594	0.422722	0.1970115	0.06967205	0.0356454	0.0471486	0.105744	0.0412616	0.0322022	0.0486748	0.0669989	0.00482467	0.0316842	0.105013	0.102963	0.0107325	0.128976	0.218489	0.0196411	0.7243131	14	9.475013	0.2804285	0.60684	0.859239	1.07519	1.45873	0.194642	0.123762	0.190268	0.0895272	0.295637	0.106164	0.7939851	0.9122502
600	-429.7868	-368.1396	-61.64715	12.10239	2.831711	0.000500401	0.104267	0.00844752	0.00110069	0.107041	0.0278304	0.00337767	0.0581853	0.0513576	0.0632326	0.104952	0.333981	0.0141392	0.014105	0.37814	0.0380679	0.0369671	0.0672604	0.0200227	0.047515	0.0683788	0.0338572	0.0560676	0.0454036	0.00413718	0.35414	0.022561	0.0974907	0.212526	0.0205741	0.000378653	0.0112933	0.0681381	0.00257063	0.201787	0.460645	0.0784211	0.218433	0.0231881	0.138452	0.0147789	0.0196417	0.00583177	0.116016	0.0824131	0.0750692	0.000942314	0.0742136	0.412965	0.159649	0.0766348	0.173516	0.0208103	0.162561	0.0404565	0.0393069	0.164171	0.0769133	0.149313	0.323929	0.0163865	0.0769924	0.1035034	0.04209251	0.0738079	0.0784652	0.0417941	0.0434472	0.179646	0.074154	0.005838	0.000727725	0.0554166	0.0476343	0.0301792	0.00232417	0.0732983	0.24888	0.0443878	0.8949499	12	12.86214	0.182081	0.375809	0.721763	1.08155	1.82088	0.118508	0.100745	0.30674	0.0899809	0.30784	0.0761867	0.9370424	0.9550794
700	-419.1863	-361.8845	-57.30176	12.85678	3.850073	0.018055	0.197498	0.0118113	0.119659	0.0612278	0.0926544	0.00752834	0.00383999	0.377609	0.244514	0.00862343	0.031721	0.198507	0.118204	0.0871136	0.00800233	0.0366245	0.0555917	0.0241942	0.00336773	0.0336547	0.0387061	0.04849	0.00825246	0.0502182	0.315627	0.0142937	0.0920058	0.280672	0.213664	0.0299532	0.0223937	0.00660532	0.00575846	0.0524597	0.00790951	0.225032	0.118094	0.0973531	0.167661	0.267205	0.0696464	0.033649	0.0542446	0.504511	0.330854	0.0186216	0.00535836	0.371043	0.073665	0.0272787	0.0141683	0.125396	0.129527	0.305343	0.0272751	0.438664	0.0106041	0.457049	0.0330337	0.0578793	0.0329539	0.125418	-0.07053113	0.0816611	0.106156	0.0494778	0.0506075	0.12771	0.0470065	0.0873182	0.00293002	0.0863673	0.0412834	0.0753891	0.0337129	0.08767	0.0585346	0.0641758	0.7547327	16	15.27467	0.1464815	0.445932	0.76986	1.08439	1.69982	0.161966	0.175934	0.200702	0.0639075	0.280328	0.117162	0.6842016	1.103085
800	-436.3522	-365.2325	-71.11968	8.717362	3.547109	0.0773157	0.120256	0.0129319	0.188276	0.0310278	0.470546	0.10416	0.164497	0.243273	0.0108195	0.293338	0.0953437	0.156693	0.378088	0.0431982	0.0627458	0.356586	0.0175652	0.0197643	0.000241972	0.0781861	0.14514	0.00578341	0.0310392	0.0469481	0.352981	0.202452	0.0181382	0.83314	0.218481	0.0696468	0.026616	0.212101	0.0867412	0.0626178	0.0540589	0.199006	0.107121	0.00299409	0.0483243	0.00891003	0.0260509	0.224596	0.486798	0.609114	0.0590452	0.00252291	0.0241724	0.664291	0.806452	0.0881659	0.282218	0.312539	0.0992506	0.0327164	0.0100509	0.217562	0.0059232	0.0569064	0.397078	0.10871	0.0651413	0.1921517	-0.02648662	0.0183544	0.138118	0.130801	0.0674955	0.0434304	0.0759027	0.0103966	0.0153676	0.0724657	0.0870258	0.155031	0.0477083	0.0111796	0.0918265	0.0348975	0.8427991	18	9.909312	0.2033987	0.427609	0.757931	1.08415	1.73031	0.148516	0.191232	0.194238	0.077548	0.214783	0.173683	0.8163124	1.032447
900	-454.6165	-363.1992	-91.41726	7.506016	5.855493	0.0716739	0.256927	0.00987636	0.496301	0.271987	0.218071	0.134526	0.305577	0.121509	0.0672086	0.0351836	0.567148	0.129792	0.22627	0.347679	0.0212486	0.0905295	0.00365723	0.103887	0.1581	0.0268756	0.470249	0.0103017	0.0690831	0.0186258	0.648528	0.0580489	0.0572458	0.469872	0.235183	0.0303067	0.0319808	0.684861	0.160539	0.0165041	0.0204482	0.170057	0.417727	0.0368631	0.0593785	0.026427	0.104215	0.152648	1.07126	0.318766	0.0308624	0.0185349	0.0742583	0.726731	1.23902	0.0759439	0.704859	0.232401	0.0482542	0.0133445	0.00532062	0.210414	0.304676	0.479559	0.577428	0.0460447	0.100651	0.2494475	-0.04381034	0.0368938	0.099354	0.157677	0.0872458	0.105374	0.0351583	0.00279472	0.000680702	0.124654	0.0891608	0.129292	0.012272	0.0166461	0.0936163	0.00918137	0.768397	11	12.02052	0.1875015	0.534147	0.821946	1.08158	1.56233	0.202863	0.0973018	0.235384	0.0691014	0.249578	0.145772	0.7245867	1.060463
