Number Invariant Sites,Number Invariant Sites Excluding Ambiguous,Max Invariant Block Length,Max Invariant Block Length Excluding Ambiguous,Max Pairwise Difference,Max Pairwise Difference Excluding Ambiguous,Max Variable Block Length,Max Variable Block Length Excluding Ambiguous,Min Pairwise Difference,Min Pairwise Difference Excluding Ambiguous,Number Invariable Block,Number Invariable Block Excluding Ambiguous,Segregating-Sites,Theta,Tajima-D,Tajima-Pi
3,22,1,5,9,33,18,5,0,3,3,12,41,0.3085616,-3.444733,0.07541322
7,16,1,4,13,28,13,7,0,3,7,12,37,0.278458,-2.480045,0.1263774
2,16,1,2,13,32,21,6,0,2,2,11,42,0.3160875,-3.146221,0.0981405
5,21,1,3,8,28,25,3,0,3,5,14,39,0.2935098,-3.407917,0.07369146
1,16,1,3,11,33,38,8,0,3,1,10,43,0.3236134,-2.861107,0.1208678
6,17,1,6,12,29,11,11,1,5,6,9,38,0.2859839,-2.498665,0.1287879
8,20,2,4,10,27,16,6,0,1,7,11,36,0.2709321,-2.863989,0.09986226
5,20,1,4,9,31,13,5,0,3,5,12,39,0.2935098,-3.295806,0.08092287
5,17,1,3,13,30,16,9,0,2,5,11,39,0.2935098,-2.564416,0.1280992
3,18,1,5,10,31,30,6,0,3,3,9,41,0.3085616,-3.037713,0.1029614
5,18,1,3,11,31,16,10,0,3,5,11,39,0.2935098,-2.85804,0.1091598
1,14,1,4,12,32,43,11,0,0,1,9,43,0.3236134,-2.807653,0.1246556
2,15,1,5,14,35,22,12,0,7,2,8,42,0.3160875,-2.728659,0.1270661
4,20,2,5,9,29,20,6,0,3,3,11,40,0.3010357,-3.398111,0.07644628
0,16,0,3,11,30,44,8,0,1,0,12,44,0.3311393,-3.429754,0.08264463
3,22,2,4,8,35,34,5,0,2,2,10,41,0.3085616,-3.195433,0.0922865
6,16,2,5,14,31,15,12,0,1,5,8,38,0.2859839,-2.246881,0.1446281
4,23,1,4,9,32,17,5,0,4,4,11,40,0.3010357,-3.299118,0.08298898
4,20,1,5,9,29,17,12,0,3,4,8,40,0.3010357,-3.517945,0.06852617
4,16,2,3,11,29,16,8,0,1,3,10,40,0.3010357,-2.918775,0.1081267
5,22,1,7,11,30,16,7,0,3,5,9,39,0.2935098,-3.381224,0.07541322
7,18,2,6,12,30,15,6,0,2,6,9,37,0.278458,-2.895593,0.1008953
4,25,1,7,9,31,21,5,0,2,4,8,40,0.3010357,-3.36164,0.07885675
4,17,1,5,11,32,13,5,0,1,4,10,40,0.3010357,-2.830203,0.1139807
