Number Invariant Sites,Number Invariant Sites Excluding Ambiguous,Max Invariant Block Length,Max Invariant Block Length Excluding Ambiguous,Max Pairwise Difference,Max Pairwise Difference Excluding Ambiguous,Max Variable Block Length,Max Variable Block Length Excluding Ambiguous,Min Pairwise Difference,Min Pairwise Difference Excluding Ambiguous,Number Invariable Block,Number Invariable Block Excluding Ambiguous,Segregating-Sites,Theta,Tajima-D,Tajima-Pi
6,10,2,3,11,14,10,4,0,0,5,7,18,0.2483545,-0.9129101,0.1963384
6,13,2,3,8,13,6,4,0,1,5,8,18,0.2483545,-1.245307,0.177399
5,13,3,4,8,14,12,3,0,0,3,7,19,0.2621519,-1.34111,0.1818182
6,12,2,3,8,15,5,4,0,0,5,6,18,0.2483545,-1.666342,0.1534091
8,14,3,6,7,12,7,3,0,0,5,6,16,0.2207595,-0.9715209,0.1710859
2,6,1,3,10,15,16,13,0,0,2,4,22,0.3035443,-0.3017022,0.2828283
3,8,1,3,11,16,6,6,0,0,3,5,21,0.2897469,-0.3549048,0.2664141
3,9,1,3,10,14,9,7,0,0,3,4,21,0.2897469,-1.13272,0.2152778
7,13,2,3,8,11,4,4,0,0,5,5,17,0.234557,-1.851594,0.1344697
8,15,3,4,5,9,7,2,0,0,5,6,16,0.2207595,-2.280331,0.1041667
9,14,3,4,6,13,4,3,0,0,4,7,15,0.206962,-1.778915,0.1212121
7,11,2,3,9,14,5,5,0,1,5,6,17,0.234557,-0.1464365,0.2266414
7,13,2,5,7,14,10,8,0,0,5,5,17,0.234557,-1.664728,0.1445707
7,13,3,5,8,12,6,5,0,0,4,5,17,0.234557,-0.8355071,0.1893939
10,16,3,4,6,11,5,2,0,0,7,7,14,0.1931646,-1.700765,0.1161616
7,13,2,4,7,13,4,3,0,0,5,7,17,0.234557,-1.372749,0.1603535
6,11,2,3,10,14,5,5,0,0,5,6,18,0.2483545,-0.7910314,0.2032828
9,16,2,5,6,12,3,2,0,0,6,6,15,0.206962,-1.831302,0.1186869
2,6,1,2,12,17,15,6,0,0,2,4,22,0.3035443,0.3051183,0.3244949
3,5,1,2,14,19,7,6,0,0,3,4,21,0.2897469,0.230857,0.3049242
5,11,2,3,8,14,5,4,0,0,4,6,19,0.2621519,-0.856303,0.2108586
9,18,2,6,3,11,4,2,0,0,6,6,15,0.206962,-2.892146,0.06755051
2,9,1,2,10,13,12,3,0,1,2,7,22,0.3035443,-1.506149,0.2001263
