Number Invariant Sites,Number Invariant Sites Excluding Ambiguous,Max Invariant Block Length,Max Invariant Block Length Excluding Ambiguous,Max Pairwise Difference,Max Pairwise Difference Excluding Ambiguous,Max Variable Block Length,Max Variable Block Length Excluding Ambiguous,Min Pairwise Difference,Min Pairwise Difference Excluding Ambiguous,Number Invariable Block,Number Invariable Block Excluding Ambiguous,Segregating-Sites,Theta,Tajima-D,Tajima-Pi
0,8,0,3,16,30,39,13,0,3,0,5,39,0.3679369,-2.700841,0.1716524
3,8,1,5,15,32,18,18,0,3,3,3,36,0.3396341,-2.688075,0.1588319
2,10,1,3,19,34,32,25,0,6,2,6,37,0.3490684,-2.249106,0.1937322
1,7,1,4,17,33,30,18,1,12,1,4,38,0.3585026,-2.304849,0.1951567
2,10,1,5,17,34,22,22,0,5,2,4,37,0.3490684,-2.527548,0.1745014
0,6,0,1,16,36,39,17,1,4,0,6,39,0.3679369,-2.161816,0.2108262
2,6,2,3,17,33,30,30,0,9,1,3,37,0.3490684,-1.95004,0.2143875
2,12,1,3,14,33,35,8,0,5,2,9,37,0.3490684,-2.785364,0.1566952
3,7,1,3,18,31,24,24,1,9,3,5,36,0.3396341,-2.243321,0.1887464
1,5,1,1,17,35,38,27,1,11,1,5,38,0.3585026,-1.902848,0.2236467
1,16,1,3,10,36,31,8,0,3,1,11,38,0.3585026,-3.269651,0.1267806
1,7,1,2,16,34,31,24,0,10,1,5,38,0.3585026,-2.284749,0.1965812
2,8,1,3,17,33,36,21,0,12,2,6,37,0.3490684,-2.073791,0.2058405
2,9,1,3,17,32,31,26,1,9,2,5,37,0.3490684,-2.197543,0.1972934
3,9,1,6,17,31,34,26,1,6,3,3,36,0.3396341,-1.893871,0.2122507
0,6,0,2,17,36,39,21,1,9,0,5,39,0.3679369,-2.289222,0.201567
2,10,2,4,14,31,22,12,0,4,1,6,37,0.3490684,-2.970992,0.1438746
1,11,1,4,15,34,33,8,1,5,1,8,38,0.3585026,-2.345049,0.1923077
2,8,1,2,16,32,30,22,1,12,2,6,37,0.3490684,-2.135667,0.201567
2,5,1,2,15,29,34,16,0,11,2,4,37,0.3490684,-2.104729,0.2037037
2,9,1,3,13,35,28,9,1,9,2,6,37,0.3490684,-2.548173,0.1730769
1,8,1,3,17,34,37,23,0,11,1,6,38,0.3585026,-2.093799,0.210114
0,4,0,1,18,32,39,27,1,5,0,4,39,0.3679369,-2.191217,0.2086895
2,7,1,2,16,31,23,22,1,6,2,6,37,0.3490684,-2.383171,0.1844729
1,5,1,2,17,33,34,16,1,10,1,4,38,0.3585026,-2.44555,0.1851852
2,12,1,3,15,33,30,13,0,11,2,8,37,0.3490684,-2.486297,0.1773504
3,11,1,4,13,31,22,18,0,6,3,6,36,0.3396341,-2.380983,0.1794872
0,7,0,2,16,34,39,19,0,3,0,6,39,0.3679369,-2.495031,0.1866097
3,10,2,3,14,30,29,14,0,7,2,7,36,0.3396341,-2.285678,0.1858974
5,9,1,3,18,31,21,21,1,3,5,6,34,0.3207655,-1.962213,0.1958689
2,8,1,2,14,32,35,12,0,4,2,6,37,0.3490684,-2.455359,0.1794872
1,7,1,3,19,33,31,25,0,9,1,4,38,0.3585026,-1.993299,0.2172365
6,11,2,3,17,26,22,18,0,2,5,7,33,0.3113312,-2.06272,0.1837607
2,9,1,4,14,34,26,23,0,7,2,4,37,0.3490684,-2.372858,0.1851852
4,9,2,3,16,29,29,19,1,5,2,6,35,0.3301998,-2.324269,0.1780627
2,8,1,3,17,31,27,21,1,5,2,5,37,0.3490684,-2.383171,0.1844729
2,6,1,1,16,31,24,17,1,5,2,6,37,0.3490684,-2.125355,0.2022792
1,8,1,3,14,34,36,18,1,11,1,5,38,0.3585026,-2.274699,0.1972934
3,10,1,4,16,32,21,21,0,6,3,5,36,0.3396341,-2.317447,0.1837607
0,7,0,2,14,32,39,21,1,10,0,6,39,0.3679369,-2.357825,0.1965812
3,6,1,2,17,31,29,24,1,7,3,5,36,0.3396341,-2.09507,0.1987179
0,6,0,2,16,33,39,24,1,6,0,5,39,0.3679369,-2.24022,0.2051282
3,6,1,1,16,31,14,14,1,6,3,6,36,0.3396341,-2.486877,0.1723647
3,8,1,2,16,30,25,22,1,6,3,5,36,0.3396341,-2.465698,0.1737892
1,10,1,3,14,35,38,11,1,6,1,8,38,0.3585026,-2.6767,0.1688034
0,6,0,2,16,35,39,12,0,11,0,5,39,0.3679369,-2.357825,0.1965812
0,11,0,2,16,34,39,11,1,6,0,9,39,0.3679369,-2.622437,0.1773504
0,5,0,2,15,32,39,25,0,8,0,4,39,0.3679369,-2.259821,0.2037037
0,8,0,2,14,36,39,7,0,4,0,7,39,0.3679369,-2.661639,0.1745014
2,8,1,2,15,34,34,18,0,11,2,7,37,0.3490684,-2.486297,0.1773504
1,4,1,2,15,35,38,29,1,9,1,3,38,0.3585026,-2.133999,0.207265
1,8,1,2,18,31,26,19,1,12,1,6,38,0.3585026,-2.144049,0.2065527
1,9,1,5,16,34,31,21,1,6,1,4,38,0.3585026,-2.415399,0.1873219
3,9,1,3,14,35,22,12,0,6,3,6,36,0.3396341,-2.455108,0.1745014
0,4,0,2,16,35,39,17,1,7,0,3,39,0.3679369,-2.279421,0.2022792
2,8,1,3,13,31,29,17,1,7,2,5,37,0.3490684,-2.465672,0.1787749
2,4,1,1,16,33,28,28,1,10,2,4,37,0.3490684,-2.156293,0.2001425
1,7,1,2,15,27,34,25,1,3,1,5,38,0.3585026,-2.375199,0.1901709
1,4,1,2,16,34,32,30,1,4,1,3,38,0.3585026,-2.334999,0.1930199
1,7,1,2,16,35,35,23,0,10,1,4,38,0.3585026,-2.294799,0.1958689
1,7,1,2,17,34,38,18,1,11,1,6,38,0.3585026,-2.214399,0.201567
0,2,0,1,17,35,39,31,0,9,0,2,39,0.3679369,-2.103013,0.2150997
1,9,1,7,17,32,23,23,0,10,1,3,38,0.3585026,-2.204349,0.2022792
0,3,0,1,18,31,39,31,1,8,0,3,39,0.3679369,-2.171617,0.210114
1,5,1,1,14,31,33,28,0,8,1,5,38,0.3585026,-2.54605,0.1780627
5,9,1,4,15,30,24,23,1,9,5,5,34,0.3207655,-2.130062,0.1851852
1,11,1,4,14,34,33,13,0,6,1,8,38,0.3585026,-2.82745,0.1581197
1,6,1,4,17,35,25,25,0,11,1,3,38,0.3585026,-2.063649,0.2122507
4,7,1,2,16,30,23,19,0,10,4,6,35,0.3301998,-2.041353,0.1965812
0,4,0,1,17,34,39,23,1,8,0,4,39,0.3679369,-2.161816,0.2108262
1,6,1,2,16,35,32,27,1,10,1,5,38,0.3585026,-2.043549,0.2136752
2,11,1,3,17,31,22,11,0,2,2,6,37,0.3490684,-2.558486,0.1723647
1,10,1,2,13,34,34,9,0,5,1,8,38,0.3585026,-2.6968,0.1673789
1,6,1,2,20,34,38,21,1,11,1,4,38,0.3585026,-2.164149,0.2051282
0,9,0,8,17,33,39,29,1,6,0,2,39,0.3679369,-2.191217,0.2086895
3,12,1,3,11,35,18,17,0,5,3,7,36,0.3396341,-2.984578,0.1388889
2,6,1,4,16,31,32,32,0,9,2,2,37,0.3490684,-2.310982,0.1894587
4,7,1,3,16,30,25,25,0,9,4,4,35,0.3301998,-2.030472,0.1972934
0,8,0,4,19,33,39,27,0,8,0,5,39,0.3679369,-2.171617,0.210114
3,6,2,2,18,27,32,30,0,12,2,5,36,0.3396341,-1.787977,0.2193732
2,12,1,3,13,32,30,12,1,6,2,7,37,0.3490684,-2.970992,0.1438746
3,8,1,4,17,30,30,18,1,7,3,4,36,0.3396341,-2.359804,0.1809117
1,7,1,2,13,32,38,17,0,7,1,5,38,0.3585026,-2.52595,0.1794872
2,9,1,3,16,30,25,21,0,10,2,6,37,0.3490684,-2.249106,0.1937322
1,8,1,3,15,30,30,12,1,8,1,5,38,0.3585026,-2.4958,0.1816239
1,6,1,2,14,30,37,17,1,7,1,5,38,0.3585026,-2.737,0.1645299
0,5,0,2,16,31,39,18,1,12,0,3,39,0.3679369,-2.132415,0.212963
5,13,1,6,16,28,20,14,0,6,5,7,34,0.3207655,-2.476951,0.1631054
2,9,1,3,16,32,18,10,0,9,2,6,37,0.3490684,-2.682238,0.1638177
0,6,0,2,14,32,39,19,1,6,0,5,39,0.3679369,-2.68124,0.1730769
0,6,0,4,17,33,39,31,0,6,0,3,39,0.3679369,-2.318623,0.1994302
2,9,1,3,14,34,31,25,0,10,2,5,37,0.3490684,-2.383171,0.1844729
1,5,1,1,16,36,31,24,0,7,1,5,38,0.3585026,-2.304849,0.1951567
2,9,1,3,18,34,33,23,0,10,2,6,37,0.3490684,-2.073791,0.2058405
5,10,1,5,16,31,27,21,0,5,5,6,34,0.3207655,-2.163632,0.1830484
0,5,0,2,15,35,39,29,1,12,0,4,39,0.3679369,-2.152016,0.2115385
1,5,1,2,15,31,30,23,1,4,1,4,38,0.3585026,-2.304849,0.1951567
3,7,1,2,16,32,32,24,0,1,3,6,36,0.3396341,-2.59277,0.1652422
0,6,0,3,14,35,39,27,1,10,0,3,39,0.3679369,-2.416628,0.1923077
0,11,0,7,14,35,39,17,0,7,0,4,39,0.3679369,-2.769444,0.1666667
1,6,1,1,17,34,36,19,1,7,1,6,38,0.3585026,-2.294799,0.1958689
1,10,1,6,18,35,38,16,0,8,1,5,38,0.3585026,-2.244549,0.1994302
2,10,1,5,16,29,29,21,1,7,2,4,37,0.3490684,-2.166605,0.1994302
1,9,1,2,13,36,38,11,0,8,1,8,38,0.3585026,-2.70685,0.1666667
0,4,0,1,16,33,39,24,1,5,0,4,39,0.3679369,-2.338224,0.1980057
2,8,1,4,15,27,22,20,0,4,2,5,37,0.3490684,-2.259419,0.1930199
3,6,1,3,15,33,30,30,1,5,3,3,36,0.3396341,-1.883282,0.212963
1,7,1,2,16,31,34,24,0,9,1,6,38,0.3585026,-2.234499,0.2001425
1,6,1,2,16,33,35,26,1,8,1,4,38,0.3585026,-2.144049,0.2065527
4,5,2,2,17,28,30,28,0,4,3,4,35,0.3301998,-2.09576,0.1930199
4,7,1,2,15,32,13,13,1,5,4,6,35,0.3301998,-2.150167,0.1894587
1,4,1,1,16,34,35,17,0,10,1,4,38,0.3585026,-2.194299,0.2029915
2,4,1,2,16,30,25,25,1,12,2,3,37,0.3490684,-2.104729,0.2037037
0,6,0,3,15,34,39,27,1,10,0,4,39,0.3679369,-2.299022,0.2008547
1,9,1,3,16,34,36,20,0,8,1,7,38,0.3585026,-2.334999,0.1930199
4,8,1,2,13,30,21,17,0,2,4,6,35,0.3301998,-2.694236,0.1538462
0,9,0,6,16,36,39,20,1,7,0,4,39,0.3679369,-2.436229,0.1908832
6,11,1,4,15,26,21,20,0,9,6,5,33,0.3113312,-2.154852,0.1780627
1,9,1,2,15,32,27,17,0,8,1,7,38,0.3585026,-2.56615,0.1766382
4,7,2,2,15,34,31,20,0,6,3,6,35,0.3301998,-2.346032,0.1766382
0,6,0,2,17,37,39,20,1,9,0,5,39,0.3679369,-2.220619,0.2065527
2,11,1,2,13,34,32,17,1,2,2,8,37,0.3490684,-2.785364,0.1566952
1,9,1,3,18,32,33,16,1,8,1,6,38,0.3585026,-2.355099,0.1915954
2,6,1,3,16,31,31,24,1,5,2,3,37,0.3490684,-2.238794,0.1944444
0,7,0,3,18,33,39,22,1,8,0,3,39,0.3679369,-2.230419,0.2058405
3,9,1,5,15,32,26,25,1,10,3,4,36,0.3396341,-2.402162,0.1780627
1,6,1,2,16,34,38,22,0,12,1,5,38,0.3585026,-2.345049,0.1923077
1,14,1,3,11,32,35,6,0,5,1,10,38,0.3585026,-3.118901,0.1374644
2,9,1,3,18,33,28,26,1,11,2,4,37,0.3490684,-2.022228,0.2094017
1,7,1,2,17,34,36,15,0,5,1,5,38,0.3585026,-2.415399,0.1873219
0,4,0,1,17,34,39,17,1,2,0,4,39,0.3679369,-2.191217,0.2086895
1,8,1,3,15,32,32,15,1,2,1,6,38,0.3585026,-2.5561,0.1773504
0,6,0,2,16,35,39,25,0,6,0,5,39,0.3679369,-2.495031,0.1866097
1,9,1,2,16,32,38,20,0,2,1,7,38,0.3585026,-2.6365,0.1716524
5,13,2,4,11,31,17,9,0,2,4,10,34,0.3207655,-2.857409,0.1388889
3,5,1,2,15,33,24,24,0,12,3,4,36,0.3396341,-2.116248,0.1972934
1,6,1,4,17,34,30,27,1,9,1,3,38,0.3585026,-2.314899,0.1944444
1,7,1,2,14,30,27,14,0,0,1,6,38,0.3585026,-2.50585,0.1809117
2,11,1,3,15,36,24,11,1,11,2,7,37,0.3490684,-2.455359,0.1794872
4,10,2,2,13,31,33,9,0,7,3,9,35,0.3301998,-2.335151,0.1773504
0,9,0,3,16,35,39,14,0,5,0,7,39,0.3679369,-2.602836,0.1787749
0,6,0,1,17,33,39,20,0,4,0,6,39,0.3679369,-2.289222,0.201567
1,4,1,1,14,33,29,29,1,5,1,4,38,0.3585026,-2.304849,0.1951567
1,11,1,5,15,35,36,10,1,9,1,6,38,0.3585026,-2.314899,0.1944444
1,11,1,2,14,32,31,11,1,7,1,9,38,0.3585026,-2.6968,0.1673789
2,8,2,2,16,33,25,25,1,7,1,5,37,0.3490684,-2.290357,0.1908832
3,6,2,2,17,32,26,21,0,5,2,5,36,0.3396341,-2.380983,0.1794872
1,5,1,2,16,30,30,26,1,5,1,4,38,0.3585026,-2.284749,0.1965812
0,9,0,4,16,34,39,22,0,9,0,5,39,0.3679369,-2.25002,0.204416
1,4,1,2,13,33,38,30,0,5,1,3,38,0.3585026,-2.50585,0.1809117
1,7,1,2,17,35,36,21,1,4,1,5,38,0.3585026,-1.993299,0.2172365
2,7,1,4,13,34,24,19,1,5,2,4,37,0.3490684,-2.393484,0.1837607
2,5,1,1,17,28,28,27,0,5,2,5,37,0.3490684,-2.187231,0.1980057
1,7,1,1,15,34,29,19,0,4,1,7,38,0.3585026,-2.5159,0.1801994
1,3,1,1,19,33,38,31,1,8,1,3,38,0.3585026,-2.083749,0.2108262
1,5,1,2,18,32,32,29,1,6,1,3,38,0.3585026,-1.932998,0.22151
0,7,0,3,17,33,39,25,0,5,0,4,39,0.3679369,-2.593036,0.1794872
0,4,0,2,16,33,39,21,1,7,0,3,39,0.3679369,-2.171617,0.210114
1,6,1,3,16,35,38,25,0,9,1,4,38,0.3585026,-2.355099,0.1915954
3,13,1,5,12,30,28,8,0,8,3,8,36,0.3396341,-2.94222,0.1417379
5,11,1,2,13,26,17,12,1,9,5,8,34,0.3207655,-2.409811,0.1673789
0,6,0,2,17,33,39,26,1,9,0,4,39,0.3679369,-2.308823,0.2001425
3,8,1,2,16,32,28,20,0,4,3,6,36,0.3396341,-2.328036,0.1830484
2,6,1,1,17,28,28,22,0,6,2,6,37,0.3490684,-2.197543,0.1972934
2,10,1,4,14,35,34,23,0,8,2,5,37,0.3490684,-2.403796,0.1830484
3,5,2,2,19,28,31,31,1,6,2,4,36,0.3396341,-2.031533,0.2029915
2,6,1,2,16,29,31,25,1,6,2,5,37,0.3490684,-2.434734,0.1809117
0,4,0,2,15,32,39,28,0,13,0,3,39,0.3679369,-2.191217,0.2086895
2,5,1,2,16,32,35,23,0,8,2,4,37,0.3490684,-2.135667,0.201567
0,10,0,7,16,34,39,14,0,7,0,4,39,0.3679369,-2.730242,0.1695157
2,8,1,2,17,34,23,22,1,9,2,6,37,0.3490684,-2.176918,0.1987179
2,7,1,3,15,33,31,22,1,11,2,5,37,0.3490684,-2.022228,0.2094017
1,7,1,6,19,36,36,28,1,7,1,2,38,0.3585026,-2.144049,0.2065527
1,5,1,2,16,30,23,23,1,9,1,4,38,0.3585026,-2.345049,0.1923077
5,9,2,3,15,32,24,11,1,4,4,6,34,0.3207655,-2.253152,0.1773504
2,5,1,3,17,30,34,30,0,11,2,3,37,0.3490684,-2.207856,0.1965812
0,9,0,3,16,34,39,19,0,6,0,7,39,0.3679369,-2.838047,0.1616809
3,10,1,3,16,31,26,23,0,10,3,7,36,0.3396341,-2.306857,0.1844729
2,10,1,4,16,32,29,21,0,7,2,5,37,0.3490684,-2.34192,0.1873219
1,5,1,1,16,30,36,24,0,2,1,5,38,0.3585026,-2.405349,0.1880342
1,8,1,3,15,36,32,13,0,13,1,5,38,0.3585026,-2.385249,0.1894587
2,6,1,2,16,32,37,30,0,6,2,4,37,0.3490684,-2.228481,0.1951567
3,7,2,4,17,30,34,31,1,5,2,3,36,0.3396341,-1.925639,0.210114
1,4,1,2,16,33,36,26,1,2,1,3,38,0.3585026,-2.44555,0.1851852
1,3,1,1,16,36,38,27,1,10,1,3,38,0.3585026,-2.204349,0.2022792
2,9,1,3,14,33,33,19,1,8,2,5,37,0.3490684,-2.630675,0.1673789
1,4,1,1,16,28,32,26,1,6,1,4,38,0.3585026,-2.44555,0.1851852
1,4,1,1,17,31,38,31,1,12,1,4,38,0.3585026,-1.993299,0.2172365
2,8,1,4,13,31,34,19,1,9,2,4,37,0.3490684,-2.579111,0.1709402
0,8,0,4,13,36,39,17,0,7,0,5,39,0.3679369,-2.68124,0.1730769
1,11,1,6,16,36,34,24,1,8,1,4,38,0.3585026,-2.345049,0.1923077
1,6,1,3,16,33,38,27,0,11,1,3,38,0.3585026,-2.063649,0.2122507
6,11,2,4,14,32,23,23,0,7,4,5,33,0.3113312,-2.154852,0.1780627
1,9,1,3,16,36,25,16,1,4,1,6,38,0.3585026,-2.6566,0.1702279
3,9,2,6,16,33,26,23,1,12,2,3,36,0.3396341,-2.105659,0.1980057
0,6,0,3,18,33,39,29,1,5,0,3,39,0.3679369,-2.201018,0.2079772
1,3,1,1,15,35,30,30,0,9,1,3,38,0.3585026,-2.244549,0.1994302
2,6,1,2,15,29,22,21,1,2,2,5,37,0.3490684,-2.135667,0.201567
1,9,1,2,17,32,33,21,1,7,1,7,38,0.3585026,-2.6566,0.1702279
0,6,0,3,17,32,39,25,1,6,0,4,39,0.3679369,-2.416628,0.1923077
0,6,0,3,14,33,39,25,1,11,0,4,39,0.3679369,-2.161816,0.2108262
0,7,0,2,14,37,39,24,1,5,0,5,39,0.3679369,-2.602836,0.1787749
1,9,1,2,14,34,21,14,1,10,1,8,38,0.3585026,-2.274699,0.1972934
1,5,1,2,16,28,33,15,1,7,1,4,38,0.3585026,-2.204349,0.2022792
1,7,1,2,17,31,38,22,0,0,1,5,38,0.3585026,-2.52595,0.1794872
1,11,1,6,17,29,26,12,0,9,1,6,38,0.3585026,-2.385249,0.1894587
1,5,1,2,17,33,30,28,1,12,1,4,38,0.3585026,-1.892798,0.224359
0,5,0,1,15,32,39,29,1,13,0,5,39,0.3679369,-2.103013,0.2150997
1,6,1,3,18,35,38,25,0,7,1,4,38,0.3585026,-2.053599,0.212963
0,4,0,2,17,36,39,23,1,9,0,3,39,0.3679369,-2.357825,0.1965812
2,9,1,4,16,32,33,19,1,11,2,6,37,0.3490684,-2.032541,0.2086895
2,6,1,3,16,30,34,29,0,5,2,4,37,0.3490684,-2.166605,0.1994302
0,6,0,1,17,31,39,21,1,12,0,6,39,0.3679369,-2.318623,0.1994302
1,7,1,2,15,33,35,25,1,4,1,4,38,0.3585026,-2.4355,0.1858974
3,7,1,2,17,29,31,25,1,10,3,5,36,0.3396341,-1.840924,0.215812
5,7,2,2,15,30,22,22,0,6,4,6,34,0.3207655,-2.365051,0.1702279
1,6,1,4,17,33,33,30,1,7,1,2,38,0.3585026,-2.304849,0.1951567
3,6,2,2,16,28,24,20,0,11,2,5,36,0.3396341,-2.105659,0.1980057
0,10,0,4,13,37,39,19,0,5,0,5,39,0.3679369,-2.69104,0.1723647
3,6,1,1,15,33,25,18,1,9,3,6,36,0.3396341,-2.211553,0.1908832
0,6,0,3,17,35,39,24,1,13,0,3,39,0.3679369,-2.269621,0.2029915
0,5,0,1,14,35,39,12,1,5,0,5,39,0.3679369,-2.563634,0.1816239
5,11,2,3,13,29,14,14,1,6,4,7,34,0.3207655,-2.488141,0.1623932
2,6,1,4,17,32,31,31,0,11,2,2,37,0.3490684,-2.042853,0.2079772
2,7,1,3,15,29,20,16,1,6,2,4,37,0.3490684,-2.506923,0.1759259
0,6,0,2,15,37,39,22,0,7,0,5,39,0.3679369,-2.524433,0.1844729
2,13,1,2,13,33,29,5,1,1,2,11,37,0.3490684,-2.69255,0.1631054
1,3,1,2,18,30,38,33,1,9,1,2,38,0.3585026,-2.133999,0.207265
2,8,1,3,17,32,29,25,1,11,2,4,37,0.3490684,-2.135667,0.201567
0,5,0,3,16,32,39,24,0,4,0,3,39,0.3679369,-2.426428,0.1915954
1,11,1,5,16,31,31,22,0,2,1,5,38,0.3585026,-2.5561,0.1773504
2,7,1,2,14,33,35,15,1,5,2,5,37,0.3490684,-2.414109,0.1823362
1,4,1,2,17,31,38,32,0,12,1,3,38,0.3585026,-2.033499,0.2143875
4,11,3,4,16,34,28,16,1,9,2,7,35,0.3301998,-1.986946,0.2001425
3,9,1,4,16,29,16,12,1,10,3,5,36,0.3396341,-2.296268,0.1851852
1,5,1,1,15,34,26,19,1,7,1,5,38,0.3585026,-2.274699,0.1972934
0,11,0,5,18,32,39,20,1,6,0,6,39,0.3679369,-2.504832,0.1858974
1,10,1,4,15,33,29,15,0,7,1,6,38,0.3585026,-2.70685,0.1666667
1,7,1,4,15,33,32,29,0,11,1,3,38,0.3585026,-2.174199,0.204416
2,8,1,1,15,33,21,13,0,10,2,8,37,0.3490684,-2.249106,0.1937322
2,7,2,3,17,30,28,28,1,8,1,4,37,0.3490684,-1.980978,0.2122507
3,9,2,2,16,30,23,16,0,10,2,6,36,0.3396341,-2.42334,0.1766382
