taxon	min	max
CCL-A1-1970	49	49
CCL-C1-1970	49	49
CCL-D1-1970	49	49
CCL-D2-1970	49	49
CCL-E1-1970	49	49
CCL-F1-1970	49	49
CCL-F2-1989	30	30
CCL-G1-2008	11	11
CCL-H1-1989	30	30
CCL-I1-2010	9	9
CCL-J1-1989	30	30
CCL-K1-2008	11	11
CCL-K1-2009	10	10
CCL-K1-2010	9	9
CCL-K1-2011	8	8
CCL-K1-2012	7	7
CCL-K2-2011	8	8
CCL-L1-2013	6	6
CCL-L1-2014	5	5
CCL-L1-2015	4	4
CCL-L1-2016	3	3
CCL-L1-2017	2	2
CCL-L1-2018	1	1
CCL-L1-2019	0	0
CCL-L2-2013	6	6
CCL-L2-2014	5	5
CCL-L2-2015	4	4
CCL-L2-2016	3	3
CCL-L2-2017	2	2
CCL-L2-2018	1	1
CCL-L2-2019	0	0
CCL-M1-2014	5	5
CCL-N1-2015	4	4
CCL-N1-2016	3	3
CCL-N1-2017	2	2
CCL-N1-2018	1	1
CCL-N1-2019	0	0
CCL-N2-2019	0	0
